topic_words3,EKRE,Eesti Vabaerakonna fraktsioon,Fraktsioonitud,Isamaa,Isamaa ja Res Publica Liidu fraktsioon,Keskerakond,Reformierakond,Sotsiaaldemokraadid
kirik kiriku maarja,0.0,0.0,0.0,0.0,0.0,0.002849002849002849,0.0,0.0
kodakondsust kodakondsuse kodanikuks,0.006734006734006734,0.006172839506172839,0.0,0.0,0.00881057268722467,0.003798670465337132,0.0023752969121140144,0.0
kodualuse maamaksu maamaksust,0.0016835016835016834,0.0,0.005361930294906166,0.0,0.00881057268722467,0.000949667616334283,0.0,0.0
kohanimenoukogu vonnu mulgi,0.0,0.006172839506172839,0.0,0.0,0.0,0.000949667616334283,0.0,0.0037593984962406013
kohtla jarve johvi,0.0,0.0,0.002680965147453083,0.0,0.0,0.002849002849002849,0.004750593824228029,0.0
kohtunike kohtususteem kohtuniku,0.005050505050505051,0.0030864197530864196,0.005361930294906166,0.01020408163265306,0.004405286343612335,0.010446343779677113,0.023752969121140142,0.018796992481203006
kohtutaiturite kohtutaitur kohtutaituri,0.0,0.0030864197530864196,0.002680965147453083,0.0,0.0,0.000949667616334283,0.0,0.0
kolledz kolledzi turi,0.0016835016835016834,0.0,0.0,0.0,0.0,0.002849002849002849,0.0,0.0
koneleja konsensuslikud repliigi,0.0016835016835016834,0.012345679012345678,0.0,0.0,0.0,0.002849002849002849,0.0,0.0
konkurss konkursi konkurssi,0.0016835016835016834,0.0030864197530864196,0.002680965147453083,0.0,0.0,0.0,0.0023752969121140144,0.0
koolilouna koolitoidu koolitoit,0.005050505050505051,0.0,0.005361930294906166,0.0,0.004405286343612335,0.017094017094017096,0.007125890736342043,0.011278195488721804
koolis kooli opilased,0.026936026936026935,0.037037037037037035,0.01876675603217158,0.030612244897959183,0.05726872246696035,0.045584045584045586,0.011876484560570071,0.022556390977443608
koolituse koolitus koolitusele,0.0,0.0,0.002680965147453083,0.0,0.0,0.004748338081671415,0.0,0.0
korrata stenogrammist vabandan,0.0016835016835016834,0.0030864197530864196,0.005361930294906166,0.0,0.0,0.0,0.0023752969121140144,0.0
korruptsiooni korruptsioon korruptsiooniga,0.005050505050505051,0.0030864197530864196,0.005361930294906166,0.0,0.0,0.0,0.0,0.0
korterelamute kortermajade kredexi,0.0016835016835016834,0.0,0.0,0.0,0.0,0.002849002849002849,0.004750593824228029,0.0
korterid kortereid korterit,0.0016835016835016834,0.0,0.00804289544235925,0.0,0.013215859030837005,0.003798670465337132,0.0023752969121140144,0.0037593984962406013
korteriuhistu korteriomanike korteriuhistute,0.0,0.0030864197530864196,0.005361930294906166,0.0,0.0,0.008547008547008548,0.0023752969121140144,0.007518796992481203
krimmi agressiooni ukraina,0.015151515151515152,0.009259259259259259,0.024128686327077747,0.0,0.04405286343612335,0.005698005698005698,0.021377672209026127,0.015037593984962405
kulukuse krediidi kiirlaenude,0.0,0.0,0.005361930294906166,0.0,0.013215859030837005,0.0,0.014251781472684086,0.018796992481203006
kusija vastaja vastasin,0.0,0.006172839506172839,0.0,0.0,0.0,0.0,0.0,0.0
kusimusena tahtsa tahtsusega,0.0016835016835016834,0.0,0.002680965147453083,0.0,0.0,0.0,0.004750593824228029,0.0037593984962406013
kutsehariduse kutseharidus kutsehariduses,0.0,0.006172839506172839,0.0,0.01020408163265306,0.0,0.0,0.004750593824228029,0.0037593984962406013
laari laar kandidatuuri,0.0,0.0030864197530864196,0.0,0.0,0.0,0.000949667616334283,0.0,0.0
lae korgepalgaliste lagi,0.0,0.0,0.0,0.01020408163265306,0.0,0.000949667616334283,0.0,0.0
lahususe voimude lahusus,0.0,0.006172839506172839,0.0,0.0,0.0,0.000949667616334283,0.0023752969121140144,0.0
lapsetoetust lapsetoetus lapsetoetuse,0.003367003367003367,0.0030864197530864196,0.00804289544235925,0.01020408163265306,0.01762114537444934,0.003798670465337132,0.0,0.03759398496240601
lasteaia lasteaias lasteaiakoha,0.003367003367003367,0.0030864197530864196,0.0,0.0,0.022026431718061675,0.00949667616334283,0.0,0.007518796992481203
leping ratifitseerida lepinguga,0.008417508417508417,0.006172839506172839,0.00804289544235925,0.0,0.00881057268722467,0.00949667616334283,0.0023752969121140144,0.0
liiklussurmade liikluses hukkunute,0.0,0.0,0.00804289544235925,0.0,0.0,0.000949667616334283,0.0023752969121140144,0.0
liitlaste ohutorje keskmaa,0.013468013468013467,0.0,0.002680965147453083,0.0,0.004405286343612335,0.001899335232668566,0.0,0.0
lipu laevu kaubalaeva,0.0,0.0,0.002680965147453083,0.0,0.0,0.000949667616334283,0.0,0.0
lipud lippude lipp,0.0016835016835016834,0.0,0.0,0.0,0.0,0.000949667616334283,0.0,0.0
lng terminali gaasi,0.0,0.0,0.005361930294906166,0.0,0.0,0.000949667616334283,0.0,0.0
loomi loomade loomad,0.006734006734006734,0.0,0.00804289544235925,0.01020408163265306,0.00881057268722467,0.002849002849002849,0.0,0.0
louis freeh kremli,0.0,0.0,0.0,0.0,0.004405286343612335,0.000949667616334283,0.0,0.0
maantee neljarealiseks ppp,0.0016835016835016834,0.0,0.0,0.0,0.0,0.003798670465337132,0.0,0.0
maavalitsuste maavalitsused maakonna,0.0,0.006172839506172839,0.005361930294906166,0.0,0.0,0.006647673314339981,0.0023752969121140144,0.0
magustatud suhkrut joogi,0.0,0.0,0.0,0.02040816326530612,0.0,0.000949667616334283,0.0,0.0
majandusaasta koondaruanne raamatupidamise,0.0016835016835016834,0.0,0.002680965147453083,0.0,0.0,0.0,0.0,0.0
maksuamet tolliamet tolliameti,0.003367003367003367,0.0,0.0,0.01020408163265306,0.00881057268722467,0.004748338081671415,0.004750593824228029,0.007518796992481203
memorandumi moistmise memorandum,0.0,0.0,0.002680965147453083,0.0,0.0,0.0,0.0,0.0037593984962406013
metsa metsade mets,0.0016835016835016834,0.0,0.010723860589812333,0.0,0.004405286343612335,0.003798670465337132,0.0023752969121140144,0.0037593984962406013
miili baasvorgu lairiba,0.0016835016835016834,0.0,0.010723860589812333,0.02040816326530612,0.0,0.0,0.0,0.0037593984962406013
missiooni missioonile missioon,0.016835016835016835,0.015432098765432098,0.010723860589812333,0.0,0.0,0.004748338081671415,0.030878859857482184,0.0
moisteid moiste moisted,0.0,0.030864197530864196,0.002680965147453083,0.01020408163265306,0.00881057268722467,0.005698005698005698,0.019002375296912115,0.018796992481203006
muraste kase kompleksi,0.0,0.0,0.002680965147453083,0.0,0.0,0.0,0.0,0.0
muugimaksu muugimaks paadimaksu,0.0,0.0,0.0,0.0,0.0,0.000949667616334283,0.0,0.0
muundatud geneetiliselt gmo,0.0,0.0030864197530864196,0.002680965147453083,0.0,0.0,0.0,0.0,0.0
muuseum muuseumi muuseumide,0.0,0.0,0.0,0.0,0.0,0.002849002849002849,0.0,0.0
nord stream streami,0.0,0.0,0.0,0.0,0.0,0.002849002849002849,0.0,0.0037593984962406013
normitehnika mojude eeskiri,0.0,0.006172839506172839,0.002680965147453083,0.0,0.004405286343612335,0.002849002849002849,0.0,0.0
noukogudesse ariuhingute noukogudes,0.0,0.012345679012345678,0.005361930294906166,0.0,0.0,0.008547008547008548,0.009501187648456057,0.0037593984962406013
objekti anu raua,0.0,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0
oiglase virumaale ulemineku,0.0,0.0,0.0,0.0,0.0,0.004748338081671415,0.0,0.007518796992481203
oigusloome oigusloomes oiguspoliitika,0.0,0.006172839506172839,0.0,0.02040816326530612,0.0,0.001899335232668566,0.0023752969121140144,0.0037593984962406013
oigusriik oigusriigi oigusriigist,0.0016835016835016834,0.0,0.0,0.0,0.0,0.001899335232668566,0.0023752969121140144,0.0
omandireformi tagastatud omandireform,0.0016835016835016834,0.0030864197530864196,0.0,0.0,0.0,0.010446343779677113,0.0,0.0
ooteala piiriuletuse piiripunkti,0.0016835016835016834,0.0,0.005361930294906166,0.0,0.0,0.0,0.0023752969121140144,0.0
ootuse oigusparase oiguskindluse,0.0,0.0,0.0,0.0,0.022026431718061675,0.000949667616334283,0.004750593824228029,0.0
operatsioonil sojalisel panustamisel,0.0,0.0030864197530864196,0.0,0.0,0.0,0.0,0.004750593824228029,0.0
opositsiooni koalitsioonil opositsioonil,0.0016835016835016834,0.009259259259259259,0.002680965147453083,0.0,0.004405286343612335,0.000949667616334283,0.004750593824228029,0.0
opositsioonis koalitsiooni opositsiooni,0.020202020202020204,0.021604938271604937,0.005361930294906166,0.01020408163265306,0.039647577092511016,0.015194681861348529,0.007125890736342043,0.007518796992481203
oppelaenu sugava puudega,0.0,0.0,0.002680965147453083,0.0,0.0,0.0,0.0,0.0037593984962406013
otsevalimise presidenti presidendi,0.011784511784511785,0.012345679012345678,0.01876675603217158,0.11224489795918367,0.004405286343612335,0.003798670465337132,0.0,0.0037593984962406013
pagulasi pagulased pagulaste,0.15993265993265993,0.018518518518518517,0.010723860589812333,0.030612244897959183,0.0,0.018043684710351376,0.014251781472684086,0.007518796992481203
palgalohe soolist meeste,0.006734006734006734,0.0030864197530864196,0.021447721179624665,0.01020408163265306,0.004405286343612335,0.007597340930674264,0.004750593824228029,0.07518796992481203
palgatousu opetajate palgatous,0.008417508417508417,0.012345679012345678,0.005361930294906166,0.01020408163265306,0.004405286343612335,0.032288698955365625,0.007125890736342043,0.0
pealinnast tallinnast viljandisse,0.006734006734006734,0.009259259259259259,0.0,0.01020408163265306,0.0,0.001899335232668566,0.0,0.0
pensioni pension sammas,0.0016835016835016834,0.0,0.002680965147453083,0.0,0.004405286343612335,0.012345679012345678,0.007125890736342043,0.015037593984962405
pensionifondide pensionifondid fondid,0.010101010101010102,0.0,0.005361930294906166,0.01020408163265306,0.0,0.00949667616334283,0.021377672209026127,0.0
pensioniiga pensioniea eluiga,0.0016835016835016834,0.0,0.002680965147453083,0.0,0.0,0.002849002849002849,0.0023752969121140144,0.0
pensionitous pensionitousu pension,0.0016835016835016834,0.0030864197530864196,0.0,0.01020408163265306,0.0,0.004748338081671415,0.0,0.0
piima toorpiima toodangut,0.010101010101010102,0.009259259259259259,0.002680965147453083,0.0,0.0,0.007597340930674264,0.0023752969121140144,0.0
piirikontrolli schengeni valispiiri,0.006734006734006734,0.0030864197530864196,0.005361930294906166,0.0,0.0,0.000949667616334283,0.0023752969121140144,0.0037593984962406013
piirilepingu piirileping piirilepingut,0.03535353535353535,0.006172839506172839,0.0,0.02040816326530612,0.0,0.002849002849002849,0.004750593824228029,0.0
piirivalve valvamise valvamine,0.006734006734006734,0.006172839506172839,0.002680965147453083,0.0,0.0,0.001899335232668566,0.0023752969121140144,0.0
planeeringu keskkonnamoju keskkonnamojude,0.0,0.0,0.005361930294906166,0.0,0.004405286343612335,0.001899335232668566,0.0,0.0
pohiseadusega riigikohus oiguskantsler,0.005050505050505051,0.0,0.002680965147453083,0.030612244897959183,0.00881057268722467,0.00949667616334283,0.007125890736342043,0.018796992481203006
pollumeestele pollumehi pollumehed,0.025252525252525252,0.0,0.010723860589812333,0.01020408163265306,0.00881057268722467,0.013295346628679962,0.007125890736342043,0.018796992481203006
poolte kokkuleppel huvitise,0.0,0.0,0.0,0.0,0.004405286343612335,0.0,0.0023752969121140144,0.0
post posti omniva,0.0,0.0,0.002680965147453083,0.0,0.0,0.004748338081671415,0.0,0.0
president ilves presidendi,0.0,0.0030864197530864196,0.0,0.0,0.0,0.003798670465337132,0.0,0.0
prokuratuur prokuratuuri prokuror,0.003367003367003367,0.0,0.013404825737265416,0.0,0.00881057268722467,0.003798670465337132,0.004750593824228029,0.0037593984962406013
psuhhiaatri alaealine psuhhiaatrilist,0.0016835016835016834,0.0030864197530864196,0.005361930294906166,0.0,0.06167400881057269,0.006647673314339981,0.004750593824228029,0.041353383458646614
puude raskusastme puuet,0.0,0.0,0.002680965147453083,0.0,0.0,0.0,0.0,0.0
rahvaalgatuse rahvaalgatus rahvahaaletus,0.0,0.006172839506172839,0.005361930294906166,0.0,0.004405286343612335,0.0,0.0,0.0
rahvahaaletuse rahvahaaletus rahvahaaletusel,0.010101010101010102,0.0030864197530864196,0.002680965147453083,0.0,0.0,0.0,0.004750593824228029,0.0
rahvuse rahvust rahvusriik,0.016835016835016835,0.009259259259259259,0.0,0.01020408163265306,0.004405286343612335,0.007597340930674264,0.0,0.007518796992481203
rail trassi balticu,0.0016835016835016834,0.0,0.002680965147453083,0.0,0.0,0.001899335232668566,0.0,0.0
reklaami reklaam alkoholireklaam,0.0016835016835016834,0.0030864197530864196,0.0,0.0,0.004405286343612335,0.005698005698005698,0.0166270783847981,0.0
relva relvade relvaluba,0.0016835016835016834,0.0,0.002680965147453083,0.0,0.004405286343612335,0.0,0.009501187648456057,0.007518796992481203
riigiabi komisjonilt loa,0.0,0.0,0.002680965147453083,0.0,0.022026431718061675,0.000949667616334283,0.004750593824228029,0.0
riigikontrolli auditi auditit,0.0,0.006172839506172839,0.013404825737265416,0.01020408163265306,0.0,0.006647673314339981,0.011876484560570071,0.007518796992481203
riigikontrolor karis riigikontrolori,0.0,0.0030864197530864196,0.002680965147453083,0.0,0.0,0.003798670465337132,0.0,0.0
riigiloivude riigiloivud riigiloivu,0.013468013468013467,0.0,0.010723860589812333,0.0,0.00881057268722467,0.001899335232668566,0.004750593824228029,0.007518796992481203
riigimetsa majandamise noukokku,0.0016835016835016834,0.0,0.0,0.0,0.0,0.001899335232668566,0.0,0.015037593984962405
riigipalgaliste riigisektoris koondada,0.0016835016835016834,0.0030864197530864196,0.00804289544235925,0.01020408163265306,0.0,0.008547008547008548,0.004750593824228029,0.0
riigipuha puhade tahtpaevade,0.0,0.0,0.0,0.0,0.004405286343612335,0.008547008547008548,0.007125890736342043,0.0
riigireformi riigireformist riigireform,0.0,0.009259259259259259,0.002680965147453083,0.0,0.0,0.001899335232668566,0.0,0.0
rongi rongide rongid,0.0016835016835016834,0.0,0.0,0.0,0.0,0.000949667616334283,0.0,0.0
salastatud valisteabe riigisaladuse,0.0,0.0,0.0,0.0,0.0,0.000949667616334283,0.004750593824228029,0.0
salvestisi salvestised salvestiste,0.0,0.018518518518518517,0.010723860589812333,0.0,0.02643171806167401,0.007597340930674264,0.047505938242280284,0.011278195488721804
samba sammas sambasse,0.0016835016835016834,0.0,0.0,0.0,0.0,0.002849002849002849,0.0023752969121140144,0.0
sigade katku katk,0.015151515151515152,0.009259259259259259,0.03753351206434316,0.030612244897959183,0.0,0.012345679012345678,0.0023752969121140144,0.007518796992481203
skais arendused infosusteemide,0.0,0.0,0.005361930294906166,0.0,0.0,0.0,0.0,0.0
slovakkia ungari portugal,0.025252525252525252,0.009259259259259259,0.005361930294906166,0.02040816326530612,0.0,0.008547008547008548,0.007125890736342043,0.0037593984962406013
soita jalakaija konniteel,0.006734006734006734,0.0,0.010723860589812333,0.01020408163265306,0.00881057268722467,0.002849002849002849,0.007125890736342043,0.0
sularaha kommertspangad pangad,0.0,0.0030864197530864196,0.002680965147453083,0.0,0.0,0.006647673314339981,0.011876484560570071,0.0037593984962406013
suuria euroopasse turgis,0.003367003367003367,0.0030864197530864196,0.0160857908847185,0.0,0.0,0.004748338081671415,0.014251781472684086,0.0
taanis saksamaal hollandis,0.010101010101010102,0.0,0.0160857908847185,0.01020408163265306,0.004405286343612335,0.005698005698005698,0.004750593824228029,0.0
talupidajate kaubanduskoja kaubanduskoda,0.0,0.0,0.002680965147453083,0.0,0.0,0.000949667616334283,0.0023752969121140144,0.0
tapsustatakse ajakohastatakse nouete,0.0016835016835016834,0.0030864197530864196,0.002680965147453083,0.0,0.004405286343612335,0.001899335232668566,0.011876484560570071,0.0037593984962406013
tarbijakaitse amet ametile,0.0016835016835016834,0.0,0.0,0.0,0.0,0.001899335232668566,0.0023752969121140144,0.0037593984962406013
teadus teaduse arendustegevuse,0.003367003367003367,0.04938271604938271,0.010723860589812333,0.01020408163265306,0.0,0.007597340930674264,0.011876484560570071,0.0
teatri teater rahvusooper,0.0,0.0,0.0,0.0,0.0,0.0,0.0023752969121140144,0.0
teede teehoiuks teedele,0.0,0.0,0.002680965147453083,0.0,0.0,0.008547008547008548,0.0023752969121140144,0.0
teekasutustasu autode autod,0.003367003367003367,0.0,0.002680965147453083,0.0,0.0,0.003798670465337132,0.0,0.0
teenistuse teenistuses avalikus,0.005050505050505051,0.0,0.0,0.0,0.0,0.002849002849002849,0.0023752969121140144,0.0
teenuseid teenused teenust,0.0,0.0,0.029490616621983913,0.01020408163265306,0.0,0.006647673314339981,0.019002375296912115,0.015037593984962405
terviseandmed isikuandmeid terviseandmeid,0.0016835016835016834,0.009259259259259259,0.013404825737265416,0.0,0.004405286343612335,0.003798670465337132,0.0023752969121140144,0.018796992481203006
tervist tervis tervisega,0.0,0.0,0.002680965147453083,0.0,0.0,0.002849002849002849,0.0023752969121140144,0.0
tooandja tervisesse maksuvabalt,0.0016835016835016834,0.0,0.00804289544235925,0.02040816326530612,0.013215859030837005,0.002849002849002849,0.004750593824228029,0.011278195488721804
tooandja tooandjal tootaja,0.0,0.0,0.002680965147453083,0.0,0.0,0.000949667616334283,0.0,0.0037593984962406013
toonadalal istungid taiendaval,0.003367003367003367,0.006172839506172839,0.005361930294906166,0.0,0.013215859030837005,0.001899335232668566,0.007125890736342043,0.0037593984962406013
tootuid tootute tootu,0.0,0.0,0.0,0.0,0.0,0.003798670465337132,0.004750593824228029,0.0
tootuli lepitaja ametiuhingute,0.0,0.0,0.0,0.01020408163265306,0.0,0.000949667616334283,0.0,0.0
