topic_words3,Fraktsioonitud,Isamaa,difference
otsevalimise presidenti presidendi,0.0187667560321715,0.1122448979591836,-498.1049562682238
efsf esm kreekale,0.0080428954423592,0.0510204081632653,-534.3537414966025
alkoholi kange lahja,0.0107238605898123,0.0510204081632653,-375.7653061224504
ametiuhingute tooandjate keskliit,0.002680965147453,0.0306122448979591,-1041.8367346939099
pohiseadusega riigikohus oiguskantsler,0.002680965147453,0.0306122448979591,-1041.8367346939099
kasvavad tuleval kasv,0.002680965147453,0.0204081632653061,-661.2244897959412
pagulasi pagulased pagulaste,0.0107238605898123,0.0306122448979591,-185.4591836734695
slovakkia ungari portugal,0.0053619302949061,0.0204081632653061,-280.6122448979635
tooandja tervisesse maksuvabalt,0.0080428954423592,0.0204081632653061,-153.74149659864077
volakirjade keskpank volakirju,0.002680965147453,0.010204081632653,-280.6122448979687
kantsler kantsleri riigisekretar,0.002680965147453,0.010204081632653,-280.6122448979687
erimargistatud kutust kutuse,0.002680965147453,0.010204081632653,-280.6122448979687
jarviku jarvik maaeluministri,0.002680965147453,0.010204081632653,-280.6122448979687
moisteid moiste moisted,0.002680965147453,0.010204081632653,-280.6122448979687
kinnisasja maad maa,0.002680965147453,0.010204081632653,-280.6122448979687
inimarengu aruanne aruandes,0.002680965147453,0.010204081632653,-280.6122448979687
arengufond arengufondi arengufondis,0.0107238605898123,0.0204081632653061,-90.30612244897996
miili baasvorgu lairiba,0.0107238605898123,0.0204081632653061,-90.30612244897996
koolis kooli opilased,0.0187667560321715,0.0306122448979591,-63.119533527697044
kohtunike kohtususteem kohtuniku,0.0053619302949061,0.010204081632653,-90.30612244898079
valispoliitika valispoliitikas diplomaatia,0.0053619302949061,0.010204081632653,-90.30612244898079
valimisliitude volikogusse volikokku,0.0053619302949061,0.010204081632653,-90.30612244898079
palgatousu opetajate palgatous,0.0053619302949061,0.010204081632653,-90.30612244898079
kaitseliit kaitseliidule kaitseliidu,0.0053619302949061,0.010204081632653,-90.30612244898079
opositsioonis koalitsiooni opositsiooni,0.0053619302949061,0.010204081632653,-90.30612244898079
jahimehed jahimeeste jahti,0.0053619302949061,0.010204081632653,-90.30612244898079
pensionifondide pensionifondid fondid,0.0053619302949061,0.010204081632653,-90.30612244898079
loomi loomade loomad,0.0080428954423592,0.010204081632653,-26.870748299319754
riigipalgaliste riigisektoris koondada,0.0080428954423592,0.010204081632653,-26.870748299319754
lapsetoetust lapsetoetus lapsetoetuse,0.0080428954423592,0.010204081632653,-26.870748299319754
vallaga vald sauga,0.0080428954423592,0.010204081632653,-26.870748299319754
valimisea valimisiga valimisoiguse,0.0107238605898123,0.010204081632653,4.846938775510487
pollumeestele pollumehi pollumehed,0.0107238605898123,0.010204081632653,4.846938775510487
teadus teaduse arendustegevuse,0.0107238605898123,0.010204081632653,4.846938775510487
tootuna arvele ariuhingu,0.0107238605898123,0.010204081632653,4.846938775510487
soita jalakaija konniteel,0.0107238605898123,0.010204081632653,4.846938775510487
eelarves riigieelarves reservist,0.0134048257372654,0.010204081632653,23.877551020408536
riigikontrolli auditi auditit,0.0134048257372654,0.010204081632653,23.877551020408536
