topic_words3,Eesti Vabaerakonna fraktsioon,Fraktsioonitud,difference
sigade katku katk,0.0092592592592592,0.0375335120643431,-305.36193029490806
palgalohe soolist meeste,0.0030864197530864,0.0214477211796246,-594.9061662198415
suuria euroopasse turgis,0.0030864197530864,0.0160857908847185,-421.1796246648826
krimmi agressiooni ukraina,0.0092592592592592,0.0241286863270777,-160.58981233244086
untso missioonide liikmesusest,0.0061728395061728,0.0160857908847185,-160.58981233244134
tootuna arvele ariuhingu,0.0030864197530864,0.0107238605898123,-247.4530831099207
huvigruppe huvigruppide kaasatud,0.0092592592592592,0.0187667560321715,-102.6809651474535
eriarstide eriarstiabi eriarsti,0.0092592592592592,0.0187667560321715,-102.6809651474535
riigikontrolli auditi auditit,0.0061728395061728,0.0134048257372654,-117.15817694370088
elektri elektrit taastuvenergia,0.0061728395061728,0.0134048257372654,-117.15817694370088
direktiivi direktiiv ulevotmise,0.0061728395061728,0.0134048257372654,-117.15817694370088
eelarves riigieelarves reservist,0.0061728395061728,0.0134048257372654,-117.15817694370088
vabatahtlike komandode paasteameti,0.0061728395061728,0.0134048257372654,-117.15817694370088
valijate erakonda valijaid,0.0030864197530864,0.0080428954423592,-160.5898123324397
riigipalgaliste riigisektoris koondada,0.0030864197530864,0.0080428954423592,-160.5898123324397
hiv narkomaania epideemia,0.0030864197530864,0.0080428954423592,-160.5898123324397
lapsetoetust lapsetoetus lapsetoetuse,0.0030864197530864,0.0080428954423592,-160.5898123324397
otsevalimise presidenti presidendi,0.0123456790123456,0.0187667560321715,-52.010723860590126
valimisea valimisiga valimisoiguse,0.0061728395061728,0.0107238605898123,-73.72654155496036
terviseandmed isikuandmeid terviseandmeid,0.0092592592592592,0.0134048257372654,-44.77211796246725
kaasne lisakulutusi riigieelarvele,0.0030864197530864,0.0053619302949061,-73.72654155495876
korrata stenogrammist vabandan,0.0030864197530864,0.0053619302949061,-73.72654155495876
korruptsiooni korruptsioon korruptsiooniga,0.0030864197530864,0.0053619302949061,-73.72654155495876
piirikontrolli schengeni valispiiri,0.0030864197530864,0.0053619302949061,-73.72654155495876
kohtunike kohtususteem kohtuniku,0.0030864197530864,0.0053619302949061,-73.72654155495876
korteriuhistu korteriomanike korteriuhistute,0.0030864197530864,0.0053619302949061,-73.72654155495876
inflatsiooni inflatsioon hinnatous,0.0030864197530864,0.0053619302949061,-73.72654155495876
psuhhiaatri alaealine psuhhiaatrilist,0.0030864197530864,0.0053619302949061,-73.72654155495876
valispoliitika valispoliitikas diplomaatia,0.0030864197530864,0.0053619302949061,-73.72654155495876
vallaga vald sauga,0.0061728395061728,0.0080428954423592,-30.29490616621986
leping ratifitseerida lepinguga,0.0061728395061728,0.0080428954423592,-30.29490616621986
arengufond arengufondi arengufondis,0.0092592592592592,0.0107238605898123,-15.817694369973582
alkoholi kange lahja,0.0092592592592592,0.0107238605898123,-15.817694369973582
sularaha kommertspangad pangad,0.0030864197530864,0.002680965147453,13.13672922252225
konkurss konkursi konkurssi,0.0030864197530864,0.002680965147453,13.13672922252225
inimarengu aruanne aruandes,0.0030864197530864,0.002680965147453,13.13672922252225
riigikontrolor karis riigikontrolori,0.0030864197530864,0.002680965147453,13.13672922252225
energiaagentuur agentuuri agentuur,0.0030864197530864,0.002680965147453,13.13672922252225
id mobiil kaardi,0.0030864197530864,0.002680965147453,13.13672922252225
kohtutaiturite kohtutaitur kohtutaituri,0.0030864197530864,0.002680965147453,13.13672922252225
muundatud geneetiliselt gmo,0.0030864197530864,0.002680965147453,13.13672922252225
kinnisasja maad maa,0.0030864197530864,0.002680965147453,13.13672922252225
vagivallale vihakone ohutamine,0.0030864197530864,0.002680965147453,13.13672922252225
tapsustatakse ajakohastatakse nouete,0.0030864197530864,0.002680965147453,13.13672922252225
rahvahaaletuse rahvahaaletus rahvahaaletusel,0.0030864197530864,0.002680965147453,13.13672922252225
kauguhendus avaksite ettekandjalt,0.0030864197530864,0.002680965147453,13.13672922252225
