topic_words3,Eesti Vabaerakonna fraktsioon,Keskerakond,difference
alkoholi kange lahja,0.0092592592592592,0.037037037037037,-300.00000000000216
palgatousu opetajate palgatous,0.0123456790123456,0.0322886989553656,-161.538461538463
kaibemaksu kaibemaks kaibemaksumaara,0.0030864197530864,0.0151946818613485,-392.30769230769454
kinnisasja maad maa,0.0030864197530864,0.0123456790123456,-300.0
kohtunike kohtususteem kohtuniku,0.0030864197530864,0.0104463437796771,-238.46153846154016
omandireformi tagastatud omandireform,0.0030864197530864,0.0104463437796771,-238.46153846154016
eelarves riigieelarves reservist,0.0061728395061728,0.0142450142450142,-130.7692307692315
elamisluba elamisloa viisa,0.0030864197530864,0.0094966761633428,-207.69230769230867
lasteaia lasteaias lasteaiakoha,0.0030864197530864,0.0094966761633428,-207.69230769230867
elektri elektrit taastuvenergia,0.0061728395061728,0.0132953466286799,-115.38461538461576
korteriuhistu korteriomanike korteriuhistute,0.0030864197530864,0.0085470085470085,-176.92307692307713
riigipalgaliste riigisektoris koondada,0.0030864197530864,0.0085470085470085,-176.92307692307713
tulumaksuvaba maksususteemi tulumaksu,0.0216049382716049,0.0322886989553656,-49.45054945054961
palgalohe soolist meeste,0.0030864197530864,0.0075973409306742,-146.15384615384562
psuhhiaatri alaealine psuhhiaatrilist,0.0030864197530864,0.0066476733143399,-115.38461538461414
sularaha kommertspangad pangad,0.0030864197530864,0.0066476733143399,-115.38461538461414
tulubaasi omavalitsustele omavalitsuste,0.0092592592592592,0.0142450142450142,-53.84615384615435
koolis kooli opilased,0.037037037037037,0.0455840455840455,-23.07692307692298
reklaami reklaam alkoholireklaam,0.0030864197530864,0.0056980056980056,-84.61538461538262
eriarstide eriarstiabi eriarsti,0.0092592592592592,0.0132953466286799,-43.58974358974383
leping ratifitseerida lepinguga,0.0061728395061728,0.0094966761633428,-53.846153846154344
sigade katku katk,0.0092592592592592,0.0123456790123456,-33.333333333333336
arengufond arengufondi arengufondis,0.0092592592592592,0.0123456790123456,-33.333333333333336
vabatahtlike komandode paasteameti,0.0061728395061728,0.0085470085470085,-38.46153846153857
id mobiil kaardi,0.0030864197530864,0.0047483380816714,-53.846153846154344
haale valimispaeval valimiste,0.0030864197530864,0.0047483380816714,-53.846153846154344
hambaravi hammaste hambad,0.0030864197530864,0.0047483380816714,-53.846153846154344
suuria euroopasse turgis,0.0030864197530864,0.0047483380816714,-53.846153846154344
