topic_words3,Eesti Vabaerakonna fraktsioon,Sotsiaaldemokraadid,difference
palgalohe soolist meeste,0.0030864197530864,0.075187969924812,-2336.0902255639244
psuhhiaatri alaealine psuhhiaatrilist,0.0030864197530864,0.0413533834586466,-1239.8496240601585
lapsetoetust lapsetoetus lapsetoetuse,0.0030864197530864,0.037593984962406,-1118.0451127819622
elektri elektrit taastuvenergia,0.0061728395061728,0.0338345864661654,-448.1203007518829
kohtunike kohtususteem kohtuniku,0.0030864197530864,0.018796992481203,-509.02255639098115
kaasne lisakulutusi riigieelarvele,0.0030864197530864,0.0150375939849624,-387.21804511278486
alkoholi kange lahja,0.0092592592592592,0.0225563909774436,-143.60902255639246
valispoliitika valispoliitikas diplomaatia,0.0030864197530864,0.0112781954887218,-265.41353383458863
jaatmeid liigiti prugi,0.0030864197530864,0.0112781954887218,-265.41353383458863
abielu kooselu samasooliste,0.0092592592592592,0.018796992481203,-103.00751879699371
terviseandmed isikuandmeid terviseandmeid,0.0092592592592592,0.018796992481203,-103.00751879699371
joustumine joustuma joustada,0.0185185185185185,0.0300751879699248,-62.406015037594074
elamisluba elamisloa viisa,0.0030864197530864,0.0075187969924812,-143.60902255639246
kandideerima ametikohale kandidaatide,0.0030864197530864,0.0075187969924812,-143.60902255639246
korteriuhistu korteriomanike korteriuhistute,0.0030864197530864,0.0075187969924812,-143.60902255639246
lasteaia lasteaias lasteaiakoha,0.0030864197530864,0.0075187969924812,-143.60902255639246
untso missioonide liikmesusest,0.0061728395061728,0.0112781954887218,-82.70676691729433
krimmi agressiooni ukraina,0.0092592592592592,0.0150375939849624,-62.40601503759496
huvigruppe huvigruppide kaasatud,0.0092592592592592,0.0150375939849624,-62.40601503759496
riigikontrolli auditi auditit,0.0061728395061728,0.0075187969924812,-21.804511278196216
eelarvele kulude riigieelarvele,0.0061728395061728,0.0075187969924812,-21.804511278196216
vagivallale vihakone ohutamine,0.0030864197530864,0.0037593984962406,-21.804511278196216
haale valimispaeval valimiste,0.0030864197530864,0.0037593984962406,-21.804511278196216
kauguhendus avaksite ettekandjalt,0.0030864197530864,0.0037593984962406,-21.804511278196216
sularaha kommertspangad pangad,0.0030864197530864,0.0037593984962406,-21.804511278196216
piirikontrolli schengeni valispiiri,0.0030864197530864,0.0037593984962406,-21.804511278196216
valijate erakonda valijaid,0.0030864197530864,0.0037593984962406,-21.804511278196216
tapsustatakse ajakohastatakse nouete,0.0030864197530864,0.0037593984962406,-21.804511278196216
kinnisasja maad maa,0.0030864197530864,0.0037593984962406,-21.804511278196216
rahvuse rahvust rahvusriik,0.0092592592592592,0.0075187969924812,18.79699248120252
sigade katku katk,0.0092592592592592,0.0075187969924812,18.79699248120252
kaitseliit kaitseliidule kaitseliidu,0.0092592592592592,0.0075187969924812,18.79699248120252
arengufond arengufondi arengufondis,0.0092592592592592,0.0075187969924812,18.79699248120252
iive sundimus iibe,0.0061728395061728,0.0037593984962406,39.09774436090189
vallaga vald sauga,0.0061728395061728,0.0037593984962406,39.09774436090189
kutsehariduse kutseharidus kutsehariduses,0.0061728395061728,0.0037593984962406,39.09774436090189
virumaale virumaa toostusalade,0.0061728395061728,0.0037593984962406,39.09774436090189
oigusloome oigusloomes oiguspoliitika,0.0061728395061728,0.0037593984962406,39.09774436090189
vabatahtlike komandode paasteameti,0.0061728395061728,0.0037593984962406,39.09774436090189
toonadalal istungid taiendaval,0.0061728395061728,0.0037593984962406,39.09774436090189
eelarves riigieelarves reservist,0.0061728395061728,0.0037593984962406,39.09774436090189
valimisea valimisiga valimisoiguse,0.0061728395061728,0.0037593984962406,39.09774436090189
kohanimenoukogu vonnu mulgi,0.0061728395061728,0.0037593984962406,39.09774436090189
hadaolukorda eriolukord eriolukorra,0.0061728395061728,0.0037593984962406,39.09774436090189
arengukavad arengukavade pohialuste,0.015432098765432,0.0112781954887218,26.91729323308227
salvestisi salvestised salvestiste,0.0185185185185185,0.0112781954887218,39.09774436090221
slovakkia ungari portugal,0.0092592592592592,0.0037593984962406,59.39849624060126
eriarstide eriarstiabi eriarsti,0.0092592592592592,0.0037593984962406,59.39849624060126
ametiuhingute tooandjate keskliit,0.0092592592592592,0.0037593984962406,59.39849624060126
tulubaasi omavalitsustele omavalitsuste,0.0092592592592592,0.0037593984962406,59.39849624060126
moisteid moiste moisted,0.0308641975308641,0.018796992481203,39.097744360902084
koolis kooli opilased,0.037037037037037,0.0225563909774436,39.09774436090221
otsevalimise presidenti presidendi,0.0123456790123456,0.0037593984962406,69.54887218045094
noukogudesse ariuhingute noukogudes,0.0123456790123456,0.0037593984962406,69.54887218045094
ulikooliga kbfi instituudi,0.0123456790123456,0.0037593984962406,69.54887218045094
katteallikas katteallikaid katteallikat,0.0185185185185185,0.0075187969924812,59.39849624060148
pagulasi pagulased pagulaste,0.0185185185185185,0.0075187969924812,59.39849624060148
uliopilased uliopilastele uliopilaste,0.015432098765432,0.0037593984962406,75.63909774436077
opositsioonis koalitsiooni opositsiooni,0.0216049382716049,0.0075187969924812,65.19871106337267
efsf esm kreekale,0.0185185185185185,0.0037593984962406,79.69924812030075
valimisliitude volikogusse volikokku,0.1265432098765432,0.0112781954887218,91.08747478452229
teadus teaduse arendustegevuse,0.0493827160493827,0.0,100.0
tulumaksuvaba maksususteemi tulumaksu,0.0216049382716049,0.0,100.0
missiooni missioonile missioon,0.015432098765432,0.0,100.0
karistuse karistus tingimisi,0.0123456790123456,0.0,100.0
objekti anu raua,0.0123456790123456,0.0,100.0
koneleja konsensuslikud repliigi,0.0123456790123456,0.0,100.0
