topic_words3,EKRE,Isamaa ja Res Publica Liidu fraktsioon,difference
idapiiri piiririba valjaehitamine,0.005050505050505,0.0,100.0
teenistuse teenistuses avalikus,0.005050505050505,0.0,100.0
estonian air airi,0.005050505050505,0.0,100.0
korruptsiooni korruptsioon korruptsiooniga,0.005050505050505,0.0,100.0
tulubaasi tasandusfondi tulumaksuosa,0.005050505050505,0.0,100.0
abielu kooselu samasooliste,0.0033670033670033,0.0,100.0
eelarvele kulude riigieelarvele,0.0033670033670033,0.0,100.0
id mobiil kaardi,0.0033670033670033,0.0,100.0
iive sundimus iibe,0.0033670033670033,0.0,100.0
inflatsiooni inflatsioon hinnatous,0.0033670033670033,0.0,100.0
aardla pria pealtnagija,0.0033670033670033,0.0,100.0
teadus teaduse arendustegevuse,0.0033670033670033,0.0,100.0
teekasutustasu autode autod,0.0033670033670033,0.0,100.0
valdkonnad laekumisest fikseeritakse,0.0033670033670033,0.0,100.0
varude varud varu,0.0033670033670033,0.0,100.0
uuring uuringut uuringu,0.0033670033670033,0.0,100.0
suuria euroopasse turgis,0.0033670033670033,0.0,100.0
huvihariduse huvitegevuse huviharidus,0.0033670033670033,0.0,100.0
utah jordaania energia,0.0033670033670033,0.0,100.0
kauguhendus avaksite ettekandjalt,0.0016835016835016,0.0,100.0
pensionitous pensionitousu pension,0.0016835016835016,0.0,100.0
kolledz kolledzi turi,0.0016835016835016,0.0,100.0
erso teatri kontserdi,0.0016835016835016,0.0,100.0
kasvavad tuleval kasv,0.0016835016835016,0.0,100.0
kantsler kantsleri riigisekretar,0.0016835016835016,0.0,100.0
hadaolukorda eriolukord eriolukorra,0.0016835016835016,0.0,100.0
hambaravi hammaste hambad,0.0016835016835016,0.0,100.0
pensioniiga pensioniea eluiga,0.0016835016835016,0.0,100.0
miili baasvorgu lairiba,0.0016835016835016,0.0,100.0
volitust kaasuses jarvik,0.0016835016835016,0.0,100.0
kaitsekulud kaitsekulutused kaitsekulude,0.0016835016835016,0.0,100.0
koneleja konsensuslikud repliigi,0.0016835016835016,0.0,100.0
ooteala piiriuletuse piiripunkti,0.0016835016835016,0.0,100.0
omandireformi tagastatud omandireform,0.0016835016835016,0.0,100.0
oigusriik oigusriigi oigusriigist,0.0016835016835016,0.0,100.0
konkurss konkursi konkurssi,0.0016835016835016,0.0,100.0
korrata stenogrammist vabandan,0.0016835016835016,0.0,100.0
volakirjade keskpank volakirju,0.0016835016835016,0.0,100.0
majandusaasta koondaruanne raamatupidamise,0.0016835016835016,0.0,100.0
maantee neljarealiseks ppp,0.0016835016835016,0.0,100.0
lipud lippude lipp,0.0016835016835016,0.0,100.0
kusimusena tahtsa tahtsusega,0.0016835016835016,0.0,100.0
hooldekodus hoolduse hooldekodu,0.0016835016835016,0.0,100.0
korterelamute kortermajade kredexi,0.0016835016835016,0.0,100.0
samba sammas sambasse,0.0016835016835016,0.0,100.0
tarbijakaitse amet ametile,0.0016835016835016,0.0,100.0
untso missioonide liikmesusest,0.0016835016835016,0.0,100.0
uhistranspordi uhistransport uhistransporti,0.0016835016835016,0.0,100.0
riigipalgaliste riigisektoris koondada,0.0016835016835016,0.0,100.0
rail trassi balticu,0.0016835016835016,0.0,100.0
riigimetsa majandamise noukokku,0.0016835016835016,0.0,100.0
rongi rongide rongid,0.0016835016835016,0.0,100.0
oigusloome oigusloomes oiguspoliitika,0.0,0.0,
kusija vastaja vastasin,0.0,0.0,
operatsioonil sojalisel panustamisel,0.0,0.0,
laari laar kandidatuuri,0.0,0.0,
oiglase virumaale ulemineku,0.0,0.0,
lae korgepalgaliste lagi,0.0,0.0,
kutsehariduse kutseharidus kutsehariduses,0.0,0.0,
lahususe voimude lahusus,0.0,0.0,
liiklussurmade liikluses hukkunute,0.0,0.0,
vee monopolide veeteenuse,0.0,0.0,
lng terminali gaasi,0.0,0.0,
maavalitsuste maavalitsused maakonna,0.0,0.0,
magustatud suhkrut joogi,0.0,0.0,
memorandumi moistmise memorandum,0.0,0.0,
objekti anu raua,0.0,0.0,
muraste kase kompleksi,0.0,0.0,
muugimaksu muugimaks paadimaksu,0.0,0.0,
muundatud geneetiliselt gmo,0.0,0.0,
muuseum muuseumi muuseumide,0.0,0.0,
nord stream streami,0.0,0.0,
noukogudesse ariuhingute noukogudes,0.0,0.0,
lipu laevu kaubalaeva,0.0,0.0,
tooandja tooandjal tootaja,0.0,0.0,
veb fondi uurimiskomisjon,0.0,0.0,
talupidajate kaubanduskoja kaubanduskoda,0.0,0.0,
koolituse koolitus koolitusele,0.0,0.0,
post posti omniva,0.0,0.0,
president ilves presidendi,0.0,0.0,
puude raskusastme puuet,0.0,0.0,
riigikontrolli auditi auditit,0.0,0.0,
riigikontrolor karis riigikontrolori,0.0,0.0,
riigireformi riigireformist riigireform,0.0,0.0,
salastatud valisteabe riigisaladuse,0.0,0.0,
skais arendused infosusteemide,0.0,0.0,
oppelaenu sugava puudega,0.0,0.0,
sularaha kommertspangad pangad,0.0,0.0,
teatri teater rahvusooper,0.0,0.0,
valimiskomisjon proteste valimiskasti,0.0,0.0,
teede teehoiuks teedele,0.0,0.0,
teenuseid teenused teenust,0.0,0.0,
tervist tervis tervisega,0.0,0.0,
tootuid tootute tootu,0.0,0.0,
tootuli lepitaja ametiuhingute,0.0,0.0,
tootuna arvele ariuhingu,0.0,0.0,
toovoimereformi toovoimega toovoimereform,0.0,0.0,
tsernoboli represseeritud oigusvastaselt,0.0,0.0,
uliopilased uliopilastele uliopilaste,0.0,0.0,
