topic_words3,Fraktsioonitud,Reformierakond,difference
ulejaagis struktuurses struktuurse,0.012891344383057,0.0789265982636148,-512.2448979591876
alkoholi kange lahja,0.012891344383057,0.0599842146803472,-365.30612244898225
tulumaksuvaba maksususteemi tulumaksu,0.001841620626151,0.0386740331491712,-2000.0000000000107
haale valimispaeval valimiste,0.001841620626151,0.0284135753749013,-1442.8571428571513
teadus teaduse arendustegevuse,0.003683241252302,0.021310181531176,-478.5714285714325
maksuamet tolliamet tolliameti,0.003683241252302,0.0197316495659037,-435.71428571428925
toonadalal istungid taiendaval,0.001841620626151,0.0181531176006314,-885.7142857142918
treenerite spordi sport,0.001841620626151,0.011049723756906,-500.0000000000001
lapsetoetust lapsetoetus lapsetoetuse,0.001841620626151,0.011049723756906,-500.0000000000001
koolis kooli opilased,0.0257826887661141,0.0434096290449881,-68.3673469387758
magustatud suhkrut joogi,0.009208103130755,0.0189423835832675,-105.71428571428652
ametiuhingute tooandjate keskliit,0.003683241252302,0.0102604577742699,-178.57142857142975
id mobiil kaardi,0.001841620626151,0.0071033938437253,-285.71428571428646
etv saateid pbk,0.001841620626151,0.0063141278610891,-242.85714285714056
ootuse oigusparase oiguskindluse,0.001841620626151,0.0063141278610891,-242.85714285714056
opositsioonis koalitsiooni opositsiooni,0.011049723756906,0.0189423835832675,-71.42857142857207
pealinnast tallinnast viljandisse,0.001841620626151,0.005524861878453,-200.00000000000006
eelarvele kulude riigieelarvele,0.001841620626151,0.005524861878453,-200.00000000000006
hanke hankija riigihangete,0.001841620626151,0.0047355958958168,-157.14285714285404
ajakirjandus ajakirjanduse ajakirjandust,0.001841620626151,0.0047355958958168,-157.14285714285404
valijate erakonda valijaid,0.003683241252302,0.0071033938437253,-92.85714285714324
riigiabi komisjonilt loa,0.005524861878453,0.0094711917916337,-71.42857142857116
krimmi agressiooni ukraina,0.007366482504604,0.011049723756906,-50.000000000000014
borsile ipo enefit,0.001841620626151,0.0039463299131807,-114.2857142857135
efsf esm kreekale,0.001841620626151,0.0039463299131807,-114.2857142857135
vagivalla naistevastase perevagivalla,0.001841620626151,0.0039463299131807,-114.2857142857135
korterelamute kortermajade kredexi,0.001841620626151,0.0039463299131807,-114.2857142857135
kodakondsust kodakondsuse kodanikuks,0.001841620626151,0.0039463299131807,-114.2857142857135
liitlaste ohutorje keskmaa,0.003683241252302,0.0063141278610891,-71.42857142857028
kohtunike kohtususteem kohtuniku,0.007366482504604,0.0102604577742699,-39.28571428571488
tootuna arvele ariuhingu,0.001841620626151,0.0031570639305445,-71.42857142856755
jaatmeid liigiti prugi,0.001841620626151,0.0031570639305445,-71.42857142856755
majandusaasta koondaruanne raamatupidamise,0.001841620626151,0.0031570639305445,-71.42857142856755
teekasutustasu autode autod,0.005524861878453,0.0071033938437253,-28.571428571428825
pensioni pension sammas,0.003683241252302,0.0047355958958168,-28.571428571427017
vaikesaarte saarte pusiasustusega,0.007366482504604,0.0086819258089976,-17.857142857143245
katteallikas katteallikaid katteallikat,0.001841620626151,0.0023677979479084,-28.571428571427017
pensionifondide pensionifondid fondid,0.001841620626151,0.0023677979479084,-28.571428571427017
kaibemaksu kaibemaks kaibemaksumaara,0.001841620626151,0.0023677979479084,-28.571428571427017
jahimehed jahimeeste jahti,0.001841620626151,0.0023677979479084,-28.571428571427017
hoiu pangad pankade,0.001841620626151,0.0023677979479084,-28.571428571427017
karistuse karistus tingimisi,0.0184162062615101,0.0197316495659037,-7.1428571428572605
elamisluba elamisloa viisa,0.003683241252302,0.0039463299131807,-7.142857142856747
kaasne lisakulutusi riigieelarvele,0.003683241252302,0.0039463299131807,-7.142857142856747
jarviku jarvik maaeluministri,0.003683241252302,0.0039463299131807,-7.142857142856747
eelarves riigieelarves reservist,0.0165745856353591,0.0165745856353591,0.0
uuring uuringut uuringu,0.005524861878453,0.005524861878453,0.0
pohiseadusega riigikohus oiguskantsler,0.007366482504604,0.0071033938437253,3.5714285714283736
kaitseliit kaitseliidule kaitseliidu,0.007366482504604,0.0071033938437253,3.5714285714283736
maavalitsuste maavalitsused maakonna,0.009208103130755,0.0086819258089976,5.714285714285398
korrata stenogrammist vabandan,0.001841620626151,0.0015785319652722,14.285714285718933
hambaravi hammaste hambad,0.001841620626151,0.0015785319652722,14.285714285718933
pensionitous pensionitousu pension,0.001841620626151,0.0015785319652722,14.285714285718933
pensioniiga pensioniea eluiga,0.001841620626151,0.0015785319652722,14.285714285718933
poolte kokkuleppel huvitise,0.001841620626151,0.0015785319652722,14.285714285718933
kusimusena tahtsa tahtsusega,0.003683241252302,0.0031570639305445,14.285714285716228
piima toorpiima toodangut,0.003683241252302,0.0031570639305445,14.285714285716228
aasia aasias saatkonna,0.003683241252302,0.0031570639305445,14.285714285716228
virumaale virumaa toostusalade,0.003683241252302,0.0031570639305445,14.285714285716228
uhistranspordi uhistransport uhistransporti,0.003683241252302,0.0031570639305445,14.285714285716228
direktiivi direktiiv ulevotmise,0.003683241252302,0.0031570639305445,14.285714285716228
ts parvlaeva parvlaevad,0.005524861878453,0.0047355958958168,14.285714285715331
tulubaasi omavalitsustele omavalitsuste,0.005524861878453,0.0047355958958168,14.285714285715331
noukogudesse ariuhingute noukogudes,0.007366482504604,0.0063141278610891,14.285714285714862
arengukavad arengukavade pohialuste,0.009208103130755,0.0078926598263614,14.2857142857146
soita jalakaija konniteel,0.005524861878453,0.0039463299131807,28.571428571428843
arengufond arengufondi arengufondis,0.009208103130755,0.0071033938437253,22.857142857142694
huvigruppe huvigruppide kaasatud,0.009208103130755,0.0071033938437253,22.857142857142694
vabatahtlike komandode paasteameti,0.003683241252302,0.0023677979479084,35.71428571428649
terviseandmed isikuandmeid terviseandmeid,0.003683241252302,0.0023677979479084,35.71428571428649
leping ratifitseerida lepinguga,0.003683241252302,0.0023677979479084,35.71428571428649
