topic_words3,Keskerakond,Sotsiaaldemokraadid,difference
koolis kooli opilased,0.028169014084507,0.0940325497287522,-233.81555153707077
metsa metsade mets,0.0031298904538341,0.0614828209764918,-1864.376130198923
palgalohe soolist meeste,0.0140845070422535,0.0542495479204339,-285.17179023508123
alkoholi kange lahja,0.0203442879499217,0.0524412296564195,-157.76881346501654
untso missioonide liikmesusest,0.0031298904538341,0.023508137432188,-651.0849909584105
loomi loomade loomad,0.0172143974960876,0.0433996383363472,-152.11244451750835
vanemahuvitist vanemahuvitise vanemahuvitis,0.001564945226917,0.0198915009041591,-1171.0669077758134
oppelaenu sugava puudega,0.001564945226917,0.0180831826401446,-1055.5153707052825
kinnisasja maad maa,0.001564945226917,0.0162748643761302,-939.9638336347582
taanis saksamaal hollandis,0.0031298904538341,0.0144665461121157,-362.206148282099
reklaami reklaam alkoholireklaam,0.0046948356807511,0.0162748643761302,-246.6546112115787
missiooni missioonile missioon,0.001564945226917,0.0108499095840868,-593.3092224231721
joustumine joustuma joustada,0.0046948356807511,0.0144665461121157,-208.13743218806923
uliopilased uliopilastele uliopilaste,0.001564945226917,0.0090415913200723,-477.7576853526414
vagivalla naistevastase perevagivalla,0.001564945226917,0.0072332730560578,-362.2061482821105
abielu kooselu samasooliste,0.001564945226917,0.0072332730560578,-362.2061482821105
koolilouna koolitoidu koolitoit,0.001564945226917,0.0072332730560578,-362.2061482821105
arengufond arengufondi arengufondis,0.0031298904538341,0.0090415913200723,-188.87884267631145
elektri elektrit taastuvenergia,0.0031298904538341,0.0090415913200723,-188.87884267631145
psuhhiaatri alaealine psuhhiaatrilist,0.0031298904538341,0.0090415913200723,-188.87884267631145
kasvavad tuleval kasv,0.0031298904538341,0.0090415913200723,-188.87884267631145
arengukavad arengukavade pohialuste,0.0062597809076682,0.0126582278481012,-102.21518987341769
tulubaasi omavalitsustele omavalitsuste,0.001564945226917,0.0054249547920434,-246.6546112115861
pensioni pension sammas,0.001564945226917,0.0054249547920434,-246.6546112115861
piirilepingu piirileping piirilepingut,0.001564945226917,0.0054249547920434,-246.6546112115861
treenerite spordi sport,0.001564945226917,0.0054249547920434,-246.6546112115861
oigusriik oigusriigi oigusriigist,0.001564945226917,0.0054249547920434,-246.6546112115861
liiklussurmade liikluses hukkunute,0.001564945226917,0.0054249547920434,-246.6546112115861
lasteaia lasteaias lasteaiakoha,0.0046948356807511,0.0090415913200723,-92.58589511754302
virumaale virumaa toostusalade,0.0046948356807511,0.0090415913200723,-92.58589511754302
uuring uuringut uuringu,0.0062597809076682,0.0108499095840868,-73.3273056057875
huvigruppe huvigruppide kaasatud,0.0109546165884194,0.0162748643761302,-48.56626194781718
pollumeestele pollumehi pollumehed,0.001564945226917,0.0036166365280289,-131.10307414105523
tooandja tervisesse maksuvabalt,0.001564945226917,0.0036166365280289,-131.10307414105523
toovoimereformi toovoimega toovoimereform,0.001564945226917,0.0036166365280289,-131.10307414105523
kusimusena tahtsa tahtsusega,0.001564945226917,0.0036166365280289,-131.10307414105523
hambaravi hammaste hambad,0.001564945226917,0.0036166365280289,-131.10307414105523
hoiu pangad pankade,0.001564945226917,0.0036166365280289,-131.10307414105523
lae korgepalgaliste lagi,0.001564945226917,0.0036166365280289,-131.10307414105523
