topic_words3,Eesti Vabaerakonna fraktsioon,Keskerakond,difference
vagivallale vihakone ohutamine,0.0060313630880579,0.0438184663536776,-626.5101721439747
magustatud suhkrut joogi,0.0036188178528347,0.0266040688575899,-635.1591027647426
rail trassi balticu,0.0132689987937273,0.0375586854460093,-183.0559112249264
soita jalakaija konniteel,0.0024125452352231,0.0219092331768388,-808.1377151799911
haale valimispaeval valimiste,0.008443908323281,0.0266040688575899,-215.06818689917412
palgalohe soolist meeste,0.0012062726176115,0.0140845070422535,-1067.605633802893
teekasutustasu autode autod,0.0024125452352231,0.0140845070422535,-483.80281690142226
kohtla jarve johvi,0.0036188178528347,0.0140845070422535,-289.2018779342761
tapsustatakse ajakohastatakse nouete,0.0024125452352231,0.0093896713615023,-289.2018779342801
tulumaksuvaba maksususteemi tulumaksu,0.0060313630880579,0.0140845070422535,-133.52112676056308
karistuse karistus tingimisi,0.008443908323281,0.0172143974960876,-103.86765034652466
miili baasvorgu lairiba,0.0012062726176115,0.0062597809076682,-418.9358372457283
piima toorpiima toodangut,0.0012062726176115,0.0062597809076682,-418.9358372457283
direktiivi direktiiv ulevotmise,0.0012062726176115,0.0062597809076682,-418.9358372457283
korterid kortereid korterit,0.0012062726176115,0.0062597809076682,-418.9358372457283
valispoliitika valispoliitikas diplomaatia,0.0024125452352231,0.0078247261345852,-224.33489827856462
kandidaadi kandidaati kandidaat,0.0024125452352231,0.0078247261345852,-224.33489827856462
pohiseadusega riigikohus oiguskantsler,0.0036188178528347,0.0093896713615023,-159.46791862284982
maksuamet tolliamet tolliameti,0.0048250904704463,0.0109546165884194,-127.03442879499308
valimiskomisjon proteste valimiskasti,0.0012062726176115,0.0046948356807511,-289.2018779342921
kauguhendus avaksite ettekandjalt,0.0012062726176115,0.0046948356807511,-289.2018779342921
talupidajate kaubanduskoja kaubanduskoda,0.0012062726176115,0.0046948356807511,-289.2018779342921
hooldekodus hoolduse hooldekodu,0.0012062726176115,0.0046948356807511,-289.2018779342921
fie fuusilisest isikust,0.0024125452352231,0.0062597809076682,-159.46791862285338
leping ratifitseerida lepinguga,0.0024125452352231,0.0062597809076682,-159.46791862285338
lapsetoetust lapsetoetus lapsetoetuse,0.0036188178528347,0.0078247261345852,-116.2232655190401
slovakkia ungari portugal,0.0036188178528347,0.0078247261345852,-116.2232655190401
riigireformi riigireformist riigireform,0.008443908323281,0.0140845070422535,-66.80080482897483
krimmi agressiooni ukraina,0.0072376357056694,0.0125195618153364,-72.9786124152332
eelarves riigieelarves reservist,0.008443908323281,0.0125195618153364,-48.26738207019931
vaesuses suhtelises vaesuse,0.0012062726176115,0.0031298904538341,-159.46791862286415
riigipalgaliste riigisektoris koondada,0.0012062726176115,0.0031298904538341,-159.46791862286415
kaibemaksu kaibemaks kaibemaksumaara,0.0012062726176115,0.0031298904538341,-159.46791862286415
korterelamute kortermajade kredexi,0.0012062726176115,0.0031298904538341,-159.46791862286415
valismaale valjarande valjaranne,0.0012062726176115,0.0031298904538341,-159.46791862286415
kaitsekulud kaitsekulutused kaitsekulude,0.0012062726176115,0.0031298904538341,-159.46791862286415
vaikesaarte saarte pusiasustusega,0.0012062726176115,0.0031298904538341,-159.46791862286415
omandireformi tagastatud omandireform,0.0012062726176115,0.0031298904538341,-159.46791862286415
lahususe voimude lahusus,0.0024125452352231,0.0046948356807511,-94.60093896713798
majandusaasta koondaruanne raamatupidamise,0.0024125452352231,0.0046948356807511,-94.60093896713798
huvihariduse huvitegevuse huviharidus,0.0048250904704463,0.0078247261345852,-62.16744913927897
opositsioonis koalitsiooni opositsiooni,0.0096501809408926,0.0125195618153364,-29.73395931142401
valijate erakonda valijaid,0.008443908323281,0.0109546165884194,-29.733959311425
uuring uuringut uuringu,0.0048250904704463,0.0062597809076682,-29.73395931142401
lasteaia lasteaias lasteaiakoha,0.0036188178528347,0.0046948356807511,-29.73395931142353
aasia aasias saatkonna,0.0036188178528347,0.0046948356807511,-29.73395931142353
palgatousu opetajate palgatous,0.0036188178528347,0.0046948356807511,-29.73395931142353
prokuratuur prokuratuuri prokuror,0.0036188178528347,0.0046948356807511,-29.73395931142353
uhistranspordi uhistransport uhistransporti,0.0024125452352231,0.0031298904538341,-29.733959311426688
oigusloome oigusloomes oiguspoliitika,0.0024125452352231,0.0031298904538341,-29.733959311426688
untso missioonide liikmesusest,0.0024125452352231,0.0031298904538341,-29.733959311426688
iive sundimus iibe,0.0024125452352231,0.0031298904538341,-29.733959311426688
psuhhiaatri alaealine psuhhiaatrilist,0.0024125452352231,0.0031298904538341,-29.733959311426688
planeeringu keskkonnamoju keskkonnamojude,0.0024125452352231,0.0031298904538341,-29.733959311426688
pagulasi pagulased pagulaste,0.0024125452352231,0.0031298904538341,-29.733959311426688
kohtunike kohtususteem kohtuniku,0.0096501809408926,0.0109546165884194,-13.517214397496533
rahvuse rahvust rahvusriik,0.0144752714113389,0.0156494522691705,-8.11163275952
treenerite spordi sport,0.0012062726176115,0.001564945226917,-29.73395931142794
lipud lippude lipp,0.0012062726176115,0.001564945226917,-29.73395931142794
aituma infotundi jahimehed,0.0012062726176115,0.001564945226917,-29.73395931142794
estonian air airi,0.0012062726176115,0.001564945226917,-29.73395931142794
