topic_words3,Eesti Vabaerakonna fraktsioon,Reformierakond,difference
ulejaagis struktuurses struktuurse,0.0180940892641737,0.0789265982636148,-336.2009997369111
alkoholi kange lahja,0.0193003618817852,0.0599842146803472,-210.7932123125503
tulumaksuvaba maksususteemi tulumaksu,0.0060313630880579,0.0386740331491712,-541.2154696132586
haale valimispaeval valimiste,0.008443908323281,0.0284135753749013,-236.4979140827622
magustatud suhkrut joogi,0.0036188178528347,0.0189423835832675,-423.4411996842978
maksuamet tolliamet tolliameti,0.0048250904704463,0.0197316495659037,-308.93843725335597
toonadalal istungid taiendaval,0.0048250904704463,0.0181531176006314,-276.2233622730874
untso missioonide liikmesusest,0.0024125452352231,0.0126282557221783,-423.4411996843036
treenerite spordi sport,0.0012062726176115,0.011049723756906,-816.0220994475685
ametiuhingute tooandjate keskliit,0.0012062726176115,0.0102604577742699,-750.5919494870315
karistuse karistus tingimisi,0.008443908323281,0.0197316495659037,-133.6791070019184
vaikesaarte saarte pusiasustusega,0.0012062726176115,0.0086819258089976,-619.7316495659489
lapsetoetust lapsetoetus lapsetoetuse,0.0036188178528347,0.011049723756906,-205.34069981583926
koolis kooli opilased,0.0289505428226779,0.0434096290449881,-49.944093659563194
opositsioonis koalitsiooni opositsiooni,0.0096501809408926,0.0189423835832675,-96.29044988161033
liitlaste ohutorje keskmaa,0.0012062726176115,0.0063141278610891,-423.4411996843213
ootuse oigusparase oiguskindluse,0.0012062726176115,0.0063141278610891,-423.4411996843213
eelarves riigieelarves reservist,0.008443908323281,0.0165745856353591,-96.29044988161138
eelarvele kulude riigieelarvele,0.0012062726176115,0.005524861878453,-358.01104972378425
teekasutustasu autode autod,0.0024125452352231,0.0071033938437253,-194.43567482242105
id mobiil kaardi,0.0024125452352231,0.0071033938437253,-194.43567482242105
palgalohe soolist meeste,0.0012062726176115,0.0039463299131807,-227.1507498027018
kaasne lisakulutusi riigieelarvele,0.0012062726176115,0.0039463299131807,-227.1507498027018
vagivalla naistevastase perevagivalla,0.0012062726176115,0.0039463299131807,-227.1507498027018
efsf esm kreekale,0.0012062726176115,0.0039463299131807,-227.1507498027018
korterelamute kortermajade kredexi,0.0012062726176115,0.0039463299131807,-227.1507498027018
vanemahuvitist vanemahuvitise vanemahuvitis,0.0012062726176115,0.0039463299131807,-227.1507498027018
rahapesu terrorismi andmeburoo,0.0024125452352231,0.005524861878453,-129.0055248618826
pohiseadusega riigikohus oiguskantsler,0.0036188178528347,0.0071033938437253,-96.29044988161134
direktiivi direktiiv ulevotmise,0.0012062726176115,0.0031570639305445,-161.72059984215645
miili baasvorgu lairiba,0.0012062726176115,0.0031570639305445,-161.72059984215645
hooldekodus hoolduse hooldekodu,0.0012062726176115,0.0031570639305445,-161.72059984215645
piima toorpiima toodangut,0.0012062726176115,0.0031570639305445,-161.72059984215645
krimmi agressiooni ukraina,0.0072376357056694,0.011049723756906,-52.670349907919636
ts parvlaeva parvlaevad,0.0024125452352231,0.0047355958958168,-96.29044988161127
valispoliitika valispoliitikas diplomaatia,0.0024125452352231,0.0047355958958168,-96.29044988161127
kaitseliit kaitseliidule kaitseliidu,0.0048250904704463,0.0071033938437253,-47.21783741120749
prokuratuur prokuratuuri prokuror,0.0036188178528347,0.005524861878453,-52.670349907919636
soita jalakaija konniteel,0.0024125452352231,0.0039463299131807,-63.5753749013441
kantsler kantsleri riigisekretar,0.0024125452352231,0.0039463299131807,-63.5753749013441
riigipalgaliste riigisektoris koondada,0.0012062726176115,0.0023677979479084,-96.29044988161941
kaitsekulud kaitsekulutused kaitsekulude,0.0012062726176115,0.0023677979479084,-96.29044988161941
vabatahtlike komandode paasteameti,0.0012062726176115,0.0023677979479084,-96.29044988161941
keskkonnaameti uhendamine uhendamise,0.0012062726176115,0.0023677979479084,-96.29044988161941
tooandja tooandjal tootaja,0.0012062726176115,0.0023677979479084,-96.29044988161941
omandireformi tagastatud omandireform,0.0012062726176115,0.0023677979479084,-96.29044988161941
kaibemaksu kaibemaks kaibemaksumaara,0.0012062726176115,0.0023677979479084,-96.29044988161941
metsa metsade mets,0.0144752714113389,0.0173638516179952,-19.95527492765069
vagivallale vihakone ohutamine,0.0060313630880579,0.0078926598263614,-30.86029992107202
ammendumiseni kaheni pikendada,0.0036188178528347,0.0047355958958168,-30.86029992107237
slovakkia ungari portugal,0.0036188178528347,0.0047355958958168,-30.86029992107237
uhistranspordi uhistransport uhistransporti,0.0024125452352231,0.0031570639305445,-30.860299921072798
majandusaasta koondaruanne raamatupidamise,0.0024125452352231,0.0031570639305445,-30.860299921072798
kusimusena tahtsa tahtsusega,0.0024125452352231,0.0031570639305445,-30.860299921072798
piirilepingu piirileping piirilepingut,0.0024125452352231,0.0031570639305445,-30.860299921072798
psuhhiaatri alaealine psuhhiaatrilist,0.0024125452352231,0.0031570639305445,-30.860299921072798
arengufond arengufondi arengufondis,0.0060313630880579,0.0071033938437253,-17.7742699289655
missiooni missioonile missioon,0.0012062726176115,0.0015785319652722,-30.8602999210741
riigikontrolor karis riigikontrolori,0.0012062726176115,0.0015785319652722,-30.8602999210741
valismaale valjarande valjaranne,0.0012062726176115,0.0015785319652722,-30.8602999210741
hadaolukorda eriolukord eriolukorra,0.0012062726176115,0.0015785319652722,-30.8602999210741
kauguhendus avaksite ettekandjalt,0.0012062726176115,0.0015785319652722,-30.8602999210741
uuring uuringut uuringu,0.0048250904704463,0.005524861878453,-14.502762430938931
