topic_words3,EKRE,Reformierakond,difference
ulejaagis struktuurses struktuurse,0.0057636887608069,0.0282651072124756,-390.39961013645313
samba sammas sambasse,0.0144092219020172,0.0389863547758284,-170.5653021442508
jarviku jarvik maaeluministri,0.0345821325648415,0.0653021442495126,-88.83203378817392
tulumaksuvaba maksususteemi tulumaksu,0.0057636887608069,0.0243664717348927,-322.7582846003896
pensionitous pensionitousu pension,0.0086455331412103,0.0263157894736842,-204.38596491228319
pensionifondide pensionifondid fondid,0.0028818443804034,0.0146198830409356,-407.3099415204756
eelarves riigieelarves reservist,0.0057636887608069,0.0185185185185185,-221.2962962962969
skais arendused infosusteemide,0.0028818443804034,0.0126705653021442,-339.66861598441267
toonadalal istungid taiendaval,0.0028818443804034,0.0116959064327485,-305.84795321638114
volitust kaasuses jarvik,0.0028818443804034,0.0107212475633528,-272.0272904483497
kaitseliit kaitseliidule kaitseliidu,0.0028818443804034,0.0068226120857699,-136.74463937622033
terviseandmed isikuandmeid terviseandmeid,0.0028818443804034,0.0068226120857699,-136.74463937622033
arengukavad arengukavade pohialuste,0.0057636887608069,0.0097465886939571,-69.10331384015619
inimarengu aruanne aruandes,0.0028818443804034,0.0058479532163742,-102.92397660818887
koolis kooli opilased,0.0547550432276657,0.0633528265107212,-15.702267364317152
pensioni pension sammas,0.0057636887608069,0.0087719298245614,-52.192982456140726
riigipalgaliste riigisektoris koondada,0.0028818443804034,0.0048732943469785,-69.10331384015737
jaatmeid liigiti prugi,0.0028818443804034,0.0048732943469785,-69.10331384015737
iive sundimus iibe,0.0028818443804034,0.0048732943469785,-69.10331384015737
leping ratifitseerida lepinguga,0.0028818443804034,0.0048732943469785,-69.10331384015737
direktiivi direktiiv ulevotmise,0.0057636887608069,0.0077972709551656,-35.28265107212355
palgatousu opetajate palgatous,0.0057636887608069,0.0077972709551656,-35.28265107212355
riigireformi riigireformist riigireform,0.0028818443804034,0.0038986354775828,-35.282651072125894
kinnisasja maad maa,0.0028818443804034,0.0038986354775828,-35.282651072125894
korterelamute kortermajade kredexi,0.0028818443804034,0.0038986354775828,-35.282651072125894
borsile ipo enefit,0.0028818443804034,0.0038986354775828,-35.282651072125894
valimisliitude volikogusse volikokku,0.0057636887608069,0.0068226120857699,-18.372319688108117
kandidaadi kandidaati kandidaat,0.0057636887608069,0.0068226120857699,-18.372319688108117
uuring uuringut uuringu,0.0057636887608069,0.0068226120857699,-18.372319688108117
huvigruppe huvigruppide kaasatud,0.0086455331412103,0.0097465886939571,-12.73554256010476
kodakondsust kodakondsuse kodanikuks,0.0345821325648415,0.0360623781676413,-4.280376868096091
valijate erakonda valijaid,0.0086455331412103,0.0087719298245614,-1.4619883040943882
pohiseadusega riigikohus oiguskantsler,0.0086455331412103,0.0087719298245614,-1.4619883040943882
apteeke apteegid apteekide,0.0057636887608069,0.0058479532163742,-1.4619883040926696
vagivalla naistevastase perevagivalla,0.0028818443804034,0.0029239766081871,-1.4619883040944255
etv saateid pbk,0.0028818443804034,0.0029239766081871,-1.4619883040944255
lipu laevu kaubalaeva,0.0028818443804034,0.0029239766081871,-1.4619883040944255
danske filiaali rahapesu,0.0028818443804034,0.0029239766081871,-1.4619883040944255
opositsioonis koalitsiooni opositsiooni,0.0288184438040345,0.0282651072124756,1.9200779727093904
teadus teaduse arendustegevuse,0.0115273775216138,0.0107212475633528,6.993177387914189
louis freeh kremli,0.0028818443804034,0.0019493177387914,32.35867446393706
idapiiri piiririba valjaehitamine,0.0028818443804034,0.0019493177387914,32.35867446393706
noukogudesse ariuhingute noukogudes,0.0028818443804034,0.0019493177387914,32.35867446393706
riigikontrolli auditi auditit,0.0028818443804034,0.0019493177387914,32.35867446393706
hoone rkas hoonet,0.0028818443804034,0.0019493177387914,32.35867446393706
