topic_words3,EKRE,Eesti Vabaerakonna fraktsioon,difference
riigireformi riigireformist riigireform,0.0028818443804034,0.06875,-2285.6250000000487
arengukavad arengukavade pohialuste,0.0057636887608069,0.04375,-659.0625000000022
teadus teaduse arendustegevuse,0.0115273775216138,0.04375,-279.5312500000011
moisteid moiste moisted,0.0057636887608069,0.03125,-442.1875000000016
tulumaksuvaba maksususteemi tulumaksu,0.0057636887608069,0.03125,-442.1875000000016
vallaga vald sauga,0.0057636887608069,0.03125,-442.1875000000016
skais arendused infosusteemide,0.0028818443804034,0.025,-767.5000000000176
riigikontrolli auditi auditit,0.0028818443804034,0.025,-767.5000000000176
toonadalal istungid taiendaval,0.0028818443804034,0.01875,-550.6250000000131
terviseandmed isikuandmeid terviseandmeid,0.0028818443804034,0.01875,-550.6250000000131
metsa metsade mets,0.0028818443804034,0.01875,-550.6250000000131
kohtla jarve johvi,0.0057636887608069,0.01875,-225.31250000000097
virumaale virumaa toostusalade,0.0057636887608069,0.01875,-225.31250000000097
krimmi agressiooni ukraina,0.0201729106628242,0.0375,-85.89285714285721
etv saateid pbk,0.0028818443804034,0.0125,-333.7500000000088
rahapesu terrorismi andmeburoo,0.0028818443804034,0.0125,-333.7500000000088
korruptsiooni korruptsioon korruptsiooniga,0.0028818443804034,0.0125,-333.7500000000088
joustumine joustuma joustada,0.0086455331412103,0.01875,-116.87500000000183
pollumeestele pollumehi pollumehed,0.0086455331412103,0.01875,-116.87500000000183
salvestisi salvestised salvestiste,0.0086455331412103,0.01875,-116.87500000000183
huvigruppe huvigruppide kaasatud,0.0086455331412103,0.01875,-116.87500000000183
kaasne lisakulutusi riigieelarvele,0.0057636887608069,0.0125,-116.87500000000064
jahimehed jahimeeste jahti,0.0057636887608069,0.0125,-116.87500000000064
valimisliitude volikogusse volikokku,0.0057636887608069,0.0125,-116.87500000000064
annetus erjk annetuse,0.0057636887608069,0.0125,-116.87500000000064
kinnisasja maad maa,0.0028818443804034,0.00625,-116.87500000000439
leping ratifitseerida lepinguga,0.0028818443804034,0.00625,-116.87500000000439
vanemahuvitist vanemahuvitise vanemahuvitis,0.0028818443804034,0.00625,-116.87500000000439
lipu laevu kaubalaeva,0.0028818443804034,0.00625,-116.87500000000439
pohiseadusega riigikohus oiguskantsler,0.0086455331412103,0.0125,-44.58333333333457
uliopilased uliopilastele uliopilaste,0.0201729106628242,0.025,-23.92857142857148
direktiivi direktiiv ulevotmise,0.0057636887608069,0.00625,-8.437500000000323
valispoliitika valispoliitikas diplomaatia,0.0057636887608069,0.00625,-8.437500000000323
uuring uuringut uuringu,0.0057636887608069,0.00625,-8.437500000000323
psuhhiaatri alaealine psuhhiaatrilist,0.0057636887608069,0.00625,-8.437500000000323
eelarves riigieelarves reservist,0.0057636887608069,0.00625,-8.437500000000323
missiooni missioonile missioon,0.0201729106628242,0.01875,7.0535714285713995
