topic_words3,Isamaa,Reformierakond,difference
jarviku jarvik maaeluministri,0.006787330316742,0.0653021442495126,-862.118258609497
kodakondsust kodakondsuse kodanikuks,0.0090497737556561,0.0360623781676413,-298.48927875243675
koolis kooli opilased,0.0316742081447963,0.0633528265107212,-100.01392369813458
pensionitous pensionitousu pension,0.006787330316742,0.0263157894736842,-287.7192982456185
tulumaksuvaba maksususteemi tulumaksu,0.0090497737556561,0.0243664717348927,-169.24951267056457
volitust kaasuses jarvik,0.002262443438914,0.0107212475633528,-373.8791423001994
pohiseadusega riigikohus oiguskantsler,0.002262443438914,0.0087719298245614,-287.7192982456185
pensioni pension sammas,0.002262443438914,0.0087719298245614,-287.7192982456185
pensionifondide pensionifondid fondid,0.006787330316742,0.0146198830409356,-115.39961013645377
ulejaagis struktuurses struktuurse,0.0180995475113122,0.0282651072124756,-56.16471734892783
eriarstide eriarstiabi eriarsti,0.002262443438914,0.0068226120857699,-201.55945419103324
riigiloivude riigiloivud riigiloivu,0.002262443438914,0.0058479532163742,-158.47953216374276
lipud lippude lipp,0.002262443438914,0.0058479532163742,-158.47953216374276
normitehnika mojude eeskiri,0.002262443438914,0.0058479532163742,-158.47953216374276
inimarengu aruanne aruandes,0.002262443438914,0.0058479532163742,-158.47953216374276
valijate erakonda valijaid,0.004524886877828,0.0087719298245614,-93.85964912280926
maantee neljarealiseks ppp,0.0090497737556561,0.0146198830409356,-61.54970760233852
oigusriik oigusriigi oigusriigist,0.006787330316742,0.0107212475633528,-57.959714100066485
vagivallale vihakone ohutamine,0.004524886877828,0.0077972709551656,-72.31968810916182
maksuamet tolliamet tolliameti,0.004524886877828,0.0068226120857699,-50.779727095516606
uuring uuringut uuringu,0.004524886877828,0.0068226120857699,-50.779727095516606
missiooni missioonile missioon,0.004524886877828,0.0068226120857699,-50.779727095516606
kandidaadi kandidaati kandidaat,0.004524886877828,0.0068226120857699,-50.779727095516606
kaitseliit kaitseliidule kaitseliidu,0.004524886877828,0.0068226120857699,-50.779727095516606
riigireformi riigireformist riigireform,0.002262443438914,0.0038986354775828,-72.31968810916182
pensioniiga pensioniea eluiga,0.002262443438914,0.0038986354775828,-72.31968810916182
moisteid moiste moisted,0.002262443438914,0.0038986354775828,-72.31968810916182
kohtutaiturite kohtutaitur kohtutaituri,0.002262443438914,0.0038986354775828,-72.31968810916182
rongi rongide rongid,0.002262443438914,0.0038986354775828,-72.31968810916182
samba sammas sambasse,0.0339366515837104,0.0389863547758284,-14.879792072774393
uliopilased uliopilastele uliopilaste,0.0090497737556561,0.0116959064327485,-29.23976608187103
opositsiooni koalitsioonil opositsioonil,0.0090497737556561,0.0116959064327485,-29.23976608187103
krimmi agressiooni ukraina,0.006787330316742,0.0087719298245614,-29.239766081872837
kohtunike kohtususteem kohtuniku,0.006787330316742,0.0087719298245614,-29.239766081872837
karistuse karistus tingimisi,0.004524886877828,0.0058479532163742,-29.23976608187137
teadus teaduse arendustegevuse,0.0090497737556561,0.0107212475633528,-18.46978557504854
korteriuhistu korteriomanike korteriuhistute,0.002262443438914,0.0029239766081871,-29.23976608187137
vagivalla naistevastase perevagivalla,0.002262443438914,0.0029239766081871,-29.23976608187137
hansson ardo panga,0.002262443438914,0.0029239766081871,-29.23976608187137
vabatahtlike komandode paasteameti,0.002262443438914,0.0029239766081871,-29.23976608187137
ametiuhingute tooandjate keskliit,0.002262443438914,0.0029239766081871,-29.23976608187137
arengukavad arengukavade pohialuste,0.0090497737556561,0.0097465886939571,-7.6998050682260555
teenistuse teenistuses avalikus,0.004524886877828,0.0048732943469785,-7.699805068226142
valimisliitude volikogusse volikokku,0.006787330316742,0.0068226120857699,-0.5198180636777364
rahvuse rahvust rahvusriik,0.0113122171945701,0.0107212475633528,5.224171539960955
noukogudesse ariuhingute noukogudes,0.002262443438914,0.0019493177387914,13.840155945419092
president ilves presidendi,0.002262443438914,0.0019493177387914,13.840155945419092
kodualuse maamaksu maamaksust,0.002262443438914,0.0019493177387914,13.840155945419092
valdkonnad laekumisest fikseeritakse,0.002262443438914,0.0019493177387914,13.840155945419092
oigusloome oigusloomes oiguspoliitika,0.002262443438914,0.0019493177387914,13.840155945419092
kaitsekulud kaitsekulutused kaitsekulude,0.002262443438914,0.0019493177387914,13.840155945419092
arengufond arengufondi arengufondis,0.002262443438914,0.0019493177387914,13.840155945419092
louis freeh kremli,0.002262443438914,0.0019493177387914,13.840155945419092
