topic_words3,EKRE,Keskerakond,difference
tulumaksuvaba maksususteemi tulumaksu,0.0057636887608069,0.0687022900763358,-1091.9847328244296
pensionitous pensionitousu pension,0.0086455331412103,0.0572519083969465,-562.2137404580203
arengukavad arengukavade pohialuste,0.0057636887608069,0.0381679389312977,-562.213740458017
valispoliitika valispoliitikas diplomaatia,0.0057636887608069,0.0229007633587786,-297.3282442748099
toonadalal istungid taiendaval,0.0028818443804034,0.015267175572519,-429.77099236642005
riigireformi riigireformist riigireform,0.0028818443804034,0.015267175572519,-429.77099236642005
huvigruppe huvigruppide kaasatud,0.0086455331412103,0.0229007633587786,-164.8854961832081
taanis saksamaal hollandis,0.0028818443804034,0.0114503816793893,-297.3282442748168
borsile ipo enefit,0.0028818443804034,0.0114503816793893,-297.3282442748168
virumaale virumaa toostusalade,0.0057636887608069,0.015267175572519,-164.88549618320542
tapsustatakse ajakohastatakse nouete,0.0086455331412103,0.0190839694656488,-120.73791348600633
koolis kooli opilased,0.0547550432276657,0.0725190839694656,-32.44274809160298
kinnisasja maad maa,0.0028818443804034,0.0076335877862595,-164.88549618321
terviseandmed isikuandmeid terviseandmeid,0.0028818443804034,0.0076335877862595,-164.88549618321
lipu laevu kaubalaeva,0.0028818443804034,0.0076335877862595,-164.88549618321
hoone rkas hoonet,0.0028818443804034,0.0076335877862595,-164.88549618321
pensioni pension sammas,0.0057636887608069,0.0114503816793893,-98.66412213740496
ulejaagis struktuurses struktuurse,0.0057636887608069,0.0114503816793893,-98.66412213740496
apteeke apteegid apteekide,0.0057636887608069,0.0114503816793893,-98.66412213740496
slovakkia ungari portugal,0.0057636887608069,0.0114503816793893,-98.66412213740496
valimisliitude volikogusse volikokku,0.0057636887608069,0.0114503816793893,-98.66412213740496
kasvavad tuleval kasv,0.0086455331412103,0.015267175572519,-76.59033078880461
samba sammas sambasse,0.0144092219020172,0.0190839694656488,-32.442748091603505
rahvahaaletuse rahvahaaletus rahvahaaletusel,0.0086455331412103,0.0114503816793893,-32.442748091604045
pohiseadusega riigikohus oiguskantsler,0.0086455331412103,0.0114503816793893,-32.442748091604045
kandidaadi kandidaati kandidaat,0.0057636887608069,0.0076335877862595,-32.442748091602716
loomi loomade loomad,0.0057636887608069,0.0076335877862595,-32.442748091602716
uliopilased uliopilastele uliopilaste,0.0201729106628242,0.0229007633587786,-13.52235550708825
vanemahuvitist vanemahuvitise vanemahuvitis,0.0028818443804034,0.0038167938931297,-32.44274809160327
kaibemaksu kaibemaks kaibemaksumaara,0.0028818443804034,0.0038167938931297,-32.44274809160327
iive sundimus iibe,0.0028818443804034,0.0038167938931297,-32.44274809160327
fie fuusilisest isikust,0.0028818443804034,0.0038167938931297,-32.44274809160327
metsa metsade mets,0.0028818443804034,0.0038167938931297,-32.44274809160327
riigikontrolli auditi auditit,0.0028818443804034,0.0038167938931297,-32.44274809160327
volitust kaasuses jarvik,0.0028818443804034,0.0038167938931297,-32.44274809160327
eelarvele kulude riigieelarvele,0.0028818443804034,0.0038167938931297,-32.44274809160327
ammendumiseni kaheni pikendada,0.0028818443804034,0.0038167938931297,-32.44274809160327
salvestisi salvestised salvestiste,0.0086455331412103,0.0076335877862595,11.704834605597696
joustumine joustuma joustada,0.0086455331412103,0.0076335877862595,11.704834605597696
untso missioonide liikmesusest,0.0086455331412103,0.0076335877862595,11.704834605597696
opositsioonis koalitsiooni opositsiooni,0.0288184438040345,0.0267175572519083,7.2900763358779415
palgatousu opetajate palgatous,0.0057636887608069,0.0038167938931297,33.77862595419951
kaitsekulud kaitsekulutused kaitsekulude,0.0057636887608069,0.0038167938931297,33.77862595419951
moisteid moiste moisted,0.0057636887608069,0.0038167938931297,33.77862595419951
efsf esm kreekale,0.0057636887608069,0.0038167938931297,33.77862595419951
vallaga vald sauga,0.0057636887608069,0.0038167938931297,33.77862595419951
direktiivi direktiiv ulevotmise,0.0057636887608069,0.0038167938931297,33.77862595419951
elektri elektrit taastuvenergia,0.0057636887608069,0.0038167938931297,33.77862595419951
psuhhiaatri alaealine psuhhiaatrilist,0.0057636887608069,0.0038167938931297,33.77862595419951
pollumeestele pollumehi pollumehed,0.0086455331412103,0.0038167938931297,55.85241730279943
valijate erakonda valijaid,0.0086455331412103,0.0038167938931297,55.85241730279943
valismaale valjarande valjaranne,0.0086455331412103,0.0038167938931297,55.85241730279943
oigusriik oigusriigi oigusriigist,0.0144092219020172,0.0076335877862595,47.02290076335874
teadus teaduse arendustegevuse,0.0115273775216138,0.0038167938931297,66.88931297709976
kohtunike kohtususteem kohtuniku,0.0115273775216138,0.0038167938931297,66.88931297709976
liitlaste ohutorje keskmaa,0.0115273775216138,0.0038167938931297,66.88931297709976
ajakirjandus ajakirjanduse ajakirjandust,0.0115273775216138,0.0038167938931297,66.88931297709976
opositsiooni koalitsioonil opositsioonil,0.0230547550432276,0.0114503816793893,50.333969465648764
missiooni missioonile missioon,0.0201729106628242,0.0076335877862595,62.159214830970754
krimmi agressiooni ukraina,0.0201729106628242,0.0076335877862595,62.159214830970754
karistuse karistus tingimisi,0.0144092219020172,0.0038167938931297,73.51145038167971
riigiloivude riigiloivud riigiloivu,0.0172910662824207,0.0038167938931297,77.92620865139983
piirilepingu piirileping piirilepingut,0.0230547550432276,0.0038167938931297,83.44465648854987
prokuratuur prokuratuuri prokuror,0.0288184438040345,0.0076335877862595,73.51145038167947
kodakondsust kodakondsuse kodanikuks,0.0345821325648415,0.0114503816793893,66.88931297709928
alkoholi kange lahja,0.069164265129683,0.0267175572519083,61.370865139949245
jarviku jarvik maaeluministri,0.0345821325648415,0.0,100.0
abielu kooselu samasooliste,0.0201729106628242,0.0,100.0
rahvuse rahvust rahvusriik,0.0172910662824207,0.0,100.0
kandidaati kandidaat valituks,0.0115273775216138,0.0,100.0
vagivallale vihakone ohutamine,0.0115273775216138,0.0,100.0
laari laar kandidatuuri,0.0115273775216138,0.0,100.0
riigiabi komisjonilt loa,0.0086455331412103,0.0,100.0
volakirjade keskpank volakirju,0.0086455331412103,0.0,100.0
otsevalimise presidenti presidendi,0.0086455331412103,0.0,100.0
valimisea valimisiga valimisoiguse,0.0086455331412103,0.0,100.0
jahimehed jahimeeste jahti,0.0057636887608069,0.0,100.0
teatri teater rahvusooper,0.0057636887608069,0.0,100.0
pagulasi pagulased pagulaste,0.0057636887608069,0.0,100.0
sigade katku katk,0.0057636887608069,0.0,100.0
rongi rongide rongid,0.0057636887608069,0.0,100.0
raamatukogu pimedate raamatukogude,0.0057636887608069,0.0,100.0
oiglase virumaale ulemineku,0.0057636887608069,0.0,100.0
ooteala piiriuletuse piiripunkti,0.0057636887608069,0.0,100.0
vabatahtlike komandode paasteameti,0.0057636887608069,0.0,100.0
annetus erjk annetuse,0.0057636887608069,0.0,100.0
arengufond arengufondi arengufondis,0.0057636887608069,0.0,100.0
eelarves riigieelarves reservist,0.0057636887608069,0.0,100.0
uuring uuringut uuringu,0.0057636887608069,0.0,100.0
kohtla jarve johvi,0.0057636887608069,0.0,100.0
kaasne lisakulutusi riigieelarvele,0.0057636887608069,0.0,100.0
etv saateid pbk,0.0028818443804034,0.0,100.0
idapiiri piiririba valjaehitamine,0.0028818443804034,0.0,100.0
piirivalve valvamise valvamine,0.0028818443804034,0.0,100.0
inflatsiooni inflatsioon hinnatous,0.0028818443804034,0.0,100.0
jaatmeid liigiti prugi,0.0028818443804034,0.0,100.0
danske filiaali rahapesu,0.0028818443804034,0.0,100.0
kontrollin haaled kandidaadi,0.0028818443804034,0.0,100.0
pensionifondide pensionifondid fondid,0.0028818443804034,0.0,100.0
vagivalla naistevastase perevagivalla,0.0028818443804034,0.0,100.0
koneleja konsensuslikud repliigi,0.0028818443804034,0.0,100.0
piima toorpiima toodangut,0.0028818443804034,0.0,100.0
operatsioonil sojalisel panustamisel,0.0028818443804034,0.0,100.0
president ilves presidendi,0.0028818443804034,0.0,100.0
noukogudesse ariuhingute noukogudes,0.0028818443804034,0.0,100.0
kaitseliit kaitseliidule kaitseliidu,0.0028818443804034,0.0,100.0
rahapesu terrorismi andmeburoo,0.0028818443804034,0.0,100.0
korruptsiooni korruptsioon korruptsiooniga,0.0028818443804034,0.0,100.0
louis freeh kremli,0.0028818443804034,0.0,100.0
lisaeelarve lisaeelarves lisaeelarvega,0.0028818443804034,0.0,100.0
