topic_words3,Eesti Keskerakonna fraktsioon,Eesti Reformierakonna fraktsioon,difference
normitehnika mojude eeskiri,0.0024941668678091,0.0035498757543485,-42.327115325156434
korrata stenogrammist vabandan,0.0006436559658862,0.001242456514022,-93.0311501597531
hansson ardo panga,0.000724112961622,0.0013312034078807,-83.83919062832797
lisaeelarve lisaeelarves lisaeelarvega,0.0013677689275082,0.0021299254526091,-55.72260853223183
oigusriik oigusriigi oigusriigist,0.001448225923244,0.0022186723464678,-53.199325523604344
kusija vastaja vastasin,0.0002413709872073,0.000621228257011,-157.37486687969744
magustatud suhkrut joogi,0.0016895969104513,0.002484913028044,-47.07135250266685
ulikooliga kbfi instituudi,0.0005631989701504,0.0010649627263045,-89.09173893199878
majandusaasta koondaruanne raamatupidamise,0.0031378228336953,0.0041711040113596,-32.92987630048705
kulukuse krediidi kiirlaenude,0.0019309678976587,0.0027511537096201,-42.475372736951044
volakirjade keskpank volakirju,0.0038619357953174,0.004969826056088,-28.68743343982874
rail trassi balticu,0.0052297047228256,0.0064785232516861,-23.87933153108816
tapsustatakse ajakohastatakse nouete,0.002896451846488,0.0038161164359247,-31.751419950302644
danske filiaali rahapesu,0.0013677689275082,0.0019524316648917,-42.745724487881006
prokuratuur prokuratuuri prokuror,0.0088502695309357,0.0102058927937522,-15.317310485042093
deklaratsiooni deklaratsioone deklaratsioonis,0.0017700539061871,0.0023961661341853,-35.37249491722644
tootuli lepitaja ametiuhingute,0.0003218279829431,0.000621228257011,-93.0311501597531
riigireformi riigireformist riigireform,0.0025746238635449,0.0032836350727724,-27.53843849840225
ametiuhingute tooandjate keskliit,0.0045860487569394,0.0055023074192403,-19.97926125217181
taanis saksamaal hollandis,0.0057929036929761,0.0067447639332623,-16.43148739794053
tooandja tervisesse maksuvabalt,0.0020918818891302,0.0026624068157614,-27.27328581961303
borsile ipo enefit,0.0041033067825247,0.0048810791622293,-18.95477040656584
id mobiil kaardi,0.0024941668678091,0.003106141285055,-24.536225909514396
psuhhiaatri alaealine psuhhiaatrilist,0.00362056480811,0.004348597799077,-20.108271210508896
lng terminali gaasi,0.0031378228336953,0.0038161164359247,-21.61669533874219
kirik kiriku maarja,0.000724112961622,0.0010649627263045,-47.071352502654115
noukogudesse ariuhingute noukogudes,0.0047469627484109,0.0055023074192403,-15.91216765040469
laari laar kandidatuuri,0.0013677689275082,0.0017749378771742,-29.76884044352287
abipolitseinik abipolitseiniku abipolitseinike,0.0015286829189798,0.0019524316648917,-27.71985875231065
teenuseid teenused teenust,0.0016091399147155,0.0020411785587504,-26.84904153355026
vagivallale vihakone ohutamine,0.0055515327057687,0.0063010294639687,-13.500717692272332
valimiskomisjon proteste valimiskasti,0.0006436559658862,0.0008874689385871,-37.879392971245544
lipud lippude lipp,0.0006436559658862,0.0008874689385871,-37.879392971245544
eripensioni valjateenitud staazi,0.000724112961622,0.0009762158324458,-34.81540646076741
toonadalal istungid taiendaval,0.0109421514200659,0.011803336883209,-7.870348618680641
teekasutustasu autode autod,0.0015286829189798,0.001863684771033,-21.914410627206514
kaasne lisakulutusi riigieelarvele,0.0045055917612036,0.0050585729499467,-12.273219990871517
valijate erakonda valijaid,0.0047469627484109,0.0052360667376641,-10.303514376996821
pealinnast tallinnast viljandisse,0.0020918818891302,0.0023961661341853,-14.545957237653642
operatsioonil sojalisel panustamisel,0.0003218279829431,0.0004437344692935,-37.87939297123002
ajakirjandus ajakirjanduse ajakirjandust,0.0052297047228256,0.0056798012069577,-8.606537232735276
kantsler kantsleri riigisekretar,0.0015286829189798,0.0017749378771742,-16.108962502095828
inimarengu aruanne aruandes,0.005068790731354,0.0055023074192403,-8.552664942442732
oppelaenu sugava puudega,0.000724112961622,0.0008874689385871,-22.559460418880715
miili baasvorgu lairiba,0.0016895969104513,0.001863684771033,-10.303514377000143
huvihariduse huvitegevuse huviharidus,0.0015286829189798,0.0016861909833155,-10.303514376991693
rahvuse rahvust rahvusriik,0.0051492477270898,0.0054135605253816,-5.133037140576291
salastatud valisteabe riigisaladuse,0.0012873119317724,0.0014199503017394,-10.303514376999559
lipu laevu kaubalaeva,0.0026550808592807,0.0028399006034788,-6.960983638297566
kandidaati kandidaat valituks,0.002172338884866,0.0023074192403265,-6.218199029698447
leping ratifitseerida lepinguga,0.0053906187142972,0.005591054313099,-3.718229936578462
erso teatri kontserdi,0.0005631989701504,0.000621228257011,-10.30351437700667
raamatukogu pimedate raamatukogude,0.0004827419744146,0.0005324813631522,-10.303514376995432
konkurss konkursi konkurssi,0.0017700539061871,0.001863684771033,-5.289718268953276
ugri rahvaste polisrahvaste,0.0004022849786788,0.0004437344692935,-10.30351437700459
muundatud geneetiliselt gmo,0.0004022849786788,0.0004437344692935,-10.30351437700459
pensioni pension sammas,0.0045860487569394,0.0047035853745118,-2.5629168768550263
toovoimereformi toovoimega toovoimereform,0.0063561026631265,0.0064785232516861,-1.9260322724142847
vanemahuvitist vanemahuvitise vanemahuvitis,0.0022527958806018,0.0023074192403265,-2.424691921493929
hoiu pangad pankade,0.0012068549360366,0.001242456514022,-2.9499467518704514
