topic_words3,Eesti Reformierakonna fraktsioon,Isamaa fraktsioon,difference
ugri rahvaste polisrahvaste,0.0004437344692935,0.0009004952723998,-102.93561458805311
lae korgepalgaliste lagi,0.000621228257011,0.0011256190904997,-81.1925130250102
tervist tervis tervisega,0.0009762158324458,0.0015758667266996,-61.426057058656944
elamisluba elamisloa viisa,0.0032836350727724,0.0042773525438991,-30.262725580150907
kaitseliit kaitseliidule kaitseliidu,0.004348597799077,0.0054029716343989,-24.2462946457291
rahapesu terrorismi andmeburoo,0.0014199503017394,0.0020261143628995,-42.689104007201195
ulikooliga kbfi instituudi,0.0010649627263045,0.0015758667266996,-47.97388563710345
post posti omniva,0.0003549875754348,0.0006753714542998,-90.2521386762857
puude raskusastme puuet,0.0007099751508697,0.0011256190904997,-58.5434488968871
piirivalve valvamise valvamine,0.0005324813631522,0.0009004952723998,-69.11301215671094
uliopilased uliopilastele uliopilaste,0.0078097266595669,0.0090049527239981,-15.304326470466801
virumaale virumaa toostusalade,0.0034611288604898,0.0042773525438991,-23.582585806810805
tulubaasi omavalitsustele omavalitsuste,0.004348597799077,0.0051778478162989,-19.069365702156002
nord stream streami,0.0009762158324458,0.0013507429085997,-38.36519176456749
riigimetsa majandamise noukokku,0.0009762158324458,0.0013507429085997,-38.36519176456749
est kavatsuste for,8.874689385871494e-05,0.0002251238180999,-153.66951823496734
muundatud geneetiliselt gmo,0.0004437344692935,0.0006753714542998,-52.201710941028544
haalte kandidaatidele haaletamisest,0.0002662406815761,0.0004502476361999,-69.11301215671094
ametipalkade riigiteenijate korgemate,0.0008874689385871,0.0011256190904997,-26.83475911751327
kodualuse maamaksu maamaksust,0.0042598509052183,0.004727600180099,-10.98041422782447
borsile ipo enefit,0.0048810791622293,0.0051778478162989,-6.079980352829575
direktiivi direktiiv ulevotmise,0.0066560170394036,0.0069788383610986,-4.85006753714569
teekasutustasu autode autod,0.001863684771033,0.0020261143628995,-8.715507815008253
haale valimispaeval valimiste,0.005591054313099,0.0058532192705988,-4.689007525567894
veb fondi uurimiskomisjon,0.0007987220447284,0.0009004952723998,-12.742008104459837
ooteala piiriuletuse piiripunkti,0.0007987220447284,0.0009004952723998,-12.742008104459837
kandidaati kandidaat valituks,0.0023074192403265,0.0024763619990995,-7.321719253285537
omandireformi tagastatud omandireform,0.0016861909833155,0.0018009905447996,-6.808218204225816
maavalitsuste maavalitsused maakonna,0.0025736599219027,0.0027014858171994,-4.96669720070082
joustumine joustuma joustada,0.0108271210507632,0.0110310670868977,-1.8836589632488114
kirik kiriku maarja,0.0010649627263045,0.0011256190904997,-5.695632597929694
vaikesaarte saarte pusiasustusega,0.003727369542066,0.0038271049076992,-2.675757380845015
lahususe voimude lahusus,0.0028399006034788,0.0029266096352994,-3.0532417829829575
riigiabi komisjonilt loa,0.0035498757543485,0.0036019810895992,-1.4678072940122662
