topic_words3,Eesti Reformierakonna fraktsioon,Eesti Konservatiivse Rahvaerakonna fraktsioon,difference
koneleja konsensuslikud repliigi,0.0002662406815761,0.0005089058524173,-91.14503816797009
miili baasvorgu lairiba,0.001863684771033,0.0024173027989821,-29.705561613954796
aardla pria pealtnagija,0.0001774937877174,0.0003816793893129,-115.03816793892409
kaitsekulud kaitsekulutused kaitsekulude,0.0017749378771742,0.0022900763358778,-29.022900763362436
elektri elektrit taastuvenergia,0.0163294284700035,0.0176844783715012,-8.298207766345723
rongi rongide rongid,0.0007099751508697,0.0010178117048346,-43.35877862595734
hiv narkomaania epideemia,0.000621228257011,0.0008905852417302,-43.35877862594241
ts parvlaeva parvlaevad,0.0022186723464678,0.0026717557251908,-20.421374045803734
utah jordaania energia,0.0009762158324458,0.0012722646310432,-30.32616238723385
operatsioonil sojalisel panustamisel,0.0004437344692935,0.0006361323155216,-43.35877862597193
palgatousu opetajate palgatous,0.004348597799077,0.0048346055979643,-11.176195669106406
haaletamissedel haaletamiskasti sedeli,0.0002662406815761,0.0003816793893129,-43.3587786259494
kohanimenoukogu vonnu mulgi,0.0002662406815761,0.0003816793893129,-43.3587786259494
kirik kiriku maarja,0.0010649627263045,0.0012722646310432,-19.46564885496538
maavalitsuste maavalitsused maakonna,0.0025736599219027,0.0027989821882951,-8.754935509343449
hoiu pangad pankade,0.001242456514022,0.0013994910941475,-12.6390403489582
energiaagentuur agentuuri agentuur,0.0005324813631522,0.0006361323155216,-19.465648854976617
lipud lippude lipp,0.0008874689385871,0.0010178117048346,-14.68702290076912
valdkonnad laekumisest fikseeritakse,0.0011537096201632,0.0012722646310432,-10.275983558430381
eriarstide eriarstiabi eriarsti,0.0069222577209797,0.0071246819338422,-2.924251321198295
ajakirjandus ajakirjanduse ajakirjandust,0.0056798012069577,0.0058524173027989,-3.0391221374041577
leping ratifitseerida lepinguga,0.005591054313099,0.0057251908396946,-2.399127589967043
kolledz kolledzi turi,0.0003549875754348,0.0003816793893129,-7.519083969462044
keeleoskust oskuse keeleoskuse,0.002484913028044,0.0025445292620865,-2.399127589967481
domeenide domeeni interneti,0.0002662406815761,0.0002544529262086,4.427480916033734
ooteala piiriuletuse piiripunkti,0.0007987220447284,0.0007633587786259,4.427480916033193
ulikooliga kbfi instituudi,0.0010649627263045,0.0010178117048346,4.427480916023951
taanis saksamaal hollandis,0.0067447639332623,0.0066157760814249,1.9124146243471425
hooldekodus hoolduse hooldekodu,0.0015974440894568,0.0015267175572519,4.427480916026935
konkurss konkursi konkurssi,0.001863684771033,0.0017811704834605,4.427480916033033
tulubaasi omavalitsustele omavalitsuste,0.004348597799077,0.0041984732824427,3.4522511294598104
teatri teater rahvusooper,0.0007099751508697,0.0006361323155216,10.400763358780173
hambaravi hammaste hambad,0.0007099751508697,0.0006361323155216,10.400763358780173
objekti anu raua,0.0015086971955981,0.0013994910941475,7.238437359678854
haiguspaevade haiguspaevi haiguspaeva,0.0015086971955981,0.0013994910941475,7.238437359678854
laari laar kandidatuuri,0.0017749378771742,0.0016539440203562,6.81679389312649
kinnitamise paevakorra paevakord,0.0004437344692935,0.0003816793893129,13.984732824430369
valimisliitude volikogusse volikokku,0.0115370962016329,0.0111959287531806,2.9571344685850187
omandireformi tagastatud omandireform,0.0016861909833155,0.0015267175572519,9.45761349939334
karistuse karistus tingimisi,0.0097621583244586,0.0092875318066157,4.861901457321666
teekasutustasu autode autod,0.001863684771033,0.0016539440203562,11.25408942202952
elatisraha elatisabi elatise,0.0010649627263045,0.0008905852417302,16.37404580152799
lasteaia lasteaias lasteaiakoha,0.004969826056088,0.0045801526717557,7.8407851690292585
post posti omniva,0.0003549875754348,0.0002544529262086,28.320610687025304
volitust kaasuses jarvik,0.0023074192403265,0.0020356234096692,11.77921315325605
annetused annetusi annetuste,0.002484913028044,0.0021628498727735,12.960741548528649
puude raskusastme puuet,0.0007099751508697,0.0005089058524173,28.32061068702133
kandideerima ametikohale kandidaatide,0.0010649627263045,0.0007633587786259,28.320610687022658
riigiloivude riigiloivud riigiloivu,0.0033723819666311,0.0027989821882951,17.00281237444783
erso teatri kontserdi,0.000621228257011,0.0003816793893129,38.56052344603158
liiklussurmade liikluses hukkunute,0.0016861909833155,0.0012722646310432,24.548011249497407
normitehnika mojude eeskiri,0.0035498757543485,0.0029262086513994,17.568702290076626
kohtla jarve johvi,0.0027511537096201,0.0021628498727735,21.38389559221821
riigimetsa majandamise noukokku,0.0009762158324458,0.0006361323155216,34.836918806383075
haale valimispaeval valimiste,0.005591054313099,0.00470737913486,15.805161759360509
lng terminali gaasi,0.0038161164359247,0.0030534351145038,19.98579797621116
annetus erjk annetuse,0.003106141285055,0.0024173027989821,22.17666303162713
hanke hankija riigihangete,0.0035498757543485,0.0027989821882951,21.152671755724857
koolilouna koolitoidu koolitoit,0.0019524316648917,0.0013994910941475,28.320610687026075
valimiskomisjon proteste valimiskasti,0.0008874689385871,0.0005089058524173,42.65648854961544
koolituse koolitus koolitusele,0.0010649627263045,0.0006361323155216,40.26717557251731
