topic_words3,Eesti Reformierakonna fraktsioon,Sotsiaaldemokraatliku Erakonna fraktsioon,difference
rongi rongide rongid,0.0007099751508697,0.0010685187658608,-50.500868171497814
miili baasvorgu lairiba,0.001863684771033,0.0024041672231868,-29.000744146995526
kulukuse krediidi kiirlaenude,0.0027511537096201,0.003339121143315,-21.371667880239624
riigipuha puhade tahtpaevade,0.0020411785587504,0.0025377320689194,-24.326804141671367
elektri elektrit taastuvenergia,0.0163294284700035,0.0176305596367036,-7.968014123030845
rahvaalgatuse rahvaalgatus rahvahaaletus,0.001242456514022,0.0016027781487912,-29.000744146995554
tootuid tootute tootu,0.0059460418885339,0.0066782422866301,-12.314080724996987
erimargistatud kutust kutuse,0.0040823571175008,0.0046747696006411,-14.511530130489225
valdkonnad laekumisest fikseeritakse,0.0011537096201632,0.0014692133030586,-27.346888452812745
kolledz kolledzi turi,0.0003549875754348,0.0005342593829304,-50.50086817151903
pagulasi pagulased pagulaste,0.0017749378771742,0.0021370375317216,-20.40069453720166
viirust vaktsineeritud viiruse,0.0126908058217962,0.0134900494189929,-6.297815981267441
estonian air airi,0.0013312034078807,0.0016027781487912,-20.400694537197143
eelarvele kulude riigieelarvele,0.0040823571175008,0.0045412047549085,-11.239772126761045
tantsupeo laulu traditsiooni,0.0009762158324458,0.0012020836115934,-23.137073958502942
erso teatri kontserdi,0.000621228257011,0.0008013890743956,-29.000744146995554
lae korgepalgaliste lagi,0.000621228257011,0.0008013890743956,-29.000744146995554
korteriuhistu korteriomanike korteriuhistute,0.0022186723464678,0.0025377320689194,-14.380659810339006
ene ergma aplaus,0.0001774937877174,0.0002671296914652,-50.50086817151903
valispoliitika valispoliitikas diplomaatia,0.0047923322683706,0.0052090289835715,-8.695071457192137
piirivalve valvamise valvamine,0.0005324813631522,0.000667824228663,-25.417390142932533
pensioni pension sammas,0.0047035853745118,0.0050754641378389,-7.90628283994311
hanke hankija riigihangete,0.0035498757543485,0.0038733805262454,-9.113129424335929
teenuseid teenused teenust,0.0020411785587504,0.0022706023774542,-11.239772126758579
veb fondi uurimiskomisjon,0.0007987220447284,0.0009349539201282,-17.05623080005569
annetus erjk annetuse,0.003106141285055,0.003339121143315,-7.500620122496279
opositsiooni koalitsioonil opositsioonil,0.005591054313099,0.0058768532122345,-5.1117174531092795
koolis kooli opilased,0.0296414625488107,0.0301856551355683,-1.835916786701992
vagivallale vihakone ohutamine,0.0063010294639687,0.0065446774408975,-3.8667963437095083
valismaale valjarande valjaranne,0.0021299254526091,0.0022706023774542,-6.604781621477626
varude varud varu,0.0003549875754348,0.0004006945371978,-12.875651128639278
kantsler kantsleri riigisekretar,0.0017749378771742,0.0018699078402564,-5.350607720051447
valitsemisalade katteallikaks riigieelarves,0.000621228257011,0.000667824228663,-7.50062012249629
matusetoetust matusetoetus matusetoetuse,0.0008874689385871,0.0009349539201282,-5.350607720051447
arengukavad arengukavade pohialuste,0.0135782747603833,0.0137571791104581,-1.3175779193744275
apteeke apteegid apteekide,0.0083422080227192,0.008414585281154,-0.8676031362163029
ulikooliga kbfi instituudi,0.0010649627263045,0.0010685187658608,-0.33391211433658585
raamatukogu pimedate raamatukogude,0.0005324813631522,0.0005342593829304,-0.3339121143460242
haalte kandidaatidele haaletamisest,0.0002662406815761,0.0002671296914652,-0.3339121143460242
domeenide domeeni interneti,0.0002662406815761,0.0002671296914652,-0.3339121143460242
ootuse oigusparase oiguskindluse,0.003106141285055,0.0030719914518498,1.099429487303431
hoiu pangad pankade,0.001242456514022,0.0012020836115934,3.249441889753349
memorandumi moistmise memorandum,0.0009762158324458,0.0009349539201282,4.22672025449771
inflatsiooni inflatsioon hinnatous,0.0032836350727724,0.0032055562975824,2.3778152401106314
teatri teater rahvusooper,0.0007099751508697,0.000667824228663,5.936957392813862
liiklussurmade liikluses hukkunute,0.0016861909833155,0.0016027781487912,4.946820102209777
operatsioonil sojalisel panustamisel,0.0004437344692935,0.0004006945371978,9.69947909708858
kinnitamise paevakorra paevakord,0.0004437344692935,0.0004006945371978,9.69947909708858
muundatud geneetiliselt gmo,0.0004437344692935,0.0004006945371978,9.69947909708858
ametiuhingute tooandjate keskliit,0.0055023074192403,0.0053425938293041,2.9026656958082477
oigusloome oigusloomes oiguspoliitika,0.001863684771033,0.0017363429945238,6.832795893836556
uuring uuringut uuringu,0.004348597799077,0.0041405102177106,4.785165034360443
normitehnika mojude eeskiri,0.0035498757543485,0.003339121143315,5.936957392813856
kandidaati kandidaat valituks,0.0023074192403265,0.0021370375317216,7.384081125231097
kodakondsust kodakondsuse kodanikuks,0.0101171458998935,0.00975023373848,3.62663704807659
tooandja tooandjal tootaja,0.0032836350727724,0.0030719914518498,6.4454062717727
valijate erakonda valijaid,0.0052360667376641,0.0049418992921063,5.618099621263299
joustumine joustuma joustada,0.0108271210507632,0.0102844931214104,5.011747137661773
tervist tervis tervisega,0.0009762158324458,0.0008013890743956,17.90861736099803
utah jordaania energia,0.0009762158324458,0.0008013890743956,17.90861736099803
energiaagentuur agentuuri agentuur,0.0005324813631522,0.0004006945371978,24.749565914240478
kutsehariduse kutseharidus kutsehariduses,0.0030173943911963,0.002671296914652,11.470077546179942
katteallikas katteallikaid katteallikat,0.0058572949946751,0.0053425938293041,8.787352623334113
huvigruppe huvigruppide kaasatud,0.0114483493077742,0.0106851876586082,6.666128265738383
iive sundimus iibe,0.0029286474973375,0.0025377320689194,13.347984992167547
piima toorpiima toodangut,0.0022186723464678,0.0018699078402564,15.71951382396074
teenistuse teenistuses avalikus,0.0038161164359247,0.003339121143315,12.499495249130604
kandideerima ametikohale kandidaatide,0.0010649627263045,0.0008013890743956,24.749565914247558
ugri rahvaste polisrahvaste,0.0004437344692935,0.0002671296914652,39.79965273139239
konkurss konkursi konkurssi,0.001863684771033,0.0014692133030586,21.166211910169398
piirikontrolli schengeni valispiiri,0.000621228257011,0.0004006945371978,35.49962792650223
hiv narkomaania epideemia,0.000621228257011,0.0004006945371978,35.49962792650223
noukogudesse ariuhingute noukogudes,0.0055023074192403,0.0048083344463737,12.612399126227237
ooteala piiriuletuse piiripunkti,0.0007987220447284,0.0005342593829304,33.11072525711103
kaitsekulud kaitsekulutused kaitsekulude,0.0017749378771742,0.001335648457326,24.74956591424896
elamisluba elamisloa viisa,0.0032836350727724,0.002671296914652,18.648179366758864
majandusaasta koondaruanne raamatupidamise,0.0041711040113596,0.0034726859890476,16.74420058598217
deklaratsiooni deklaratsioone deklaratsioonis,0.0023961661341853,0.0018699078402564,21.962512799966127
riigikontrolli auditi auditit,0.0036386226482073,0.0029384266061172,19.243436590905553
taanis saksamaal hollandis,0.0067447639332623,0.0057432883665019,14.848193008231902
liitlaste ohutorje keskmaa,0.003727369542066,0.0029384266061172,21.166211910169398
reklaami reklaam alkoholireklaam,0.0028399006034788,0.0021370375317216,24.749565914251093
lipu laevu kaubalaeva,0.0028399006034788,0.0021370375317216,24.749565914251093
rail trassi balticu,0.0064785232516861,0.0053425938293041,17.53377086493227
otsevalimise presidenti presidendi,0.0031948881789137,0.0024041672231868,24.749565914252276
kandidaadi kandidaati kandidaat,0.0038161164359247,0.0029384266061172,22.999555819234935
kohtla jarve johvi,0.0027511537096201,0.002003472685989,27.17699927185622
piirilepingu piirileping piirilepingut,0.0029286474973375,0.0021370375317216,27.029882098667414
kusija vastaja vastasin,0.000621228257011,0.0002671296914652,56.999751951001485
lahususe voimude lahusus,0.0028399006034788,0.002003472685989,29.4527180446104
uhistranspordi uhistransport uhistransporti,0.0027511537096201,0.0018699078402564,32.031865987065814
kusimusena tahtsa tahtsusega,0.0027511537096201,0.0018699078402564,32.031865987065814
koosoleku elektrooniline koosolekut,0.0014199503017394,0.0008013890743956,43.56217443568832
voidusamba vabadussoja uurimiskomisjon,0.0010649627263045,0.0005342593829304,49.83304394283171
kirik kiriku maarja,0.0010649627263045,0.0005342593829304,49.83304394283171
kohtutaiturite kohtutaitur kohtutaituri,0.002484913028044,0.0016027781487912,35.49962792650223
ajakirjandus ajakirjanduse ajakirjandust,0.0056798012069577,0.0042740750634433,24.749565914250656
soita jalakaija konniteel,0.0084309549165779,0.0066782422866301,20.789016751844056
oigusriik oigusriigi oigusriigist,0.0022186723464678,0.001335648457326,39.79965273140053
pealinnast tallinnast viljandisse,0.0023961661341853,0.0014692133030586,38.684831485687674
riigiabi komisjonilt loa,0.0035498757543485,0.0024041672231868,32.27460932282598
kaibemaksu kaibemaks kaibemaksumaara,0.004348597799077,0.0030719914518498,29.356735348073876
suuria euroopasse turgis,0.0009762158324458,0.0004006945371978,58.95430868049901
tootuna arvele ariuhingu,0.0009762158324458,0.0004006945371978,58.95430868049901
hadaolukorda eriolukord eriolukorra,0.0061235356762513,0.0045412047549085,25.840151915493852
teede teehoiuks teedele,0.0048810791622293,0.0034726859890476,28.85413504620267
sularaha kommertspangad pangad,0.002484913028044,0.0014692133030586,40.87465893262704
salastatud valisteabe riigisaladuse,0.0014199503017394,0.000667824228663,52.968478696406926
treenerite spordi sport,0.0057685481008164,0.0041405102177106,28.222662872055977
kaitseliit kaitseliidule kaitseliidu,0.004348597799077,0.0029384266061172,32.42818163728805
untso missioonide liikmesusest,0.0082534611288604,0.0062775477494323,23.94042146171621
opositsioonis koalitsiooni opositsiooni,0.0142882499112531,0.0116201415787364,18.67344390732807
kaasne lisakulutusi riigieelarvele,0.0050585729499467,0.0034726859890476,31.350481184932004
ametipalkade riigiteenijate korgemate,0.0008874689385871,0.0002671296914652,69.89982636569958
valimiskomisjon proteste valimiskasti,0.0008874689385871,0.0002671296914652,69.89982636569958
lipud lippude lipp,0.0008874689385871,0.0002671296914652,69.89982636569958
riigipalgaliste riigisektoris koondada,0.001863684771033,0.0009349539201282,49.83304394283507
teekasutustasu autode autod,0.001863684771033,0.0009349539201282,49.83304394283507
ammendumiseni kaheni pikendada,0.0015086971955981,0.000667824228663,55.735038773088505
riigikontrolor karis riigikontrolori,0.0013312034078807,0.0005342593829304,59.86643515426762
toonadalal istungid taiendaval,0.011803336883209,0.0092159743555496,21.920602226816793
tapsustatakse ajakohastatakse nouete,0.0038161164359247,0.0022706023774542,40.499656769408816
korrata stenogrammist vabandan,0.001242456514022,0.0004006945371978,67.74981396325111
idapiiri piiririba valjaehitamine,0.0010649627263045,0.0002671296914652,74.91652197141585
magustatud suhkrut joogi,0.002484913028044,0.0012020836115934,51.62472094487668
laari laar kandidatuuri,0.0017749378771742,0.000667824228663,62.37478295712449
muraste kase kompleksi,0.0009762158324458,0.0001335648457326,86.31810289349967
rahvuse rahvust rahvusriik,0.0054135605253816,0.003339121143315,38.31931632315819
teadus teaduse arendustegevuse,0.0085197018104366,0.0058768532122345,31.02043542139728
leping ratifitseerida lepinguga,0.005591054313099,0.0034726859890476,37.888530595891034
slovakkia ungari portugal,0.0057685481008164,0.0036062508347802,37.48425475953262
rahapesu terrorismi andmeburoo,0.0014199503017394,0.0004006945371978,71.78108721784416
jaatmeid liigiti prugi,0.0042598509052183,0.0024041672231868,43.56217443568965
keskkonnaameti uhendamine uhendamise,0.0031948881789137,0.0016027781487912,49.83304394283484
tarbijakaitse amet ametile,0.0026624068157614,0.0012020836115934,54.84973954855108
annetused annetusi annetuste,0.002484913028044,0.0010685187658608,56.999751951001485
keeleoskust oskuse keeleoskuse,0.002484913028044,0.0010685187658608,56.999751951001485
omandireformi tagastatud omandireform,0.0016861909833155,0.0005342593829304,68.31560670073658
eelarves riigieelarves reservist,0.0134895278665246,0.0098837985842126,26.729840495455154
danske filiaali rahapesu,0.0019524316648917,0.000667824228663,65.79525723375093
etv saateid pbk,0.0051473198438054,0.0029384266061172,42.9134637970189
aasia aasias saatkonna,0.0057685481008164,0.003339121143315,42.11505070327094
hansson ardo panga,0.0013312034078807,0.0001335648457326,89.96660878856692
toovoimereformi toovoimega toovoimereform,0.0064785232516861,0.0038733805262454,40.211983877077
volitust kaasuses jarvik,0.0023074192403265,0.0008013890743956,65.26903042196166
kasvavad tuleval kasv,0.0029286474973375,0.0012020836115934,58.954308680500425
skais arendused infosusteemide,0.0021299254526091,0.000667824228663,68.6456524642713
louis freeh kremli,0.0022186723464678,0.000667824228663,69.89982636570026
lng terminali gaasi,0.0038161164359247,0.0017363429945238,54.49973752954792
inimarengu aruanne aruandes,0.0055023074192403,0.0029384266061172,46.59646613269553
abipolitseinik abipolitseiniku abipolitseinike,0.0019524316648917,0.0004006945371978,79.47715434025055
relva relvade relvaluba,0.0028399006034788,0.0009349539201282,67.07793508748485
borsile ipo enefit,0.0048810791622293,0.0021370375317216,56.21792925920165
id mobiil kaardi,0.003106141285055,0.0009349539201282,69.89982636570105
arengufond arengufondi arengufondis,0.009939652112176,0.0058768532122345,40.874658932626026
pohiseadusega riigikohus oiguskantsler,0.0125133120340788,0.0078803258982235,37.02445941760109
jarviku jarvik maaeluministri,0.0120695775647852,0.0074796313610257,38.029054282325134
jalitustegevuse jalitustoimingu sideandmete,0.0032836350727724,0.000667824228663,79.66204484168972
vee monopolide veeteenuse,0.0038161164359247,0.0009349539201282,75.49985866975658
moisteid moiste moisted,0.009318423855165,0.0046747696006411,49.833043942833996
karistuse karistus tingimisi,0.0097621583244586,0.0049418992921063,49.37698070595088
volakirjade keskpank volakirju,0.004969826056088,0.0016027781487912,67.74981396325111
maantee neljarealiseks ppp,0.0044373446929357,0.0012020836115934,72.90984372913087
haale valimispaeval valimiste,0.005591054313099,0.0018699078402564,66.55536262855671
salvestisi salvestised salvestiste,0.0110046148384806,0.0054761586750367,50.23761616910175
terviseandmed isikuandmeid terviseandmeid,0.0109158679446219,0.0053425938293041,51.056628236911536
muugimaksu muugimaks paadimaksu,0.0040823571175008,0.000667824228663,83.64120998135903
pensionifondide pensionifondid fondid,0.0060347887823926,0.0018699078402564,69.01452714116299
direktiivi direktiiv ulevotmise,0.0066560170394036,0.002003472685989,69.89982636570117
prokuratuur prokuratuuri prokuror,0.0102058927937522,0.0041405102177106,59.4302007537712
efsf esm kreekale,0.0112708555200567,0.0046747696006411,58.52338278738238
krimmi agressiooni ukraina,0.0158856940007099,0.0077467610524909,51.23435556454309
kohtunike kohtususteem kohtuniku,0.0112708555200567,0.003339121143315,70.3738448481309
tulumaksuvaba maksususteemi tulumaksu,0.0220092296769613,0.0093495392012822,57.51991624191619
maksuamet tolliamet tolliameti,0.0165069222577209,0.0049418992921063,70.06165525620749
alkoholi kange lahja,0.0253816116435924,0.0094831040470148,62.6378963630199
ulejaagis struktuurses struktuurse,0.0297302094426695,0.009082409509817,69.45057004280059
haaletamissedel haaletamiskasti sedeli,0.0002662406815761,0.0,100.0
liibanonis missioonil pikendamine,8.874689385871494e-05,0.0,100.0
kontrollin haaled kandidaadi,0.0,0.0,
koondaruande majandusaasta koondaruanne,0.0,0.0,
