topic_words3,Fraktsioonitud,Keskerakond,difference
toovoimereformi toovoimega toovoimereform,0.0056818181818181,0.0372272143774069,-555.1989730423709
eriarstide eriarstiabi eriarsti,0.002840909090909,0.0231065468549422,-713.3504492939915
eelarves riigieelarves reservist,0.002840909090909,0.0224646983311938,-690.7573812580472
koolilouna koolitoidu koolitoit,0.0056818181818181,0.0218228498074454,-284.08215661104464
tulubaasi omavalitsustele omavalitsuste,0.0056818181818181,0.0186136071887034,-227.5994865211846
valimisea valimisiga valimisoiguse,0.0056818181818181,0.0173299101412066,-205.00641848524052
koolis kooli opilased,0.0142045454545454,0.0295250320924261,-107.85622593068054
lasteaia lasteaias lasteaiakoha,0.002840909090909,0.0121951219512195,-329.26829268294017
reklaami reklaam alkoholireklaam,0.002840909090909,0.0096277278562259,-238.89602053916255
palgatousu opetajate palgatous,0.002840909090909,0.0089858793324775,-216.30295250321817
prokuratuur prokuratuuri prokuror,0.0085227272727272,0.0166880616174582,-95.80658964484456
korterid kortereid korterit,0.002840909090909,0.0083440308087291,-193.70988446727372
teede teehoiuks teedele,0.0284090909090909,0.0397946084724005,-40.07702182284981
kohtla jarve johvi,0.0056818181818181,0.0115532734274711,-103.3376123234943
leping ratifitseerida lepinguga,0.002840909090909,0.0070603337612323,-148.52374839538493
kodualuse maamaksu maamaksust,0.002840909090909,0.0070603337612323,-148.52374839538493
efsf esm kreekale,0.002840909090909,0.0064184852374839,-125.93068035944053
kulukuse krediidi kiirlaenude,0.002840909090909,0.0064184852374839,-125.93068035944053
treenerite spordi sport,0.002840909090909,0.0064184852374839,-125.93068035944053
uliopilased uliopilastele uliopilaste,0.002840909090909,0.0057766367137355,-103.33761232349612
lapsetoetust lapsetoetus lapsetoetuse,0.0113636363636363,0.0160462130937098,-41.206675224647036
missiooni missioonile missioon,0.0113636363636363,0.0160462130937098,-41.206675224647036
pohiseadusega riigikohus oiguskantsler,0.0085227272727272,0.0121951219512195,-43.08943089431004
kinnisasja maad maa,0.002840909090909,0.0051347881899871,-80.74454428755172
