topic_words3,Keskerakond,Sotsiaaldemokraadid,difference
abielu kooselu samasooliste,0.0064184852374839,0.0485875706214689,-656.9943502824917
lapsetoetust lapsetoetus lapsetoetuse,0.0160462130937098,0.0451977401129943,-181.67231638418195
apteeke apteegid apteekide,0.0083440308087291,0.0248587570621468,-197.9226423294223
kodakondsust kodakondsuse kodanikuks,0.017971758664955,0.0384180790960452,-113.76916868442375
psuhhiaatri alaealine psuhhiaatrilist,0.0051347881899871,0.0192090395480226,-274.09604519774473
ulejaagis struktuurses struktuurse,0.0064184852374839,0.0203389830508474,-216.88135593220514
huvigruppe huvigruppide kaasatud,0.0070603337612323,0.0203389830508474,-188.07395993836792
katteallikas katteallikaid katteallikat,0.0038510911424903,0.0146892655367231,-281.43126177025033
moisteid moiste moisted,0.0032092426187419,0.0135593220338983,-322.5084745762812
valimisliitude volikogusse volikokku,0.0192554557124518,0.0361581920903954,-87.7815442561207
kinnisasja maad maa,0.0051347881899871,0.015819209039548,-208.07909604520108
ootuse oigusparase oiguskindluse,0.0032092426187419,0.0124293785310734,-287.2994350282564
valimisea valimisiga valimisoiguse,0.0173299101412066,0.031638418079096,-82.56539024900663
teadus teaduse arendustegevuse,0.0012836970474967,0.0090395480225988,-604.1807909604962
maavalitsuste maavalitsused maakonna,0.0025673940949935,0.0101694915254237,-296.10169491526574
ts parvlaeva parvlaevad,0.0025673940949935,0.0101694915254237,-296.10169491526574
fie fuusilisest isikust,0.0025673940949935,0.0101694915254237,-296.10169491526574
liitlaste ohutorje keskmaa,0.0006418485237483,0.007909604519774,-1132.3163841809724
arengukavad arengukavade pohialuste,0.0057766367137355,0.0146892655367231,-154.28750784683135
lahususe voimude lahusus,0.0006418485237483,0.0056497175141242,-780.225988700681
missiooni missioonile missioon,0.0160462130937098,0.0259887005649717,-61.96158192090449
kaibemaksu kaibemaks kaibemaksumaara,0.0019255455712451,0.0067796610169491,-252.09039548023907
uliopilased uliopilastele uliopilaste,0.0057766367137355,0.0124293785310734,-115.16635279347281
tapsustatakse ajakohastatakse nouete,0.0006418485237483,0.0045197740112994,-604.1807909605511
rail trassi balticu,0.0064184852374839,0.0124293785310734,-93.64971751412519
uuring uuringut uuringu,0.0032092426187419,0.007909604519774,-146.46327683616377
tooandja tooandjal tootaja,0.0006418485237483,0.0033898305084745,-428.13559322040555
palgalohe soolist meeste,0.0006418485237483,0.0033898305084745,-428.13559322040555
rahvaalgatuse rahvaalgatus rahvahaaletus,0.0006418485237483,0.0033898305084745,-428.13559322040555
kandidaati kandidaat valituks,0.0006418485237483,0.0033898305084745,-428.13559322040555
noukogudesse ariuhingute noukogudes,0.0044929396662387,0.0090395480225988,-101.19451170298773
kandidaadi kandidaati kandidaat,0.0044929396662387,0.0090395480225988,-101.19451170298773
taanis saksamaal hollandis,0.0032092426187419,0.0067796610169491,-111.25423728813904
eelarvele kulude riigieelarvele,0.0051347881899871,0.0090395480225988,-76.04519774011376
kaitseliit kaitseliidule kaitseliidu,0.0019255455712451,0.0045197740112994,-134.72693032015934
riigiabi komisjonilt loa,0.0012836970474967,0.0033898305084745,-164.0677966101822
rahvuse rahvust rahvusriik,0.0012836970474967,0.0033898305084745,-164.0677966101822
metsa metsade mets,0.0012836970474967,0.0033898305084745,-164.0677966101822
joustumine joustuma joustada,0.0141206675224646,0.0192090395480226,-36.034925526451914
vagivalla naistevastase perevagivalla,0.0006418485237483,0.0022598870056497,-252.09039548027556
magustatud suhkrut joogi,0.0006418485237483,0.0022598870056497,-252.09039548027556
soita jalakaija konniteel,0.0057766367137355,0.0090395480225988,-56.48462021343412
opositsiooni koalitsioonil opositsioonil,0.0025673940949935,0.0045197740112994,-76.04519774011722
hambaravi hammaste hambad,0.0044929396662387,0.0067796610169491,-50.89588377724081
