topic_words3,Fraktsioonitud,Isamaa ja Res Publica Liidu fraktsioon,Keskerakond,Reformierakond,Sotsiaaldemokraadid
aardla pria pealtnagija,0.0,0.0006406149903907751,0.0012836970474967907,0.0,0.0
aasia aasias saatkonna,0.0,0.004484304932735426,0.0025673940949935813,0.00390625,0.003389830508474576
abielu kooselu samasooliste,0.022727272727272728,0.05637411915438821,0.006418485237483954,0.0361328125,0.04858757062146893
abipolitseinik abipolitseiniku abipolitseinike,0.011363636363636364,0.0006406149903907751,0.0,0.0009765625,0.0
aituma infotundi jahimehed,0.0,0.005765534913516977,0.0006418485237483953,0.001953125,0.0011299435028248588
ajakirjandus ajakirjanduse ajakirjandust,0.008522727272727272,0.0012812299807815502,0.004492939666238768,0.0029296875,0.0011299435028248588
alkoholi kange lahja,0.014204545454545454,0.021780909673286355,0.012836970474967908,0.0068359375,0.011299435028248588
ametiuhingute tooandjate keskliit,0.0,0.0019218449711723255,0.005134788189987163,0.0048828125,0.0
ammendumiseni kaheni pikendada,0.0,0.0006406149903907751,0.0,0.0,0.0
annetus erjk annetuse,0.0,0.0006406149903907751,0.0006418485237483953,0.0009765625,0.0
annetused annetusi annetuste,0.002840909090909091,0.0006406149903907751,0.0019255455712451862,0.00390625,0.0011299435028248588
apteeke apteegid apteekide,0.0,0.015374759769378604,0.00834403080872914,0.01171875,0.024858757062146894
arengufond arengufondi arengufondis,0.014204545454545454,0.004484304932735426,0.007702182284980745,0.0068359375,0.006779661016949152
arengukavad arengukavade pohialuste,0.011363636363636364,0.005124919923126201,0.005776636713735558,0.009765625,0.014689265536723164
borsile ipo enefit,0.002840909090909091,0.0006406149903907751,0.0038510911424903724,0.001953125,0.0022598870056497176
danske filiaali rahapesu,0.0,0.0,0.0,0.0009765625,0.0
deklaratsiooni deklaratsioone deklaratsioonis,0.0,0.0,0.0,0.0009765625,0.0022598870056497176
direktiivi direktiiv ulevotmise,0.002840909090909091,0.0019218449711723255,0.0006418485237483953,0.0068359375,0.0
domeenide domeeni interneti,0.0,0.0,0.0,0.0,0.0011299435028248588
eelarvele kulude riigieelarvele,0.005681818181818182,0.0064061499039077515,0.005134788189987163,0.005859375,0.00903954802259887
eelarves riigieelarves reservist,0.002840909090909091,0.016655989750160152,0.022464698331193838,0.0107421875,0.012429378531073447
efsf esm kreekale,0.002840909090909091,0.0012812299807815502,0.006418485237483954,0.0078125,0.0011299435028248588
elamisluba elamisloa viisa,0.005681818181818182,0.0012812299807815502,0.0012836970474967907,0.001953125,0.0011299435028248588
elatisraha elatisabi elatise,0.005681818181818182,0.010249839846252402,0.0019255455712451862,0.00390625,0.0022598870056497176
elektri elektrit taastuvenergia,0.036931818181818184,0.007046764894298526,0.016046213093709884,0.0068359375,0.007909604519774011
ene ergma aplaus,0.005681818181818182,0.0006406149903907751,0.0,0.0009765625,0.0
eriarstide eriarstiabi eriarsti,0.002840909090909091,0.0025624599615631004,0.023106546854942234,0.001953125,0.0022598870056497176
erimargistatud kutust kutuse,0.011363636363636364,0.012171684817424727,0.010269576379974325,0.001953125,0.005649717514124294
eripensioni valjateenitud staazi,0.0,0.0006406149903907751,0.0012836970474967907,0.0,0.0
erso teatri kontserdi,0.002840909090909091,0.0,0.0,0.0,0.0
estonian air airi,0.0,0.0,0.0038510911424903724,0.0,0.003389830508474576
etv saateid pbk,0.002840909090909091,0.0025624599615631004,0.0038510911424903724,0.001953125,0.0022598870056497176
fie fuusilisest isikust,0.002840909090909091,0.003843689942344651,0.0025673940949935813,0.0,0.010169491525423728
haale valimispaeval valimiste,0.002840909090909091,0.0006406149903907751,0.0006418485237483953,0.0029296875,0.0
haalte kandidaatidele haaletamisest,0.005681818181818182,0.0,0.0006418485237483953,0.0009765625,0.0011299435028248588
hadaolukorda eriolukord eriolukorra,0.005681818181818182,0.0006406149903907751,0.0,0.0029296875,0.0011299435028248588
haiguspaevade haiguspaevi haiguspaeva,0.0,0.0006406149903907751,0.0,0.0,0.0
hambaravi hammaste hambad,0.0,0.0,0.004492939666238768,0.0009765625,0.006779661016949152
hanke hankija riigihangete,0.002840909090909091,0.0012812299807815502,0.0038510911424903724,0.0048828125,0.0
hansson ardo panga,0.0,0.0006406149903907751,0.0006418485237483953,0.0,0.0
hoiu pangad pankade,0.0,0.0019218449711723255,0.0012836970474967907,0.0009765625,0.0011299435028248588
hooldekodus hoolduse hooldekodu,0.0,0.0,0.005776636713735558,0.001953125,0.0
hoone rkas hoonet,0.005681818181818182,0.003843689942344651,0.005134788189987163,0.00390625,0.0
humni humn laulda,0.0,0.0,0.0006418485237483953,0.0009765625,0.0
huvigruppe huvigruppide kaasatud,0.011363636363636364,0.014734144778987828,0.007060333761232349,0.013671875,0.020338983050847456
huvihariduse huvitegevuse huviharidus,0.002840909090909091,0.0006406149903907751,0.0006418485237483953,0.0,0.0
id mobiil kaardi,0.0,0.0019218449711723255,0.0025673940949935813,0.0087890625,0.0
idapiiri piiririba valjaehitamine,0.0,0.0012812299807815502,0.003209242618741977,0.0009765625,0.0011299435028248588
iive sundimus iibe,0.005681818181818182,0.0012812299807815502,0.0025673940949935813,0.0029296875,0.0011299435028248588
inflatsiooni inflatsioon hinnatous,0.0,0.0,0.003209242618741977,0.0009765625,0.0
inimarengu aruanne aruandes,0.0,0.0006406149903907751,0.007060333761232349,0.00390625,0.0
jaatmeid liigiti prugi,0.02556818181818182,0.009609224855861628,0.007060333761232349,0.0078125,0.0022598870056497176
jahimehed jahimeeste jahti,0.0,0.0,0.0,0.0,0.0022598870056497176
jalitustegevuse jalitustoimingu sideandmete,0.002840909090909091,0.0006406149903907751,0.0006418485237483953,0.0048828125,0.0011299435028248588
jarviku jarvik maaeluministri,0.002840909090909091,0.0006406149903907751,0.0025673940949935813,0.001953125,0.0011299435028248588
joustumine joustuma joustada,0.011363636363636364,0.019218449711723255,0.014120667522464698,0.0234375,0.0192090395480226
kaasne lisakulutusi riigieelarvele,0.0,0.003843689942344651,0.0038510911424903724,0.0078125,0.003389830508474576
kaibemaksu kaibemaks kaibemaksumaara,0.014204545454545454,0.0019218449711723255,0.0019255455712451862,0.00390625,0.006779661016949152
kaitsekulud kaitsekulutused kaitsekulude,0.0,0.0012812299807815502,0.0019255455712451862,0.0,0.003389830508474576
kaitseliit kaitseliidule kaitseliidu,0.008522727272727272,0.0019218449711723255,0.0019255455712451862,0.0029296875,0.004519774011299435
kala kalurid kalurite,0.0,0.004484304932735426,0.0012836970474967907,0.0029296875,0.0011299435028248588
kandidaadi kandidaati kandidaat,0.002840909090909091,0.003843689942344651,0.004492939666238768,0.01953125,0.00903954802259887
kandidaati kandidaat valituks,0.002840909090909091,0.0019218449711723255,0.0006418485237483953,0.001953125,0.003389830508474576
kandideerima ametikohale kandidaatide,0.0,0.0006406149903907751,0.0019255455712451862,0.0009765625,0.0
kantsler kantsleri riigisekretar,0.0,0.0064061499039077515,0.003209242618741977,0.0,0.0
karistuse karistus tingimisi,0.008522727272727272,0.0,0.010269576379974325,0.0166015625,0.004519774011299435
kasvavad tuleval kasv,0.0,0.0019218449711723255,0.0006418485237483953,0.005859375,0.0011299435028248588
katteallikas katteallikaid katteallikat,0.002840909090909091,0.012812299807815503,0.0038510911424903724,0.0029296875,0.014689265536723164
kauguhendus avaksite ettekandjalt,0.0,0.0006406149903907751,0.0025673940949935813,0.001953125,0.0011299435028248588
keeleoskust oskuse keeleoskuse,0.0,0.0012812299807815502,0.003209242618741977,0.0009765625,0.0
keskkonnaameti uhendamine uhendamise,0.0,0.0,0.0019255455712451862,0.0,0.003389830508474576
kinnisasja maad maa,0.002840909090909091,0.0025624599615631004,0.005134788189987163,0.0009765625,0.015819209039548022
kinnitamise paevakorra paevakord,0.0,0.0019218449711723255,0.0019255455712451862,0.0009765625,0.0
kirik kiriku maarja,0.0,0.0012812299807815502,0.0006418485237483953,0.001953125,0.0
kodakondsust kodakondsuse kodanikuks,0.028409090909090908,0.014093529788597053,0.01797175866495507,0.0078125,0.0384180790960452
kodualuse maamaksu maamaksust,0.002840909090909091,0.0064061499039077515,0.007060333761232349,0.001953125,0.006779661016949152
kohanimenoukogu vonnu mulgi,0.002840909090909091,0.0012812299807815502,0.0006418485237483953,0.0,0.0
kohtla jarve johvi,0.005681818181818182,0.0032030749519538757,0.011553273427471117,0.00390625,0.00903954802259887
kohtunike kohtususteem kohtuniku,0.002840909090909091,0.008327994875080076,0.004492939666238768,0.021484375,0.0
