topic_words3,Isamaa ja Res Publica Liidu fraktsioon,Sotsiaaldemokraadid,difference
valimisliitude volikogusse volikokku,0.0051249199231262,0.0361581920903954,-605.5367231638404
kodakondsust kodakondsuse kodanikuks,0.014093529788597,0.0384180790960452,-172.59373394966718
kinnisasja maad maa,0.0025624599615631,0.015819209039548,-517.344632768361
valimisea valimisiga valimisoiguse,0.0147341447789878,0.031638418079096,-114.7285679194302
rail trassi balticu,0.0025624599615631,0.0124293785310734,-385.05649717513955
koolis kooli opilased,0.0064061499039077,0.0180790960451977,-182.21468926553834
uliopilased uliopilastele uliopilaste,0.0032030749519538,0.0124293785310734,-288.0451977401208
arengukavad arengukavade pohialuste,0.0051249199231262,0.0146892655367231,-186.6242937853096
moisteid moiste moisted,0.0044843049327354,0.0135593220338983,-202.37288135593383
taanis saksamaal hollandis,0.0006406149903907,0.0067796610169491,-958.3050847458787
uuring uuringut uuringu,0.0019218449711723,0.007909604519774,-311.56308851224594
ootuse oigusparase oiguskindluse,0.0051249199231262,0.0124293785310734,-142.52824858756978
missiooni missioonile missioon,0.0153747597693786,0.0259887005649717,-69.03483992467014
fie fuusilisest isikust,0.0038436899423446,0.0101694915254237,-164.57627118644345
kohtla jarve johvi,0.0032030749519538,0.0090395480225988,-182.2146892655412
lapsetoetust lapsetoetus lapsetoetuse,0.0320307495195387,0.0451977401129943,-41.10734463276845
kaibemaksu kaibemaks kaibemaksumaara,0.0019218449711723,0.0067796610169491,-252.76836158192287
apteeke apteegid apteekide,0.0153747597693786,0.0248587570621468,-61.68549905837985
kandidaadi kandidaati kandidaat,0.0038436899423446,0.0090395480225988,-135.17890772128186
teadus teaduse arendustegevuse,0.0038436899423446,0.0090395480225988,-135.17890772128186
leping ratifitseerida lepinguga,0.0025624599615631,0.0067796610169491,-164.5762711864387
tapsustatakse ajakohastatakse nouete,0.0012812299807815,0.0045197740112994,-252.768361581932
vabatahtlike komandode paasteameti,0.0012812299807815,0.0045197740112994,-252.768361581932
metsa metsade mets,0.0006406149903907,0.0033898305084745,-429.1525423729316
valitsemisalade katteallikaks riigieelarves,0.0006406149903907,0.0033898305084745,-429.1525423729316
tulubaasi omavalitsustele omavalitsuste,0.0051249199231262,0.0090395480225988,-76.3841807909591
kaitseliit kaitseliidule kaitseliidu,0.0019218449711723,0.0045197740112994,-135.17890772128186
opositsiooni koalitsioonil opositsioonil,0.0019218449711723,0.0045197740112994,-135.17890772128186
korterelamute kortermajade kredexi,0.0019218449711723,0.0045197740112994,-135.17890772128186
huvigruppe huvigruppide kaasatud,0.0147341447789878,0.0203389830508474,-38.03979366249066
rahvaalgatuse rahvaalgatus rahvahaaletus,0.0012812299807815,0.0033898305084745,-164.5762711864451
tooandja tooandjal tootaja,0.0012812299807815,0.0033898305084745,-164.5762711864451
palgalohe soolist meeste,0.0012812299807815,0.0033898305084745,-164.5762711864451
konkurss konkursi konkurssi,0.0012812299807815,0.0033898305084745,-164.5762711864451
loomi loomade loomad,0.0012812299807815,0.0033898305084745,-164.5762711864451
