topic_words3,Isamaa ja Res Publica Liidu fraktsioon,Keskerakond,difference
koolis kooli opilased,0.0064061499039077,0.0295250320924261,-360.88575096277515
eriarstide eriarstiabi eriarsti,0.0025624599615631,0.0231065468549422,-801.7329910141194
prokuratuur prokuratuuri prokuror,0.0025624599615631,0.0166880616174582,-551.2516046213065
valimisliitude volikogusse volikokku,0.0051249199231262,0.0192554557124518,-275.72207958921587
koolilouna koolitoidu koolitoit,0.0070467648942985,0.0218228498074454,-209.6860777220218
tulubaasi omavalitsustele omavalitsuste,0.0051249199231262,0.0186136071887034,-263.1980102695752
kohtla jarve johvi,0.0032030749519538,0.0115532734274711,-260.69319640565624
pollumeestele pollumehi pollumehed,0.0038436899423446,0.0121951219512195,-217.2764227642315
toovoimereformi toovoimega toovoimereform,0.0224215246636771,0.0372272143774069,-66.03337612323499
tulubaasi tasandusfondi tulumaksuosa,0.0012812299807815,0.0077021822849807,-501.15532734276724
elektri elektrit taastuvenergia,0.0070467648942985,0.0160462130937098,-127.71035126619175
korterid kortereid korterit,0.0019218449711723,0.0083440308087291,-334.1677364142099
inimarengu aruanne aruandes,0.0006406149903907,0.0070603337612323,-1002.1181001284912
vaesuses suhtelises vaesuse,0.0006406149903907,0.0070603337612323,-1002.1181001284912
valismaale valjarande valjaranne,0.0019218449711723,0.0077021822849807,-300.77021822850105
piima toorpiima toodangut,0.0006406149903907,0.0057766367137355,-801.7329910142173
efsf esm kreekale,0.0012812299807815,0.0064184852374839,-400.96277278563815
slovakkia ungari portugal,0.0019218449711723,0.0070603337612323,-267.3727000427922
matusetoetust matusetoetus matusetoetuse,0.0006406149903907,0.0051347881899871,-701.5404364570804
piirivalve valvamise valvamine,0.0012812299807815,0.0057766367137355,-350.8664955070735
leping ratifitseerida lepinguga,0.0025624599615631,0.0070603337612323,-175.5295250320906
borsile ipo enefit,0.0006406149903907,0.0038510911424903,-501.15532734280646
vabatahtlike komandode paasteameti,0.0012812299807815,0.0044929396662387,-250.67394094994432
ajakirjandus ajakirjanduse ajakirjandust,0.0012812299807815,0.0044929396662387,-250.67394094994432
