topic_words3,EKRE,Reformierakond,difference
deklaratsiooni deklaratsioone deklaratsioonis,0.0026007802340702,0.0036764705882352,-41.36029411764459
louis freeh kremli,0.0026007802340702,0.0036764705882352,-41.36029411764459
objekti anu raua,0.0039011703511053,0.0049019607843137,-25.6535947712422
miili baasvorgu lairiba,0.0039011703511053,0.0049019607843137,-25.6535947712422
taanis saksamaal hollandis,0.0052015604681404,0.0061274509803921,-17.800245098039092
teenistuse teenistuses avalikus,0.0030342436064152,0.0036764705882352,-21.16596638655383
hoiu pangad pankade,0.0030342436064152,0.0036764705882352,-21.16596638655383
kandidaati kandidaat valituks,0.00086692674469,0.0012254901960784,-41.36029411765546
utah jordaania energia,0.00086692674469,0.0012254901960784,-41.36029411765546
tootuli lepitaja ametiuhingute,0.00086692674469,0.0012254901960784,-41.36029411765546
iive sundimus iibe,0.0043346337234503,0.0049019607843137,-13.088235294118858
joustumine joustuma joustada,0.0056350238404854,0.0061274509803921,-8.738687782805945
eelarvele kulude riigieelarvele,0.0021673168617251,0.0024509803921568,-13.088235294119139
varude varud varu,0.0021673168617251,0.0024509803921568,-13.088235294119139
riigipalgaliste riigisektoris koondada,0.0013003901170351,0.0012254901960784,5.7598039215702785
suuria euroopasse turgis,0.0013003901170351,0.0012254901960784,5.7598039215702785
teede teehoiuks teedele,0.0013003901170351,0.0012254901960784,5.7598039215702785
poolte kokkuleppel huvitise,0.0013003901170351,0.0012254901960784,5.7598039215702785
ammendumiseni kaheni pikendada,0.0013003901170351,0.0012254901960784,5.7598039215702785
haaletamissedel haaletamiskasti sedeli,0.0013003901170351,0.0012254901960784,5.7598039215702785
virumaale virumaa toostusalade,0.0026007802340702,0.0024509803921568,5.7598039215702785
leping ratifitseerida lepinguga,0.0026007802340702,0.0024509803921568,5.7598039215702785
ametiuhingute tooandjate keskliit,0.0039011703511053,0.0036764705882352,5.7598039215702785
palgalohe soolist meeste,0.0039011703511053,0.0036764705882352,5.7598039215702785
slovakkia ungari portugal,0.0078023407022106,0.0073529411764705,5.759803921569
efsf esm kreekale,0.0069354139575205,0.0061274509803921,11.649816176470262
rail trassi balticu,0.0030342436064152,0.0024509803921568,19.222689075630782
vallaga vald sauga,0.0030342436064152,0.0024509803921568,19.222689075630782
riigireformi riigireformist riigireform,0.0017338534893801,0.0012254901960784,29.319852941176354
idapiiri piiririba valjaehitamine,0.0017338534893801,0.0012254901960784,29.319852941176354
kaasne lisakulutusi riigieelarvele,0.0017338534893801,0.0012254901960784,29.319852941176354
katteallikas katteallikaid katteallikat,0.0017338534893801,0.0012254901960784,29.319852941176354
piirikontrolli schengeni valispiiri,0.0017338534893801,0.0012254901960784,29.319852941176354
riigiabi komisjonilt loa,0.0017338534893801,0.0012254901960784,29.319852941176354
hiv narkomaania epideemia,0.0017338534893801,0.0012254901960784,29.319852941176354
noukogudesse ariuhingute noukogudes,0.0021673168617251,0.0012254901960784,43.45588235294043
normitehnika mojude eeskiri,0.0021673168617251,0.0012254901960784,43.45588235294043
tooandja tooandjal tootaja,0.0021673168617251,0.0012254901960784,43.45588235294043
vabatahtlike komandode paasteameti,0.0056350238404854,0.0036764705882352,34.7567873303175
piima toorpiima toodangut,0.0026007802340702,0.0012254901960784,52.87990196078513
tootuid tootute tootu,0.0026007802340702,0.0012254901960784,52.87990196078513
ugri rahvaste polisrahvaste,0.0026007802340702,0.0012254901960784,52.87990196078513
kodakondsust kodakondsuse kodanikuks,0.0073688773298656,0.0049019607843137,33.47750865051914
karistuse karistus tingimisi,0.0073688773298656,0.0049019607843137,33.47750865051914
alkoholi kange lahja,0.0043346337234503,0.0024509803921568,43.455882352941735
psuhhiaatri alaealine psuhhiaatrilist,0.0195058517555266,0.0147058823529411,24.607843137255074
haale valimispaeval valimiste,0.0030342436064152,0.0012254901960784,59.61134453781539
tulubaasi omavalitsustele omavalitsuste,0.0047680970957954,0.0024509803921568,48.59625668449324
kaitsekulud kaitsekulutused kaitsekulude,0.0047680970957954,0.0024509803921568,48.59625668449324
lahususe voimude lahusus,0.0047680970957954,0.0024509803921568,48.59625668449324
valijate erakonda valijaid,0.0069354139575205,0.0036764705882352,46.98988970588302
krimmi agressiooni ukraina,0.0147377546597312,0.0098039215686274,33.47750865051914
palgatousu opetajate palgatous,0.0039011703511053,0.0012254901960784,68.5866013071901
ajakirjandus ajakirjanduse ajakirjandust,0.0039011703511053,0.0012254901960784,68.5866013071901
abielu kooselu samasooliste,0.0039011703511053,0.0012254901960784,68.5866013071901
liitlaste ohutorje keskmaa,0.0134373645426961,0.0073529411764705,45.27988614800808
elamisluba elamisloa viisa,0.0047680970957954,0.0012254901960784,74.29812834224661
toonadalal istungid taiendaval,0.0190723883831816,0.0110294117647058,42.170788770053846
hoone rkas hoonet,0.0073688773298656,0.0024509803921568,66.73875432526026
direktiivi direktiiv ulevotmise,0.0112700476809709,0.0049019607843137,56.504524886877824
oiglase virumaale ulemineku,0.0078023407022106,0.0024509803921568,68.5866013071901
missiooni missioonile missioon,0.0134373645426961,0.0061274509803921,54.399905123339934
moisteid moiste moisted,0.0082358040745557,0.0024509803921568,70.23993808049612
id mobiil kaardi,0.0069354139575205,0.0012254901960784,82.32996323529434
etv saateid pbk,0.0078023407022106,0.0012254901960784,84.29330065359505
rahvahaaletuse rahvahaaletus rahvahaaletusel,0.0203727785002167,0.0098039215686274,51.87734668335436
opositsioonis koalitsiooni opositsiooni,0.023840485478977,0.0122549019607843,48.596256684491976
kaitseliit kaitseliidule kaitseliidu,0.0117035110533159,0.0036764705882352,68.5866013071901
hadaolukorda eriolukord eriolukorra,0.0190723883831816,0.008578431372549,55.02172459893053
korruptsiooni korruptsioon korruptsiooniga,0.0086692674469007,0.0012254901960784,85.86397058823559
salastatud valisteabe riigisaladuse,0.0104031209362808,0.0024509803921568,76.43995098039257
terviseandmed isikuandmeid terviseandmeid,0.0390117035110533,0.0220588235294117,43.455882352941316
rahvuse rahvust rahvusriik,0.0173385348938014,0.0036764705882352,78.7959558823534
jarviku jarvik maaeluministri,0.0177719982661465,0.0036764705882352,79.31312769010094
loomi loomade loomad,0.0164716081491114,0.0024509803921568,85.11996904024805
otsevalimise presidenti presidendi,0.0212397052449068,0.0049019607843137,76.92076830732304
kauguhendus avaksite ettekandjalt,0.0372778500216731,0.0110294117647058,70.4129616963066
vagivallale vihakone ohutamine,0.0320762895535327,0.0024509803921568,92.35890302066791
oigusriik oigusriigi oigusriigist,0.0086692674469007,0.0,100.0
piirilepingu piirileping piirilepingut,0.0082358040745557,0.0,100.0
piirivalve valvamise valvamine,0.0073688773298656,0.0,100.0
pagulasi pagulased pagulaste,0.0069354139575205,0.0,100.0
danske filiaali rahapesu,0.0047680970957954,0.0,100.0
kala kalurid kalurite,0.0034677069787602,0.0,100.0
valismaale valjarande valjaranne,0.0034677069787602,0.0,100.0
sigade katku katk,0.0030342436064152,0.0,100.0
humni humn laulda,0.0030342436064152,0.0,100.0
lasteaia lasteaias lasteaiakoha,0.0030342436064152,0.0,100.0
kohtla jarve johvi,0.0030342436064152,0.0,100.0
korterid kortereid korterit,0.0026007802340702,0.0,100.0
kantsler kantsleri riigisekretar,0.0021673168617251,0.0,100.0
pensioni pension sammas,0.0017338534893801,0.0,100.0
reklaami reklaam alkoholireklaam,0.0017338534893801,0.0,100.0
riigiloivude riigiloivud riigiloivu,0.0017338534893801,0.0,100.0
eripensioni valjateenitud staazi,0.0017338534893801,0.0,100.0
tapsustatakse ajakohastatakse nouete,0.0017338534893801,0.0,100.0
volitust kaasuses jarvik,0.0017338534893801,0.0,100.0
lipud lippude lipp,0.0017338534893801,0.0,100.0
pensionifondide pensionifondid fondid,0.0017338534893801,0.0,100.0
muundatud geneetiliselt gmo,0.0017338534893801,0.0,100.0
president ilves presidendi,0.0017338534893801,0.0,100.0
raamatukogu pimedate raamatukogude,0.0017338534893801,0.0,100.0
oigusloome oigusloomes oiguspoliitika,0.0013003901170351,0.0,100.0
operatsioonil sojalisel panustamisel,0.0013003901170351,0.0,100.0
ootuse oigusparase oiguskindluse,0.0013003901170351,0.0,100.0
pollumeestele pollumehi pollumehed,0.0013003901170351,0.0,100.0
muuseum muuseumi muuseumide,0.0013003901170351,0.0,100.0
hanke hankija riigihangete,0.0013003901170351,0.0,100.0
energiaagentuur agentuuri agentuur,0.0013003901170351,0.0,100.0
liibanonis missioonil pikendamine,0.0013003901170351,0.0,100.0
kinnitamise paevakorra paevakord,0.00086692674469,0.0,100.0
mes maale maaelu,0.00086692674469,0.0,100.0
elatisraha elatisabi elatise,0.00086692674469,0.0,100.0
voidusamba vabadussoja uurimiskomisjon,0.00086692674469,0.0,100.0
jahimehed jahimeeste jahti,0.00086692674469,0.0,100.0
tootuna arvele ariuhingu,0.00086692674469,0.0,100.0
puude raskusastme puuet,0.00086692674469,0.0,100.0
samba sammas sambasse,0.00086692674469,0.0,100.0
teatri teater rahvusooper,0.00086692674469,0.0,100.0
omandireformi tagastatud omandireform,0.00086692674469,0.0,100.0
riigipuha puhade tahtpaevade,0.00086692674469,0.0,100.0
koolituse koolitus koolitusele,0.00086692674469,0.0,100.0
post posti omniva,0.000433463372345,0.0,100.0
relva relvade relvaluba,0.000433463372345,0.0,100.0
toovoimereformi toovoimega toovoimereform,0.000433463372345,0.0,100.0
vanemahuvitist vanemahuvitise vanemahuvitis,0.000433463372345,0.0,100.0
kontrollin haaled kandidaadi,0.000433463372345,0.0,100.0
keeleoskust oskuse keeleoskuse,0.000433463372345,0.0,100.0
tooandja tervisesse maksuvabalt,0.000433463372345,0.0,100.0
estonian air airi,0.000433463372345,0.0,100.0
est kavatsuste for,0.000433463372345,0.0,100.0
erso teatri kontserdi,0.000433463372345,0.0,100.0
ulikooliga kbfi instituudi,0.000433463372345,0.0,100.0
abipolitseinik abipolitseiniku abipolitseinike,0.0,0.0,
seksuaalse vangistusega vaarkohtlemise,0.0,0.0,
vagivalla naistevastase perevagivalla,0.0,0.0,
tsernoboli represseeritud oigusvastaselt,0.0,0.0,
teenuseid teenused teenust,0.0,0.0,
talupidajate kaubanduskoja kaubanduskoda,0.0,0.0,
lae korgepalgaliste lagi,0.0,0.0,
oppelaenu sugava puudega,0.0,0.0,
magustatud suhkrut joogi,0.0,0.0,
laari laar kandidatuuri,0.0,0.0,
koolilouna koolitoidu koolitoit,0.0,0.0,
koneleja konsensuslikud repliigi,0.0,0.0,
kodualuse maamaksu maamaksust,0.0,0.0,
hansson ardo panga,0.0,0.0,
kohanimenoukogu vonnu mulgi,0.0,0.0,
kinnisasja maad maa,0.0,0.0036764705882352,-inf
haalte kandidaatidele haaletamisest,0.0,0.0012254901960784,-inf
konkurss konkursi konkurssi,0.0,0.0012254901960784,-inf
memorandumi moistmise memorandum,0.0,0.0012254901960784,-inf
erimargistatud kutust kutuse,0.0,0.0012254901960784,-inf
hambaravi hammaste hambad,0.0,0.0012254901960784,-inf
muraste kase kompleksi,0.0,0.0012254901960784,-inf
liiklussurmade liikluses hukkunute,0.0,0.0024509803921568,-inf
teekasutustasu autode autod,0.0,0.0012254901960784,-inf
treenerite spordi sport,0.0,0.0073529411764705,-inf
tantsupeo laulu traditsiooni,0.0,0.0012254901960784,-inf
valimisea valimisiga valimisoiguse,0.0,0.0012254901960784,-inf
sularaha kommertspangad pangad,0.0,0.0012254901960784,-inf
korteriuhistu korteriomanike korteriuhistute,0.0,0.0012254901960784,-inf
kusija vastaja vastasin,0.0,0.0012254901960784,-inf
rongi rongide rongid,0.0,0.0012254901960784,-inf
riigimetsa majandamise noukokku,0.0,0.0024509803921568,-inf
ametipalkade riigiteenijate korgemate,0.0,0.0012254901960784,-inf
skais arendused infosusteemide,0.0,0.0036764705882352,-inf
kasvavad tuleval kasv,0.0,0.0036764705882352,-inf
fie fuusilisest isikust,0.0,0.0024509803921568,-inf
kandidaadi kandidaati kandidaat,0.0,0.0012254901960784,-inf
vee monopolide veeteenuse,0.0,0.0,
