topic_words3,EKRE,Fraktsioonitud,difference
palgatousu opetajate palgatous,0.0039011703511053,0.0,100.0
valismaale valjarande valjaranne,0.0034677069787602,0.0,100.0
kala kalurid kalurite,0.0034677069787602,0.0,100.0
arengufond arengufondi arengufondis,0.0030342436064152,0.0,100.0
haale valimispaeval valimiste,0.0030342436064152,0.0,100.0
sigade katku katk,0.0030342436064152,0.0,100.0
lipu laevu kaubalaeva,0.0030342436064152,0.0,100.0
lasteaia lasteaias lasteaiakoha,0.0030342436064152,0.0,100.0
humni humn laulda,0.0030342436064152,0.0,100.0
teenistuse teenistuses avalikus,0.0030342436064152,0.0,100.0
hoiu pangad pankade,0.0030342436064152,0.0,100.0
kohtla jarve johvi,0.0030342436064152,0.0,100.0
rail trassi balticu,0.0030342436064152,0.0,100.0
leping ratifitseerida lepinguga,0.0026007802340702,0.0,100.0
louis freeh kremli,0.0026007802340702,0.0,100.0
virumaale virumaa toostusalade,0.0026007802340702,0.0,100.0
ugri rahvaste polisrahvaste,0.0026007802340702,0.0,100.0
tootuid tootute tootu,0.0026007802340702,0.0,100.0
deklaratsiooni deklaratsioone deklaratsioonis,0.0026007802340702,0.0,100.0
lisaeelarve lisaeelarves lisaeelarvega,0.0026007802340702,0.0,100.0
tooandja tooandjal tootaja,0.0021673168617251,0.0,100.0
borsile ipo enefit,0.0021673168617251,0.0,100.0
eelarvele kulude riigieelarvele,0.0021673168617251,0.0,100.0
noukogudesse ariuhingute noukogudes,0.0021673168617251,0.0,100.0
eriarstide eriarstiabi eriarsti,0.0021673168617251,0.0,100.0
kantsler kantsleri riigisekretar,0.0021673168617251,0.0,100.0
nord stream streami,0.0021673168617251,0.0,100.0
lipud lippude lipp,0.0017338534893801,0.0,100.0
valdkonnad laekumisest fikseeritakse,0.0017338534893801,0.0,100.0
riigiabi komisjonilt loa,0.0017338534893801,0.0,100.0
hiv narkomaania epideemia,0.0017338534893801,0.0,100.0
inflatsiooni inflatsioon hinnatous,0.0017338534893801,0.0,100.0
raamatukogu pimedate raamatukogude,0.0017338534893801,0.0,100.0
idapiiri piiririba valjaehitamine,0.0017338534893801,0.0,100.0
