topic_words3,Isamaa,Sotsiaaldemokraadid,difference
huvihariduse huvitegevuse huviharidus,0.0168290522586359,0.0850299401197604,-405.2568547116307
haiguspaevade haiguspaevi haiguspaeva,0.0035429583702391,0.0526946107784431,-1387.3053892215771
virumaale virumaa toostusalade,0.0062001771479185,0.037125748502994,-498.7852865697187
palgatousu opetajate palgatous,0.0053144375553587,0.0347305389221556,-553.5129740518976
hooldekodus hoolduse hooldekodu,0.0026572187776793,0.0239520958083832,-801.3972055888422
korruptsiooni korruptsioon korruptsiooniga,0.0053144375553587,0.022754491017964,-328.1636726546912
tulumaksuvaba maksususteemi tulumaksu,0.0017714791851195,0.0143712574850299,-711.257485029972
psuhhiaatri alaealine psuhhiaatrilist,0.0088573959255978,0.0215568862275449,-143.37724550898398
lasteaia lasteaias lasteaiakoha,0.0035429583702391,0.0131736526946107,-271.82634730539223
annetus erjk annetuse,0.0017714791851195,0.0095808383233532,-440.838323353311
rahvahaaletuse rahvahaaletus rahvahaaletusel,0.0017714791851195,0.0095808383233532,-440.838323353311
inimarengu aruanne aruandes,0.0008857395925597,0.0083832335329341,-846.4670658683533
lapsetoetust lapsetoetus lapsetoetuse,0.0008857395925597,0.0071856287425149,-711.2574850300123
metsa metsade mets,0.0106288751107174,0.0203592814371257,-91.54690618762518
eriarstide eriarstiabi eriarsti,0.0026572187776793,0.0083832335329341,-215.489021956094
viirust vaktsineeritud viiruse,0.0487156775907883,0.0646706586826347,-32.75122482308108
koolis kooli opilased,0.0292294065544729,0.0419161676646706,-43.404100889131044
vanemahuvitist vanemahuvitise vanemahuvitis,0.0035429583702391,0.0083832335329341,-136.6167664670683
hoiu pangad pankade,0.0008857395925597,0.0035928143712574,-305.6287425150005
kohtutaiturite kohtutaitur kohtutaituri,0.0008857395925597,0.0035928143712574,-305.6287425150005
valijate erakonda valijaid,0.0008857395925597,0.0035928143712574,-305.6287425150005
oiglase virumaale ulemineku,0.0017714791851195,0.0047904191616766,-170.41916167665548
valispoliitika valispoliitikas diplomaatia,0.0062001771479185,0.0107784431137724,-73.84088964927233
valimisliitude volikogusse volikokku,0.012400354295837,0.0179640718562874,-44.86740804106082
jaatmeid liigiti prugi,0.0008857395925597,0.0023952095808383,-170.41916167667074
piima toorpiima toodangut,0.0008857395925597,0.0023952095808383,-170.41916167667074
korterelamute kortermajade kredexi,0.0026572187776793,0.0047904191616766,-80.27944111776692
rahvuse rahvust rahvusriik,0.0026572187776793,0.0047904191616766,-80.27944111776692
samba sammas sambasse,0.0026572187776793,0.0047904191616766,-80.27944111776692
puude raskusastme puuet,0.0017714791851195,0.0035928143712574,-102.81437125748877
kauguhendus avaksite ettekandjalt,0.0132860938883968,0.0167664670658682,-26.195608782434764
uliopilased uliopilastele uliopilaste,0.0097431355181576,0.0119760479041916,-22.917800762112744
ulejaagis struktuurses struktuurse,0.0035429583702391,0.0047904191616766,-35.20958083832393
riigimetsa majandamise noukokku,0.0035429583702391,0.0047904191616766,-35.20958083832393
palgalohe soolist meeste,0.0035429583702391,0.0047904191616766,-35.20958083832393
arengufond arengufondi arengufondis,0.0035429583702391,0.0047904191616766,-35.20958083832393
opositsiooni koalitsioonil opositsioonil,0.0168290522586359,0.0191616766467065,-13.860699653324815
noukogudesse ariuhingute noukogudes,0.0026572187776793,0.0035928143712574,-35.20958083832332
majandusaasta koondaruanne raamatupidamise,0.0017714791851195,0.0023952095808383,-35.20958083832774
uuring uuringut uuringu,0.0017714791851195,0.0023952095808383,-35.20958083832774
vabatahtlike komandode paasteameti,0.0017714791851195,0.0023952095808383,-35.20958083832774
moisteid moiste moisted,0.0017714791851195,0.0023952095808383,-35.20958083832774
riigireformi riigireformist riigireform,0.0017714791851195,0.0023952095808383,-35.20958083832774
kusimusena tahtsa tahtsusega,0.0017714791851195,0.0023952095808383,-35.20958083832774
teekasutustasu autode autod,0.0017714791851195,0.0023952095808383,-35.20958083832774
fie fuusilisest isikust,0.0017714791851195,0.0023952095808383,-35.20958083832774
tervist tervis tervisega,0.0017714791851195,0.0023952095808383,-35.20958083832774
ulikooliga kbfi instituudi,0.0008857395925597,0.0011976047904191,-35.20958083832975
tantsupeo laulu traditsiooni,0.0008857395925597,0.0011976047904191,-35.20958083832975
pollumeestele pollumehi pollumehed,0.0008857395925597,0.0011976047904191,-35.20958083832975
aituma infotundi jahimehed,0.0008857395925597,0.0011976047904191,-35.20958083832975
koneleja konsensuslikud repliigi,0.0008857395925597,0.0011976047904191,-35.20958083832975
pensioniiga pensioniea eluiga,0.0008857395925597,0.0011976047904191,-35.20958083832975
magustatud suhkrut joogi,0.0008857395925597,0.0011976047904191,-35.20958083832975
tooandja tervisesse maksuvabalt,0.0008857395925597,0.0011976047904191,-35.20958083832975
kandidaadi kandidaati kandidaat,0.0008857395925597,0.0011976047904191,-35.20958083832975
riigikontrolli auditi auditit,0.0008857395925597,0.0011976047904191,-35.20958083832975
aasia aasias saatkonna,0.0008857395925597,0.0011976047904191,-35.20958083832975
pealinnast tallinnast viljandisse,0.0008857395925597,0.0011976047904191,-35.20958083832975
ts parvlaeva parvlaevad,0.0008857395925597,0.0011976047904191,-35.20958083832975
eelarvele kulude riigieelarvele,0.0008857395925597,0.0011976047904191,-35.20958083832975
sigade katku katk,0.0008857395925597,0.0011976047904191,-35.20958083832975
teenuseid teenused teenust,0.0008857395925597,0.0011976047904191,-35.20958083832975
abielu kooselu samasooliste,0.0044286979627989,0.0047904191616766,-8.167664670658525
inflatsiooni inflatsioon hinnatous,0.0044286979627989,0.0047904191616766,-8.167664670658525
eelarves riigieelarves reservist,0.012400354295837,0.0119760479041916,3.4217279726261207
maantee neljarealiseks ppp,0.0026572187776793,0.0023952095808383,9.860279441116539
kohtunike kohtususteem kohtuniku,0.0026572187776793,0.0023952095808383,9.860279441116539
riigiabi komisjonilt loa,0.0026572187776793,0.0023952095808383,9.860279441116539
objekti anu raua,0.0168290522586359,0.0155688622754491,7.4881815316731775
valdkonnad laekumisest fikseeritakse,0.0106288751107174,0.0095808383233532,9.86027944111823
jarviku jarvik maaeluministri,0.0044286979627989,0.0035928143712574,18.874251497007233
tulubaasi omavalitsustele omavalitsuste,0.0044286979627989,0.0035928143712574,18.874251497007233
loomi loomade loomad,0.0097431355181576,0.0083832335329341,13.957539466521284
maksuamet tolliamet tolliameti,0.0017714791851195,0.0011976047904191,32.395209580838944
korterid kortereid korterit,0.0017714791851195,0.0011976047904191,32.395209580838944
kutsehariduse kutseharidus kutsehariduses,0.0017714791851195,0.0011976047904191,32.395209580838944
untso missioonide liikmesusest,0.0017714791851195,0.0011976047904191,32.395209580838944
tootuid tootute tootu,0.0017714791851195,0.0011976047904191,32.395209580838944
deklaratsiooni deklaratsioone deklaratsioonis,0.0017714791851195,0.0011976047904191,32.395209580838944
valimisea valimisiga valimisoiguse,0.0017714791851195,0.0011976047904191,32.395209580838944
toovoimereformi toovoimega toovoimereform,0.0017714791851195,0.0011976047904191,32.395209580838944
maavalitsuste maavalitsused maakonna,0.0017714791851195,0.0011976047904191,32.395209580838944
iive sundimus iibe,0.0017714791851195,0.0011976047904191,32.395209580838944
kodakondsust kodakondsuse kodanikuks,0.0115146147032772,0.0095808383233532,16.79410409949387
annetused annetusi annetuste,0.0035429583702391,0.0023952095808383,32.395209580838035
etv saateid pbk,0.0035429583702391,0.0023952095808383,32.395209580838035
