topic_words3,EKRE,Isamaa,difference
elektri elektrit taastuvenergia,0.0273081924577373,0.054030115146147,-97.85313593993845
arengukavad arengukavade pohialuste,0.0104031209362808,0.0301151461470327,-189.4818423383542
hadaolukorda eriolukord eriolukorra,0.0190723883831816,0.04162976085031,-118.27240518560289
huvihariduse huvitegevuse huviharidus,0.0013003901170351,0.0168290522586359,-1194.1541186891113
objekti anu raua,0.0039011703511053,0.0168290522586359,-331.3847062297038
pensionitous pensionitousu pension,0.0013003901170351,0.012400354295837,-853.587245349873
alkoholi kange lahja,0.0043346337234503,0.0150575730735163,-247.37821080602654
opositsiooni koalitsioonil opositsioonil,0.0056350238404854,0.0168290522586359,-198.65095046671976
valdkonnad laekumisest fikseeritakse,0.0017338534893801,0.0106288751107174,-513.0203720106427
koolis kooli opilased,0.0151712180320762,0.0292294065544729,-92.66354548905538
teadus teaduse arendustegevuse,0.0065019505851755,0.0168290522586359,-158.83082373782221
idapiiri piiririba valjaehitamine,0.0017338534893801,0.007971656333038,-359.76527900797925
lipu laevu kaubalaeva,0.0030342436064152,0.0097431355181576,-221.10590914842874
hanke hankija riigihangete,0.0013003901170351,0.0070859167404783,-444.9069973427857
uhistranspordi uhistransport uhistransporti,0.0013003901170351,0.0070859167404783,-444.9069973427857
varude varud varu,0.0021673168617251,0.007971656333038,-267.8122232063876
piirilepingu piirileping piirilepingut,0.0082358040745557,0.0159433126660761,-93.58538063493458
opositsioonis koalitsiooni opositsiooni,0.023840485478977,0.0354295837023915,-48.61099927530416
borsile ipo enefit,0.0021673168617251,0.0070859167404783,-226.94419840568142
valispoliitika valispoliitikas diplomaatia,0.0017338534893801,0.0062001771479185,-257.5952170062092
joustumine joustuma joustada,0.0056350238404854,0.0115146147032772,-104.34012400354516
lisaeelarve lisaeelarves lisaeelarvega,0.0026007802340702,0.0070859167404783,-172.45349867139285
vanemahuvitist vanemahuvitise vanemahuvitis,0.000433463372345,0.0035429583702391,-717.3604960142299
lng terminali gaasi,0.000433463372345,0.0035429583702391,-717.3604960142299
annetused annetusi annetuste,0.000433463372345,0.0035429583702391,-717.3604960142299
piirikontrolli schengeni valispiiri,0.0017338534893801,0.0053144375553587,-206.51018600532137
katteallikas katteallikaid katteallikat,0.0017338534893801,0.0053144375553587,-206.51018600532137
riigipalgaliste riigisektoris koondada,0.0013003901170351,0.0044286979627989,-240.56687333923824
virumaale virumaa toostusalade,0.0026007802340702,0.0062001771479185,-138.39681133746825
tulubaasi tasandusfondi tulumaksuosa,0.000433463372345,0.0026572187776793,-513.0203720106666
hooldekodus hoolduse hooldekodu,0.000433463372345,0.0026572187776793,-513.0203720106666
korterelamute kortermajade kredexi,0.000433463372345,0.0026572187776793,-513.0203720106666
inflatsiooni inflatsioon hinnatous,0.0017338534893801,0.0044286979627989,-155.42515500443352
kodakondsust kodakondsuse kodanikuks,0.0073688773298656,0.0115146147032772,-56.260094826238785
miili baasvorgu lairiba,0.0039011703511053,0.0070859167404783,-81.63566578092855
samba sammas sambasse,0.00086692674469,0.0026572187776793,-206.51018600533337
kaitsekulud kaitsekulutused kaitsekulude,0.0047680970957954,0.007971656333038,-67.18737418471534
kantsler kantsleri riigisekretar,0.0021673168617251,0.0044286979627989,-104.34012400354919
keeleoskust oskuse keeleoskuse,0.000433463372345,0.0017714791851195,-308.68024800710344
maavalitsuste maavalitsused maakonna,0.000433463372345,0.0017714791851195,-308.68024800710344
tervist tervis tervisega,0.000433463372345,0.0017714791851195,-308.68024800710344
toovoimereformi toovoimega toovoimereform,0.000433463372345,0.0017714791851195,-308.68024800710344
muugimaksu muugimaks paadimaksu,0.000433463372345,0.0017714791851195,-308.68024800710344
karistuse karistus tingimisi,0.0073688773298656,0.0106288751107174,-44.24008753191252
teede teehoiuks teedele,0.0013003901170351,0.0026572187776793,-104.34012400353984
metsa metsade mets,0.0078023407022106,0.0106288751107174,-36.22674933569578
normitehnika mojude eeskiri,0.0021673168617251,0.0035429583702391,-63.47209920283843
riigikontrolor karis riigikontrolori,0.00086692674469,0.0017714791851195,-104.34012400355172
mes maale maaelu,0.00086692674469,0.0017714791851195,-104.34012400355172
puude raskusastme puuet,0.00086692674469,0.0017714791851195,-104.34012400355172
uuring uuringut uuringu,0.00086692674469,0.0017714791851195,-104.34012400355172
majandusaasta koondaruanne raamatupidamise,0.00086692674469,0.0017714791851195,-104.34012400355172
toonadalal istungid taiendaval,0.0190723883831816,0.0221434898139946,-16.102343183830904
palgatousu opetajate palgatous,0.0039011703511053,0.0053144375553587,-36.22674933569578
riigiabi komisjonilt loa,0.0017338534893801,0.0026572187776793,-53.255093002657816
tapsustatakse ajakohastatakse nouete,0.0017338534893801,0.0026572187776793,-53.255093002657816
soita jalakaija konniteel,0.0047680970957954,0.0062001771479185,-30.03462436589086
kirik kiriku maarja,0.000433463372345,0.0008857395925597,-104.34012400354015
ulikooliga kbfi instituudi,0.000433463372345,0.0008857395925597,-104.34012400354015
aituma infotundi jahimehed,0.000433463372345,0.0008857395925597,-104.34012400354015
tooandja tervisesse maksuvabalt,0.000433463372345,0.0008857395925597,-104.34012400354015
estonian air airi,0.000433463372345,0.0008857395925597,-104.34012400354015
pealinnast tallinnast viljandisse,0.000433463372345,0.0008857395925597,-104.34012400354015
planeeringu keskkonnamoju keskkonnamojude,0.000433463372345,0.0008857395925597,-104.34012400354015
rahapesu terrorismi andmeburoo,0.000433463372345,0.0008857395925597,-104.34012400354015
erso teatri kontserdi,0.000433463372345,0.0008857395925597,-104.34012400354015
huvigruppe huvigruppide kaasatud,0.0082358040745557,0.0097431355181576,-18.302177054682026
