topic_words3,Isamaa,Reformierakond,difference
valimisliitude volikogusse volikokku,0.012400354295837,0.0318627450980392,-156.9502801120452
kohtunike kohtususteem kohtuniku,0.0026572187776793,0.017156862745098,-545.6699346405364
prokuratuur prokuratuuri prokuror,0.007971656333038,0.0245098039215686,-207.4618736383472
aasia aasias saatkonna,0.0008857395925597,0.0110294117647058,-1145.2205882354078
lapsetoetust lapsetoetus lapsetoetuse,0.0008857395925597,0.0110294117647058,-1145.2205882354078
volakirjade keskpank volakirju,0.0017714791851195,0.0098039215686274,-453.43137254904013
rahvahaaletuse rahvahaaletus rahvahaaletusel,0.0017714791851195,0.0098039215686274,-453.43137254904013
haiguspaevade haiguspaevi haiguspaeva,0.0035429583702391,0.0122549019607843,-245.8946078431417
pohiseadusega riigikohus oiguskantsler,0.0053144375553587,0.0147058823529411,-176.71568627450964
majandusaasta koondaruanne raamatupidamise,0.0017714791851195,0.008578431372549,-384.2524509804115
opositsiooni koalitsioonil opositsioonil,0.0168290522586359,0.0294117647058823,-74.76780185758545
soita jalakaija konniteel,0.0062001771479185,0.0147058823529411,-137.18487394957904
untso missioonide liikmesusest,0.0017714791851195,0.0073529411764705,-315.07352941177726
arengufond arengufondi arengufondis,0.0035429583702391,0.0098039215686274,-176.71568627451225
viirust vaktsineeritud viiruse,0.0487156775907883,0.0649509803921568,-33.32664884135462
salvestisi salvestised salvestiste,0.0115146147032772,0.0208333333333333,-80.92948717948748
missiooni missioonile missioon,0.0017714791851195,0.0061274509803921,-245.89460784314866
uuring uuringut uuringu,0.0017714791851195,0.0061274509803921,-245.89460784314866
tulumaksuvaba maksususteemi tulumaksu,0.0017714791851195,0.0061274509803921,-245.89460784314866
maksuamet tolliamet tolliameti,0.0017714791851195,0.0061274509803921,-245.89460784314866
psuhhiaatri alaealine psuhhiaatrilist,0.0088573959255978,0.0147058823529411,-66.0294117647064
ts parvlaeva parvlaevad,0.0008857395925597,0.0036764705882352,-315.07352941179505
hoiu pangad pankade,0.0008857395925597,0.0036764705882352,-315.07352941179505
aituma infotundi jahimehed,0.0008857395925597,0.0036764705882352,-315.07352941179505
pensioniiga pensioniea eluiga,0.0008857395925597,0.0036764705882352,-315.07352941179505
inimarengu aruanne aruandes,0.0008857395925597,0.0036764705882352,-315.07352941179505
rahapesu terrorismi andmeburoo,0.0008857395925597,0.0036764705882352,-315.07352941179505
riigikontrolli auditi auditit,0.0008857395925597,0.0036764705882352,-315.07352941179505
louis freeh kremli,0.0008857395925597,0.0036764705882352,-315.07352941179505
valijate erakonda valijaid,0.0008857395925597,0.0036764705882352,-315.07352941179505
terviseandmed isikuandmeid terviseandmeid,0.0150575730735163,0.0220588235294117,-46.496539792387956
iive sundimus iibe,0.0017714791851195,0.0049019607843137,-176.71568627452007
riigikontrolor karis riigikontrolori,0.0017714791851195,0.0049019607843137,-176.71568627452007
kusimusena tahtsa tahtsusega,0.0017714791851195,0.0049019607843137,-176.71568627452007
kutsehariduse kutseharidus kutsehariduses,0.0017714791851195,0.0049019607843137,-176.71568627452007
koolis kooli opilased,0.0292294065544729,0.0367647058823529,-25.779857397504678
valispoliitika valispoliitikas diplomaatia,0.0062001771479185,0.0098039215686274,-58.12324929971938
eelarves riigieelarves reservist,0.012400354295837,0.017156862745098,-38.35784313725485
inflatsiooni inflatsioon hinnatous,0.0044286979627989,0.0073529411764705,-66.02941176470527
ulejaagis struktuurses struktuurse,0.0035429583702391,0.0061274509803921,-72.94730392156946
eelarvele kulude riigieelarvele,0.0008857395925597,0.0024509803921568,-176.71568627453001
leping ratifitseerida lepinguga,0.0008857395925597,0.0024509803921568,-176.71568627453001
planeeringu keskkonnamoju keskkonnamojude,0.0008857395925597,0.0024509803921568,-176.71568627453001
kohtutaiturite kohtutaitur kohtutaituri,0.0008857395925597,0.0024509803921568,-176.71568627453001
keskkonnaameti uhendamine uhendamise,0.0008857395925597,0.0024509803921568,-176.71568627453001
jaatmeid liigiti prugi,0.0008857395925597,0.0024509803921568,-176.71568627453001
kaibemaksu kaibemaks kaibemaksumaara,0.0017714791851195,0.0036764705882352,-107.5367647058858
deklaratsiooni deklaratsioone deklaratsioonis,0.0017714791851195,0.0036764705882352,-107.5367647058858
annetus erjk annetuse,0.0017714791851195,0.0036764705882352,-107.5367647058858
vabatahtlike komandode paasteameti,0.0017714791851195,0.0036764705882352,-107.5367647058858
kasvavad tuleval kasv,0.0017714791851195,0.0036764705882352,-107.5367647058858
