topic_words3,Isamaa,Keskerakond,difference
mes maale maaelu,0.0057471264367816,0.0043383947939262,24.511930585684
elektri elektrit taastuvenergia,0.0186781609195402,0.0151843817787418,18.705156015351463
tooandja tooandjal tootaja,0.0043103448275862,0.0021691973969631,49.674620390456006
jaatmeid liigiti prugi,0.0043103448275862,0.0021691973969631,49.674620390456006
prokuratuur prokuratuuri prokuror,0.0043103448275862,0.0021691973969631,49.674620390456006
inimarengu aruanne aruandes,0.0043103448275862,0.0021691973969631,49.674620390456006
haale valimispaeval valimiste,0.0043103448275862,0.0021691973969631,49.674620390456006
konkurss konkursi konkurssi,0.0043103448275862,0.0021691973969631,49.674620390456006
maksuamet tolliamet tolliameti,0.0043103448275862,0.0021691973969631,49.674620390456006
rahapesu terrorismi andmeburoo,0.007183908045977,0.0043383947939262,39.609544468547206
pensioni pension sammas,0.007183908045977,0.0043383947939262,39.609544468547206
toonadalal istungid taiendaval,0.0100574712643678,0.0065075921908893,35.29594050201486
valijate erakonda valijaid,0.0057471264367816,0.0021691973969631,62.255965292842
opositsiooni koalitsioonil opositsioonil,0.0057471264367816,0.0021691973969631,62.255965292842
psuhhiaatri alaealine psuhhiaatrilist,0.0057471264367816,0.0021691973969631,62.255965292842
lapsetoetust lapsetoetus lapsetoetuse,0.0057471264367816,0.0021691973969631,62.255965292842
tooandja tervisesse maksuvabalt,0.0057471264367816,0.0021691973969631,62.255965292842
alkoholi kange lahja,0.0330459770114942,0.0238611713665943,27.79402056021887
arengukavad arengukavade pohialuste,0.0186781609195402,0.0108459869848156,41.93225429667946
palgatousu opetajate palgatous,0.007183908045977,0.0021691973969631,69.8047722342736
missiooni missioonile missioon,0.007183908045977,0.0021691973969631,69.8047722342736
lipu laevu kaubalaeva,0.007183908045977,0.0021691973969631,69.8047722342736
untso missioonide liikmesusest,0.007183908045977,0.0021691973969631,69.8047722342736
poolte kokkuleppel huvitise,0.007183908045977,0.0021691973969631,69.8047722342736
tulubaasi tasandusfondi tulumaksuosa,0.007183908045977,0.0021691973969631,69.8047722342736
pensionifondide pensionifondid fondid,0.007183908045977,0.0021691973969631,69.8047722342736
joustumine joustuma joustada,0.014367816091954,0.0065075921908893,54.70715835141041
tulumaksuvaba maksususteemi tulumaksu,0.0086206896551724,0.0021691973969631,74.837310195228
korterelamute kortermajade kredexi,0.0158045977011494,0.0065075921908893,58.82468941037309
fie fuusilisest isikust,0.0100574712643678,0.0021691973969631,78.4319801673383
vagivallale vihakone ohutamine,0.0186781609195402,0.0065075921908893,65.159352578008
kohanimenoukogu vonnu mulgi,0.014367816091954,0.0021691973969631,84.9023861171368
kala kalurid kalurite,0.0172413793103448,0.0021691973969631,87.418655097614
ulejaagis struktuurses struktuurse,0.0301724137931034,0.0021691973969631,92.81066005577944
samba sammas sambasse,0.0517241379310344,0.0108459869848156,79.03109182935647
eelarves riigieelarves reservist,0.0445402298850574,0.0,100.0
annetused annetusi annetuste,0.014367816091954,0.0,100.0
maantee neljarealiseks ppp,0.0129310344827586,0.0,100.0
vanemahuvitist vanemahuvitise vanemahuvitis,0.0100574712643678,0.0,100.0
erimargistatud kutust kutuse,0.0100574712643678,0.0,100.0
soita jalakaija konniteel,0.007183908045977,0.0,100.0
abielu kooselu samasooliste,0.007183908045977,0.0,100.0
borsile ipo enefit,0.007183908045977,0.0,100.0
hanke hankija riigihangete,0.007183908045977,0.0,100.0
noukogudesse ariuhingute noukogudes,0.0057471264367816,0.0,100.0
karistuse karistus tingimisi,0.0057471264367816,0.0,100.0
eelarvele kulude riigieelarvele,0.0057471264367816,0.0,100.0
hoiu pangad pankade,0.0043103448275862,0.0,100.0
elamisluba elamisloa viisa,0.0043103448275862,0.0,100.0
valimisliitude volikogusse volikokku,0.0043103448275862,0.0,100.0
kodualuse maamaksu maamaksust,0.0043103448275862,0.0,100.0
volitust kaasuses jarvik,0.0043103448275862,0.0,100.0
uhistranspordi uhistransport uhistransporti,0.0043103448275862,0.0,100.0
valimisea valimisiga valimisoiguse,0.0043103448275862,0.0,100.0
valitsemisalade katteallikaks riigieelarves,0.0028735632183908,0.0,100.0
post posti omniva,0.0028735632183908,0.0,100.0
volakirjade keskpank volakirju,0.0028735632183908,0.0,100.0
liitlaste ohutorje keskmaa,0.0028735632183908,0.0,100.0
kaibemaksu kaibemaks kaibemaksumaara,0.0028735632183908,0.0,100.0
vabatahtlike komandode paasteameti,0.0028735632183908,0.0,100.0
efsf esm kreekale,0.0028735632183908,0.0,100.0
jarviku jarvik maaeluministri,0.0028735632183908,0.0,100.0
ametipalkade riigiteenijate korgemate,0.0028735632183908,0.0,100.0
kaitsekulud kaitsekulutused kaitsekulude,0.0028735632183908,0.0,100.0
eripensioni valjateenitud staazi,0.0014367816091954,0.0,100.0
iive sundimus iibe,0.0014367816091954,0.0,100.0
pealinnast tallinnast viljandisse,0.0014367816091954,0.0,100.0
vagivalla naistevastase perevagivalla,0.0014367816091954,0.0,100.0
taanis saksamaal hollandis,0.0014367816091954,0.0,100.0
lae korgepalgaliste lagi,0.0014367816091954,0.0,100.0
louis freeh kremli,0.0014367816091954,0.0,100.0
relva relvade relvaluba,0.0014367816091954,0.0,100.0
sularaha kommertspangad pangad,0.0014367816091954,0.0,100.0
riigikontrolli auditi auditit,0.0014367816091954,0.0,100.0
riigipuha puhade tahtpaevade,0.0014367816091954,0.0,100.0
valimiskomisjon proteste valimiskasti,0.0014367816091954,0.0,100.0
suuria euroopasse turgis,0.0014367816091954,0.0,100.0
aardla pria pealtnagija,0.0014367816091954,0.0,100.0
kirik kiriku maarja,0.0014367816091954,0.0,100.0
tervist tervis tervisega,0.0014367816091954,0.0,100.0
valdkonnad laekumisest fikseeritakse,0.0014367816091954,0.0,100.0
koondaruande majandusaasta koondaruanne,0.0014367816091954,0.0,100.0
veb fondi uurimiskomisjon,0.0014367816091954,0.0,100.0
korrata stenogrammist vabandan,0.0014367816091954,0.0,100.0
muuseum muuseumi muuseumide,0.0014367816091954,0.0,100.0
seksuaalse vangistusega vaarkohtlemise,0.0,0.0,
rongi rongide rongid,0.0,0.0,
ts parvlaeva parvlaevad,0.0,0.0,
toovoimereformi toovoimega toovoimereform,0.0,0.0,
riigikontrolor karis riigikontrolori,0.0,0.0,
treenerite spordi sport,0.0,0.0,
hansson ardo panga,0.0,0.0,
tantsupeo laulu traditsiooni,0.0,0.0,
hambaravi hammaste hambad,0.0,0.0,
tsernoboli represseeritud oigusvastaselt,0.0,0.0,
riigimetsa majandamise noukokku,0.0,0.0,
korteriuhistu korteriomanike korteriuhistute,0.0,0.0,
rahvaalgatuse rahvaalgatus rahvahaaletus,0.0,0.0,
laari laar kandidatuuri,0.0,0.0,
energiaagentuur agentuuri agentuur,0.0,0.0,
hiv narkomaania epideemia,0.0,0.0,
idapiiri piiririba valjaehitamine,0.0,0.0,
inflatsiooni inflatsioon hinnatous,0.0,0.0,
jahimehed jahimeeste jahti,0.0,0.0,
kandidaadi kandidaati kandidaat,0.0,0.0,
kantsler kantsleri riigisekretar,0.0,0.0,
keeleoskust oskuse keeleoskuse,0.0,0.0,
kohtla jarve johvi,0.0,0.0,
kohtunike kohtususteem kohtuniku,0.0,0.0,
kolledz kolledzi turi,0.0,0.0,
koolilouna koolitoidu koolitoit,0.0,0.0,
liibanonis missioonil pikendamine,0.0,0.0,
raamatukogu pimedate raamatukogude,0.0,0.0,
lipud lippude lipp,0.0,0.0,
memorandumi moistmise memorandum,0.0,0.0,
muugimaksu muugimaks paadimaksu,0.0,0.0,
muundatud geneetiliselt gmo,0.0,0.0,
ooteala piiriuletuse piiripunkti,0.0,0.0,
oppelaenu sugava puudega,0.0,0.0,
palgalohe soolist meeste,0.0,0.0,
pensioniiga pensioniea eluiga,0.0,0.0,
piirivalve valvamise valvamine,0.0,0.0,
planeeringu keskkonnamoju keskkonnamojude,0.0,0.0,
president ilves presidendi,0.0,0.0,
puude raskusastme puuet,0.0,0.0,
erso teatri kontserdi,0.0,0.0,
utah jordaania energia,0.0,0.0021691973969631,-inf
domeenide domeeni interneti,0.0,0.0,
korruptsiooni korruptsioon korruptsiooniga,0.0,0.0021691973969631,-inf
ulikooliga kbfi instituudi,0.0,0.0021691973969631,-inf
pagulasi pagulased pagulaste,0.0,0.0021691973969631,-inf
liiklussurmade liikluses hukkunute,0.0,0.0021691973969631,-inf
piima toorpiima toodangut,0.0,0.0043383947939262,-inf
lahususe voimude lahusus,0.0,0.0043383947939262,-inf
teenistuse teenistuses avalikus,0.0,0.0043383947939262,-inf
kutsehariduse kutseharidus kutsehariduses,0.0,0.0043383947939262,-inf
piirikontrolli schengeni valispiiri,0.0,0.0021691973969631,-inf
koosoleku elektrooniline koosolekut,0.0,0.0108459869848156,-inf
danske filiaali rahapesu,0.0,0.0,
piirilepingu piirileping piirilepingut,0.0,0.0043383947939262,-inf
kohtutaiturite kohtutaitur kohtutaituri,0.0,0.0065075921908893,-inf
vaesuses suhtelises vaesuse,0.0,0.0021691973969631,-inf
oiglase virumaale ulemineku,0.0,0.0108459869848156,-inf
reklaami reklaam alkoholireklaam,0.0,0.0108459869848156,-inf
vaikesaarte saarte pusiasustusega,0.0,0.0021691973969631,-inf
tootuna arvele ariuhingu,0.0,0.0021691973969631,-inf
jalitustegevuse jalitustoimingu sideandmete,0.0,0.0021691973969631,-inf
maavalitsuste maavalitsused maakonna,0.0,0.0043383947939262,-inf
magustatud suhkrut joogi,0.0,0.0021691973969631,-inf
