topic_words3,EKRE,Reformierakond,difference
samba sammas sambasse,0.0057553956834532,0.0351213282247765,-510.2330779054957
ulejaagis struktuurses struktuurse,0.0129496402877697,0.0421455938697318,-225.4576415495977
terviseandmed isikuandmeid terviseandmeid,0.0028776978417266,0.0268199233716475,-831.9923371647567
eelarves riigieelarves reservist,0.0014388489208633,0.0229885057471264,-1497.7011494252952
rail trassi balticu,0.0028776978417266,0.020434227330779,-610.0893997445748
viirust vaktsineeritud viiruse,0.0201438848920863,0.0440613026819923,-118.73289545703352
jarviku jarvik maaeluministri,0.0071942446043165,0.0249042145593869,-246.1685823754801
maantee neljarealiseks ppp,0.0014388489208633,0.01213282247765,-743.2311621966804
eriarstide eriarstiabi eriarsti,0.0028776978417266,0.0127713920817369,-343.8058748403601
pensionifondide pensionifondid fondid,0.0014388489208633,0.0095785440613026,-565.708812260535
tulumaksuvaba maksususteemi tulumaksu,0.0057553956834532,0.0159642401021711,-177.37867177522463
koolis kooli opilased,0.0230215827338129,0.0389527458492975,-69.20098978288635
metsa metsade mets,0.0086330935251798,0.0191570881226053,-121.9029374201795
annetus erjk annetuse,0.0028776978417266,0.0095785440613026,-232.85440613026748
efsf esm kreekale,0.0028776978417266,0.0095785440613026,-232.85440613026748
louis freeh kremli,0.0043165467625899,0.0114942528735632,-166.28352490421582
lasteaia lasteaias lasteaiakoha,0.0014388489208633,0.0057471264367816,-299.4252873563238
piima toorpiima toodangut,0.0014388489208633,0.0057471264367816,-299.4252873563238
pensioni pension sammas,0.0014388489208633,0.0057471264367816,-299.4252873563238
kohtutaiturite kohtutaitur kohtutaituri,0.0028776978417266,0.0076628352490421,-166.2835249042147
korterelamute kortermajade kredexi,0.0014388489208633,0.0051085568326947,-255.04469987228396
huvigruppe huvigruppide kaasatud,0.0043165467625899,0.0089399744572158,-107.10940825883404
tootuid tootute tootu,0.0014388489208633,0.0044699872286079,-210.66411238825106
oiglase virumaale ulemineku,0.0014388489208633,0.0044699872286079,-210.66411238825106
pensionitous pensionitousu pension,0.0014388489208633,0.0044699872286079,-210.66411238825106
kaitsekulud kaitsekulutused kaitsekulude,0.0014388489208633,0.0044699872286079,-210.66411238825106
inimarengu aruanne aruandes,0.0014388489208633,0.0044699872286079,-210.66411238825106
palgatousu opetajate palgatous,0.0043165467625899,0.0083014048531289,-92.31587909748741
jaatmeid liigiti prugi,0.0014388489208633,0.003831417624521,-166.28352490421122
ametiuhingute tooandjate keskliit,0.0014388489208633,0.003831417624521,-166.28352490421122
kaasne lisakulutusi riigieelarvele,0.0014388489208633,0.003831417624521,-166.28352490421122
tulubaasi omavalitsustele omavalitsuste,0.0014388489208633,0.003831417624521,-166.28352490421122
opositsiooni koalitsioonil opositsioonil,0.0014388489208633,0.003831417624521,-166.28352490421122
ajakirjandus ajakirjanduse ajakirjandust,0.0057553956834532,0.0095785440613026,-66.42720306513374
arengufond arengufondi arengufondis,0.0028776978417266,0.0057471264367816,-99.71264367816187
virumaale virumaa toostusalade,0.0028776978417266,0.0057471264367816,-99.71264367816187
leping ratifitseerida lepinguga,0.0028776978417266,0.0057471264367816,-99.71264367816187
aasia aasias saatkonna,0.0028776978417266,0.0057471264367816,-99.71264367816187
