topic_words3,Reformierakond,Sotsiaaldemokraadid,difference
haiguspaevade haiguspaevi haiguspaeva,0.0025542784163473,0.0698924731182795,-2636.29032258073
psuhhiaatri alaealine psuhhiaatrilist,0.0025542784163473,0.0365591397849462,-1331.2903225806897
hooldekodus hoolduse hooldekodu,0.0006385696040868,0.043010752688172,-6635.483870968214
poolte kokkuleppel huvitise,0.0012771392081736,0.0236559139784946,-1752.258064516259
fie fuusilisest isikust,0.0031928480204342,0.0161290322580645,-405.16129032258436
tootuid tootute tootu,0.0044699872286079,0.0161290322580645,-260.82949308755866
lasteaia lasteaias lasteaiakoha,0.0057471264367816,0.0172043010752688,-199.35483870967764
palgatousu opetajate palgatous,0.0083014048531289,0.0204301075268817,-146.10421836228537
soita jalakaija konniteel,0.0114942528735632,0.0236559139784946,-105.80645161290334
elektri elektrit taastuvenergia,0.0070242656449553,0.0172043010752688,-144.92668621700858
riigipuha puhade tahtpaevade,0.0006385696040868,0.0086021505376344,-1247.0967741936431
elatisraha elatisabi elatise,0.0006385696040868,0.0075268817204301,-1078.7096774194376
lisaeelarve lisaeelarves lisaeelarvega,0.0063856960408684,0.0150537634408602,-135.74193548387274
rahvahaaletuse rahvahaaletus rahvahaaletusel,0.0089399744572158,0.0182795698924731,-104.47004608294996
puude raskusastme puuet,0.0006385696040868,0.0064516129032258,-910.3225806452324
korteriuhistu korteriomanike korteriuhistute,0.0019157088122605,0.0075268817204301,-292.90322580645864
vaesuses suhtelises vaesuse,0.0019157088122605,0.0075268817204301,-292.90322580645864
vabatahtlike komandode paasteameti,0.0006385696040868,0.0053763440860215,-741.9354838710268
lapsetoetust lapsetoetus lapsetoetuse,0.0006385696040868,0.0053763440860215,-741.9354838710268
pensionitous pensionitousu pension,0.0044699872286079,0.010752688172043,-140.5529953917058
kodakondsust kodakondsuse kodanikuks,0.0019157088122605,0.0064516129032258,-236.77419354839313
kaibemaksu kaibemaks kaibemaksumaara,0.0012771392081736,0.0053763440860215,-320.9677419355134
aituma infotundi jahimehed,0.0006385696040868,0.0043010752688172,-573.5483870968216
samba sammas sambasse,0.0351213282247765,0.0462365591397849,-31.648093841642094
valijate erakonda valijaid,0.0025542784163473,0.0053763440860215,-110.48387096774846
pohiseadusega riigikohus oiguskantsler,0.0070242656449553,0.010752688172043,-53.07917888563034
erimargistatud kutust kutuse,0.0012771392081736,0.0032258064516129,-152.58064516130807
korterid kortereid korterit,0.0012771392081736,0.0032258064516129,-152.58064516130807
kinnisasja maad maa,0.0006385696040868,0.0021505376344086,-236.77419354841075
oppelaenu sugava puudega,0.0006385696040868,0.0021505376344086,-236.77419354841075
hambaravi hammaste hambad,0.0006385696040868,0.0021505376344086,-236.77419354841075
konkurss konkursi konkurssi,0.0006385696040868,0.0021505376344086,-236.77419354841075
president ilves presidendi,0.0006385696040868,0.0021505376344086,-236.77419354841075
joustumine joustuma joustada,0.0083014048531289,0.0118279569892473,-42.4813895781652
arengukavad arengukavade pohialuste,0.0140485312899106,0.0182795698924731,-30.117302052785806
annetus erjk annetuse,0.0095785440613026,0.0129032258064516,-34.70967741935587
riigipalgaliste riigisektoris koondada,0.0025542784163473,0.0043010752688172,-68.38709677419878
noukogudesse ariuhingute noukogudes,0.0025542784163473,0.0043010752688172,-68.38709677419878
apteeke apteegid apteekide,0.0140485312899106,0.0172043010752688,-22.463343108504276
pealinnast tallinnast viljandisse,0.0019157088122605,0.0032258064516129,-68.38709677419658
tulubaasi omavalitsustele omavalitsuste,0.003831417624521,0.0053763440860215,-40.322580645163804
untso missioonide liikmesusest,0.0012771392081736,0.0021505376344086,-68.38709677420538
toovoimereformi toovoimega toovoimereform,0.0012771392081736,0.0021505376344086,-68.38709677420538
varude varud varu,0.0012771392081736,0.0021505376344086,-68.38709677420538
hanke hankija riigihangete,0.0031928480204342,0.0043010752688172,-34.70967741935585
elamisluba elamisloa viisa,0.0031928480204342,0.0043010752688172,-34.70967741935585
omandireformi tagastatud omandireform,0.0006385696040868,0.0010752688172043,-68.38709677420538
pagulasi pagulased pagulaste,0.0006385696040868,0.0010752688172043,-68.38709677420538
sigade katku katk,0.0006385696040868,0.0010752688172043,-68.38709677420538
kohanimenoukogu vonnu mulgi,0.0006385696040868,0.0010752688172043,-68.38709677420538
ootuse oigusparase oiguskindluse,0.0006385696040868,0.0010752688172043,-68.38709677420538
hoiu pangad pankade,0.0006385696040868,0.0010752688172043,-68.38709677420538
salastatud valisteabe riigisaladuse,0.0006385696040868,0.0010752688172043,-68.38709677420538
maavalitsuste maavalitsused maakonna,0.0006385696040868,0.0010752688172043,-68.38709677420538
kantsler kantsleri riigisekretar,0.0006385696040868,0.0010752688172043,-68.38709677420538
