topic_words3,EKRE,Fraktsioonitud,Isamaa,Keskerakond,Reformierakond,Sotsiaaldemokraadid
aardla pria pealtnagija,0.0,0.0,0.0014367816091954023,0.0,0.0,0.0
aasia aasias saatkonna,0.0028776978417266188,0.011111111111111112,0.0,0.010845986984815618,0.005747126436781609,0.0
abielu kooselu samasooliste,0.03597122302158273,0.022222222222222223,0.007183908045977011,0.0,0.0070242656449553,0.0064516129032258064
abipolitseinik abipolitseiniku abipolitseinike,0.0,0.0,0.0,0.006507592190889371,0.0019157088122605363,0.001075268817204301
aituma infotundi jahimehed,0.004316546762589928,0.0,0.0,0.0,0.0006385696040868455,0.004301075268817204
ajakirjandus ajakirjanduse ajakirjandust,0.0057553956834532375,0.011111111111111112,0.0028735632183908046,0.013015184381778741,0.009578544061302681,0.007526881720430108
alkoholi kange lahja,0.0028776978417266188,0.0,0.033045977011494254,0.02386117136659436,0.0038314176245210726,0.0032258064516129032
ametipalkade riigiteenijate korgemate,0.0,0.0,0.0028735632183908046,0.0,0.0,0.0
ametiuhingute tooandjate keskliit,0.0014388489208633094,0.0,0.007183908045977011,0.01735357917570499,0.0038314176245210726,0.002150537634408602
ammendumiseni kaheni pikendada,0.0,0.0,0.0,0.0,0.001277139208173691,0.0
annetus erjk annetuse,0.0028776978417266188,0.0,0.0014367816091954023,0.0021691973969631237,0.009578544061302681,0.012903225806451613
annetused annetusi annetuste,0.0028776978417266188,0.0,0.014367816091954023,0.0,0.0006385696040868455,0.0
apteeke apteegid apteekide,0.041726618705035974,0.03333333333333333,0.01293103448275862,0.019522776572668113,0.0140485312899106,0.017204301075268817
arengufond arengufondi arengufondis,0.0028776978417266188,0.022222222222222223,0.004310344827586207,0.004338394793926247,0.005747126436781609,0.0032258064516129032
arengukavad arengukavade pohialuste,0.010071942446043165,0.022222222222222223,0.01867816091954023,0.010845986984815618,0.0140485312899106,0.01827956989247312
borsile ipo enefit,0.0,0.0,0.007183908045977011,0.0,0.0031928480204342275,0.002150537634408602
danske filiaali rahapesu,0.014388489208633094,0.0,0.0,0.0,0.0038314176245210726,0.001075268817204301
deklaratsiooni deklaratsioone deklaratsioonis,0.0,0.0,0.0014367816091954023,0.008676789587852495,0.0,0.0
direktiivi direktiiv ulevotmise,0.008633093525179856,0.0,0.004310344827586207,0.01735357917570499,0.007662835249042145,0.002150537634408602
domeenide domeeni interneti,0.0,0.0,0.0,0.0,0.0,0.001075268817204301
eelarvele kulude riigieelarvele,0.0028776978417266188,0.0,0.005747126436781609,0.0,0.0031928480204342275,0.001075268817204301
eelarves riigieelarves reservist,0.0014388489208633094,0.0,0.04454022988505747,0.0,0.022988505747126436,0.015053763440860216
efsf esm kreekale,0.0028776978417266188,0.0,0.0028735632183908046,0.0,0.009578544061302681,0.0032258064516129032
elamisluba elamisloa viisa,0.004316546762589928,0.0,0.004310344827586207,0.0,0.0031928480204342275,0.004301075268817204
elatisraha elatisabi elatise,0.0,0.0,0.0,0.0021691973969631237,0.0006385696040868455,0.007526881720430108
elektri elektrit taastuvenergia,0.007194244604316547,0.0,0.01867816091954023,0.015184381778741865,0.0070242656449553,0.017204301075268817
energiaagentuur agentuuri agentuur,0.0,0.0,0.0,0.0,0.001277139208173691,0.0
eriarstide eriarstiabi eriarsti,0.0028776978417266188,0.0,0.0014367816091954023,0.004338394793926247,0.01277139208173691,0.00967741935483871
erimargistatud kutust kutuse,0.0,0.0,0.010057471264367816,0.0,0.001277139208173691,0.0032258064516129032
eripensioni valjateenitud staazi,0.0057553956834532375,0.011111111111111112,0.0014367816091954023,0.0,0.0006385696040868455,0.0
erso teatri kontserdi,0.0,0.0,0.0,0.0,0.001277139208173691,0.001075268817204301
est kavatsuste for,0.0,0.0,0.0,0.0021691973969631237,0.0,0.0
estonian air airi,0.0,0.0,0.0028735632183908046,0.0021691973969631237,0.001277139208173691,0.0
etv saateid pbk,0.011510791366906475,0.03333333333333333,0.0014367816091954023,0.021691973969631236,0.009578544061302681,0.005376344086021506
fie fuusilisest isikust,0.0,0.011111111111111112,0.010057471264367816,0.0021691973969631237,0.0031928480204342275,0.016129032258064516
haale valimispaeval valimiste,0.0028776978417266188,0.0,0.004310344827586207,0.0021691973969631237,0.0019157088122605363,0.001075268817204301
haaletamissedel haaletamiskasti sedeli,0.0,0.0,0.0,0.0021691973969631237,0.0,0.0
hadaolukorda eriolukord eriolukorra,0.03597122302158273,0.011111111111111112,0.031609195402298854,0.06941431670281996,0.027458492975734355,0.024731182795698924
haiguspaevade haiguspaevi haiguspaeva,0.0,0.011111111111111112,0.014367816091954023,0.026030368763557483,0.002554278416347382,0.06989247311827956
hambaravi hammaste hambad,0.0,0.0,0.0,0.0,0.0006385696040868455,0.002150537634408602
hanke hankija riigihangete,0.004316546762589928,0.0,0.007183908045977011,0.0,0.0031928480204342275,0.004301075268817204
hansson ardo panga,0.0,0.0,0.0,0.0,0.0006385696040868455,0.0
hiv narkomaania epideemia,0.0,0.0,0.0,0.0,0.001277139208173691,0.0
hoiu pangad pankade,0.0014388489208633094,0.022222222222222223,0.004310344827586207,0.0,0.0006385696040868455,0.001075268817204301
hooldekodus hoolduse hooldekodu,0.0028776978417266188,0.0,0.0028735632183908046,0.004338394793926247,0.0006385696040868455,0.043010752688172046
hoone rkas hoonet,0.0028776978417266188,0.011111111111111112,0.0028735632183908046,0.0021691973969631237,0.0031928480204342275,0.002150537634408602
humni humn laulda,0.0,0.0,0.0014367816091954023,0.004338394793926247,0.0,0.001075268817204301
huvigruppe huvigruppide kaasatud,0.004316546762589928,0.011111111111111112,0.007183908045977011,0.01735357917570499,0.008939974457215836,0.0064516129032258064
huvihariduse huvitegevuse huviharidus,0.0,0.0,0.0014367816091954023,0.0021691973969631237,0.0,0.0
id mobiil kaardi,0.0,0.0,0.0028735632183908046,0.0021691973969631237,0.0,0.0
idapiiri piiririba valjaehitamine,0.0,0.0,0.0,0.0,0.001277139208173691,0.0
iive sundimus iibe,0.0014388489208633094,0.0,0.0014367816091954023,0.0,0.001277139208173691,0.0
inflatsiooni inflatsioon hinnatous,0.0,0.0,0.0,0.0,0.0006385696040868455,0.0
inimarengu aruanne aruandes,0.0014388489208633094,0.0,0.004310344827586207,0.0021691973969631237,0.004469987228607918,0.004301075268817204
jaatmeid liigiti prugi,0.0014388489208633094,0.022222222222222223,0.004310344827586207,0.0021691973969631237,0.0038314176245210726,0.0
jahimehed jahimeeste jahti,0.0014388489208633094,0.011111111111111112,0.0,0.0,0.001277139208173691,0.0
jalitustegevuse jalitustoimingu sideandmete,0.0028776978417266188,0.0,0.0,0.0021691973969631237,0.001277139208173691,0.0
jarviku jarvik maaeluministri,0.007194244604316547,0.03333333333333333,0.0028735632183908046,0.0,0.02490421455938697,0.010752688172043012
joustumine joustuma joustada,0.014388489208633094,0.011111111111111112,0.014367816091954023,0.006507592190889371,0.008301404853128991,0.011827956989247311
kaasne lisakulutusi riigieelarvele,0.0014388489208633094,0.0,0.004310344827586207,0.004338394793926247,0.0038314176245210726,0.002150537634408602
kaibemaksu kaibemaks kaibemaksumaara,0.0014388489208633094,0.0,0.0028735632183908046,0.0,0.001277139208173691,0.005376344086021506
kaitsekulud kaitsekulutused kaitsekulude,0.0014388489208633094,0.0,0.0028735632183908046,0.0,0.004469987228607918,0.0
kaitseliit kaitseliidule kaitseliidu,0.011510791366906475,0.0,0.0028735632183908046,0.0021691973969631237,0.0019157088122605363,0.001075268817204301
kala kalurid kalurite,0.0014388489208633094,0.0,0.017241379310344827,0.0021691973969631237,0.001277139208173691,0.0
kandidaadi kandidaati kandidaat,0.0014388489208633094,0.0,0.0,0.0,0.0031928480204342275,0.002150537634408602
kandidaati kandidaat valituks,0.0014388489208633094,0.0,0.0028735632183908046,0.008676789587852495,0.0019157088122605363,0.0
kandideerima ametikohale kandidaatide,0.0,0.0,0.0,0.0021691973969631237,0.0,0.001075268817204301
kantsler kantsleri riigisekretar,0.0,0.0,0.0,0.0,0.0006385696040868455,0.001075268817204301
karistuse karistus tingimisi,0.010071942446043165,0.0,0.005747126436781609,0.0,0.004469987228607918,0.002150537634408602
kasvavad tuleval kasv,0.0014388489208633094,0.011111111111111112,0.005747126436781609,0.008676789587852495,0.0,0.0
katteallikas katteallikaid katteallikat,0.0014388489208633094,0.011111111111111112,0.0028735632183908046,0.010845986984815618,0.0006385696040868455,0.0
kauguhendus avaksite ettekandjalt,0.004316546762589928,0.0,0.0028735632183908046,0.0021691973969631237,0.002554278416347382,0.0032258064516129032
keeleoskust oskuse keeleoskuse,0.0014388489208633094,0.0,0.0,0.0,0.0019157088122605363,0.0
keskkonnaameti uhendamine uhendamise,0.007194244604316547,0.0,0.0014367816091954023,0.006507592190889371,0.005108556832694764,0.001075268817204301
kinnisasja maad maa,0.0057553956834532375,0.0,0.0028735632183908046,0.006507592190889371,0.0006385696040868455,0.002150537634408602
kinnitamise paevakorra paevakord,0.0,0.0,0.0014367816091954023,0.0021691973969631237,0.0,0.0
kirik kiriku maarja,0.0028776978417266188,0.0,0.0014367816091954023,0.0,0.0006385696040868455,0.0
kodakondsust kodakondsuse kodanikuks,0.02158273381294964,0.03333333333333333,0.005747126436781609,0.006507592190889371,0.0019157088122605363,0.0064516129032258064
