topic_words3,Isamaa,Reformierakond,difference
koolis kooli opilased,0.0100574712643678,0.0389527458492975,-287.3015873015872
jarviku jarvik maaeluministri,0.0028735632183908,0.0249042145593869,-766.6666666666655
rail trassi balticu,0.0014367816091954,0.020434227330779,-1322.2222222222208
eriarstide eriarstiabi eriarsti,0.0014367816091954,0.0127713920817369,-788.8888888888896
viirust vaktsineeritud viiruse,0.0244252873563218,0.0440613026819923,-80.39215686274524
louis freeh kremli,0.0014367816091954,0.0114942528735632,-699.9999999999999
etv saateid pbk,0.0014367816091954,0.0095785440613026,-566.666666666662
annetus erjk annetuse,0.0014367816091954,0.0095785440613026,-566.666666666662
krimmi agressiooni ukraina,0.007183908045977,0.0178799489144316,-148.88888888888826
rahvahaaletuse rahvahaaletus rahvahaaletusel,0.0014367816091954,0.0089399744572158,-522.2222222222207
toonadalal istungid taiendaval,0.0100574712643678,0.0210727969348659,-109.52380952380987
efsf esm kreekale,0.0028735632183908,0.0095785440613026,-233.33333333333104
ajakirjandus ajakirjanduse ajakirjandust,0.0028735632183908,0.0095785440613026,-233.33333333333104
tulumaksuvaba maksususteemi tulumaksu,0.0086206896551724,0.0159642401021711,-85.18518518518505
ulejaagis struktuurses struktuurse,0.0301724137931034,0.0421455938697318,-39.68253968253991
rahvuse rahvust rahvusriik,0.0043103448275862,0.0095785440613026,-122.22222222222068
keskkonnaameti uhendamine uhendamise,0.0014367816091954,0.0051085568326947,-255.5555555555517
tootuid tootute tootu,0.0014367816091954,0.0044699872286079,-211.11111111111035
uuring uuringut uuringu,0.0014367816091954,0.0044699872286079,-211.11111111111035
riigireformi riigireformist riigireform,0.0014367816091954,0.003831417624521,-166.66666666666208
riigikontrolli auditi auditit,0.0014367816091954,0.003831417624521,-166.66666666666208
soita jalakaija konniteel,0.007183908045977,0.0114942528735632,-59.999999999999986
teadus teaduse arendustegevuse,0.0057471264367816,0.0095785440613026,-66.66666666666552
direktiivi direktiiv ulevotmise,0.0043103448275862,0.0076628352490421,-77.77777777777702
majandusaasta koondaruanne raamatupidamise,0.0057471264367816,0.0089399744572158,-55.55555555555518
