topic_words3,Fraktsioonitud,Sotsiaaldemokraadid,difference
haiguspaevade haiguspaevi haiguspaeva,0.0111111111111111,0.0698924731182795,-529.0322580645161
hadaolukorda eriolukord eriolukorra,0.0111111111111111,0.0247311827956989,-122.58064516129032
fie fuusilisest isikust,0.0111111111111111,0.0161290322580645,-45.16129032258064
metsa metsade mets,0.0111111111111111,0.0129032258064516,-16.12903225806453
joustumine joustuma joustada,0.0111111111111111,0.0118279569892473,-6.451612903225805
arengukavad arengukavade pohialuste,0.0222222222222222,0.0182795698924731,17.741935483870957
lasteaia lasteaias lasteaiakoha,0.0222222222222222,0.0172043010752688,22.58064516129032
ajakirjandus ajakirjanduse ajakirjandust,0.0111111111111111,0.0075268817204301,32.258064516129025
huvigruppe huvigruppide kaasatud,0.0111111111111111,0.0064516129032258,41.93548387096774
soita jalakaija konniteel,0.0333333333333333,0.0236559139784946,29.03225806451613
tulubaasi omavalitsustele omavalitsuste,0.0111111111111111,0.0053763440860215,51.61290322580645
krimmi agressiooni ukraina,0.0111111111111111,0.0053763440860215,51.61290322580645
noukogudesse ariuhingute noukogudes,0.0111111111111111,0.0043010752688172,61.29032258064516
oiglase virumaale ulemineku,0.0111111111111111,0.0032258064516129,70.96774193548386
korterid kortereid korterit,0.0111111111111111,0.0032258064516129,70.96774193548386
pohiseadusega riigikohus oiguskantsler,0.0222222222222222,0.010752688172043,51.61290322580645
hoone rkas hoonet,0.0111111111111111,0.0021505376344086,80.64516129032259
virumaale virumaa toostusalade,0.0111111111111111,0.0021505376344086,80.64516129032259
teadus teaduse arendustegevuse,0.0111111111111111,0.0021505376344086,80.64516129032259
tulumaksuvaba maksususteemi tulumaksu,0.0111111111111111,0.0021505376344086,80.64516129032259
tooandja tooandjal tootaja,0.0111111111111111,0.0021505376344086,80.64516129032259
apteeke apteegid apteekide,0.0333333333333333,0.0172043010752688,48.387096774193544
relva relvade relvaluba,0.0111111111111111,0.0010752688172043,90.32258064516128
otsevalimise presidenti presidendi,0.0111111111111111,0.0010752688172043,90.32258064516128
abielu kooselu samasooliste,0.0222222222222222,0.0064516129032258,70.96774193548386
lapsetoetust lapsetoetus lapsetoetuse,0.0222222222222222,0.0053763440860215,75.80645161290323
toonadalal istungid taiendaval,0.0222222222222222,0.0053763440860215,75.80645161290323
hoiu pangad pankade,0.0222222222222222,0.0010752688172043,95.16129032258064
rahvuse rahvust rahvusriik,0.0222222222222222,0.0010752688172043,95.16129032258064
valispoliitika valispoliitikas diplomaatia,0.0222222222222222,0.0043010752688172,80.64516129032259
arengufond arengufondi arengufondis,0.0222222222222222,0.0032258064516129,85.48387096774192
louis freeh kremli,0.0222222222222222,0.0021505376344086,90.32258064516128
jarviku jarvik maaeluministri,0.0333333333333333,0.010752688172043,67.74193548387096
vagivallale vihakone ohutamine,0.0333333333333333,0.0086021505376344,74.19354838709677
vaesuses suhtelises vaesuse,0.0333333333333333,0.0075268817204301,77.41935483870968
kodakondsust kodakondsuse kodanikuks,0.0333333333333333,0.0064516129032258,80.64516129032258
etv saateid pbk,0.0333333333333333,0.0053763440860215,83.87096774193547
pensionitous pensionitousu pension,0.0444444444444444,0.010752688172043,75.80645161290323
valimisliitude volikogusse volikokku,0.0888888888888888,0.0021505376344086,97.58064516129032
teenistuse teenistuses avalikus,0.0333333333333333,0.0,100.0
valimiskomisjon proteste valimiskasti,0.0333333333333333,0.0,100.0
jaatmeid liigiti prugi,0.0222222222222222,0.0,100.0
aasia aasias saatkonna,0.0111111111111111,0.0,100.0
muugimaksu muugimaks paadimaksu,0.0111111111111111,0.0,100.0
eripensioni valjateenitud staazi,0.0111111111111111,0.0,100.0
jahimehed jahimeeste jahti,0.0111111111111111,0.0,100.0
kasvavad tuleval kasv,0.0111111111111111,0.0,100.0
katteallikas katteallikaid katteallikat,0.0111111111111111,0.0,100.0
raamatukogu pimedate raamatukogude,0.0111111111111111,0.0,100.0
rahvaalgatuse rahvaalgatus rahvahaaletus,0.0111111111111111,0.0,100.0
aardla pria pealtnagija,0.0,0.0,
volitust kaasuses jarvik,0.0,0.0021505376344086,-inf
korruptsiooni korruptsioon korruptsiooniga,0.0,0.0010752688172043,-inf
