topic_words3,EKRE,Fraktsioonitud,difference
valimisliitude volikogusse volikokku,0.0043165467625899,0.0888888888888888,-1959.2592592592705
pensionitous pensionitousu pension,0.0014388489208633,0.0444444444444444,-2988.8888888889055
jarviku jarvik maaeluministri,0.0071942446043165,0.0333333333333333,-363.3333333333358
valimiskomisjon proteste valimiskasti,0.0014388489208633,0.0333333333333333,-2216.6666666666792
vaesuses suhtelises vaesuse,0.0014388489208633,0.0333333333333333,-2216.6666666666792
teenistuse teenistuses avalikus,0.0014388489208633,0.0333333333333333,-2216.6666666666792
soita jalakaija konniteel,0.0100719424460431,0.0333333333333333,-230.95238095238275
lapsetoetust lapsetoetus lapsetoetuse,0.0028776978417266,0.0222222222222222,-672.2222222222264
arengufond arengufondi arengufondis,0.0028776978417266,0.0222222222222222,-672.2222222222264
jaatmeid liigiti prugi,0.0014388489208633,0.0222222222222222,-1444.4444444444525
hoiu pangad pankade,0.0014388489208633,0.0222222222222222,-1444.4444444444525
lasteaia lasteaias lasteaiakoha,0.0014388489208633,0.0222222222222222,-1444.4444444444525
etv saateid pbk,0.0115107913669064,0.0333333333333333,-189.5833333333349
valispoliitika valispoliitikas diplomaatia,0.0043165467625899,0.0222222222222222,-414.8148148148176
louis freeh kremli,0.0043165467625899,0.0222222222222222,-414.8148148148176
rahvuse rahvust rahvusriik,0.0086330935251798,0.0222222222222222,-157.40740740740878
oiglase virumaale ulemineku,0.0014388489208633,0.0111111111111111,-672.2222222222264
kasvavad tuleval kasv,0.0014388489208633,0.0111111111111111,-672.2222222222264
tulubaasi omavalitsustele omavalitsuste,0.0014388489208633,0.0111111111111111,-672.2222222222264
katteallikas katteallikaid katteallikat,0.0014388489208633,0.0111111111111111,-672.2222222222264
jahimehed jahimeeste jahti,0.0014388489208633,0.0111111111111111,-672.2222222222264
rahvaalgatuse rahvaalgatus rahvahaaletus,0.0014388489208633,0.0111111111111111,-672.2222222222264
raamatukogu pimedate raamatukogude,0.0014388489208633,0.0111111111111111,-672.2222222222264
arengukavad arengukavade pohialuste,0.0100719424460431,0.0222222222222222,-120.63492063492183
vagivallale vihakone ohutamine,0.018705035971223,0.0333333333333333,-78.20512820512823
korterid kortereid korterit,0.0028776978417266,0.0111111111111111,-286.1111111111132
aasia aasias saatkonna,0.0028776978417266,0.0111111111111111,-286.1111111111132
relva relvade relvaluba,0.0028776978417266,0.0111111111111111,-286.1111111111132
hoone rkas hoonet,0.0028776978417266,0.0111111111111111,-286.1111111111132
virumaale virumaa toostusalade,0.0028776978417266,0.0111111111111111,-286.1111111111132
noukogudesse ariuhingute noukogudes,0.0028776978417266,0.0111111111111111,-286.1111111111132
huvigruppe huvigruppide kaasatud,0.0043165467625899,0.0111111111111111,-157.40740740740878
tooandja tooandjal tootaja,0.0043165467625899,0.0111111111111111,-157.40740740740878
otsevalimise presidenti presidendi,0.0043165467625899,0.0111111111111111,-157.40740740740878
kodakondsust kodakondsuse kodanikuks,0.0215827338129496,0.0333333333333333,-54.44444444444457
tulumaksuvaba maksususteemi tulumaksu,0.0057553956834532,0.0111111111111111,-93.0555555555566
eripensioni valjateenitud staazi,0.0057553956834532,0.0111111111111111,-93.0555555555566
ajakirjandus ajakirjanduse ajakirjandust,0.0057553956834532,0.0111111111111111,-93.0555555555566
metsa metsade mets,0.0086330935251798,0.0111111111111111,-28.7037037037044
toonadalal istungid taiendaval,0.0201438848920863,0.0222222222222222,-10.317460317460363
teadus teaduse arendustegevuse,0.0115107913669064,0.0111111111111111,3.4722222222217005
pohiseadusega riigikohus oiguskantsler,0.0244604316546762,0.0222222222222222,9.150326797385496
joustumine joustuma joustada,0.014388489208633,0.0111111111111111,22.77777777777736
krimmi agressiooni ukraina,0.0158273381294964,0.0111111111111111,29.797979797979856
apteeke apteegid apteekide,0.0417266187050359,0.0333333333333333,20.114942528735575
abielu kooselu samasooliste,0.0359712230215827,0.0222222222222222,38.22222222222222
hadaolukorda eriolukord eriolukorra,0.0359712230215827,0.0111111111111111,69.11111111111111
rahvahaaletuse rahvahaaletus rahvahaaletusel,0.0589928057553956,0.0,100.0
opositsioonis koalitsiooni opositsiooni,0.0302158273381294,0.0,100.0
koolis kooli opilased,0.0230215827338129,0.0,100.0
viirust vaktsineeritud viiruse,0.0201438848920863,0.0,100.0
prokuratuur prokuratuuri prokuror,0.0172661870503597,0.0,100.0
danske filiaali rahapesu,0.014388489208633,0.0,100.0
moisteid moiste moisted,0.014388489208633,0.0,100.0
psuhhiaatri alaealine psuhhiaatrilist,0.014388489208633,0.0,100.0
ulejaagis struktuurses struktuurse,0.0129496402877697,0.0,100.0
liitlaste ohutorje keskmaa,0.0129496402877697,0.0,100.0
kaitseliit kaitseliidule kaitseliidu,0.0115107913669064,0.0,100.0
slovakkia ungari portugal,0.0115107913669064,0.0,100.0
missiooni missioonile missioon,0.0115107913669064,0.0,100.0
valijate erakonda valijaid,0.0115107913669064,0.0,100.0
karistuse karistus tingimisi,0.0100719424460431,0.0,100.0
konkurss konkursi konkurssi,0.0086330935251798,0.0,100.0
direktiivi direktiiv ulevotmise,0.0086330935251798,0.0,100.0
loomi loomade loomad,0.0086330935251798,0.0,100.0
tarbijakaitse amet ametile,0.0071942446043165,0.0,100.0
pollumeestele pollumehi pollumehed,0.0071942446043165,0.0,100.0
elektri elektrit taastuvenergia,0.0071942446043165,0.0,100.0
