name,faction,koosseis,from,to,name_clean
Raivo Aeg,Isamaa fraktsioon,xiii,2015-03-30,2019-04-03,Raivo Aeg
Sven Sester,Isamaa fraktsioon,xiii,2015-03-30,2019-04-03,Sven Sester
Tarmo Kruusimäe,Isamaa fraktsioon,xiii,2015-03-30,2019-04-03,Tarmo Kruusimäe
Viktoria Ladõnskaja-Kubits,Isamaa fraktsioon,xiii,2015-03-30,2019-04-03,Viktoria Ladõnskaja-Kubits
Jevgeni Ossinovski,Sotsiaaldemokraatliku Erakonna fraktsioon,xiii,2015-03-30,2019-04-03,Jevgeni Ossinovski
Kalvi Kõva,Sotsiaaldemokraatliku Erakonna fraktsioon,xiii,2015-03-30,2019-04-03,Kalvi Kõva
Heljo Pikhof,Sotsiaaldemokraatliku Erakonna fraktsioon,xiii,2015-03-30,2019-04-03,Heljo Pikhof
Barbi Pilvre,Sotsiaaldemokraatliku Erakonna fraktsioon,xiii,2015-03-30,2019-04-03,Barbi Pilvre
Eiki Nestor,Sotsiaaldemokraatliku Erakonna fraktsioon,xiii,2015-03-30,2019-04-03,Eiki Nestor
Hannes Hanso,Sotsiaaldemokraatliku Erakonna fraktsioon,xiii,2015-03-30,2019-04-03,Hannes Hanso
Hardi Volmer,Sotsiaaldemokraatliku Erakonna fraktsioon,xiii,2015-03-30,2019-04-03,Hardi Volmer
Helmen Kütt,Sotsiaaldemokraatliku Erakonna fraktsioon,xiii,2015-03-30,2019-04-03,Helmen Kütt
Inara Luigas,Sotsiaaldemokraatliku Erakonna fraktsioon,xiii,2015-03-30,2019-04-03,Inara Luigas
Jaanus Marrandi,Sotsiaaldemokraatliku Erakonna fraktsioon,xiii,2015-03-30,2019-04-03,Jaanus Marrandi
Marianne Mikko,Sotsiaaldemokraatliku Erakonna fraktsioon,xiii,2015-03-30,2019-04-03,Marianne Mikko
Rainer Vakra,Sotsiaaldemokraatliku Erakonna fraktsioon,xiii,2015-03-30,2019-04-03,Rainer Vakra
Tanel Talve,Sotsiaaldemokraatliku Erakonna fraktsioon,xiii,2015-03-30,2019-04-03,Tanel Talve
Toomas Jürgenstein,Sotsiaaldemokraatliku Erakonna fraktsioon,xiii,2015-03-30,2019-04-03,Toomas Jürgenstein
Artur Talvik,Fraktsiooni mittekuuluvad saadikud,xiii,2015-03-30,2019-04-03,Artur Talvik
Margus Tsahkna,Fraktsiooni mittekuuluvad saadikud,xiii,2015-03-30,2019-04-03,Margus Tsahkna
Marko Mihkelson,Fraktsiooni mittekuuluvad saadikud,xiii,2015-03-30,2019-04-03,Marko Mihkelson
Monika Haukanõmm,Fraktsiooni mittekuuluvad saadikud,xiii,2015-03-30,2019-04-03,Monika Haukanõmm
Olga Ivanova,Fraktsiooni mittekuuluvad saadikud,xiii,2015-03-30,2019-04-03,Olga Ivanova
Peeter Ernits,Fraktsiooni mittekuuluvad saadikud,xiii,2015-03-30,2019-04-03,Peeter Ernits
Tiina Kangro,Fraktsiooni mittekuuluvad saadikud,xiii,2015-03-30,2019-04-03,Tiina Kangro
Urve Palo,Fraktsiooni mittekuuluvad saadikud,xiii,2015-03-30,2019-04-03,Urve Palo
Jaanus Karilaid,Eesti Keskerakonna fraktsioon,xiv,2019-04-04,2023-04-09,Jaanus Karilaid
Dmitri Dmitrijev,Eesti Keskerakonna fraktsioon,xiv,2019-04-04,2023-04-09,Dmitri Dmitrijev
Kersti Sarapuu,Eesti Keskerakonna fraktsioon,xiv,2019-04-04,2023-04-09,Kersti Sarapuu
Liikmed,Eesti Keskerakonna fraktsioon,xiv,2019-04-04,2023-04-09,Liikmed
Aadu Must,Eesti Keskerakonna fraktsioon,xiv,2019-04-04,2023-04-09,Aadu Must
Anneli Ott,Eesti Keskerakonna fraktsioon,xiv,2019-04-04,2023-04-09,Anneli Ott
Enn Eesmaa,Eesti Keskerakonna fraktsioon,xiv,2019-04-04,2023-04-09,Enn Eesmaa
Erki Savisaar,Eesti Keskerakonna fraktsioon,xiv,2019-04-04,2023-04-09,Erki Savisaar
Igor Kravtšenko,Eesti Keskerakonna fraktsioon,xiv,2019-04-04,2023-04-09,Igor Kravtšenko
Jaak Aab,Eesti Keskerakonna fraktsioon,xiv,2019-04-04,2023-04-09,Jaak Aab
Jüri Ratas,Eesti Keskerakonna fraktsioon,xiv,2019-04-04,2023-04-09,Jüri Ratas
Kaido Höövelson,Eesti Keskerakonna fraktsioon,xiv,2019-04-04,2023-04-09,Kaido Höövelson
Mailis Reps,Eesti Keskerakonna fraktsioon,xiv,2019-04-04,2023-04-09,Mailis Reps
Marek Jürgenson,Eesti Keskerakonna fraktsioon,xiv,2019-04-04,2023-04-09,Marek Jürgenson
Maria Jufereva-Skuratovski,Eesti Keskerakonna fraktsioon,xiv,2019-04-04,2023-04-09,Maria Jufereva-Skuratovski
Marika Tuus-Laul,Eesti Keskerakonna fraktsioon,xiv,2019-04-04,2023-04-09,Marika Tuus-Laul
Marko Šorin,Eesti Keskerakonna fraktsioon,xiv,2019-04-04,2023-04-09,Marko Šorin
Mihhail Korb,Eesti Keskerakonna fraktsioon,xiv,2019-04-04,2023-04-09,Mihhail Korb
Natalia Malleus,Eesti Keskerakonna fraktsioon,xiv,2019-04-04,2023-04-09,Natalia Malleus
Siret Kotka,Eesti Keskerakonna fraktsioon,xiv,2019-04-04,2023-04-09,Siret Kotka
Taavi Aas,Eesti Keskerakonna fraktsioon,xiv,2019-04-04,2023-04-09,Taavi Aas
Tarmo Tamm,Eesti Keskerakonna fraktsioon,xiv,2019-04-04,2023-04-09,Tarmo Tamm
Tõnis Mölder,Eesti Keskerakonna fraktsioon,xiv,2019-04-04,2023-04-09,Tõnis Mölder
Viktor Vassiljev,Eesti Keskerakonna fraktsioon,xiv,2019-04-04,2023-04-09,Viktor Vassiljev
Henn Põlluaas,Eesti Konservatiivse Rahvaerakonna fraktsioon,xiv,2019-04-04,2023-04-09,Henn Põlluaas
Helle-Moonika Helme,Eesti Konservatiivse Rahvaerakonna fraktsioon,xiv,2019-04-04,2023-04-09,Helle-Moonika Helme
Siim Pohlak,Eesti Konservatiivse Rahvaerakonna fraktsioon,xiv,2019-04-04,2023-04-09,Siim Pohlak
Liikmed,Eesti Konservatiivse Rahvaerakonna fraktsioon,xiv,2019-04-04,2023-04-09,Liikmed
Alar Laneman,Eesti Konservatiivse Rahvaerakonna fraktsioon,xiv,2019-04-04,2023-04-09,Alar Laneman
Anti Poolamets,Eesti Konservatiivse Rahvaerakonna fraktsioon,xiv,2019-04-04,2023-04-09,Anti Poolamets
Jaak Valge,Eesti Konservatiivse Rahvaerakonna fraktsioon,xiv,2019-04-04,2023-04-09,Jaak Valge
Kalle Grünthal,Eesti Konservatiivse Rahvaerakonna fraktsioon,xiv,2019-04-04,2023-04-09,Kalle Grünthal
Kert Kingo,Eesti Konservatiivse Rahvaerakonna fraktsioon,xiv,2019-04-04,2023-04-09,Kert Kingo
Leo Kunnas,Eesti Konservatiivse Rahvaerakonna fraktsioon,xiv,2019-04-04,2023-04-09,Leo Kunnas
Mart Helme,Eesti Konservatiivse Rahvaerakonna fraktsioon,xiv,2019-04-04,2023-04-09,Mart Helme
Martin Helme,Eesti Konservatiivse Rahvaerakonna fraktsioon,xiv,2019-04-04,2023-04-09,Martin Helme
Merry Aart,Eesti Konservatiivse Rahvaerakonna fraktsioon,xiv,2019-04-04,2023-04-09,Merry Aart
Paul Puustusmaa,Eesti Konservatiivse Rahvaerakonna fraktsioon,xiv,2019-04-04,2023-04-09,Paul Puustusmaa
Peeter Ernits,Eesti Konservatiivse Rahvaerakonna fraktsioon,xiv,2019-04-04,2023-04-09,Peeter Ernits
Rene Kokk,Eesti Konservatiivse Rahvaerakonna fraktsioon,xiv,2019-04-04,2023-04-09,Rene Kokk
Riho Breivel,Eesti Konservatiivse Rahvaerakonna fraktsioon,xiv,2019-04-04,2023-04-09,Riho Breivel
Ruuben Kaalep,Eesti Konservatiivse Rahvaerakonna fraktsioon,xiv,2019-04-04,2023-04-09,Ruuben Kaalep
Uno Kaskpeit,Eesti Konservatiivse Rahvaerakonna fraktsioon,xiv,2019-04-04,2023-04-09,Uno Kaskpeit
Urmas Reitelmann,Eesti Konservatiivse Rahvaerakonna fraktsioon,xiv,2019-04-04,2023-04-09,Urmas Reitelmann
Mart Võrklaev,Eesti Reformierakonna fraktsioon,xiv,2019-04-04,2023-04-09,Mart Võrklaev
Erkki Keldo,Eesti Reformierakonna fraktsioon,xiv,2019-04-04,2023-04-09,Erkki Keldo
Heidy Purga,Eesti Reformierakonna fraktsioon,xiv,2019-04-04,2023-04-09,Heidy Purga
Liikmed,Eesti Reformierakonna fraktsioon,xiv,2019-04-04,2023-04-09,Liikmed
Aivar Sõerd,Eesti Reformierakonna fraktsioon,xiv,2019-04-04,2023-04-09,Aivar Sõerd
Andres Sutt,Eesti Reformierakonna fraktsioon,xiv,2019-04-04,2023-04-09,Andres Sutt
Andrus Seeme,Eesti Reformierakonna fraktsioon,xiv,2019-04-04,2023-04-09,Andrus Seeme
Ants Laaneots,Eesti Reformierakonna fraktsioon,xiv,2019-04-04,2023-04-09,Ants Laaneots
Eerik-Niiles Kross,Eesti Reformierakonna fraktsioon,xiv,2019-04-04,2023-04-09,Eerik-Niiles Kross
Heiki Kranich,Eesti Reformierakonna fraktsioon,xiv,2019-04-04,2023-04-09,Heiki Kranich
Hele Everaus,Eesti Reformierakonna fraktsioon,xiv,2019-04-04,2023-04-09,Hele Everaus
Ivi Eenmaa,Eesti Reformierakonna fraktsioon,xiv,2019-04-04,2023-04-09,Ivi Eenmaa
Jürgen Ligi,Eesti Reformierakonna fraktsioon,xiv,2019-04-04,2023-04-09,Jürgen Ligi
Jüri Jaanson,Eesti Reformierakonna fraktsioon,xiv,2019-04-04,2023-04-09,Jüri Jaanson
Kalle Laanet,Eesti Reformierakonna fraktsioon,xiv,2019-04-04,2023-04-09,Kalle Laanet
Kristen Michal,Eesti Reformierakonna fraktsioon,xiv,2019-04-04,2023-04-09,Kristen Michal
Kristina Šmigun-Vähi,Eesti Reformierakonna fraktsioon,xiv,2019-04-04,2023-04-09,Kristina Šmigun-Vähi
Liina Kersna,Eesti Reformierakonna fraktsioon,xiv,2019-04-04,2023-04-09,Liina Kersna
Margit Sutrop,Eesti Reformierakonna fraktsioon,xiv,2019-04-04,2023-04-09,Margit Sutrop
Maris Lauri,Eesti Reformierakonna fraktsioon,xiv,2019-04-04,2023-04-09,Maris Lauri
Marko Mihkelson,Eesti Reformierakonna fraktsioon,xiv,2019-04-04,2023-04-09,Marko Mihkelson
Marko Torm,Eesti Reformierakonna fraktsioon,xiv,2019-04-04,2023-04-09,Marko Torm
Mati Raidma,Eesti Reformierakonna fraktsioon,xiv,2019-04-04,2023-04-09,Mati Raidma
Signe Kivi,Eesti Reformierakonna fraktsioon,xiv,2019-04-04,2023-04-09,Signe Kivi
Siim Kallas,Eesti Reformierakonna fraktsioon,xiv,2019-04-04,2023-04-09,Siim Kallas
Sulev Kannimäe,Eesti Reformierakonna fraktsioon,xiv,2019-04-04,2023-04-09,Sulev Kannimäe
Timo Suslov,Eesti Reformierakonna fraktsioon,xiv,2019-04-04,2023-04-09,Timo Suslov
Toomas Järveoja,Eesti Reformierakonna fraktsioon,xiv,2019-04-04,2023-04-09,Toomas Järveoja
Toomas Kivimägi,Eesti Reformierakonna fraktsioon,xiv,2019-04-04,2023-04-09,Toomas Kivimägi
Urve Tiidus,Eesti Reformierakonna fraktsioon,xiv,2019-04-04,2023-04-09,Urve Tiidus
Valdo Randpere,Eesti Reformierakonna fraktsioon,xiv,2019-04-04,2023-04-09,Valdo Randpere
Vilja Toomast,Eesti Reformierakonna fraktsioon,xiv,2019-04-04,2023-04-09,Vilja Toomast
Yoko Alender,Eesti Reformierakonna fraktsioon,xiv,2019-04-04,2023-04-09,Yoko Alender
Õnne Pillak,Eesti Reformierakonna fraktsioon,xiv,2019-04-04,2023-04-09,Õnne Pillak
Ülle Rajasalu,Eesti Reformierakonna fraktsioon,xiv,2019-04-04,2023-04-09,Ülle Rajasalu
Priit Sibul,Isamaa fraktsioon,xiv,2019-04-04,2023-04-09,Priit Sibul
Tarmo Kruusimäe,Isamaa fraktsioon,xiv,2019-04-04,2023-04-09,Tarmo Kruusimäe
Liikmed,Isamaa fraktsioon,xiv,2019-04-04,2023-04-09,Liikmed
Aivar Kokk,Isamaa fraktsioon,xiv,2019-04-04,2023-04-09,Aivar Kokk
Andres Metsoja,Isamaa fraktsioon,xiv,2019-04-04,2023-04-09,Andres Metsoja
Heiki Hepner,Isamaa fraktsioon,xiv,2019-04-04,2023-04-09,Heiki Hepner
Helir-Valdor Seeder,Isamaa fraktsioon,xiv,2019-04-04,2023-04-09,Helir-Valdor Seeder
Mihhail Lotman,Isamaa fraktsioon,xiv,2019-04-04,2023-04-09,Mihhail Lotman
Raivo Tamm,Isamaa fraktsioon,xiv,2019-04-04,2023-04-09,Raivo Tamm
Sven Sester,Isamaa fraktsioon,xiv,2019-04-04,2023-04-09,Sven Sester
Viktoria Ladõnskaja-Kubits,Isamaa fraktsioon,xiv,2019-04-04,2023-04-09,Viktoria Ladõnskaja-Kubits
Üllar Saaremäe,Isamaa fraktsioon,xiv,2019-04-04,2023-04-09,Üllar Saaremäe
Indrek Saar,Sotsiaaldemokraatliku Erakonna fraktsioon,xiv,2019-04-04,2023-04-09,Indrek Saar
Kalvi Kõva,Sotsiaaldemokraatliku Erakonna fraktsioon,xiv,2019-04-04,2023-04-09,Kalvi Kõva
Liikmed,Sotsiaaldemokraatliku Erakonna fraktsioon,xiv,2019-04-04,2023-04-09,Liikmed
Eduard Odinets,Sotsiaaldemokraatliku Erakonna fraktsioon,xiv,2019-04-04,2023-04-09,Eduard Odinets
Heljo Pikhof,Sotsiaaldemokraatliku Erakonna fraktsioon,xiv,2019-04-04,2023-04-09,Heljo Pikhof
Helmen Kütt,Sotsiaaldemokraatliku Erakonna fraktsioon,xiv,2019-04-04,2023-04-09,Helmen Kütt
Ivari Padar,Sotsiaaldemokraatliku Erakonna fraktsioon,xiv,2019-04-04,2023-04-09,Ivari Padar
Jaak Juske,Sotsiaaldemokraatliku Erakonna fraktsioon,xiv,2019-04-04,2023-04-09,Jaak Juske
Reili Rand,Sotsiaaldemokraatliku Erakonna fraktsioon,xiv,2019-04-04,2023-04-09,Reili Rand
Toomas Jürgenstein,Sotsiaaldemokraatliku Erakonna fraktsioon,xiv,2019-04-04,2023-04-09,Toomas Jürgenstein
Anastassia Kovalenko-Kõlvart,Fraktsiooni mittekuuluvad saadikud,xiv,2019-04-04,2023-04-09,Anastassia Kovalenko-Kõlvart
Martin Repinski,Fraktsiooni mittekuuluvad saadikud,xiv,2019-04-04,2023-04-09,Martin Repinski
Mihhail Stalnuhhin,Fraktsiooni mittekuuluvad saadikud,xiv,2019-04-04,2023-04-09,Mihhail Stalnuhhin
Raimond Kaljulaid,Fraktsiooni mittekuuluvad saadikud,xiv,2019-04-04,2023-04-09,Raimond Kaljulaid
Siim Kiisler,Fraktsiooni mittekuuluvad saadikud,xiv,2019-04-04,2023-04-09,Siim Kiisler
Jaak Aab,Fraktsiooni mittekuuluvad Riigikogu liikmed,xv,2023-04-10,2027-04-09,Jaak Aab
Annely Akkermann,Eesti Reformierakonna fraktsioon,xv,2023-04-10,2027-04-09,Annely Akkermann
Yoko Alender,Eesti Reformierakonna fraktsioon,xv,2023-04-10,2027-04-09,Yoko Alender
Anti Allas,Sotsiaaldemokraatliku Erakonna fraktsioon,xv,2023-04-10,2027-04-09,Anti Allas
Arvo Aller,Fraktsiooni mittekuuluvad Riigikogu liikmed,xv,2023-04-10,2027-04-09,Arvo Aller
Vadim Belobrovtsev,Eesti Keskerakonna fraktsioon,xv,2023-04-10,2027-04-09,Vadim Belobrovtsev
Enn Eesmaa,Fraktsiooni mittekuuluvad Riigikogu liikmed,xv,2023-04-10,2027-04-09,Enn Eesmaa
Rain Epler,Fraktsiooni mittekuuluvad Riigikogu liikmed,xv,2023-04-10,2027-04-09,Rain Epler
Ants Frosch,Fraktsiooni mittekuuluvad Riigikogu liikmed,xv,2023-04-10,2027-04-09,Ants Frosch
Kalle Grünthal,Fraktsiooni mittekuuluvad Riigikogu liikmed,xv,2023-04-10,2027-04-09,Kalle Grünthal
Andre Hanimägi,Fraktsiooni mittekuuluvad Riigikogu liikmed,xv,2023-04-10,2027-04-09,Andre Hanimägi
Anti Haugas,Fraktsiooni mittekuuluvad Riigikogu liikmed,xv,2023-04-10,2027-04-09,Anti Haugas
Helle-Moonika Helme,Eesti Konservatiivse Rahvaerakonna fraktsioon,xv,2023-04-10,2027-04-09,Helle-Moonika Helme
Mart Helme,Eesti Konservatiivse Rahvaerakonna fraktsioon,xv,2023-04-10,2027-04-09,Mart Helme
Martin Helme,Fraktsiooni mittekuuluvad Riigikogu liikmed,xv,2023-04-10,2027-04-09,Martin Helme
Lauri Hussar,Eesti 200 fraktsioon,xv,2023-04-10,2027-04-09,Lauri Hussar
Züleyxa Izmailova,Fraktsiooni mittekuuluvad Riigikogu liikmed,xv,2023-04-10,2027-04-09,Züleyxa Izmailova
Aleksei Jevgrafov,Fraktsiooni mittekuuluvad Riigikogu liikmed,xv,2023-04-10,2027-04-09,Aleksei Jevgrafov
Karmen Joller,Eesti Reformierakonna fraktsioon,xv,2023-04-10,2027-04-09,Karmen Joller
Maria Jufereva-Skuratovski,Eesti Keskerakonna fraktsioon,xv,2023-04-10,2027-04-09,Maria Jufereva-Skuratovski
Mario Kadastik,Eesti Reformierakonna fraktsioon,xv,2023-04-10,2027-04-09,Mario Kadastik
Raimond Kaljulaid,Fraktsiooni mittekuuluvad Riigikogu liikmed,xv,2023-04-10,2027-04-09,Raimond Kaljulaid
Siim Kallas,Eesti Reformierakonna fraktsioon,xv,2023-04-10,2027-04-09,Siim Kallas
Jaanus Karilaid,Fraktsiooni mittekuuluvad Riigikogu liikmed,xv,2023-04-10,2027-04-09,Jaanus Karilaid
Ester Karuse,Eesti Keskerakonna fraktsioon,xv,2023-04-10,2027-04-09,Ester Karuse
Erkki Keldo,Fraktsiooni mittekuuluvad Riigikogu liikmed,xv,2023-04-10,2027-04-09,Erkki Keldo
Liina Kersna,Fraktsiooni mittekuuluvad Riigikogu liikmed,xv,2023-04-10,2027-04-09,Liina Kersna
Tanel Kiik,Fraktsiooni mittekuuluvad Riigikogu liikmed,xv,2023-04-10,2027-04-09,Tanel Kiik
Meelis Kiili,Eesti Reformierakonna fraktsioon,xv,2023-04-10,2027-04-09,Meelis Kiili
Kert Kingo,Eesti Konservatiivse Rahvaerakonna fraktsioon,xv,2023-04-10,2027-04-09,Kert Kingo
Signe Kivi,Fraktsiooni mittekuuluvad Riigikogu liikmed,xv,2023-04-10,2027-04-09,Signe Kivi
Toomas Kivimägi,Fraktsiooni mittekuuluvad Riigikogu liikmed,xv,2023-04-10,2027-04-09,Toomas Kivimägi
Mait Klaassen,Eesti Reformierakonna fraktsioon,xv,2023-04-10,2027-04-09,Mait Klaassen
Aivar Kokk,Isamaa fraktsioon,xv,2023-04-10,2027-04-09,Aivar Kokk
Rene Kokk,Eesti Konservatiivse Rahvaerakonna fraktsioon,xv,2023-04-10,2027-04-09,Rene Kokk
Andrei Korobeinik,Eesti Keskerakonna fraktsioon,xv,2023-04-10,2027-04-09,Andrei Korobeinik
Anastassia Kovalenko-Kõlvart,Eesti Keskerakonna fraktsioon,xv,2023-04-10,2027-04-09,Anastassia Kovalenko-Kõlvart
Eerik-Niiles Kross,Eesti Reformierakonna fraktsioon,xv,2023-04-10,2027-04-09,Eerik-Niiles Kross
Urmas Kruuse,Fraktsiooni mittekuuluvad Riigikogu liikmed,xv,2023-04-10,2027-04-09,Urmas Kruuse
Leo Kunnas,Eesti Konservatiivse Rahvaerakonna fraktsioon,xv,2023-04-10,2027-04-09,Leo Kunnas
Katrin Kuusemäe,Fraktsiooni mittekuuluvad Riigikogu liikmed,xv,2023-04-10,2027-04-09,Katrin Kuusemäe
Helmen Kütt,Fraktsiooni mittekuuluvad Riigikogu liikmed,xv,2023-04-10,2027-04-09,Helmen Kütt
Ants Laaneots,Fraktsiooni mittekuuluvad Riigikogu liikmed,xv,2023-04-10,2027-04-09,Ants Laaneots
Lauri Laats,Eesti Keskerakonna fraktsioon,xv,2023-04-10,2027-04-09,Lauri Laats
Hanah Lahe,Fraktsiooni mittekuuluvad Riigikogu liikmed,xv,2023-04-10,2027-04-09,Hanah Lahe
Alar Laneman,Fraktsiooni mittekuuluvad Riigikogu liikmed,xv,2023-04-10,2027-04-09,Alar Laneman
Maris Lauri,Fraktsiooni mittekuuluvad Riigikogu liikmed,xv,2023-04-10,2027-04-09,Maris Lauri
Jürgen Ligi,Fraktsiooni mittekuuluvad Riigikogu liikmed,xv,2023-04-10,2027-04-09,Jürgen Ligi
Priit Lomp,Fraktsiooni mittekuuluvad Riigikogu liikmed,xv,2023-04-10,2027-04-09,Priit Lomp
Tõnis Lukas,Fraktsiooni mittekuuluvad Riigikogu liikmed,xv,2023-04-10,2027-04-09,Tõnis Lukas
Irja Lutsar,Eesti 200 fraktsioon,xv,2023-04-10,2027-04-09,Irja Lutsar
Mart Maastik,Isamaa fraktsioon,xv,2023-04-10,2027-04-09,Mart Maastik
Tiit Maran,Sotsiaaldemokraatliku Erakonna fraktsioon,xv,2023-04-10,2027-04-09,Tiit Maran
Eero Merilind,Fraktsiooni mittekuuluvad Riigikogu liikmed,xv,2023-04-10,2027-04-09,Eero Merilind
Andres Metsoja,Isamaa fraktsioon,xv,2023-04-10,2027-04-09,Andres Metsoja
Marko Mihkelson,Fraktsiooni mittekuuluvad Riigikogu liikmed,xv,2023-04-10,2027-04-09,Marko Mihkelson
Tõnis Mölder,Fraktsiooni mittekuuluvad Riigikogu liikmed,xv,2023-04-10,2027-04-09,Tõnis Mölder
Eduard Odinets,Fraktsiooni mittekuuluvad Riigikogu liikmed,xv,2023-04-10,2027-04-09,Eduard Odinets
Jevgeni Ossinovski,Sotsiaaldemokraatliku Erakonna fraktsioon,xv,2023-04-10,2027-04-09,Jevgeni Ossinovski
Liisa-Ly Pakosta,Eesti 200 fraktsioon,xv,2023-04-10,2027-04-09,Liisa-Ly Pakosta
Pärtel-Peeter Pere,Eesti Reformierakonna fraktsioon,xv,2023-04-10,2027-04-09,Pärtel-Peeter Pere
Heljo Pikhof,Fraktsiooni mittekuuluvad Riigikogu liikmed,xv,2023-04-10,2027-04-09,Heljo Pikhof
Õnne Pillak,Fraktsiooni mittekuuluvad Riigikogu liikmed,xv,2023-04-10,2027-04-09,Õnne Pillak
Siim Pohlak,Fraktsiooni mittekuuluvad Riigikogu liikmed,xv,2023-04-10,2027-04-09,Siim Pohlak
Anti Poolamets,Eesti Konservatiivse Rahvaerakonna fraktsioon,xv,2023-04-10,2027-04-09,Anti Poolamets
Evelin Poolamets,Eesti Konservatiivse Rahvaerakonna fraktsioon,xv,2023-04-10,2027-04-09,Evelin Poolamets
Henn Põlluaas,Eesti Konservatiivse Rahvaerakonna fraktsioon,xv,2023-04-10,2027-04-09,Henn Põlluaas
Juku-Kalle Raid,Fraktsiooni mittekuuluvad Riigikogu liikmed,xv,2023-04-10,2027-04-09,Juku-Kalle Raid
Mati Raidma,Fraktsiooni mittekuuluvad Riigikogu liikmed,xv,2023-04-10,2027-04-09,Mati Raidma
Reili Rand,Fraktsiooni mittekuuluvad Riigikogu liikmed,xv,2023-04-10,2027-04-09,Reili Rand
Valdo Randpere,Eesti Reformierakonna fraktsioon,xv,2023-04-10,2027-04-09,Valdo Randpere
Jüri Ratas,Fraktsiooni mittekuuluvad Riigikogu liikmed,xv,2023-04-10,2027-04-09,Jüri Ratas
Marek Reinaas,Eesti 200 fraktsioon,xv,2023-04-10,2027-04-09,Marek Reinaas
Urmas Reinsalu,Isamaa fraktsioon,xv,2023-04-10,2027-04-09,Urmas Reinsalu
Maido Ruusmann,Eesti Reformierakonna fraktsioon,xv,2023-04-10,2027-04-09,Maido Ruusmann
Luisa Rõivas,Eesti Reformierakonna fraktsioon,xv,2023-04-10,2027-04-09,Luisa Rõivas
Kersti Sarapuu,Eesti Keskerakonna fraktsioon,xv,2023-04-10,2027-04-09,Kersti Sarapuu
Helir-Valdor Seeder,Isamaa fraktsioon,xv,2023-04-10,2027-04-09,Helir-Valdor Seeder
Andrus Seeme,Eesti Reformierakonna fraktsioon,xv,2023-04-10,2027-04-09,Andrus Seeme
Priit Sibul,Fraktsiooni mittekuuluvad Riigikogu liikmed,xv,2023-04-10,2027-04-09,Priit Sibul
Pipi-Liis Siemann,Fraktsiooni mittekuuluvad Riigikogu liikmed,xv,2023-04-10,2027-04-09,Pipi-Liis Siemann
Riina Solman,Fraktsiooni mittekuuluvad Riigikogu liikmed,xv,2023-04-10,2027-04-09,Riina Solman
Kalev Stoicescu,Eesti 200 fraktsioon,xv,2023-04-10,2027-04-09,Kalev Stoicescu
Timo Suslov,Fraktsiooni mittekuuluvad Riigikogu liikmed,xv,2023-04-10,2027-04-09,Timo Suslov
Margit Sutrop,Eesti Reformierakonna fraktsioon,xv,2023-04-10,2027-04-09,Margit Sutrop
Andres Sutt,Eesti Reformierakonna fraktsioon,xv,2023-04-10,2027-04-09,Andres Sutt
Aivar Sõerd,Fraktsiooni mittekuuluvad Riigikogu liikmed,xv,2023-04-10,2027-04-09,Aivar Sõerd
Kristina Šmigun-Vähi,Fraktsiooni mittekuuluvad Riigikogu liikmed,xv,2023-04-10,2027-04-09,Kristina Šmigun-Vähi
Kadri Tali,Eesti 200 fraktsioon,xv,2023-04-10,2027-04-09,Kadri Tali
Peeter Tali,Eesti 200 fraktsioon,xv,2023-04-10,2027-04-09,Peeter Tali
Tarmo Tamm,Fraktsiooni mittekuuluvad Riigikogu liikmed,xv,2023-04-10,2027-04-09,Tarmo Tamm
Igor Taro,Eesti 200 fraktsioon,xv,2023-04-10,2027-04-09,Igor Taro
Tanel Tein,Fraktsiooni mittekuuluvad Riigikogu liikmed,xv,2023-04-10,2027-04-09,Tanel Tein
Hendrik Johannes Terras,Eesti 200 fraktsioon,xv,2023-04-10,2027-04-09,Hendrik Johannes Terras
Urve Tiidus,Eesti Reformierakonna fraktsioon,xv,2023-04-10,2027-04-09,Urve Tiidus
Vilja Toomast,Eesti Reformierakonna fraktsioon,xv,2023-04-10,2027-04-09,Vilja Toomast
Aleksandr Tšaplõgin,Fraktsiooni mittekuuluvad Riigikogu liikmed,xv,2023-04-10,2027-04-09,Aleksandr Tšaplõgin
Toomas Uibo,Eesti 200 fraktsioon,xv,2023-04-10,2027-04-09,Toomas Uibo
Kristo Enn Vaga,Fraktsiooni mittekuuluvad Riigikogu liikmed,xv,2023-04-10,2027-04-09,Kristo Enn Vaga
Jaak Valge,Fraktsiooni mittekuuluvad Riigikogu liikmed,xv,2023-04-10,2027-04-09,Jaak Valge
Varro Vooglaid,Eesti Konservatiivse Rahvaerakonna fraktsioon,xv,2023-04-10,2027-04-09,Varro Vooglaid
