2010 vs 2011,2011 vs 2012,2012 vs 2013,2013 vs 2014,2014 vs 2015,2015 vs 2016,2016 vs 2017,2017 vs 2018,2018 vs 2019,2019 vs 2020,2020 vs 2021,2021 vs 2022
kusija vastaja vastasin 0.088% -> 0.114% (28.731%),rail trassi balticu 0.341% -> 0.397% (16.509%),arengukavad arengukavade pohialuste 0.86% -> 0.949% (10.34%),kirik kiriku maarja 0.042% -> 0.063% (50.085%),maavalitsuste maavalitsused maakonna 0.443% -> 0.503% (13.6%),relva relvade relvaluba 0.168% -> 0.21% (25.198%),piirivalve valvamise valvamine 0.326% -> 0.367% (12.797%),lisaeelarve lisaeelarves lisaeelarvega 0.031% -> 0.051% (62.137%),lisaeelarve lisaeelarves lisaeelarvega 0.051% -> 0.054% (5.429%),tervist tervis tervisega 0.072% -> 0.101% (40.77%),ametiuhingute tooandjate keskliit 0.325% -> 0.375% (15.341%),hansson ardo panga 0.012% -> 0.018% (57.256%)
riigikontrolor karis riigikontrolori 0.088% -> 0.114% (28.731%),iive sundimus iibe 0.292% -> 0.344% (17.804%),tantsupeo laulu traditsiooni 0.0% -> 0.042% (31776.123%),tootuli lepitaja ametiuhingute 0.042% -> 0.063% (50.085%),kinnitamise paevakorra paevakord 0.418% -> 0.475% (13.791%),poolte kokkuleppel huvitise 0.14% -> 0.179% (27.702%),jarviku jarvik maaeluministri 0.368% -> 0.409% (11.323%),valitsemisalade katteallikaks riigieelarves 0.052% -> 0.077% (45.923%),rahvaalgatuse rahvaalgatus rahvahaaletus 0.051% -> 0.054% (5.429%),kusimusena tahtsa tahtsusega 0.072% -> 0.101% (40.77%),voidusamba vabadussoja uurimiskomisjon 0.0% -> 0.023% (20805.495%),lae korgepalgaliste lagi 0.012% -> 0.018% (57.256%)
valitsemisalade katteallikaks riigieelarves 0.088% -> 0.114% (28.731%),est kavatsuste for 0.0% -> 0.026% (16211.283%),ootuse oigusparase oiguskindluse 0.251% -> 0.295% (17.438%),energiaagentuur agentuuri agentuur 0.0% -> 0.013% (5903.413%),lisaeelarve lisaeelarves lisaeelarvega 0.038% -> 0.056% (47.259%),elatisraha elatisabi elatise 0.517% -> 0.588% (13.693%),hoiu pangad pankade 0.116% -> 0.136% (18.07%),hiv narkomaania epideemia 0.042% -> 0.064% (52.003%),lae korgepalgaliste lagi 0.051% -> 0.054% (5.429%),energiaagentuur agentuuri agentuur 0.0% -> 0.034% (18669.278%),krimmi agressiooni ukraina 0.92% -> 0.997% (8.352%),pensioniiga pensioniea eluiga 0.164% -> 0.184% (12.326%)
eelarvele kulude riigieelarvele 0.403% -> 0.454% (12.64%),joustumine joustuma joustada 0.957% -> 1.045% (9.203%),lisaeelarve lisaeelarves lisaeelarvega 0.026% -> 0.042% (59.381%),est kavatsuste for 0.0% -> 0.013% (5903.413%),koondaruande majandusaasta koondaruanne 0.038% -> 0.056% (47.259%),energiaagentuur agentuuri agentuur 0.042% -> 0.063% (50.237%),teatri teater rahvusooper 0.032% -> 0.042% (33.207%),kulukuse krediidi kiirlaenude 0.042% -> 0.064% (52.003%),estonian air airi 0.051% -> 0.054% (5.429%),erso teatri kontserdi 0.018% -> 0.034% (87.693%),kodakondsust kodakondsuse kodanikuks 0.685% -> 0.751% (9.668%),ammendumiseni kaheni pikendada 0.434% -> 0.461% (6.254%)
kantsler kantsleri riigisekretar 0.164% -> 0.195% (18.829%),toovoimereformi toovoimega toovoimereform 0.114% -> 0.146% (28.16%),keeleoskust oskuse keeleoskuse 0.37% -> 0.422% (13.843%),voidusamba vabadussoja uurimiskomisjon 0.0% -> 0.013% (5903.413%),ametiuhingute tooandjate keskliit 0.266% -> 0.308% (15.703%),idapiiri piiririba valjaehitamine 0.238% -> 0.284% (19.306%),laari laar kandidatuuri 0.032% -> 0.042% (33.207%),pohiseadusega riigikohus oiguskantsler 0.651% -> 0.727% (11.796%),utah jordaania energia 0.14% -> 0.143% (2.234%),suuria euroopasse turgis 0.0% -> 0.022% (12412.852%),matusetoetust matusetoetus matusetoetuse 0.0% -> 0.012% (10352.748%),hooldekodus hoolduse hooldekodu 0.399% -> 0.424% (6.379%)
annetus erjk annetuse 0.164% -> 0.195% (18.829%),muuseum muuseumi muuseumide 0.114% -> 0.146% (28.16%),vee monopolide veeteenuse 0.318% -> 0.358% (12.895%),valismaale valjarande valjaranne 0.253% -> 0.291% (15.065%),skais arendused infosusteemide 0.051% -> 0.07% (38.055%),uuring uuringut uuringu 0.238% -> 0.284% (19.306%),piirikontrolli schengeni valispiiri 0.158% -> 0.178% (13.226%),vabatahtlike komandode paasteameti 0.294% -> 0.345% (17.259%),tootuna arvele ariuhingu 0.0% -> 0.0% (40.572%),tootuna arvele ariuhingu 0.0% -> 0.022% (12412.852%),energiaagentuur agentuuri agentuur 0.034% -> 0.047% (39.37%),kontrollin haaled kandidaadi 0.047% -> 0.055% (17.942%)
elatisraha elatisabi elatise 0.063% -> 0.081% (28.731%),voidusamba vabadussoja uurimiskomisjon 0.081% -> 0.106% (30.49%),lasteaia lasteaias lasteaiakoha 0.423% -> 0.464% (9.574%),kandidaati kandidaat valituks 0.127% -> 0.152% (20.068%),hansson ardo panga 0.051% -> 0.07% (38.055%),direktiivi direktiiv ulevotmise 0.573% -> 0.641% (11.762%),humni humn laulda 0.042% -> 0.052% (24.882%),aasia aasias saatkonna 0.294% -> 0.345% (17.259%),valimiskomisjon proteste valimiskasti 0.089% -> 0.09% (0.408%),tulubaasi tasandusfondi tulumaksuosa 0.287% -> 0.337% (17.308%),kontrollin haaled kandidaadi 0.034% -> 0.047% (39.37%),fie fuusilisest isikust 0.082% -> 0.092% (12.326%)
talupidajate kaubanduskoja kaubanduskoda 0.063% -> 0.081% (28.731%),vaesuses suhtelises vaesuse 0.6% -> 0.662% (10.211%),tsernoboli represseeritud oigusvastaselt 0.013% -> 0.021% (59.381%),terviseandmed isikuandmeid terviseandmeid 0.612% -> 0.658% (7.647%),kolledz kolledzi turi 0.063% -> 0.084% (32.533%),mes maale maaelu 0.07% -> 0.095% (35.214%),psuhhiaatri alaealine psuhhiaatrilist 0.326% -> 0.346% (6.351%),memorandumi moistmise memorandum 0.0% -> 0.038% (36380.733%),hansson ardo panga 0.128% -> 0.126% (-1.6%),uuring uuringut uuringu 0.323% -> 0.37% (14.701%),jahimehed jahimeeste jahti 0.079% -> 0.094% (19.46%),kandideerima ametikohale kandidaatide 0.152% -> 0.166% (8.869%)
deklaratsiooni deklaratsioone deklaratsioonis 0.05% -> 0.065% (28.731%),krimmi agressiooni ukraina 0.47% -> 0.516% (9.679%),utah jordaania energia 0.146% -> 0.169% (15.913%),relva relvade relvaluba 0.084% -> 0.101% (20.068%),tervist tervis tervisega 0.063% -> 0.084% (32.533%),voidusamba vabadussoja uurimiskomisjon 0.0% -> 0.021% (14923.747%),kandidaati kandidaat valituks 0.095% -> 0.105% (11.006%),hadaolukorda eriolukord eriolukorra 0.157% -> 0.191% (21.602%),kantsler kantsleri riigisekretar 0.345% -> 0.341% (-1.079%),tootuli lepitaja ametiuhingute 0.0% -> 0.011% (6156.426%),vaikesaarte saarte pusiasustusega 0.079% -> 0.094% (19.46%),katteallikas katteallikaid katteallikat 0.246% -> 0.258% (4.837%)
kaitseliit kaitseliidule kaitseliidu 0.277% -> 0.308% (11.177%),koolituse koolitus koolitusele 0.065% -> 0.079% (22.335%),tarbijakaitse amet ametile 0.212% -> 0.232% (9.574%),raamatukogu pimedate raamatukogude 0.063% -> 0.076% (20.068%),annetused annetusi annetuste 0.177% -> 0.21% (18.333%),rahapesu terrorismi andmeburoo 0.0% -> 0.021% (14923.747%),viirust vaktsineeritud viiruse 0.095% -> 0.105% (11.006%),koosoleku elektrooniline koosolekut 0.0% -> 0.026% (24220.489%),ooteala piiriuletuse piiripunkti 0.038% -> 0.036% (-6.286%),aardla pria pealtnagija 0.0% -> 0.011% (6156.426%),sigade katku katk 0.101% -> 0.117% (16.142%),etv saateid pbk 0.375% -> 0.387% (3.199%)
lipud lippude lipp 0.038% -> 0.049% (28.731%),salvestisi salvestised salvestiste 0.276% -> 0.304% (10.341%),louis freeh kremli 0.053% -> 0.063% (19.535%),valimisliitude volikogusse volikokku 1.666% -> 1.722% (3.35%),oigusriik oigusriigi oigusriigist 0.177% -> 0.21% (18.333%),tapsustatakse ajakohastatakse nouete 0.489% -> 0.546% (11.605%),puude raskusastme puuet 0.095% -> 0.105% (11.006%),pollumeestele pollumehi pollumehed 0.86% -> 0.931% (8.256%),krimmi agressiooni ukraina 0.983% -> 0.969% (-1.417%),est kavatsuste for 0.0% -> 0.011% (6156.426%),ugri rahvaste polisrahvaste 0.123% -> 0.141% (14.03%),maavalitsuste maavalitsused maakonna 0.106% -> 0.111% (4.837%)
haiguspaevade haiguspaevi haiguspaeva 0.038% -> 0.049% (28.731%),jarviku jarvik maaeluministri 0.227% -> 0.251% (10.684%),ammendumiseni kaheni pikendada 0.172% -> 0.19% (10.34%),valimiskomisjon proteste valimiskasti 0.042% -> 0.051% (20.068%),kandidaati kandidaat valituks 0.152% -> 0.182% (19.648%),toonadalal istungid taiendaval 0.461% -> 0.515% (11.54%),louis freeh kremli 0.105% -> 0.115% (9.896%),hoiu pangad pankade 0.136% -> 0.166% (21.602%),inimarengu aruanne aruandes 0.204% -> 0.197% (-3.357%),memorandumi moistmise memorandum 0.0% -> 0.011% (6156.426%),koolis kooli opilased 2.963% -> 3.038% (2.548%),soita jalakaija konniteel 0.598% -> 0.609% (1.754%)
kontrollin haaled kandidaadi 0.038% -> 0.049% (28.731%),ootuse oigusparase oiguskindluse 0.227% -> 0.251% (10.684%),ene ergma aplaus 0.132% -> 0.148% (11.566%),tantsupeo laulu traditsiooni 0.042% -> 0.051% (20.068%),kandideerima ametikohale kandidaatide 0.127% -> 0.154% (21.489%),muugimaksu muugimaks paadimaksu 0.028% -> 0.042% (50.237%),missiooni missioonile missioon 0.504% -> 0.525% (4.068%),riigikontrolli auditi auditit 0.483% -> 0.536% (11.028%),eelarves riigieelarves reservist 1.238% -> 1.22% (-1.455%),tsernoboli represseeritud oigusvastaselt 0.0% -> 0.011% (6156.426%),valijate erakonda valijaid 0.37% -> 0.387% (4.527%),koneleja konsensuslikud repliigi 0.035% -> 0.037% (4.837%)
kaasne lisakulutusi riigieelarvele 0.265% -> 0.292% (10.341%),skais arendused infosusteemide 0.13% -> 0.146% (12.14%),hambaravi hammaste hambad 0.132% -> 0.148% (11.566%),korterid kortereid korterit 0.295% -> 0.316% (7.204%),salastatud valisteabe riigisaladuse 0.114% -> 0.14% (22.716%),koosoleku elektrooniline koosolekut 0.0% -> 0.011% (7411.874%),ootuse oigusparase oiguskindluse 0.273% -> 0.283% (3.748%),kohtla jarve johvi 0.294% -> 0.332% (12.917%),rail trassi balticu 0.587% -> 0.574% (-2.211%),liiklussurmade liikluses hukkunute 0.09% -> 0.112% (25.129%),kodualuse maamaksu maamaksust 0.146% -> 0.152% (4.527%),louis freeh kremli 0.199% -> 0.203% (1.754%)
kohtla jarve johvi 0.265% -> 0.292% (10.341%),pohiseadusega riigikohus oiguskantsler 0.941% -> 0.979% (4.055%),miili baasvorgu lairiba 0.093% -> 0.105% (13.843%),riigireformi riigireformist riigireform 0.19% -> 0.203% (6.727%),vagivallale vihakone ohutamine 0.43% -> 0.475% (10.444%),korteriuhistu korteriomanike korteriuhistute 0.336% -> 0.378% (12.678%),eelarvele kulude riigieelarvele 0.273% -> 0.283% (3.748%),piirilepingu piirileping piirilepingut 0.294% -> 0.332% (12.917%),koolilouna koolitoidu koolitoit 0.077% -> 0.072% (-6.286%),sularaha kommertspangad pangad 0.09% -> 0.112% (25.129%),riigikontrolor karis riigikontrolori 0.135% -> 0.141% (4.527%),ene ergma aplaus 0.0% -> 0.0% (57.256%)
taanis saksamaal hollandis 0.517% -> 0.552% (6.752%),piirikontrolli schengeni valispiiri 0.032% -> 0.04% (22.335%),psuhhiaatri alaealine psuhhiaatrilist 0.357% -> 0.38% (6.254%),ulikooliga kbfi instituudi 0.021% -> 0.025% (20.068%),eelarvele kulude riigieelarvele 0.532% -> 0.573% (7.814%),louis freeh kremli 0.084% -> 0.105% (25.198%),oigusloome oigusloomes oiguspoliitika 0.294% -> 0.304% (3.474%),jalitustegevuse jalitustoimingu sideandmete 0.094% -> 0.115% (21.602%),deklaratsiooni deklaratsioone deklaratsioonis 0.115% -> 0.108% (-6.286%),miili baasvorgu lairiba 0.215% -> 0.247% (14.701%),maavalitsuste maavalitsused maakonna 0.101% -> 0.106% (4.527%),tervist tervis tervisega 0.164% -> 0.166% (1.093%)
koolis kooli opilased 1.853% -> 1.914% (3.335%),otsevalimise presidenti presidendi 0.26% -> 0.278% (7.043%),valismaale valjarande valjaranne 0.238% -> 0.253% (6.254%),haaletamissedel haaletamiskasti sedeli 0.021% -> 0.025% (20.068%),ajakirjandus ajakirjanduse ajakirjandust 0.291% -> 0.322% (10.444%),operatsioonil sojalisel panustamisel 0.084% -> 0.105% (25.198%),kinnitamise paevakorra paevakord 0.462% -> 0.472% (2.176%),oigusriik oigusriigi oigusriigist 0.346% -> 0.383% (10.548%),otsevalimise presidenti presidendi 0.319% -> 0.305% (-4.411%),ajakirjandus ajakirjanduse ajakirjandust 0.735% -> 0.786% (6.817%),tapsustatakse ajakohastatakse nouete 0.46% -> 0.469% (1.978%),riigiabi komisjonilt loa 0.258% -> 0.258% (0.072%)
humni humn laulda 0.025% -> 0.032% (28.731%),soita jalakaija konniteel 0.276% -> 0.291% (5.544%),kantsler kantsleri riigisekretar 0.119% -> 0.127% (6.254%),danske filiaali rahapesu 0.021% -> 0.025% (20.068%),elatisraha elatisabi elatise 0.481% -> 0.517% (7.538%),borsile ipo enefit 0.322% -> 0.357% (11.045%),riigireformi riigireformist riigireform 0.756% -> 0.766% (1.293%),vagivalla naistevastase perevagivalla 0.346% -> 0.383% (10.548%),salvestisi salvestised salvestiste 0.485% -> 0.466% (-3.819%),deklaratsiooni deklaratsioone deklaratsioonis 0.108% -> 0.123% (14.701%),rongi rongide rongid 0.079% -> 0.082% (4.527%),eelarves riigieelarves reservist 1.126% -> 1.125% (-0.077%)
koosoleku elektrooniline koosolekut 0.025% -> 0.032% (28.731%),tervist tervis tervisega 0.049% -> 0.053% (8.742%),ajakirjandus ajakirjanduse ajakirjandust 0.45% -> 0.464% (3.129%),liibanonis missioonil pikendamine 0.401% -> 0.418% (4.27%),vabatahtlike komandode paasteameti 0.456% -> 0.489% (7.376%),vagivallale vihakone ohutamine 0.475% -> 0.515% (8.259%),voidusamba vabadussoja uurimiskomisjon 0.021% -> 0.021% (-0.094%),opositsioonis koalitsiooni opositsiooni 1.259% -> 1.314% (4.375%),jahimehed jahimeeste jahti 0.191% -> 0.179% (-6.286%),kinnitamise paevakorra paevakord 0.359% -> 0.382% (6.359%),omandireformi tagastatud omandireform 0.056% -> 0.059% (4.527%),maksuamet tolliamet tolliameti 0.223% -> 0.221% (-0.681%)
laari laar kandidatuuri 0.101% -> 0.114% (12.64%),operatsioonil sojalisel panustamisel 0.049% -> 0.053% (8.742%),hoiu pangad pankade 0.079% -> 0.084% (6.254%),katteallikas katteallikaid katteallikat 0.675% -> 0.696% (3.184%),eelarves riigieelarves reservist 1.304% -> 1.356% (4.01%),kantsler kantsleri riigisekretar 0.196% -> 0.221% (12.678%),kohtunike kohtususteem kohtuniku 0.956% -> 0.955% (-0.094%),vanemahuvitist vanemahuvitise vanemahuvitis 0.441% -> 0.472% (7.126%),rahvuse rahvust rahvusriik 0.778% -> 0.753% (-3.213%),maavalitsuste maavalitsused maakonna 0.09% -> 0.101% (12.616%),vee monopolide veeteenuse 0.045% -> 0.047% (4.527%),rail trassi balticu 0.282% -> 0.277% (-1.715%)
piima toorpiima toodangut 0.416% -> 0.438% (5.325%),etv saateid pbk 0.243% -> 0.251% (3.305%),tootuna arvele ariuhingu 0.079% -> 0.084% (6.254%),keskkonnaameti uhendamine uhendamise 0.105% -> 0.114% (8.061%),kasvavad tuleval kasv 0.203% -> 0.224% (10.444%),rongi rongide rongid 0.07% -> 0.084% (20.19%),toovoimereformi toovoimega toovoimereform 0.336% -> 0.325% (-3.216%),estonian air airi 0.042% -> 0.051% (21.602%),untso missioonide liikmesusest 0.51% -> 0.484% (-5.114%),sigade katku katk 0.09% -> 0.101% (12.616%),oigusloome oigusloomes oiguspoliitika 0.045% -> 0.047% (4.527%),ootuse oigusparase oiguskindluse 0.059% -> 0.055% (-5.646%)
prokuratuur prokuratuuri prokuror 0.895% -> 0.925% (3.347%),kandideerima ametikohale kandidaatide 0.114% -> 0.119% (4.858%),haiguspaevade haiguspaevi haiguspaeva 0.04% -> 0.042% (6.254%),kauguhendus avaksite ettekandjalt 0.105% -> 0.114% (8.061%),hoone rkas hoonet 0.392% -> 0.419% (6.881%),skais arendused infosusteemide 0.07% -> 0.084% (20.19%),kauguhendus avaksite ettekandjalt 0.2% -> 0.189% (-5.353%),korteriuhistu korteriomanike korteriuhistute 0.042% -> 0.051% (21.602%),valismaale valjarande valjaranne 0.345% -> 0.323% (-6.286%),kontroll kohaloleku registreeris 0.251% -> 0.269% (7.253%),erso teatri kontserdi 0.034% -> 0.035% (4.527%),joustumine joustuma joustada 0.622% -> 0.609% (-2.086%)
suuria euroopasse turgis 0.013% -> 0.016% (28.731%),kusija vastaja vastasin 0.114% -> 0.119% (4.858%),metsa metsade mets 0.331% -> 0.337% (2.004%),deklaratsiooni deklaratsioone deklaratsioonis 0.105% -> 0.114% (8.061%),poolte kokkuleppel huvitise 0.127% -> 0.14% (10.444%),oiglase virumaale ulemineku 0.14% -> 0.158% (12.678%),hadaolukorda eriolukord eriolukorra 0.168% -> 0.157% (-6.339%),ulikooliga kbfi instituudi 0.273% -> 0.293% (7.571%),vaikesaarte saarte pusiasustusega 0.102% -> 0.09% (-12.143%),ametipalkade riigiteenijate korgemate 0.018% -> 0.022% (25.129%),tootuna arvele ariuhingu 0.022% -> 0.023% (4.527%),jaatmeid liigiti prugi 0.211% -> 0.203% (-3.899%)
noukogudesse ariuhingute noukogudes 0.403% -> 0.422% (4.594%),slovakkia ungari portugal 0.876% -> 0.886% (1.19%),rail trassi balticu 0.397% -> 0.401% (0.941%),maksuamet tolliamet tolliameti 1.856% -> 1.886% (1.649%),keskkonnaameti uhendamine uhendamise 0.114% -> 0.126% (10.444%),samba sammas sambasse 0.14% -> 0.158% (12.678%),omandireformi tagastatud omandireform 0.126% -> 0.115% (-8.42%),arengukavad arengukavade pohialuste 0.871% -> 0.906% (4.021%),kandideerima ametikohale kandidaatide 0.102% -> 0.09% (-12.143%),mes maale maaelu 0.269% -> 0.281% (4.274%),hansson ardo panga 0.011% -> 0.012% (4.527%),kohtla jarve johvi 0.117% -> 0.111% (-5.646%)
teede teehoiuks teedele 0.504% -> 0.519% (2.985%),korrata stenogrammist vabandan 0.065% -> 0.066% (1.946%),kontroll kohaloleku registreeris 0.0% -> 0.0% (59.381%),annetused annetusi annetuste 0.169% -> 0.177% (5.06%),korterid kortereid korterit 0.316% -> 0.336% (6.026%),riigikontrolli auditi auditit 0.657% -> 0.693% (5.486%),uliopilased uliopilastele uliopilaste 0.494% -> 0.472% (-4.346%),tooandja tooandjal tootaja 0.252% -> 0.268% (6.402%),soita jalakaija konniteel 0.332% -> 0.305% (-8.088%),keskkonnaameti uhendamine uhendamise 0.484% -> 0.494% (1.957%),est kavatsuste for 0.011% -> 0.012% (4.527%),korrata stenogrammist vabandan 0.082% -> 0.074% (-10.14%)
untso missioonide liikmesusest 0.441% -> 0.454% (2.985%),magustatud suhkrut joogi 0.065% -> 0.066% (1.946%),kinnitamise paevakorra paevakord 0.106% -> 0.105% (-0.387%),hooldekodus hoolduse hooldekodu 0.232% -> 0.241% (3.695%),magustatud suhkrut joogi 0.101% -> 0.112% (10.444%),liiklussurmade liikluses hukkunute 0.224% -> 0.242% (7.983%),operatsioonil sojalisel panustamisel 0.105% -> 0.094% (-10.085%),deklaratsiooni deklaratsioone deklaratsioonis 0.105% -> 0.115% (9.442%),kohtla jarve johvi 0.332% -> 0.305% (-8.088%),rahvaalgatuse rahvaalgatus rahvahaaletus 0.054% -> 0.056% (4.274%),tsernoboli represseeritud oigusvastaselt 0.011% -> 0.012% (4.527%),kantsler kantsleri riigisekretar 0.199% -> 0.184% (-7.497%)
utah jordaania energia 0.491% -> 0.503% (2.325%),psuhhiaatri alaealine psuhhiaatrilist 0.357% -> 0.357% (0.092%),vanemahuvitist vanemahuvitise vanemahuvitis 0.635% -> 0.633% (-0.387%),sigade katku katk 0.084% -> 0.089% (5.06%),id mobiil kaardi 0.304% -> 0.322% (5.842%),danske filiaali rahapesu 0.084% -> 0.095% (12.678%),jalitustegevuse jalitustoimingu sideandmete 0.105% -> 0.094% (-10.085%),nord stream streami 0.105% -> 0.115% (9.442%),kohanimenoukogu vonnu mulgi 0.026% -> 0.018% (-29.714%),pealinnast tallinnast viljandisse 0.287% -> 0.292% (1.667%),lapsetoetust lapsetoetus lapsetoetuse 0.292% -> 0.293% (0.507%),tootuna arvele ariuhingu 0.023% -> 0.018% (-21.372%)
uhistranspordi uhistransport uhistransporti 0.189% -> 0.195% (2.985%),arengukavad arengukavade pohialuste 0.86% -> 0.86% (0.022%),suuria euroopasse turgis 0.066% -> 0.063% (-4.372%),arengukavad arengukavade pohialuste 0.949% -> 0.949% (0.057%),planeeringu keskkonnamoju keskkonnamojude 0.089% -> 0.098% (10.444%),viirust vaktsineeritud viiruse 0.084% -> 0.095% (12.678%),treenerite spordi sport 0.389% -> 0.367% (-5.495%),slovakkia ungari portugal 0.756% -> 0.778% (3.024%),koosoleku elektrooniline koosolekut 0.026% -> 0.018% (-29.714%),pensioniiga pensioniea eluiga 0.179% -> 0.18% (0.103%),katteallikas katteallikaid katteallikat 0.247% -> 0.246% (-0.224%),hambaravi hammaste hambad 0.023% -> 0.018% (-21.372%)
objekti anu raua 0.126% -> 0.13% (2.985%),kontroll kohaloleku registreeris 0.0% -> 0.0% (-18.444%),magustatud suhkrut joogi 0.066% -> 0.063% (-4.372%),piima toorpiima toodangut 0.253% -> 0.253% (0.057%),kohanimenoukogu vonnu mulgi 0.063% -> 0.07% (10.444%),lahususe voimude lahusus 0.266% -> 0.284% (6.748%),volitust kaasuses jarvik 0.084% -> 0.073% (-12.583%),karistuse karistus tingimisi 1.375% -> 1.404% (2.109%),eelarvele kulude riigieelarvele 0.166% -> 0.143% (-13.494%),kandideerima ametikohale kandidaatide 0.09% -> 0.09% (0.103%),vaesuses suhtelises vaesuse 0.213% -> 0.211% (-0.974%),kohanimenoukogu vonnu mulgi 0.023% -> 0.018% (-21.372%)
teekasutustasu autode autod 0.063% -> 0.065% (2.985%),reklaami reklaam alkoholireklaam 0.081% -> 0.079% (-2.132%),rahvahaaletuse rahvahaaletus rahvahaaletusel 0.132% -> 0.127% (-4.372%),koolituse koolitus koolitusele 0.063% -> 0.063% (0.057%),kirik kiriku maarja 0.063% -> 0.07% (10.444%),piirivalve valvamise valvamine 0.308% -> 0.326% (5.849%),hanke hankija riigihangete 0.714% -> 0.682% (-4.502%),korruptsiooni korruptsioon korruptsiooniga 0.294% -> 0.306% (4.231%),piirivalve valvamise valvamine 0.128% -> 0.108% (-15.657%),inflatsiooni inflatsioon hinnatous 0.09% -> 0.09% (0.103%),vallaga vald sauga 0.213% -> 0.211% (-0.974%),magustatud suhkrut joogi 0.023% -> 0.018% (-21.372%)
ulikooliga kbfi instituudi 0.063% -> 0.065% (2.985%),id mobiil kaardi 0.081% -> 0.079% (-2.132%),ametipalkade riigiteenijate korgemate 0.093% -> 0.084% (-8.925%),tapsustatakse ajakohastatakse nouete 0.738% -> 0.734% (-0.515%),valimiskomisjon proteste valimiskasti 0.051% -> 0.056% (10.444%),president ilves presidendi 0.196% -> 0.21% (7.312%),muraste kase kompleksi 0.242% -> 0.22% (-8.782%),muundatud geneetiliselt gmo 0.147% -> 0.153% (4.231%),ulejaagis struktuurses struktuurse 1.633% -> 1.561% (-4.455%),matusetoetust matusetoetus matusetoetuse 0.0% -> 0.0% (-37.436%),korterid kortereid korterit 0.157% -> 0.152% (-2.939%),nord stream streami 0.164% -> 0.148% (-10.14%)
korteriuhistu korteriomanike korteriuhistute 0.063% -> 0.065% (2.985%),muraste kase kompleksi 0.097% -> 0.093% (-4.851%),pensionifondide pensionifondid fondid 0.357% -> 0.337% (-5.552%),riigiloivude riigiloivud riigiloivu 0.485% -> 0.481% (-0.813%),terviseandmed isikuandmeid terviseandmeid 0.658% -> 0.671% (1.948%),pohiseadusega riigikohus oiguskantsler 0.685% -> 0.704% (2.713%),keskkonnaameti uhendamine uhendamise 0.189% -> 0.168% (-11.195%),annetused annetusi annetuste 0.21% -> 0.217% (3.362%),riigireformi riigireformist riigireform 0.638% -> 0.592% (-7.223%),tapsustatakse ajakohastatakse nouete 0.466% -> 0.46% (-1.341%),inimarengu aruanne aruandes 0.325% -> 0.317% (-2.681%),koolituse koolitus koolitusele 0.047% -> 0.037% (-21.372%)
tootuli lepitaja ametiuhingute 0.0% -> 0.0% (28.731%),oigusriik oigusriigi oigusriigist 0.195% -> 0.185% (-4.851%),humni humn laulda 0.026% -> 0.021% (-20.31%),untso missioonide liikmesusest 0.422% -> 0.418% (-0.944%),teatri teater rahvusooper 0.013% -> 0.014% (10.444%),ammendumiseni kaheni pikendada 0.224% -> 0.231% (3.288%),hoone rkas hoonet 0.704% -> 0.661% (-6.059%),opositsiooni koalitsioonil opositsioonil 0.325% -> 0.332% (1.989%),kohtunike kohtususteem kohtuniku 1.085% -> 1.022% (-5.734%),ooteala piiriuletuse piiripunkti 0.036% -> 0.034% (-6.154%),liiklussurmade liikluses hukkunute 0.112% -> 0.106% (-5.925%),oigusloome oigusloomes oiguspoliitika 0.047% -> 0.037% (-21.372%)
tarbijakaitse amet ametile 0.164% -> 0.162% (-0.976%),pensionifondide pensionifondid fondid 0.373% -> 0.357% (-4.26%),hansson ardo panga 0.026% -> 0.021% (-20.31%),kontroll kohaloleku registreeris 0.0% -> 0.0% (-39.966%),domeenide domeeni interneti 0.013% -> 0.014% (10.444%),kaitsekulud kaitsekulutused kaitsekulude 0.168% -> 0.168% (0.158%),lisaeelarve lisaeelarves lisaeelarvega 0.042% -> 0.031% (-25.071%),majandusaasta koondaruanne raamatupidamise 0.199% -> 0.204% (2.402%),ootuse oigusparase oiguskindluse 0.089% -> 0.072% (-19.673%),valitsemisalade katteallikaks riigieelarves 0.036% -> 0.034% (-6.154%),korrata stenogrammist vabandan 0.09% -> 0.082% (-8.538%),varude varud varu 0.305% -> 0.277% (-9.275%)
aardla pria pealtnagija 0.101% -> 0.097% (-3.452%),humni humn laulda 0.032% -> 0.026% (-18.444%),liitlaste ohutorje keskmaa 0.119% -> 0.105% (-11.455%),jalitustegevuse jalitustoimingu sideandmete 0.169% -> 0.165% (-2.445%),erso teatri kontserdi 0.013% -> 0.014% (10.444%),est kavatsuste for 0.0% -> 0.0% (-24.881%),kaasne lisakulutusi riigieelarvele 0.326% -> 0.294% (-9.763%),korrata stenogrammist vabandan 0.115% -> 0.115% (-0.507%),toovoimereformi toovoimega toovoimereform 0.191% -> 0.161% (-15.657%),planeeringu keskkonnamoju keskkonnamojude 0.072% -> 0.067% (-6.154%),toovoimereformi toovoimega toovoimereform 0.09% -> 0.082% (-8.538%),veb fondi uurimiskomisjon 0.07% -> 0.055% (-21.372%)
