2010 vs 2011,2011 vs 2012,2012 vs 2013,2013 vs 2014,2014 vs 2015,2015 vs 2016,2016 vs 2017,2017 vs 2018,2018 vs 2019,2019 vs 2020,2020 vs 2021,2021 vs 2022
valijate erakonda valijaid 0.403% -> 0.487% (20.685%),kinnitamise paevakorra paevakord 0.065% -> 0.106% (63.113%),korterid kortereid korterit 0.198% -> 0.295% (48.755%),inflatsiooni inflatsioon hinnatous 0.042% -> 0.076% (80.102%),utah jordaania energia 0.051% -> 0.098% (93.277%),kusimusena tahtsa tahtsusega 0.07% -> 0.116% (65.261%),maantee neljarealiseks ppp 0.116% -> 0.168% (45.317%),riigiloivude riigiloivud riigiloivu 0.073% -> 0.128% (73.718%),tarbijakaitse amet ametile 0.14% -> 0.179% (27.792%),hambaravi hammaste hambad 0.018% -> 0.045% (150.257%),humni humn laulda 0.067% -> 0.106% (56.791%),ulikooliga kbfi instituudi 0.07% -> 0.111% (57.256%)
rongi rongide rongid 0.076% -> 0.114% (50.186%),kohanimenoukogu vonnu mulgi 0.016% -> 0.04% (144.669%),jarviku jarvik maaeluministri 0.251% -> 0.358% (42.604%),korterelamute kortermajade kredexi 0.19% -> 0.253% (33.409%),energiaagentuur agentuuri agentuur 0.013% -> 0.042% (231.332%),id mobiil kaardi 0.322% -> 0.41% (27.375%),koondaruande majandusaasta koondaruanne 0.011% -> 0.031% (199.717%),haiguspaevade haiguspaevi haiguspaeva 0.01% -> 0.038% (264.807%),hiv narkomaania epideemia 0.064% -> 0.09% (40.572%),teekasutustasu autode autod 0.018% -> 0.045% (150.257%),suuria euroopasse turgis 0.022% -> 0.047% (109.055%),korteriuhistu korteriomanike korteriuhistute 0.059% -> 0.092% (57.256%)
jahimehed jahimeeste jahti 0.063% -> 0.097% (54.477%),sigade katku katk 0.016% -> 0.04% (144.669%),normitehnika mojude eeskiri 0.251% -> 0.358% (42.604%),magustatud suhkrut joogi 0.063% -> 0.101% (60.091%),kaasne lisakulutusi riigieelarvele 0.392% -> 0.503% (28.258%),elektri elektrit taastuvenergia 0.881% -> 1.019% (15.659%),piima toorpiima toodangut 0.557% -> 0.661% (18.756%),domeenide domeeni interneti 0.021% -> 0.051% (143.205%),liibanonis missioonil pikendamine 0.51% -> 0.574% (12.457%),kulukuse krediidi kiirlaenude 0.018% -> 0.045% (150.257%),kaibemaksu kaibemaks kaibemaksumaara 0.157% -> 0.211% (34.392%),lipud lippude lipp 0.059% -> 0.092% (57.256%)
oiglase virumaale ulemineku 0.063% -> 0.097% (54.477%),tootuid tootute tootu 0.99% -> 1.125% (13.644%),annetus erjk annetuse 0.066% -> 0.127% (91.257%),kusija vastaja vastasin 0.063% -> 0.101% (60.091%),piirilepingu piirileping piirilepingut 0.76% -> 0.909% (19.648%),pensioniiga pensioniea eluiga 0.168% -> 0.231% (37.718%),valdkonnad laekumisest fikseeritakse 0.042% -> 0.073% (74.835%),kaasne lisakulutusi riigieelarvele 0.294% -> 0.383% (30.288%),laari laar kandidatuuri 0.242% -> 0.287% (18.376%),pollumeestele pollumehi pollumehed 0.717% -> 0.842% (17.308%),kohtla jarve johvi 0.079% -> 0.117% (49.325%),liiklussurmade liikluses hukkunute 0.106% -> 0.148% (39.783%)
idapiiri piiririba valjaehitamine 0.05% -> 0.081% (60.914%),tootuli lepitaja ametiuhingute 0.0% -> 0.159% (97767.696%),teenuseid teenused teenust 0.132% -> 0.211% (59.381%),oigusriik oigusriigi oigusriigist 0.127% -> 0.177% (40.08%),tootuli lepitaja ametiuhingute 0.063% -> 0.112% (76.711%),hooldekodus hoolduse hooldekodu 0.168% -> 0.231% (37.718%),eelarves riigieelarves reservist 0.924% -> 1.049% (13.529%),tulubaasi tasandusfondi tulumaksuosa 0.252% -> 0.332% (31.736%),talupidajate kaubanduskoja kaubanduskoda 0.051% -> 0.072% (40.572%),muuseum muuseumi muuseumide 0.036% -> 0.067% (87.693%),valimisea valimisiga valimisoiguse 0.079% -> 0.117% (49.325%),humni humn laulda 0.106% -> 0.148% (39.783%)
kinnitamise paevakorra paevakord 0.038% -> 0.065% (71.641%),jaatmeid liigiti prugi 0.324% -> 0.397% (22.335%),pagulasi pagulased pagulaste 0.053% -> 0.105% (99.226%),muundatud geneetiliselt gmo 0.0% -> 0.076% (35920.478%),vagivalla naistevastase perevagivalla 0.177% -> 0.252% (42.0%),rahvuse rahvust rahvusriik 0.545% -> 0.651% (19.42%),ajakirjandus ajakirjanduse ajakirjandust 0.315% -> 0.388% (23.217%),annetus erjk annetuse 0.157% -> 0.217% (37.816%),tervist tervis tervisega 0.051% -> 0.072% (40.572%),reklaami reklaam alkoholireklaam 0.108% -> 0.157% (45.983%),haale valimispaeval valimiste 0.18% -> 0.235% (30.659%),pealinnast tallinnast viljandisse 0.188% -> 0.24% (27.77%)
koondaruande majandusaasta koondaruanne 0.038% -> 0.065% (71.641%),tootuna arvele ariuhingu 0.049% -> 0.079% (63.113%),sigade katku katk 0.04% -> 0.084% (112.507%),kolledz kolledzi turi 0.0% -> 0.063% (29917.065%),volitust kaasuses jarvik 0.025% -> 0.056% (120.888%),lng terminali gaasi 0.126% -> 0.179% (41.891%),koneleja konsensuslikud repliigi 0.053% -> 0.084% (59.849%),haaletamissedel haaletamiskasti sedeli 0.052% -> 0.089% (70.243%),koondaruande majandusaasta koondaruanne 0.051% -> 0.072% (40.572%),kaibemaksu kaibemaks kaibemaksumaara 0.108% -> 0.157% (45.983%),valimiskomisjon proteste valimiskasti 0.18% -> 0.235% (30.659%),kulukuse krediidi kiirlaenude 0.0% -> 0.092% (78527.927%)
magustatud suhkrut joogi 0.038% -> 0.065% (71.641%),ajakirjandus ajakirjanduse ajakirjandust 0.373% -> 0.45% (20.562%),president ilves presidendi 0.04% -> 0.084% (112.507%),tervist tervis tervisega 0.0% -> 0.063% (29917.065%),moisteid moiste moisted 0.57% -> 0.685% (20.261%),krimmi agressiooni ukraina 1.063% -> 1.187% (11.69%),tantsupeo laulu traditsiooni 0.168% -> 0.22% (31.126%),eripensioni valjateenitud staazi 0.115% -> 0.166% (43.712%),vabatahtlike komandode paasteameti 0.345% -> 0.395% (14.54%),koneleja konsensuslikud repliigi 0.054% -> 0.09% (66.838%),salvestisi salvestised salvestiste 0.819% -> 0.927% (13.119%),rahvaalgatuse rahvaalgatus rahvahaaletus 0.0% -> 0.074% (62802.342%)
kohtunike kohtususteem kohtuniku 0.832% -> 0.941% (13.127%),pealinnast tallinnast viljandisse 0.081% -> 0.119% (46.802%),lae korgepalgaliste lagi 0.04% -> 0.084% (112.507%),koosoleku elektrooniline koosolekut 0.0% -> 0.051% (23913.652%),kaitsekulud kaitsekulutused kaitsekulude 0.114% -> 0.168% (47.259%),kohanimenoukogu vonnu mulgi 0.07% -> 0.105% (50.237%),kaitseliit kaitseliidule kaitseliidu 0.515% -> 0.598% (16.217%),untso missioonide liikmesusest 0.42% -> 0.51% (21.602%),joustumine joustuma joustada 0.549% -> 0.61% (11.15%),veb fondi uurimiskomisjon 0.054% -> 0.09% (66.838%),kusimusena tahtsa tahtsusega 0.101% -> 0.141% (39.37%),lisaeelarve lisaeelarves lisaeelarvega 0.762% -> 0.849% (11.289%)
ametipalkade riigiteenijate korgemate 0.0% -> 0.178% (141504.043%),rahapesu terrorismi andmeburoo 0.0% -> 0.119% (73300.772%),opositsioonis koalitsiooni opositsiooni 0.648% -> 0.78% (20.349%),riigipuha puhade tahtpaevade 0.0% -> 0.038% (17910.239%),valdkonnad laekumisest fikseeritakse 0.038% -> 0.07% (84.074%),teatri teater rahvusooper 0.014% -> 0.032% (125.356%),kantsler kantsleri riigisekretar 0.221% -> 0.273% (23.693%),moisteid moiste moisted 0.619% -> 0.727% (17.48%),ametipalkade riigiteenijate korgemate 0.0% -> 0.018% (13957.15%),noukogudesse ariuhingute noukogudes 0.215% -> 0.281% (30.342%),lahususe voimude lahusus 0.236% -> 0.293% (24.437%),pensionifondide pensionifondid fondid 0.129% -> 0.166% (28.664%)
