topic_words3,Keskerakond,Sotsiaaldemokraadid,difference
jahimehed jahimeeste jahti,0.0068415051311288,0.0362438220757825,-429.7638660076913
pollumeestele pollumehi pollumehed,0.0011402508551881,0.0197693574958813,-1633.7726523888527
majandusaasta koondaruanne raamatupidamise,0.0022805017103762,0.0181219110378912,-694.645799011558
maavalitsuste maavalitsused maakonna,0.0034207525655644,0.0181219110378912,-429.7638660076899
arengukavad arengukavade pohialuste,0.0034207525655644,0.0164744645799011,-381.6035145524456
lapsetoetust lapsetoetus lapsetoetuse,0.0182440136830102,0.0378912685337726,-107.69151565074178
riigiloivude riigiloivud riigiloivu,0.0011402508551881,0.014827018121911,-1200.329489291642
noukogudesse ariuhingute noukogudes,0.0045610034207525,0.0164744645799011,-261.20263591433684
teadus teaduse arendustegevuse,0.0034207525655644,0.0131795716639209,-285.28281164195704
palgalohe soolist meeste,0.0045610034207525,0.014827018121911,-225.08237232290335
vaikesaarte saarte pusiasustusega,0.0011402508551881,0.0098846787479406,-766.886326194422
arengufond arengufondi arengufondis,0.0034207525655644,0.0115321252059308,-237.12246018671274
kodakondsust kodakondsuse kodanikuks,0.0011402508551881,0.0065897858319604,-477.92421746294804
korterelamute kortermajade kredexi,0.0011402508551881,0.0065897858319604,-477.92421746294804
valijate erakonda valijaid,0.0011402508551881,0.0065897858319604,-477.92421746294804
ajakirjandus ajakirjanduse ajakirjandust,0.0022805017103762,0.0082372322899505,-261.2026359143425
opositsiooni koalitsioonil opositsioonil,0.0022805017103762,0.0082372322899505,-261.2026359143425
katteallikas katteallikaid katteallikat,0.0034207525655644,0.0098846787479406,-188.96210873146555
salvestisi salvestised salvestiste,0.0034207525655644,0.0098846787479406,-188.96210873146555
kulukuse krediidi kiirlaenude,0.0102622576966932,0.0181219110378912,-76.58795533589662
uliopilased uliopilastele uliopilaste,0.0011402508551881,0.0049423393739703,-333.443163097211
virumaale virumaa toostusalade,0.0022805017103762,0.0065897858319604,-188.962108731474
opositsioonis koalitsiooni opositsiooni,0.0034207525655644,0.0082372322899505,-140.8017572762213
kodualuse maamaksu maamaksust,0.0034207525655644,0.0082372322899505,-140.8017572762213
joustumine joustuma joustada,0.0057012542759407,0.0098846787479406,-73.37726523887832
konkurss konkursi konkurssi,0.0045610034207525,0.0082372322899505,-80.60131795716731
kandidaadi kandidaati kandidaat,0.0034207525655644,0.0065897858319604,-92.64140582097706
poolte kokkuleppel huvitise,0.0011402508551881,0.0032948929159802,-188.962108731474
teenistuse teenistuses avalikus,0.0011402508551881,0.0032948929159802,-188.962108731474
id mobiil kaardi,0.0011402508551881,0.0032948929159802,-188.962108731474
teekasutustasu autode autod,0.0011402508551881,0.0032948929159802,-188.962108731474
krimmi agressiooni ukraina,0.0022805017103762,0.0049423393739703,-116.7215815486055
riigiabi komisjonilt loa,0.0022805017103762,0.0049423393739703,-116.7215815486055
uuring uuringut uuringu,0.0022805017103762,0.0049423393739703,-116.7215815486055
valispoliitika valispoliitikas diplomaatia,0.0022805017103762,0.0049423393739703,-116.7215815486055
kala kalurid kalurite,0.0022805017103762,0.0049423393739703,-116.7215815486055
kinnisasja maad maa,0.0102622576966932,0.014827018121911,-44.48105436573376
pohiseadusega riigikohus oiguskantsler,0.0102622576966932,0.0131795716639209,-28.427603880652345
toonadalal istungid taiendaval,0.0102622576966932,0.0131795716639209,-28.427603880652345
jarviku jarvik maaeluministri,0.0045610034207525,0.0065897858319604,-44.48105436573385
normitehnika mojude eeskiri,0.0045610034207525,0.0065897858319604,-44.48105436573385
vanemahuvitist vanemahuvitise vanemahuvitis,0.0091220068415051,0.0115321252059308,-26.420922570016813
riigireformi riigireformist riigireform,0.0034207525655644,0.0049423393739703,-44.48105436573278
missiooni missioonile missioon,0.0034207525655644,0.0049423393739703,-44.48105436573278
rail trassi balticu,0.0034207525655644,0.0049423393739703,-44.48105436573278
eelarvele kulude riigieelarvele,0.0079817559863169,0.0098846787479406,-23.84090374205719
tulubaasi omavalitsustele omavalitsuste,0.0171037628278221,0.0197693574958813,-15.584843492586131
untso missioonide liikmesusest,0.0022805017103762,0.0032948929159802,-44.48105436573701
ametiuhingute tooandjate keskliit,0.0022805017103762,0.0032948929159802,-44.48105436573701
volakirjade keskpank volakirju,0.0022805017103762,0.0032948929159802,-44.48105436573701
omandireformi tagastatud omandireform,0.0022805017103762,0.0032948929159802,-44.48105436573701
jaatmeid liigiti prugi,0.0022805017103762,0.0032948929159802,-44.48105436573701
hanke hankija riigihangete,0.0022805017103762,0.0032948929159802,-44.48105436573701
tarbijakaitse amet ametile,0.0011402508551881,0.0016474464579901,-44.48105436573701
mes maale maaelu,0.0011402508551881,0.0016474464579901,-44.48105436573701
liitlaste ohutorje keskmaa,0.0011402508551881,0.0016474464579901,-44.48105436573701
post posti omniva,0.0011402508551881,0.0016474464579901,-44.48105436573701
veb fondi uurimiskomisjon,0.0011402508551881,0.0016474464579901,-44.48105436573701
