topic_words3,Fraktsioonitud,Reformierakond,difference
teede teehoiuks teedele,0.0033444816053511,0.0247524752475247,-640.0990099010043
huvigruppe huvigruppide kaasatud,0.0066889632107023,0.0247524752475247,-270.04950495049656
otsevalimise presidenti presidendi,0.0033444816053511,0.0181518151815181,-442.73927392740273
karistuse karistus tingimisi,0.0033444816053511,0.0165016501650165,-393.3993399340038
maksuamet tolliamet tolliameti,0.0234113712374581,0.0445544554455445,-90.31117397454084
jahimehed jahimeeste jahti,0.0267558528428093,0.0462046204620462,-72.68976897689808
direktiivi direktiiv ulevotmise,0.0033444816053511,0.0132013201320132,-294.71947194720303
vee monopolide veeteenuse,0.0066889632107023,0.0165016501650165,-146.6996699669982
kohtla jarve johvi,0.0033444816053511,0.0099009900990099,-196.03960396040225
kaasne lisakulutusi riigieelarvele,0.0033444816053511,0.0099009900990099,-196.03960396040225
kinnisasja maad maa,0.0167224080267558,0.0264026402640264,-57.88778877887837
terviseandmed isikuandmeid terviseandmeid,0.0066889632107023,0.0132013201320132,-97.35973597359853
slovakkia ungari portugal,0.0033444816053511,0.0082508250825082,-146.6996699670004
normitehnika mojude eeskiri,0.0033444816053511,0.0082508250825082,-146.6996699670004
pohiseadusega riigikohus oiguskantsler,0.0066889632107023,0.0115511551155115,-72.68976897689798
ulejaagis struktuurses struktuurse,0.0066889632107023,0.0115511551155115,-72.68976897689798
taanis saksamaal hollandis,0.0167224080267558,0.0231023102310231,-38.15181518151858
leping ratifitseerida lepinguga,0.0033444816053511,0.0066006600660066,-97.35973597360152
korteriuhistu korteriomanike korteriuhistute,0.0066889632107023,0.0099009900990099,-48.0198019801989
joustumine joustuma joustada,0.0100334448160535,0.0132013201320132,-31.573157315731713
moisteid moiste moisted,0.0100334448160535,0.0132013201320132,-31.573157315731713
inimarengu aruanne aruandes,0.0100334448160535,0.0132013201320132,-31.573157315731713
laari laar kandidatuuri,0.0033444816053511,0.0049504950495049,-48.01980198019965
valispoliitika valispoliitikas diplomaatia,0.0033444816053511,0.0049504950495049,-48.01980198019965
jalitustegevuse jalitustoimingu sideandmete,0.0033444816053511,0.0049504950495049,-48.01980198019965
vagivallale vihakone ohutamine,0.0033444816053511,0.0049504950495049,-48.01980198019965
virumaale virumaa toostusalade,0.0033444816053511,0.0049504950495049,-48.01980198019965
metsa metsade mets,0.0033444816053511,0.0049504950495049,-48.01980198019965
keskkonnaameti uhendamine uhendamise,0.0033444816053511,0.0049504950495049,-48.01980198019965
katteallikas katteallikaid katteallikat,0.0100334448160535,0.0115511551155115,-15.126512651264754
tulubaasi omavalitsustele omavalitsuste,0.0100334448160535,0.0115511551155115,-15.126512651264754
hoiu pangad pankade,0.0033444816053511,0.0033003300330033,1.3201320131992444
liiklussurmade liikluses hukkunute,0.0033444816053511,0.0033003300330033,1.3201320131992444
borsile ipo enefit,0.0033444816053511,0.0033003300330033,1.3201320131992444
kodualuse maamaksu maamaksust,0.0033444816053511,0.0033003300330033,1.3201320131992444
hoone rkas hoonet,0.0033444816053511,0.0033003300330033,1.3201320131992444
teadus teaduse arendustegevuse,0.0033444816053511,0.0033003300330033,1.3201320131992444
kusimusena tahtsa tahtsusega,0.0033444816053511,0.0033003300330033,1.3201320131992444
kodakondsust kodakondsuse kodanikuks,0.0033444816053511,0.0033003300330033,1.3201320131992444
kauguhendus avaksite ettekandjalt,0.0033444816053511,0.0033003300330033,1.3201320131992444
eelarvele kulude riigieelarvele,0.0033444816053511,0.0033003300330033,1.3201320131992444
vallaga vald sauga,0.0066889632107023,0.0066006600660066,1.3201320132007288
valijate erakonda valijaid,0.0066889632107023,0.0066006600660066,1.3201320132007288
haale valimispaeval valimiste,0.0066889632107023,0.0066006600660066,1.3201320132007288
kaibemaksu kaibemaks kaibemaksumaara,0.0066889632107023,0.0066006600660066,1.3201320132007288
krimmi agressiooni ukraina,0.0066889632107023,0.0066006600660066,1.3201320132007288
tulumaksuvaba maksususteemi tulumaksu,0.0100334448160535,0.0082508250825082,17.76677667766818
salvestisi salvestised salvestiste,0.0100334448160535,0.0082508250825082,17.76677667766818
aasia aasias saatkonna,0.0066889632107023,0.0049504950495049,25.99009900990129
korterid kortereid korterit,0.0066889632107023,0.0049504950495049,25.99009900990129
valimisea valimisiga valimisoiguse,0.0033444816053511,0.0016501650165016,50.66006600660111
piirikontrolli schengeni valispiiri,0.0033444816053511,0.0016501650165016,50.66006600660111
annetus erjk annetuse,0.0033444816053511,0.0016501650165016,50.66006600660111
lipu laevu kaubalaeva,0.0033444816053511,0.0016501650165016,50.66006600660111
tooandja tooandjal tootaja,0.0033444816053511,0.0016501650165016,50.66006600660111
maavalitsuste maavalitsused maakonna,0.0033444816053511,0.0016501650165016,50.66006600660111
ametipalkade riigiteenijate korgemate,0.0033444816053511,0.0016501650165016,50.66006600660111
vaikesaarte saarte pusiasustusega,0.0033444816053511,0.0016501650165016,50.66006600660111
pensioniiga pensioniea eluiga,0.0033444816053511,0.0016501650165016,50.66006600660111
majandusaasta koondaruanne raamatupidamise,0.0033444816053511,0.0016501650165016,50.66006600660111
mes maale maaelu,0.0033444816053511,0.0016501650165016,50.66006600660111
liitlaste ohutorje keskmaa,0.0033444816053511,0.0016501650165016,50.66006600660111
loomi loomade loomad,0.0033444816053511,0.0016501650165016,50.66006600660111
erimargistatud kutust kutuse,0.0033444816053511,0.0016501650165016,50.66006600660111
iive sundimus iibe,0.0033444816053511,0.0016501650165016,50.66006600660111
muuseum muuseumi muuseumide,0.0033444816053511,0.0016501650165016,50.66006600660111
psuhhiaatri alaealine psuhhiaatrilist,0.0033444816053511,0.0016501650165016,50.66006600660111
ootuse oigusparase oiguskindluse,0.0033444816053511,0.0016501650165016,50.66006600660111
etv saateid pbk,0.0033444816053511,0.0016501650165016,50.66006600660111
soita jalakaija konniteel,0.0100334448160535,0.0066006600660066,34.21342134213414
