topic_words3,Fraktsioonitud,Keskerakond,difference
teede teehoiuks teedele,0.0033444816053511,0.0387685290763968,-1059.179019384289
eriarstide eriarstiabi eriarsti,0.0100334448160535,0.0387685290763968,-286.3930064614219
tulubaasi tasandusfondi tulumaksuosa,0.0066889632107023,0.0228050171037628,-240.93500570125593
kaibemaksu kaibemaks kaibemaksumaara,0.0066889632107023,0.0216647662485746,-223.88825541619224
otsevalimise presidenti presidendi,0.0033444816053511,0.0148232611174458,-343.21550741163884
koolilouna koolitoidu koolitoit,0.0033444816053511,0.0148232611174458,-343.21550741163884
haale valimispaeval valimiste,0.0066889632107023,0.0171037628278221,-155.70125427594198
rahvaalgatuse rahvaalgatus rahvahaaletus,0.0100334448160535,0.0216647662485746,-115.92550361079377
tulumaksuvaba maksususteemi tulumaksu,0.0100334448160535,0.0216647662485746,-115.92550361079377
palgatousu opetajate palgatous,0.0066889632107023,0.0159635119726339,-138.65450399087825
koolis kooli opilased,0.0334448160535117,0.04903078677309,-46.60205245153914
huvigruppe huvigruppide kaasatud,0.0066889632107023,0.0148232611174458,-121.60775370581607
liiklussurmade liikluses hukkunute,0.0033444816053511,0.0091220068415051,-172.74800456100826
iive sundimus iibe,0.0033444816053511,0.0091220068415051,-172.74800456100826
vanemahuvitist vanemahuvitise vanemahuvitis,0.0033444816053511,0.0091220068415051,-172.74800456100826
kaasne lisakulutusi riigieelarvele,0.0033444816053511,0.0091220068415051,-172.74800456100826
vallaga vald sauga,0.0066889632107023,0.0136830102622576,-104.56100342075236
alkoholi kange lahja,0.0066889632107023,0.0136830102622576,-104.56100342075236
tulubaasi omavalitsustele omavalitsuste,0.0100334448160535,0.0171037628278221,-70.46750285062714
eelarvele kulude riigieelarvele,0.0033444816053511,0.0079817559863169,-138.65450399088036
slovakkia ungari portugal,0.0033444816053511,0.0079817559863169,-138.65450399088036
direktiivi direktiiv ulevotmise,0.0033444816053511,0.0079817559863169,-138.65450399088036
eelarves riigieelarves reservist,0.0167224080267558,0.0239452679589509,-43.19270239452684
