topic_words3,Isamaa ja Res Publica Liidu fraktsioon,Reformierakond,difference
jahimehed jahimeeste jahti,0.0113636363636363,0.0462046204620462,-306.60066006600886
kulukuse krediidi kiirlaenude,0.0022727272727272,0.0297029702970297,-1206.9306930693485
taanis saksamaal hollandis,0.0022727272727272,0.0231023102310231,-916.5016501650488
teede teehoiuks teedele,0.0068181818181818,0.0247524752475247,-263.0363036303633
otsevalimise presidenti presidendi,0.0022727272727272,0.0181518151815181,-698.6798679868219
direktiivi direktiiv ulevotmise,0.0022727272727272,0.0132013201320132,-480.85808580859936
karistuse karistus tingimisi,0.0045454545454545,0.0165016501650165,-263.0363036303666
valimisliitude volikogusse volikokku,0.009090909090909,0.0231023102310231,-154.12541254125665
lahususe voimude lahusus,0.0022727272727272,0.0115511551155115,-408.25082508252217
kutsehariduse kutseharidus kutsehariduses,0.0045454545454545,0.0148514851485148,-226.7326732673289
maksuamet tolliamet tolliameti,0.0272727272727272,0.0445544554455445,-63.3663366336636
prokuratuur prokuratuuri prokuror,0.0022727272727272,0.0099009900990099,-335.6435643564494
kohtla jarve johvi,0.0022727272727272,0.0099009900990099,-335.6435643564494
terviseandmed isikuandmeid terviseandmeid,0.0045454545454545,0.0132013201320132,-190.4290429042933
reklaami reklaam alkoholireklaam,0.0022727272727272,0.0082508250825082,-263.03630363037234
koolis kooli opilased,0.0045454545454545,0.0115511551155115,-154.12541254125554
arengufond arengufondi arengufondis,0.0068181818181818,0.0132013201320132,-93.61936193619412
joustumine joustuma joustada,0.0068181818181818,0.0132013201320132,-93.61936193619412
moisteid moiste moisted,0.0068181818181818,0.0132013201320132,-93.61936193619412
soita jalakaija konniteel,0.0022727272727272,0.0066006600660066,-190.42904290429968
leping ratifitseerida lepinguga,0.0022727272727272,0.0066006600660066,-190.42904290429968
aituma infotundi jahimehed,0.0022727272727272,0.0066006600660066,-190.42904290429968
valijate erakonda valijaid,0.0022727272727272,0.0066006600660066,-190.42904290429968
pohiseadusega riigikohus oiguskantsler,0.0068181818181818,0.0115511551155115,-69.41694169416913
huvigruppe huvigruppide kaasatud,0.0181818181818181,0.0247524752475247,-36.13861386138647
opositsiooni koalitsioonil opositsioonil,0.0045454545454545,0.0082508250825082,-81.51815181518221
rahvaalgatuse rahvaalgatus rahvahaaletus,0.0022727272727272,0.0049504950495049,-117.82178217822256
metsa metsade mets,0.0022727272727272,0.0049504950495049,-117.82178217822256
arengukavad arengukavade pohialuste,0.009090909090909,0.0132013201320132,-45.21452145214664
noukogudesse ariuhingute noukogudes,0.0068181818181818,0.0099009900990099,-45.21452145214558
uliopilased uliopilastele uliopilaste,0.0045454545454545,0.0066006600660066,-45.21452145214664
kaibemaksu kaibemaks kaibemaksumaara,0.0045454545454545,0.0066006600660066,-45.21452145214664
oppelaenu sugava puudega,0.0022727272727272,0.0033003300330033,-45.21452145214983
kodualuse maamaksu maamaksust,0.0022727272727272,0.0033003300330033,-45.21452145214983
tapsustatakse ajakohastatakse nouete,0.0022727272727272,0.0033003300330033,-45.21452145214983
