topic_words3,Isamaa ja Res Publica Liidu fraktsioon,Keskerakond,difference
koolis kooli opilased,0.0045454545454545,0.04903078677309,-978.6773090079909
teede teehoiuks teedele,0.0068181818181818,0.0387685290763968,-468.60509312048794
rahvaalgatuse rahvaalgatus rahvahaaletus,0.0022727272727272,0.0216647662485746,-853.2497149373128
kaibemaksu kaibemaks kaibemaksumaara,0.0045454545454545,0.0216647662485746,-376.624857468646
elamisluba elamisloa viisa,0.0022727272727272,0.0148232611174458,-552.223489167636
otsevalimise presidenti presidendi,0.0022727272727272,0.0148232611174458,-552.223489167636
tulubaasi tasandusfondi tulumaksuosa,0.009090909090909,0.0228050171037628,-150.8551881413933
taanis saksamaal hollandis,0.0022727272727272,0.0125427594070695,-451.8814139110756
efsf esm kreekale,0.0045454545454545,0.0148232611174458,-226.11174458381086
valimisliitude volikogusse volikokku,0.009090909090909,0.0205245153933865,-125.76966932725375
kulukuse krediidi kiirlaenude,0.0022727272727272,0.0102622576966932,-351.5393386545152
palgatousu opetajate palgatous,0.0068181818181818,0.0159635119726339,-134.1315089319645
liiklussurmade liikluses hukkunute,0.0022727272727272,0.0091220068415051,-301.3683010262372
koolilouna koolitoidu koolitoit,0.0068181818181818,0.0148232611174458,-117.407829722539
eelarvele kulude riigieelarvele,0.0022727272727272,0.0079817559863169,-251.19726339795477
direktiivi direktiiv ulevotmise,0.0022727272727272,0.0079817559863169,-251.19726339795477
toonadalal istungid taiendaval,0.0045454545454545,0.0102622576966932,-125.76966932725264
kutsehariduse kutseharidus kutsehariduses,0.0045454545454545,0.0102622576966932,-125.76966932725264
soita jalakaija konniteel,0.0022727272727272,0.0068415051311288,-201.02622576967678
hoone rkas hoonet,0.0022727272727272,0.0068415051311288,-201.02622576967678
vaesuses suhtelises vaesuse,0.0022727272727272,0.0068415051311288,-201.02622576967678
prokuratuur prokuratuuri prokuror,0.0022727272727272,0.0057012542759407,-150.85518814139883
reklaami reklaam alkoholireklaam,0.0022727272727272,0.0057012542759407,-150.85518814139883
lasteaia lasteaias lasteaiakoha,0.0045454545454545,0.0079817559863169,-75.59863169897355
kohtla jarve johvi,0.0022727272727272,0.0045610034207525,-100.68415051311639
valismaale valjarande valjaranne,0.0022727272727272,0.0045610034207525,-100.68415051311639
pohiseadusega riigikohus oiguskantsler,0.0068181818181818,0.0102622576966932,-50.51311288483401
karistuse karistus tingimisi,0.0045454545454545,0.0068415051311288,-50.513112884835095
