topic_words3,Erakonna Eestimaa Rohelised fraktsioon,Keskerakond,difference
tulumaksuvaba maksususteemi tulumaksu,0.028169014084507,0.0311665182546749,-10.641139804096056
vaesuses suhtelises vaesuse,0.0140845070422535,0.0115761353517364,17.80943900267144
pohiseadusega riigikohus oiguskantsler,0.0140845070422535,0.0106856634016028,24.131789848620013
inimarengu aruanne aruandes,0.0140845070422535,0.0089047195013357,36.77649154051643
elektri elektrit taastuvenergia,0.028169014084507,0.0195903829029385,30.454140694568217
uliopilased uliopilastele uliopilaste,0.028169014084507,0.0186999109528049,33.615316117542505
riigikontrolli auditi auditit,0.0140845070422535,0.0071237756010685,49.42119323241357
ajakirjandus ajakirjanduse ajakirjandust,0.0140845070422535,0.0062333036509349,55.74354407836214
eriarstide eriarstiabi eriarsti,0.0422535211267605,0.0267141585040071,36.77649154051643
vabatahtlike komandode paasteameti,0.0140845070422535,0.0044523597506678,68.38824577025858
moisteid moiste moisted,0.0140845070422535,0.0044523597506678,68.38824577025858
aasia aasias saatkonna,0.0140845070422535,0.0044523597506678,68.38824577025858
kaitsekulud kaitsekulutused kaitsekulude,0.0140845070422535,0.0035618878005342,74.71059661620714
krimmi agressiooni ukraina,0.0140845070422535,0.0035618878005342,74.71059661620714
pollumeestele pollumehi pollumehed,0.0140845070422535,0.0035618878005342,74.71059661620714
samba sammas sambasse,0.0140845070422535,0.0026714158504007,81.03294746215501
koneleja konsensuslikud repliigi,0.0140845070422535,0.0026714158504007,81.03294746215501
direktiivi direktiiv ulevotmise,0.0140845070422535,0.0026714158504007,81.03294746215501
jahimehed jahimeeste jahti,0.0140845070422535,0.0008904719501335,93.67764915405215
liitlaste ohutorje keskmaa,0.0140845070422535,0.0008904719501335,93.67764915405215
talupidajate kaubanduskoja kaubanduskoda,0.0140845070422535,0.0008904719501335,93.67764915405215
iive sundimus iibe,0.0140845070422535,0.0008904719501335,93.67764915405215
liiklussurmade liikluses hukkunute,0.0140845070422535,0.0008904719501335,93.67764915405215
valimisliitude volikogusse volikokku,0.0140845070422535,0.0017809439002671,87.35529830810357
id mobiil kaardi,0.0140845070422535,0.0017809439002671,87.35529830810357
valispoliitika valispoliitikas diplomaatia,0.0140845070422535,0.0017809439002671,87.35529830810357
untso missioonide liikmesusest,0.0140845070422535,0.0017809439002671,87.35529830810357
arengukavad arengukavade pohialuste,0.028169014084507,0.0080142475512021,71.5494211932325
tooandja tervisesse maksuvabalt,0.028169014084507,0.0008904719501335,96.83882457702607
huvigruppe huvigruppide kaasatud,0.028169014084507,0.0008904719501335,96.83882457702607
kaibemaksu kaibemaks kaibemaksumaara,0.056338028169014,0.0276046304541406,51.001780943900364
kala kalurid kalurite,0.028169014084507,0.0071237756010685,74.71059661620679
kohtunike kohtususteem kohtuniku,0.028169014084507,0.0044523597506678,84.1941228851293
rahvuse rahvust rahvusriik,0.028169014084507,0.0035618878005342,87.35529830810357
energiaagentuur agentuuri agentuur,0.056338028169014,0.0062333036509349,88.93588601959054
metsa metsade mets,0.0704225352112676,0.0035618878005342,94.94211932324144
hoone rkas hoonet,0.0985915492957746,0.0026714158504007,97.29042106602213
loomi loomade loomad,0.0422535211267605,0.0,100.0
teadus teaduse arendustegevuse,0.0140845070422535,0.0,100.0
ammendumiseni kaheni pikendada,0.0140845070422535,0.0,100.0
magustatud suhkrut joogi,0.0140845070422535,0.0,100.0
huvihariduse huvitegevuse huviharidus,0.0140845070422535,0.0,100.0
fie fuusilisest isikust,0.0,0.0097951914514692,-inf
joustumine joustuma joustada,0.0,0.0124666073018699,-inf
arengufond arengufondi arengufondis,0.0,0.0026714158504007,-inf
etv saateid pbk,0.0,0.0017809439002671,-inf
kaasne lisakulutusi riigieelarvele,0.0,0.0026714158504007,-inf
jaatmeid liigiti prugi,0.0,0.0017809439002671,-inf
kohtla jarve johvi,0.0,0.0080142475512021,-inf
koolis kooli opilased,0.0,0.0222617987533392,-inf
karistuse karistus tingimisi,0.0,0.0017809439002671,-inf
kodakondsust kodakondsuse kodanikuks,0.0,0.0053428317008014,-inf
kulukuse krediidi kiirlaenude,0.0,0.0008904719501335,-inf
alkoholi kange lahja,0.0,0.0053428317008014,-inf
kinnisasja maad maa,0.0,0.0186999109528049,-inf
kusimusena tahtsa tahtsusega,0.0,0.0017809439002671,-inf
korrata stenogrammist vabandan,0.0,0.0008904719501335,-inf
keskkonnaameti uhendamine uhendamise,0.0,0.0026714158504007,-inf
kauguhendus avaksite ettekandjalt,0.0,0.0044523597506678,-inf
katteallikas katteallikaid katteallikat,0.0,0.0053428317008014,-inf
laari laar kandidatuuri,0.0,0.0008904719501335,-inf
lahususe voimude lahusus,0.0,0.0008904719501335,-inf
lapsetoetust lapsetoetus lapsetoetuse,0.0,0.0053428317008014,-inf
kantsler kantsleri riigisekretar,0.0,0.0017809439002671,-inf
kandidaadi kandidaati kandidaat,0.0,0.0017809439002671,-inf
lasteaia lasteaias lasteaiakoha,0.0,0.0124666073018699,-inf
kandideerima ametikohale kandidaatide,0.0,0.0008904719501335,-inf
kandidaati kandidaat valituks,0.0,0.0035618878005342,-inf
leping ratifitseerida lepinguga,0.0,0.0044523597506678,-inf
abielu kooselu samasooliste,0.0,0.0026714158504007,-inf
kutsehariduse kutseharidus kutsehariduses,0.0,0.0026714158504007,-inf
korruptsiooni korruptsioon korruptsiooniga,0.0,0.0017809439002671,-inf
korteriuhistu korteriomanike korteriuhistute,0.0,0.0008904719501335,-inf
korterid kortereid korterit,0.0,0.0044523597506678,-inf
konkurss konkursi konkurssi,0.0,0.0026714158504007,-inf
koolilouna koolitoidu koolitoit,0.0,0.0249332146037399,-inf
kodualuse maamaksu maamaksust,0.0,0.0507569011576135,-inf
korterelamute kortermajade kredexi,0.0,0.0026714158504007,-inf
aardla pria pealtnagija,0.0,0.0026714158504007,-inf
oppelaenu sugava puudega,0.0,0.0017809439002671,-inf
abipolitseinik abipolitseiniku abipolitseinike,0.0,0.0,
relva relvade relvaluba,0.0,0.0,
rongi rongide rongid,0.0,0.0,
seksuaalse vangistusega vaarkohtlemise,0.0,0.0,
skais arendused infosusteemide,0.0,0.0,
suuria euroopasse turgis,0.0,0.0,
tantsupeo laulu traditsiooni,0.0,0.0,
tapsustatakse ajakohastatakse nouete,0.0,0.0,
teekasutustasu autode autod,0.0,0.0,
tervist tervis tervisega,0.0,0.0,
tooandja tooandjal tootaja,0.0,0.0,
ts parvlaeva parvlaevad,0.0,0.0,
ulikooliga kbfi instituudi,0.0,0.0,
utah jordaania energia,0.0,0.0,
valdkonnad laekumisest fikseeritakse,0.0,0.0,
valimisea valimisiga valimisoiguse,0.0,0.0,
valitsemisalade katteallikaks riigieelarves,0.0,0.0,
veb fondi uurimiskomisjon,0.0,0.0,
rahvaalgatuse rahvaalgatus rahvahaaletus,0.0,0.0,
president ilves presidendi,0.0,0.0,
piirivalve valvamise valvamine,0.0,0.0,
keeleoskust oskuse keeleoskuse,0.0,0.0,
aituma infotundi jahimehed,0.0,0.0,
ametipalkade riigiteenijate korgemate,0.0,0.0,
apteeke apteegid apteekide,0.0,0.0,
danske filiaali rahapesu,0.0,0.0,
erso teatri kontserdi,0.0,0.0,
kaitseliit kaitseliidule kaitseliidu,0.0,0.0,
kasvavad tuleval kasv,0.0,0.0,
kirik kiriku maarja,0.0,0.0,
pensionifondide pensionifondid fondid,0.0,0.0,
koolituse koolitus koolitusele,0.0,0.0,
koosoleku elektrooniline koosolekut,0.0,0.0,
kusija vastaja vastasin,0.0,0.0,
lae korgepalgaliste lagi,0.0,0.0,
liibanonis missioonil pikendamine,0.0,0.0,
lisaeelarve lisaeelarves lisaeelarvega,0.0,0.0,
muundatud geneetiliselt gmo,0.0,0.0,
estonian air airi,0.0,0.0017809439002671,-inf
eripensioni valjateenitud staazi,0.0,0.0008904719501335,-inf
erimargistatud kutust kutuse,0.0,0.0062333036509349,-inf
rahvahaaletuse rahvahaaletus rahvahaaletusel,0.0,0.0008904719501335,-inf
muuseum muuseumi muuseumide,0.0,0.0008904719501335,-inf
nord stream streami,0.0,0.0008904719501335,-inf
normitehnika mojude eeskiri,0.0,0.0017809439002671,-inf
noukogudesse ariuhingute noukogudes,0.0,0.0124666073018699,-inf
objekti anu raua,0.0,0.0008904719501335,-inf
oiglase virumaale ulemineku,0.0,0.0035618878005342,-inf
