topic_words3,Fraktsioonitud,Isamaa ja Res Publica Liidu fraktsioon,difference
kodualuse maamaksu maamaksust,0.0536779324055666,0.1383399209486166,-157.72214902649688
hoone rkas hoonet,0.0019880715705765,0.0217391304347826,-993.4782608695874
lasteaia lasteaias lasteaiakoha,0.0019880715705765,0.0197628458498023,-894.0711462450761
lapsetoetust lapsetoetus lapsetoetuse,0.003976143141153,0.0197628458498023,-397.03557312253804
rahvuse rahvust rahvusriik,0.003976143141153,0.0177865612648221,-347.33201581028504
alkoholi kange lahja,0.003976143141153,0.0158102766798418,-297.62845849802943
valispoliitika valispoliitikas diplomaatia,0.0019880715705765,0.0118577075098814,-496.44268774704665
prokuratuur prokuratuuri prokuror,0.0059642147117296,0.0158102766798418,-165.0856389986818
maksuamet tolliamet tolliameti,0.0119284294234592,0.0237154150197628,-98.8142292490122
palgalohe soolist meeste,0.0079522862823061,0.0177865612648221,-123.66600790513971
joustumine joustuma joustada,0.0079522862823061,0.0177865612648221,-123.66600790513971
koolilouna koolitoidu koolitoit,0.0019880715705765,0.0079051383399209,-297.62845849802943
koolis kooli opilased,0.0059642147117296,0.0138339920948616,-131.94993412384702
direktiivi direktiiv ulevotmise,0.003976143141153,0.0098814229249011,-148.51778656126777
inimarengu aruanne aruandes,0.003976143141153,0.0098814229249011,-148.51778656126777
eriarstide eriarstiabi eriarsti,0.0119284294234592,0.0197628458498023,-65.67852437417655
idapiiri piiririba valjaehitamine,0.0019880715705765,0.0059288537549407,-198.22134387352332
pensionifondide pensionifondid fondid,0.0019880715705765,0.0059288537549407,-198.22134387352332
iive sundimus iibe,0.0019880715705765,0.0059288537549407,-198.22134387352332
vallaga vald sauga,0.0019880715705765,0.0059288537549407,-198.22134387352332
piirivalve valvamise valvamine,0.0019880715705765,0.0059288537549407,-198.22134387352332
liitlaste ohutorje keskmaa,0.0019880715705765,0.0059288537549407,-198.22134387352332
ajakirjandus ajakirjanduse ajakirjandust,0.0019880715705765,0.0059288537549407,-198.22134387352332
arengufond arengufondi arengufondis,0.003976143141153,0.0079051383399209,-98.81422924901472
eelarves riigieelarves reservist,0.0059642147117296,0.0098814229249011,-65.67852437417571
riigikontrolor karis riigikontrolori,0.0019880715705765,0.0039525691699604,-98.81422924901223
pensionitous pensionitousu pension,0.0019880715705765,0.0039525691699604,-98.81422924901223
kaitsekulud kaitsekulutused kaitsekulude,0.0019880715705765,0.0039525691699604,-98.81422924901223
kaasne lisakulutusi riigieelarvele,0.0019880715705765,0.0039525691699604,-98.81422924901223
kaitseliit kaitseliidule kaitseliidu,0.003976143141153,0.0059288537549407,-49.110671936761676
korterelamute kortermajade kredexi,0.003976143141153,0.0059288537549407,-49.110671936761676
vaikesaarte saarte pusiasustusega,0.003976143141153,0.0059288537549407,-49.110671936761676
