topic_words3,Erakonna Eestimaa Rohelised fraktsioon,Reformierakond,difference
idapiiri piiririba valjaehitamine,0.0,0.0,
kaitseliit kaitseliidule kaitseliidu,0.0,0.0,
kirik kiriku maarja,0.0,0.0,
korruptsiooni korruptsioon korruptsiooniga,0.0,0.0,
lae korgepalgaliste lagi,0.0,0.0,
president ilves presidendi,0.0,0.0,
liibanonis missioonil pikendamine,0.0,0.0,
lipu laevu kaubalaeva,0.0,0.0,
lipud lippude lipp,0.0,0.0,
lisaeelarve lisaeelarves lisaeelarvega,0.0,0.0,
lng terminali gaasi,0.0,0.0,
matusetoetust matusetoetus matusetoetuse,0.0,0.0,
muuseum muuseumi muuseumide,0.0,0.0,
ooteala piiriuletuse piiripunkti,0.0,0.0,
operatsioonil sojalisel panustamisel,0.0,0.0,
pagulasi pagulased pagulaste,0.0,0.0,
pealinnast tallinnast viljandisse,0.0,0.0,
piirikontrolli schengeni valispiiri,0.0,0.0,
kodualuse maamaksu maamaksust,0.0,0.0186046511627906,-inf
korteriuhistu korteriomanike korteriuhistute,0.0,0.0015503875968992,-inf
koolis kooli opilased,0.0,0.0031007751937984,-inf
uhistranspordi uhistransport uhistransporti,0.0,0.0015503875968992,-inf
noukogudesse ariuhingute noukogudes,0.0,0.0077519379844961,-inf
objekti anu raua,0.0,0.0031007751937984,-inf
oiglase virumaale ulemineku,0.0,0.0015503875968992,-inf
oigusriik oigusriigi oigusriigist,0.0,0.0031007751937984,-inf
lasteaia lasteaias lasteaiakoha,0.0,0.0093023255813953,-inf
prokuratuur prokuratuuri prokuror,0.0,0.0093023255813953,-inf
puude raskusastme puuet,0.0,0.0015503875968992,-inf
toonadalal istungid taiendaval,0.0,0.013953488372093,-inf
tootuid tootute tootu,0.0,0.0015503875968992,-inf
ts parvlaeva parvlaevad,0.0,0.0015503875968992,-inf
tulubaasi omavalitsustele omavalitsuste,0.0,0.0015503875968992,-inf
tulubaasi tasandusfondi tulumaksuosa,0.0,0.0077519379844961,-inf
ulejaagis struktuurses struktuurse,0.0,0.0232558139534883,-inf
nord stream streami,0.0,0.0031007751937984,-inf
utah jordaania energia,0.0,0.0015503875968992,-inf
