topic_words3,Erakonna Eestimaa Rohelised fraktsioon,Fraktsioonitud,difference
elektri elektrit taastuvenergia,0.028169014084507,0.0576540755467196,-104.67196819085487
vabatahtlike komandode paasteameti,0.0140845070422535,0.0198807157057654,-41.153081510934555
tulumaksuvaba maksususteemi tulumaksu,0.028169014084507,0.025844930417495,8.25049701789262
uliopilased uliopilastele uliopilaste,0.028169014084507,0.0238568588469184,15.308151093439552
pohiseadusega riigikohus oiguskantsler,0.0140845070422535,0.0079522862823061,43.53876739562661
riigikontrolli auditi auditit,0.0140845070422535,0.0079522862823061,43.53876739562661
pollumeestele pollumehi pollumehed,0.0140845070422535,0.0079522862823061,43.53876739562661
valimisliitude volikogusse volikokku,0.0140845070422535,0.0059642147117296,57.65407554671979
vaesuses suhtelises vaesuse,0.0140845070422535,0.0059642147117296,57.65407554671979
untso missioonide liikmesusest,0.0140845070422535,0.0059642147117296,57.65407554671979
kohtunike kohtususteem kohtuniku,0.028169014084507,0.0139165009940357,50.596421471173194
inimarengu aruanne aruandes,0.0140845070422535,0.003976143141153,71.76938369781367
direktiivi direktiiv ulevotmise,0.0140845070422535,0.003976143141153,71.76938369781367
krimmi agressiooni ukraina,0.0140845070422535,0.003976143141153,71.76938369781367
samba sammas sambasse,0.0140845070422535,0.0019880715705765,85.88469184890683
liitlaste ohutorje keskmaa,0.0140845070422535,0.0019880715705765,85.88469184890683
huvihariduse huvitegevuse huviharidus,0.0140845070422535,0.0019880715705765,85.88469184890683
teadus teaduse arendustegevuse,0.0140845070422535,0.0019880715705765,85.88469184890683
valispoliitika valispoliitikas diplomaatia,0.0140845070422535,0.0019880715705765,85.88469184890683
moisteid moiste moisted,0.0140845070422535,0.0019880715705765,85.88469184890683
kaitsekulud kaitsekulutused kaitsekulude,0.0140845070422535,0.0019880715705765,85.88469184890683
magustatud suhkrut joogi,0.0140845070422535,0.0019880715705765,85.88469184890683
ajakirjandus ajakirjanduse ajakirjandust,0.0140845070422535,0.0019880715705765,85.88469184890683
iive sundimus iibe,0.0140845070422535,0.0019880715705765,85.88469184890683
kaibemaksu kaibemaks kaibemaksumaara,0.056338028169014,0.0318091451292246,43.53876739562625
arengukavad arengukavade pohialuste,0.028169014084507,0.0079522862823061,71.7693836978133
kala kalurid kalurite,0.028169014084507,0.0079522862823061,71.7693836978133
tooandja tervisesse maksuvabalt,0.028169014084507,0.0019880715705765,92.94234592445342
rahvuse rahvust rahvusriik,0.028169014084507,0.003976143141153,85.88469184890683
huvigruppe huvigruppide kaasatud,0.028169014084507,0.003976143141153,85.88469184890683
eriarstide eriarstiabi eriarsti,0.0422535211267605,0.0119284294234592,71.76938369781318
energiaagentuur agentuuri agentuur,0.056338028169014,0.0159045725646123,71.76938369781313
hoone rkas hoonet,0.0985915492957746,0.0019880715705765,97.9835274069867
metsa metsade mets,0.0704225352112676,0.0,100.0
loomi loomade loomad,0.0422535211267605,0.0,100.0
jahimehed jahimeeste jahti,0.0140845070422535,0.0,100.0
id mobiil kaardi,0.0140845070422535,0.0,100.0
talupidajate kaubanduskoja kaubanduskoda,0.0140845070422535,0.0,100.0
liiklussurmade liikluses hukkunute,0.0140845070422535,0.0,100.0
aasia aasias saatkonna,0.0140845070422535,0.0,100.0
ammendumiseni kaheni pikendada,0.0140845070422535,0.0,100.0
koneleja konsensuslikud repliigi,0.0140845070422535,0.0,100.0
elamisluba elamisloa viisa,0.0,0.0,
deklaratsiooni deklaratsioone deklaratsioonis,0.0,0.0,
aituma infotundi jahimehed,0.0,0.0,
annetused annetusi annetuste,0.0,0.0,
elatisraha elatisabi elatise,0.0,0.0,
abipolitseinik abipolitseiniku abipolitseinike,0.0,0.0,
abielu kooselu samasooliste,0.0,0.0,
tervist tervis tervisega,0.0,0.0,
apteeke apteegid apteekide,0.0,0.0,
erso teatri kontserdi,0.0,0.0,
haaletamissedel haaletamiskasti sedeli,0.0,0.0,
