topic_words3,Fraktsioonitud,Keskerakond,difference
koolilouna koolitoidu koolitoit,0.0019880715705765,0.0249332146037399,-1154.1406945681429
koolis kooli opilased,0.0059642147117296,0.0222617987533392,-273.25615909765526
palgatousu opetajate palgatous,0.0099403578528827,0.0258236865538735,-159.78628673196752
lasteaia lasteaias lasteaiakoha,0.0019880715705765,0.0124666073018699,-527.0703472840688
noukogudesse ariuhingute noukogudes,0.0019880715705765,0.0124666073018699,-527.0703472840688
eriarstide eriarstiabi eriarsti,0.0119284294234592,0.0267141585040071,-123.9536954585937
fie fuusilisest isikust,0.0019880715705765,0.0097951914514692,-392.69813000891094
kohtla jarve johvi,0.0019880715705765,0.0080142475512021,-303.11665182547387
vallaga vald sauga,0.0019880715705765,0.0080142475512021,-303.11665182547387
riigipuha puhade tahtpaevade,0.003976143141153,0.0106856634016028,-168.74443455031593
pensionitous pensionitousu pension,0.0019880715705765,0.0071237756010685,-258.325912733753
valismaale valjarande valjaranne,0.0019880715705765,0.0071237756010685,-258.325912733753
eelarves riigieelarves reservist,0.0059642147117296,0.0124666073018699,-109.02344909468609
ajakirjandus ajakirjanduse ajakirjandust,0.0019880715705765,0.0062333036509349,-213.53517364203194
inimarengu aruanne aruandes,0.003976143141153,0.0089047195013357,-123.9536954585975
vaesuses suhtelises vaesuse,0.0059642147117296,0.0115761353517364,-94.09320273078102
kinnisasja maad maa,0.0119284294234592,0.0186999109528049,-56.767586821014994
piima toorpiima toodangut,0.0019880715705765,0.0053428317008014,-168.74443455031593
hambaravi hammaste hambad,0.0059642147117296,0.0106856634016028,-79.16295636687425
inflatsiooni inflatsioon hinnatous,0.003976143141153,0.0080142475512021,-101.55832591273696
joustumine joustuma joustada,0.0079522862823061,0.0124666073018699,-56.767586821015236
pensioni pension sammas,0.0059642147117296,0.0097951914514692,-64.23271000296754
moisteid moiste moisted,0.0019880715705765,0.0044523597506678,-123.95369545859496
omandireformi tagastatud omandireform,0.0019880715705765,0.0044523597506678,-123.95369545859496
kauguhendus avaksite ettekandjalt,0.0019880715705765,0.0044523597506678,-123.95369545859496
haale valimispaeval valimiste,0.003976143141153,0.0071237756010685,-79.16295636687647
tulumaksuvaba maksususteemi tulumaksu,0.025844930417495,0.0311665182546749,-20.59045140078072
toonadalal istungid taiendaval,0.0099403578528827,0.0133570792520035,-34.37221727515526
jarviku jarvik maaeluministri,0.003976143141153,0.0062333036509349,-56.76758682101596
oiglase virumaale ulemineku,0.0019880715705765,0.0035618878005342,-79.16295636687394
kaitsekulud kaitsekulutused kaitsekulude,0.0019880715705765,0.0035618878005342,-79.16295636687394
riigipalgaliste riigisektoris koondada,0.0019880715705765,0.0035618878005342,-79.16295636687394
pohiseadusega riigikohus oiguskantsler,0.0079522862823061,0.0106856634016028,-34.37221727515627
tootuid tootute tootu,0.0119284294234592,0.0151380231522707,-26.907094093203167
prokuratuur prokuratuuri prokuror,0.0059642147117296,0.0080142475512021,-34.372217275155705
alkoholi kange lahja,0.003976143141153,0.0053428317008014,-34.37221727515797
soita jalakaija konniteel,0.003976143141153,0.0053428317008014,-34.37221727515797
lapsetoetust lapsetoetus lapsetoetuse,0.003976143141153,0.0053428317008014,-34.37221727515797
domeenide domeeni interneti,0.0099403578528827,0.0115761353517364,-16.455921638468222
pensioniiga pensioniea eluiga,0.0019880715705765,0.0026714158504007,-34.37221727515797
tarbijakaitse amet ametile,0.0019880715705765,0.0026714158504007,-34.37221727515797
samba sammas sambasse,0.0019880715705765,0.0026714158504007,-34.37221727515797
virumaale virumaa toostusalade,0.0019880715705765,0.0026714158504007,-34.37221727515797
kaasne lisakulutusi riigieelarvele,0.0019880715705765,0.0026714158504007,-34.37221727515797
aardla pria pealtnagija,0.0019880715705765,0.0026714158504007,-34.37221727515797
hoone rkas hoonet,0.0019880715705765,0.0026714158504007,-34.37221727515797
tulubaasi tasandusfondi tulumaksuosa,0.0178926441351888,0.0195903829029385,-9.488473335312255
opositsioonis koalitsiooni opositsiooni,0.0099403578528827,0.0106856634016028,-7.497773820124197
korterid kortereid korterit,0.003976143141153,0.0044523597506678,-11.976847729297477
tulubaasi omavalitsustele omavalitsuste,0.0159045725646123,0.0160284951024042,-0.7791629563665714
