topic_words3,Fraktsioonitud,Isamaa,difference
koolis kooli opilased,0.0153846153846153,0.0247148288973384,-60.646387832700476
liitlaste ohutorje keskmaa,0.0153846153846153,0.0180608365019011,-17.395437262357795
pagulasi pagulased pagulaste,0.0153846153846153,0.0161596958174904,-5.038022813688174
opositsioonis koalitsiooni opositsiooni,0.0307692307692307,0.0304182509505703,1.140684410646306
viirust vaktsineeritud viiruse,0.0307692307692307,0.0228136882129277,25.85551330798482
terviseandmed isikuandmeid terviseandmeid,0.0153846153846153,0.0095057034220532,38.212927756653855
lasteaia lasteaias lasteaiakoha,0.0153846153846153,0.0085551330798479,44.39163498098834
tulubaasi omavalitsustele omavalitsuste,0.0153846153846153,0.0085551330798479,44.39163498098834
kaibemaksu kaibemaks kaibemaksumaara,0.0153846153846153,0.0085551330798479,44.39163498098834
huvigruppe huvigruppide kaasatud,0.0153846153846153,0.0057034220532319,62.92775665399245
lisaeelarve lisaeelarves lisaeelarvega,0.0153846153846153,0.0047528517110266,69.10646387832693
tooandja tooandjal tootaja,0.0153846153846153,0.0038022813688212,75.28517110266206
volakirjade keskpank volakirju,0.0153846153846153,0.0038022813688212,75.28517110266206
karistuse karistus tingimisi,0.0153846153846153,0.0038022813688212,75.28517110266206
inflatsiooni inflatsioon hinnatous,0.0307692307692307,0.0133079847908745,56.74904942965778
arengufond arengufondi arengufondis,0.0153846153846153,0.0028517110266159,81.46387832699654
vallaga vald sauga,0.0153846153846153,0.0028517110266159,81.46387832699654
vee monopolide veeteenuse,0.0153846153846153,0.0028517110266159,81.46387832699654
tarbijakaitse amet ametile,0.0153846153846153,0.0009505703422053,93.82129277566551
tervist tervis tervisega,0.0153846153846153,0.0009505703422053,93.82129277566551
maksuamet tolliamet tolliameti,0.0153846153846153,0.0009505703422053,93.82129277566551
salastatud valisteabe riigisaladuse,0.0153846153846153,0.0009505703422053,93.82129277566551
tapsustatakse ajakohastatakse nouete,0.0153846153846153,0.0019011406844106,87.64258555133104
katteallikas katteallikaid katteallikat,0.0153846153846153,0.0019011406844106,87.64258555133104
uhistranspordi uhistransport uhistransporti,0.0307692307692307,0.0019011406844106,93.82129277566553
lapsetoetust lapsetoetus lapsetoetuse,0.0615384615384615,0.0247148288973384,59.838403041825075
soita jalakaija konniteel,0.0461538461538461,0.0057034220532319,87.64258555133088
korterid kortereid korterit,0.0615384615384615,0.0076045627376425,87.64258555133094
palgatousu opetajate palgatous,0.0923076923076923,0.0057034220532319,93.82129277566543
tulumaksuvaba maksususteemi tulumaksu,0.2153846153846154,0.0038022813688212,98.23465507876159
korterelamute kortermajade kredexi,0.0153846153846153,0.0,100.0
tooandja tervisesse maksuvabalt,0.0153846153846153,0.0,100.0
riigipuha puhade tahtpaevade,0.0153846153846153,0.0,100.0
riigipalgaliste riigisektoris koondada,0.0153846153846153,0.0,100.0
erso teatri kontserdi,0.0153846153846153,0.0,100.0
korteriuhistu korteriomanike korteriuhistute,0.0,0.0009505703422053,-inf
konkurss konkursi konkurssi,0.0,0.0047528517110266,-inf
annetused annetusi annetuste,0.0,0.0304182509505703,-inf
kandideerima ametikohale kandidaatide,0.0,0.0009505703422053,-inf
kandidaati kandidaat valituks,0.0,0.0019011406844106,-inf
korruptsiooni korruptsioon korruptsiooniga,0.0,0.0028517110266159,-inf
kusimusena tahtsa tahtsusega,0.0,0.0028517110266159,-inf
kutsehariduse kutseharidus kutsehariduses,0.0,0.0009505703422053,-inf
koolituse koolitus koolitusele,0.0,0.0009505703422053,-inf
laari laar kandidatuuri,0.0,0.0009505703422053,-inf
koolilouna koolitoidu koolitoit,0.0,0.0038022813688212,-inf
lahususe voimude lahusus,0.0,0.0028517110266159,-inf
kohanimenoukogu vonnu mulgi,0.0,0.0009505703422053,-inf
leping ratifitseerida lepinguga,0.0,0.0009505703422053,-inf
krimmi agressiooni ukraina,0.0,0.0760456273764258,-inf
kodakondsust kodakondsuse kodanikuks,0.0,0.0038022813688212,-inf
kinnitamise paevakorra paevakord,0.0,0.0009505703422053,-inf
kinnisasja maad maa,0.0,0.0076045627376425,-inf
keskkonnaameti uhendamine uhendamise,0.0,0.0028517110266159,-inf
keeleoskust oskuse keeleoskuse,0.0,0.0009505703422053,-inf
kauguhendus avaksite ettekandjalt,0.0,0.0066539923954372,-inf
lipu laevu kaubalaeva,0.0,0.0028517110266159,-inf
lipud lippude lipp,0.0,0.0009505703422053,-inf
lng terminali gaasi,0.0,0.0608365019011406,-inf
kodualuse maamaksu maamaksust,0.0,0.0114068441064638,-inf
aardla pria pealtnagija,0.0,0.0019011406844106,-inf
piima toorpiima toodangut,0.0,0.0019011406844106,-inf
abipolitseinik abipolitseiniku abipolitseinike,0.0,0.0,
liiklussurmade liikluses hukkunute,0.0,0.0,
maantee neljarealiseks ppp,0.0,0.0,
maavalitsuste maavalitsused maakonna,0.0,0.0,
matusetoetust matusetoetus matusetoetuse,0.0,0.0,
muraste kase kompleksi,0.0,0.0,
muuseum muuseumi muuseumide,0.0,0.0,
objekti anu raua,0.0,0.0,
pensioni pension sammas,0.0,0.0,
piirikontrolli schengeni valispiiri,0.0,0.0,
planeeringu keskkonnamoju keskkonnamojude,0.0,0.0,
rahvaalgatuse rahvaalgatus rahvahaaletus,0.0,0.0,
relva relvade relvaluba,0.0,0.0,
seksuaalse vangistusega vaarkohtlemise,0.0,0.0,
skais arendused infosusteemide,0.0,0.0,
sularaha kommertspangad pangad,0.0,0.0,
treenerite spordi sport,0.0,0.0,
ugri rahvaste polisrahvaste,0.0,0.0,
utah jordaania energia,0.0,0.0,
vaesuses suhtelises vaesuse,0.0,0.0,
valimiskomisjon proteste valimiskasti,0.0,0.0,
valismaale valjarande valjaranne,0.0,0.0,
varude varud varu,0.0,0.0,
voidusamba vabadussoja uurimiskomisjon,0.0,0.0,
lae korgepalgaliste lagi,0.0,0.0,
kusija vastaja vastasin,0.0,0.0,
kulukuse krediidi kiirlaenude,0.0,0.0,
hiv narkomaania epideemia,0.0,0.0,
ajakirjandus ajakirjanduse ajakirjandust,0.0,0.0,
annetus erjk annetuse,0.0,0.0,
danske filiaali rahapesu,0.0,0.0,
deklaratsiooni deklaratsioone deklaratsioonis,0.0,0.0,
efsf esm kreekale,0.0,0.0,
eripensioni valjateenitud staazi,0.0,0.0,
haale valimispaeval valimiste,0.0,0.0,
haalte kandidaatidele haaletamisest,0.0,0.0,
hambaravi hammaste hambad,0.0,0.0,
hansson ardo panga,0.0,0.0,
hoiu pangad pankade,0.0,0.0,
korrata stenogrammist vabandan,0.0,0.0,
humni humn laulda,0.0,0.0,
jahimehed jahimeeste jahti,0.0,0.0,
kandidaadi kandidaati kandidaat,0.0,0.0,
kantsler kantsleri riigisekretar,0.0,0.0,
kirik kiriku maarja,0.0,0.0,
kohtla jarve johvi,0.0,0.0,
kohtunike kohtususteem kohtuniku,0.0,0.0,
kohtutaiturite kohtutaitur kohtutaituri,0.0,0.0,
kolledz kolledzi turi,0.0,0.0,
koneleja konsensuslikud repliigi,0.0,0.0,
kala kalurid kalurite,0.0,0.0085551330798479,-inf
hadaolukorda eriolukord eriolukorra,0.0,0.0047528517110266,-inf
aituma infotundi jahimehed,0.0,0.0028517110266159,-inf
etv saateid pbk,0.0,0.0057034220532319,-inf
omandireformi tagastatud omandireform,0.0,0.0009505703422053,-inf
ooteala piiriuletuse piiripunkti,0.0,0.0019011406844106,-inf
ootuse oigusparase oiguskindluse,0.0,0.0019011406844106,-inf
opositsiooni koalitsioonil opositsioonil,0.0,0.0076045627376425,-inf
otsevalimise presidenti presidendi,0.0,0.0047528517110266,-inf
palgalohe soolist meeste,0.0,0.0019011406844106,-inf
oiglase virumaale ulemineku,0.0,0.0009505703422053,-inf
mes maale maaelu,0.0,0.0047528517110266,-inf
riigiabi komisjonilt loa,0.0,0.0009505703422053,-inf
riigiloivude riigiloivud riigiloivu,0.0,0.0019011406844106,-inf
ulejaagis struktuurses struktuurse,0.0,0.0066539923954372,-inf
ulikooliga kbfi instituudi,0.0,0.0009505703422053,-inf
uliopilased uliopilastele uliopilaste,0.0,0.0199619771863117,-inf
untso missioonide liikmesusest,0.0,0.0019011406844106,-inf
uuring uuringut uuringu,0.0,0.0009505703422053,-inf
vabatahtlike komandode paasteameti,0.0,0.0057034220532319,-inf
vagivalla naistevastase perevagivalla,0.0,0.0009505703422053,-inf
vagivallale vihakone ohutamine,0.0,0.0038022813688212,-inf
vaikesaarte saarte pusiasustusega,0.0,0.0085551330798479,-inf
valijate erakonda valijaid,0.0,0.0028517110266159,-inf
valimisea valimisiga valimisoiguse,0.0,0.0019011406844106,-inf
valimisliitude volikogusse volikokku,0.0,0.0019011406844106,-inf
valispoliitika valispoliitikas diplomaatia,0.0,0.0009505703422053,-inf
vanemahuvitist vanemahuvitise vanemahuvitis,0.0,0.0057034220532319,-inf
veb fondi uurimiskomisjon,0.0,0.0009505703422053,-inf
oigusriik oigusriigi oigusriigist,0.0,0.0019011406844106,-inf
virumaale virumaa toostusalade,0.0,0.0028517110266159,-inf
reklaami reklaam alkoholireklaam,0.0,0.0009505703422053,-inf
rahvahaaletuse rahvahaaletus rahvahaaletusel,0.0,0.0009505703422053,-inf
piirilepingu piirileping piirilepingut,0.0,0.0028517110266159,-inf
piirivalve valvamise valvamine,0.0,0.0019011406844106,-inf
pohiseadusega riigikohus oiguskantsler,0.0,0.0019011406844106,-inf
pollumeestele pollumehi pollumehed,0.0,0.0019011406844106,-inf
poolte kokkuleppel huvitise,0.0,0.0019011406844106,-inf
post posti omniva,0.0,0.0009505703422053,-inf
prokuratuur prokuratuuri prokuror,0.0,0.0047528517110266,-inf
psuhhiaatri alaealine psuhhiaatrilist,0.0,0.0009505703422053,-inf
puude raskusastme puuet,0.0,0.0019011406844106,-inf
raamatukogu pimedate raamatukogude,0.0,0.0047528517110266,-inf
rahapesu terrorismi andmeburoo,0.0,0.0009505703422053,-inf
rahvuse rahvust rahvusriik,0.0,0.0028517110266159,-inf
normitehnika mojude eeskiri,0.0,0.0019011406844106,-inf
rail trassi balticu,0.0,0.0066539923954372,-inf
pensionitous pensionitousu pension,0.0,0.0275665399239543,-inf
pensioniiga pensioniea eluiga,0.0,0.0019011406844106,-inf
pensionifondide pensionifondid fondid,0.0,0.0019011406844106,-inf
pealinnast tallinnast viljandisse,0.0,0.0009505703422053,-inf
metsa metsade mets,0.0,0.0228136882129277,-inf
miili baasvorgu lairiba,0.0,0.0028517110266159,-inf
missiooni missioonile missioon,0.0,0.0028517110266159,-inf
moisteid moiste moisted,0.0,0.0066539923954372,-inf
muundatud geneetiliselt gmo,0.0,0.0009505703422053,-inf
nord stream streami,0.0,0.0019011406844106,-inf
tulubaasi tasandusfondi tulumaksuosa,0.0,0.0028517110266159,-inf
tsernoboli represseeritud oigusvastaselt,0.0,0.0009505703422053,-inf
ts parvlaeva parvlaevad,0.0,0.0028517110266159,-inf
arengukavad arengukavade pohialuste,0.0,0.0133079847908745,-inf
inimarengu aruanne aruandes,0.0,0.0009505703422053,-inf
aasia aasias saatkonna,0.0,0.0019011406844106,-inf
jaatmeid liigiti prugi,0.0,0.0019011406844106,-inf
jarviku jarvik maaeluministri,0.0,0.0038022813688212,-inf
apteeke apteegid apteekide,0.0,0.0009505703422053,-inf
kaasne lisakulutusi riigieelarvele,0.0,0.0038022813688212,-inf
kaitsekulud kaitsekulutused kaitsekulude,0.0,0.0047528517110266,-inf
hanke hankija riigihangete,0.0,0.0114068441064638,-inf
kaitseliit kaitseliidule kaitseliidu,0.0,0.0095057034220532,-inf
haiguspaevade haiguspaevi haiguspaeva,0.0,0.0019011406844106,-inf
fie fuusilisest isikust,0.0,0.0028517110266159,-inf
borsile ipo enefit,0.0,0.0028517110266159,-inf
iive sundimus iibe,0.0,0.0038022813688212,-inf
direktiivi direktiiv ulevotmise,0.0,0.0114068441064638,-inf
domeenide domeeni interneti,0.0,0.0009505703422053,-inf
eelarvele kulude riigieelarvele,0.0,0.0009505703422053,-inf
eelarves riigieelarves reservist,0.0,0.0133079847908745,-inf
ammendumiseni kaheni pikendada,0.0,0.0009505703422053,-inf
ametiuhingute tooandjate keskliit,0.0,0.0047528517110266,-inf
elamisluba elamisloa viisa,0.0,0.0038022813688212,-inf
elektri elektrit taastuvenergia,0.0,0.0522813688212927,-inf
eriarstide eriarstiabi eriarsti,0.0,0.0038022813688212,-inf
erimargistatud kutust kutuse,0.0,0.0199619771863117,-inf
alkoholi kange lahja,0.0,0.0057034220532319,-inf
loomi loomade loomad,0.0,0.0038022813688212,-inf
idapiiri piiririba valjaehitamine,0.0,0.0009505703422053,-inf
toovoimereformi toovoimega toovoimereform,0.0,0.0009505703422053,-inf
teede teehoiuks teedele,0.0,0.0009505703422053,-inf
riigimetsa majandamise noukokku,0.0,0.0009505703422053,-inf
riigireformi riigireformist riigireform,0.0,0.0009505703422053,-inf
salvestisi salvestised salvestiste,0.0,0.0095057034220532,-inf
samba sammas sambasse,0.0,0.0028517110266159,-inf
sigade katku katk,0.0,0.0009505703422053,-inf
slovakkia ungari portugal,0.0,0.0066539923954372,-inf
suuria euroopasse turgis,0.0,0.0009505703422053,-inf
riigikontrolli auditi auditit,0.0,0.0009505703422053,-inf
taanis saksamaal hollandis,0.0,0.0019011406844106,-inf
tantsupeo laulu traditsiooni,0.0,0.0019011406844106,-inf
teadus teaduse arendustegevuse,0.0,0.0028517110266159,-inf
teenistuse teenistuses avalikus,0.0,0.0009505703422053,-inf
id mobiil kaardi,0.0,0.0019011406844106,-inf
teenuseid teenused teenust,0.0,0.0028517110266159,-inf
toonadalal istungid taiendaval,0.0,0.0351711026615969,-inf
tootuid tootute tootu,0.0,0.0019011406844106,-inf
talupidajate kaubanduskoja kaubanduskoda,0.0,0.0009505703422053,-inf
louis freeh kremli,0.0,0.0009505703422053,-inf
noukogudesse ariuhingute noukogudes,0.0,0.0009505703422053,-inf
joustumine joustuma joustada,0.0,0.0085551330798479,-inf
abielu kooselu samasooliste,0.0,0.0009505703422053,-inf
hooldekodus hoolduse hooldekodu,0.0,0.0047528517110266,-inf
hoone rkas hoonet,0.0,0.0009505703422053,-inf
huvihariduse huvitegevuse huviharidus,0.0,0.0047528517110266,-inf
volitust kaasuses jarvik,0.0,0.0,
