topic_words3,Isamaa,Sotsiaaldemokraadid,difference
lapsetoetust lapsetoetus lapsetoetuse,0.0247148288973384,0.0695825049701789,-181.5415201101085
koolilouna koolitoidu koolitoit,0.0038022813688212,0.0337972166998011,-788.8667992047905
vagivallale vihakone ohutamine,0.0038022813688212,0.0318091451292246,-736.5805168986274
virumaale virumaa toostusalade,0.0028517110266159,0.025844930417495,-806.2955599735135
huvihariduse huvitegevuse huviharidus,0.0047528517110266,0.025844930417495,-443.77733598409657
koolis kooli opilased,0.0247148288973384,0.0536779324055666,-117.1891726563695
palgatousu opetajate palgatous,0.0057034220532319,0.0238568588469184,-318.2902584493055
tulumaksuvaba maksususteemi tulumaksu,0.0038022813688212,0.0198807157057654,-422.86282306164276
inflatsiooni inflatsioon hinnatous,0.0133079847908745,0.0337972166998011,-153.96194262993444
toovoimereformi toovoimega toovoimereform,0.0009505703422053,0.0119284294234592,-1154.8707753479387
korterid kortereid korterit,0.0076045627376425,0.0198807157057654,-161.43141153081797
eriarstide eriarstiabi eriarsti,0.0038022813688212,0.0139165009940357,-266.00397614314784
pollumeestele pollumehi pollumehed,0.0019011406844106,0.0099403578528827,-422.86282306164276
palgalohe soolist meeste,0.0019011406844106,0.0079522862823061,-318.29025844931107
riigiabi komisjonilt loa,0.0009505703422053,0.0059642147117296,-527.4353876739693
keeleoskust oskuse keeleoskuse,0.0009505703422053,0.0059642147117296,-527.4353876739693
psuhhiaatri alaealine psuhhiaatrilist,0.0009505703422053,0.0059642147117296,-527.4353876739693
korteriuhistu korteriomanike korteriuhistute,0.0009505703422053,0.0059642147117296,-527.4353876739693
tooandja tooandjal tootaja,0.0038022813688212,0.0099403578528827,-161.43141153082138
nord stream streami,0.0019011406844106,0.0059642147117296,-213.71769383698464
piima toorpiima toodangut,0.0019011406844106,0.0059642147117296,-213.71769383698464
prokuratuur prokuratuuri prokuror,0.0047528517110266,0.0099403578528827,-109.14512922465272
hooldekodus hoolduse hooldekodu,0.0047528517110266,0.0099403578528827,-109.14512922465272
louis freeh kremli,0.0009505703422053,0.003976143141153,-318.2902584493057
ulikooliga kbfi instituudi,0.0009505703422053,0.003976143141153,-318.2902584493057
hoone rkas hoonet,0.0009505703422053,0.003976143141153,-318.2902584493057
valispoliitika valispoliitikas diplomaatia,0.0009505703422053,0.003976143141153,-318.2902584493057
eelarvele kulude riigieelarvele,0.0009505703422053,0.003976143141153,-318.2902584493057
pealinnast tallinnast viljandisse,0.0009505703422053,0.003976143141153,-318.2902584493057
tulubaasi omavalitsustele omavalitsuste,0.0085551330798479,0.0139165009940357,-62.66843384139522
lasteaia lasteaias lasteaiakoha,0.0085551330798479,0.0139165009940357,-62.66843384139522
pensionitous pensionitousu pension,0.0275665399239543,0.0357852882703777,-29.81421813943944
huvigruppe huvigruppide kaasatud,0.0057034220532319,0.0099403578528827,-74.28760768721119
pagulasi pagulased pagulaste,0.0161596958174904,0.0218687872763419,-35.329201263010674
uliopilased uliopilastele uliopilaste,0.0199619771863117,0.025844930417495,-29.470794281927887
lisaeelarve lisaeelarves lisaeelarvega,0.0047528517110266,0.0079522862823061,-67.31610337972089
puude raskusastme puuet,0.0019011406844106,0.003976143141153,-109.14512922465288
taanis saksamaal hollandis,0.0019011406844106,0.003976143141153,-109.14512922465288
elamisluba elamisloa viisa,0.0038022813688212,0.0059642147117296,-56.858846918492326
vanemahuvitist vanemahuvitise vanemahuvitis,0.0057034220532319,0.0079522862823061,-39.4300861497679
post posti omniva,0.0009505703422053,0.0019880715705765,-109.14512922465288
maksuamet tolliamet tolliameti,0.0009505703422053,0.0019880715705765,-109.14512922465288
ammendumiseni kaheni pikendada,0.0009505703422053,0.0019880715705765,-109.14512922465288
teede teehoiuks teedele,0.0009505703422053,0.0019880715705765,-109.14512922465288
uuring uuringut uuringu,0.0009505703422053,0.0019880715705765,-109.14512922465288
suuria euroopasse turgis,0.0009505703422053,0.0019880715705765,-109.14512922465288
kutsehariduse kutseharidus kutsehariduses,0.0009505703422053,0.0019880715705765,-109.14512922465288
abielu kooselu samasooliste,0.0009505703422053,0.0019880715705765,-109.14512922465288
laari laar kandidatuuri,0.0009505703422053,0.0019880715705765,-109.14512922465288
tarbijakaitse amet ametile,0.0009505703422053,0.0019880715705765,-109.14512922465288
riigireformi riigireformist riigireform,0.0009505703422053,0.0019880715705765,-109.14512922465288
