topic_words3,EKRE,Fraktsioonitud,difference
palgatousu opetajate palgatous,0.0031152647975077,0.0923076923076923,-2863.0769230770065
korterid kortereid korterit,0.0077881619937694,0.0615384615384615,-690.1538461538528
lapsetoetust lapsetoetus lapsetoetuse,0.0093457943925233,0.0615384615384615,-558.4615384615427
tulumaksuvaba maksususteemi tulumaksu,0.0007788161993769,0.2153846153846154,-27555.384615386287
soita jalakaija konniteel,0.0062305295950155,0.0461538461538461,-640.769230769239
uhistranspordi uhistransport uhistransporti,0.0007788161993769,0.0307692307692307,-3850.769230769461
katteallikas katteallikaid katteallikat,0.0015576323987538,0.0153846153846153,-887.692307692362
vallaga vald sauga,0.0023364485981308,0.0153846153846153,-558.4615384615464
korterelamute kortermajade kredexi,0.0023364485981308,0.0153846153846153,-558.4615384615464
tulubaasi omavalitsustele omavalitsuste,0.0031152647975077,0.0153846153846153,-393.8461538461651
tooandja tooandjal tootaja,0.0031152647975077,0.0153846153846153,-393.8461538461651
lisaeelarve lisaeelarves lisaeelarvega,0.0007788161993769,0.0153846153846153,-1875.384615384724
tervist tervis tervisega,0.0007788161993769,0.0153846153846153,-1875.384615384724
tapsustatakse ajakohastatakse nouete,0.0007788161993769,0.0153846153846153,-1875.384615384724
maksuamet tolliamet tolliameti,0.0007788161993769,0.0153846153846153,-1875.384615384724
tooandja tervisesse maksuvabalt,0.0007788161993769,0.0153846153846153,-1875.384615384724
volakirjade keskpank volakirju,0.0007788161993769,0.0153846153846153,-1875.384615384724
arengufond arengufondi arengufondis,0.0046728971962616,0.0153846153846153,-229.23076923077318
opositsioonis koalitsiooni opositsiooni,0.0155763239875389,0.0307692307692307,-97.53846153846163
lasteaia lasteaias lasteaiakoha,0.0054517133956386,0.0153846153846153,-182.19780219780216
karistuse karistus tingimisi,0.0062305295950155,0.0153846153846153,-146.9230769230786
salastatud valisteabe riigisaladuse,0.0062305295950155,0.0153846153846153,-146.9230769230786
kaibemaksu kaibemaks kaibemaksumaara,0.0062305295950155,0.0153846153846153,-146.9230769230786
huvigruppe huvigruppide kaasatud,0.0070093457943925,0.0153846153846153,-119.48717948717902
terviseandmed isikuandmeid terviseandmeid,0.0077881619937694,0.0153846153846153,-97.53846153846224
tarbijakaitse amet ametile,0.0093457943925233,0.0153846153846153,-64.61538461538487
inflatsiooni inflatsioon hinnatous,0.028816199376947,0.0307692307692307,-6.777546777546697
viirust vaktsineeritud viiruse,0.0412772585669781,0.0307692307692307,25.45718432510885
pagulasi pagulased pagulaste,0.0342679127725856,0.0153846153846153,55.10489510489525
koolis kooli opilased,0.0366043613707165,0.0153846153846153,57.97054009819988
liitlaste ohutorje keskmaa,0.042834890965732,0.0153846153846153,64.08391608391621
krimmi agressiooni ukraina,0.0568535825545171,0.0,100.0
elektri elektrit taastuvenergia,0.0350467289719626,0.0,100.0
toonadalal istungid taiendaval,0.0249221183800623,0.0,100.0
piirilepingu piirileping piirilepingut,0.0218068535825545,0.0,100.0
direktiivi direktiiv ulevotmise,0.0202492211838006,0.0,100.0
uliopilased uliopilastele uliopilaste,0.0202492211838006,0.0,100.0
vagivallale vihakone ohutamine,0.0194704049844236,0.0,100.0
lng terminali gaasi,0.0171339563862928,0.0,100.0
missiooni missioonile missioon,0.0155763239875389,0.0,100.0
kaitseliit kaitseliidule kaitseliidu,0.0155763239875389,0.0,100.0
piirivalve valvamise valvamine,0.0147975077881619,0.0,100.0
rahvuse rahvust rahvusriik,0.0147975077881619,0.0,100.0
jarviku jarvik maaeluministri,0.014018691588785,0.0,100.0
palgalohe soolist meeste,0.014018691588785,0.0,100.0
hadaolukorda eriolukord eriolukorra,0.0132398753894081,0.0,100.0
eelarves riigieelarves reservist,0.0132398753894081,0.0,100.0
eriarstide eriarstiabi eriarsti,0.0124610591900311,0.0,100.0
moisteid moiste moisted,0.0109034267912772,0.0,100.0
pensionitous pensionitousu pension,0.0093457943925233,0.0,100.0
vabatahtlike komandode paasteameti,0.0093457943925233,0.0,100.0
normitehnika mojude eeskiri,0.0085669781931464,0.0,100.0
