topic_words3,EKRE,Sotsiaaldemokraadid,difference
lapsetoetust lapsetoetus lapsetoetuse,0.0093457943925233,0.0695825049701789,-644.5328031809195
koolilouna koolitoidu koolitoit,0.0031152647975077,0.0337972166998011,-984.8906560636459
pensionitous pensionitousu pension,0.0093457943925233,0.0357852882703777,-282.90258449304406
virumaale virumaa toostusalade,0.0046728971962616,0.025844930417495,-453.0815109344027
palgatousu opetajate palgatous,0.0031152647975077,0.0238568588469184,-665.8051689861023
huvihariduse huvitegevuse huviharidus,0.0007788161993769,0.025844930417495,-3218.489065606558
tulumaksuvaba maksususteemi tulumaksu,0.0007788161993769,0.0198807157057654,-2452.683896620432
tulubaasi omavalitsustele omavalitsuste,0.0031152647975077,0.0139165009940357,-346.7196819085586
vaesuses suhtelises vaesuse,0.0007788161993769,0.0119284294234592,-1431.610337972254
korterid kortereid korterit,0.0077881619937694,0.0198807157057654,-155.26838966203005
hooldekodus hoolduse hooldekodu,0.0007788161993769,0.0099403578528827,-1176.341948310216
lisaeelarve lisaeelarves lisaeelarvega,0.0007788161993769,0.0079522862823061,-921.0735586481649
koolis kooli opilased,0.0366043613707165,0.0536779324055666,-46.643542997335175
lasteaia lasteaias lasteaiakoha,0.0054517133956386,0.0139165009940357,-155.2683896620276
tooandja tooandjal tootaja,0.0031152647975077,0.0099403578528827,-219.0854870775437
vagivallale vihakone ohutamine,0.0194704049844236,0.0318091451292246,-63.371769383698194
nord stream streami,0.0007788161993769,0.0059642147117296,-665.805168986127
vanemahuvitist vanemahuvitise vanemahuvitis,0.0023364485981308,0.0079522862823061,-240.35785288270705
metsa metsade mets,0.0070093457943925,0.0139165009940357,-98.5420808482433
prokuratuur prokuratuuri prokuror,0.0046728971962616,0.0099403578528827,-112.7236580516935
volakirjade keskpank volakirju,0.0007788161993769,0.003976143141153,-410.53677932407606
pealinnast tallinnast viljandisse,0.0007788161993769,0.003976143141153,-410.53677932407606
piima toorpiima toodangut,0.0023364485981308,0.0059642147117296,-155.26838966203138
eripensioni valjateenitud staazi,0.0023364485981308,0.0059642147117296,-155.26838966203138
ulejaagis struktuurses struktuurse,0.0038940809968847,0.0079522862823061,-104.2147117296225
pollumeestele pollumehi pollumehed,0.0054517133956386,0.0099403578528827,-82.3345640443065
loomi loomade loomad,0.0015576323987538,0.003976143141153,-155.26838966203803
ulikooliga kbfi instituudi,0.0015576323987538,0.003976143141153,-155.26838966203803
kohtla jarve johvi,0.0015576323987538,0.003976143141153,-155.26838966203803
hanke hankija riigihangete,0.0031152647975077,0.0059642147117296,-91.45129224652558
psuhhiaatri alaealine psuhhiaatrilist,0.0031152647975077,0.0059642147117296,-91.45129224652558
uliopilased uliopilastele uliopilaste,0.0202492211838006,0.025844930417495,-27.634194831013904
huvigruppe huvigruppide kaasatud,0.0070093457943925,0.0099403578528827,-41.81577203446034
oiglase virumaale ulemineku,0.0007788161993769,0.0019880715705765,-155.26838966203803
muuseum muuseumi muuseumide,0.0007788161993769,0.0019880715705765,-155.26838966203803
teede teehoiuks teedele,0.0007788161993769,0.0019880715705765,-155.26838966203803
pensioni pension sammas,0.0007788161993769,0.0019880715705765,-155.26838966203803
uhistranspordi uhistransport uhistransporti,0.0007788161993769,0.0019880715705765,-155.26838966203803
kolledz kolledzi turi,0.0007788161993769,0.0019880715705765,-155.26838966203803
ammendumiseni kaheni pikendada,0.0007788161993769,0.0019880715705765,-155.26838966203803
suuria euroopasse turgis,0.0007788161993769,0.0019880715705765,-155.26838966203803
korruptsiooni korruptsioon korruptsiooniga,0.0007788161993769,0.0019880715705765,-155.26838966203803
danske filiaali rahapesu,0.0007788161993769,0.0019880715705765,-155.26838966203803
sigade katku katk,0.0007788161993769,0.0019880715705765,-155.26838966203803
maksuamet tolliamet tolliameti,0.0007788161993769,0.0019880715705765,-155.26838966203803
kaitsekulud kaitsekulutused kaitsekulude,0.0007788161993769,0.0019880715705765,-155.26838966203803
opositsiooni koalitsioonil opositsioonil,0.0007788161993769,0.0019880715705765,-155.26838966203803
inflatsiooni inflatsioon hinnatous,0.028816199376947,0.0337972166998011,-17.285476331201817
erimargistatud kutust kutuse,0.0038940809968847,0.0059642147117296,-53.16103379721751
kodualuse maamaksu maamaksust,0.0023364485981308,0.003976143141153,-70.17892644135136
arengukavad arengukavade pohialuste,0.0062305295950155,0.0079522862823061,-27.63419483101447
keeleoskust oskuse keeleoskuse,0.0046728971962616,0.0059642147117296,-27.634194831015684
kantsler kantsleri riigisekretar,0.0031152647975077,0.003976143141153,-27.634194831014895
eriarstide eriarstiabi eriarsti,0.0124610591900311,0.0139165009940357,-11.679920477136957
korrata stenogrammist vabandan,0.0015576323987538,0.0019880715705765,-27.634194831019
raamatukogu pimedate raamatukogude,0.0015576323987538,0.0019880715705765,-27.634194831019
poolte kokkuleppel huvitise,0.0015576323987538,0.0019880715705765,-27.634194831019
teenistuse teenistuses avalikus,0.0015576323987538,0.0019880715705765,-27.634194831019
miili baasvorgu lairiba,0.0015576323987538,0.0019880715705765,-27.634194831019
elamisluba elamisloa viisa,0.0054517133956386,0.0059642147117296,-9.400738426583535
etv saateid pbk,0.0054517133956386,0.0059642147117296,-9.400738426583535
lng terminali gaasi,0.0171339563862928,0.0178926441351888,-4.42797758901122
valijate erakonda valijaid,0.0023364485981308,0.0019880715705765,14.910536779324318
uuring uuringut uuringu,0.0023364485981308,0.0019880715705765,14.910536779324318
korterelamute kortermajade kredexi,0.0023364485981308,0.0019880715705765,14.910536779324318
maavalitsuste maavalitsused maakonna,0.0023364485981308,0.0019880715705765,14.910536779324318
abielu kooselu samasooliste,0.0023364485981308,0.0019880715705765,14.910536779324318
taanis saksamaal hollandis,0.0046728971962616,0.003976143141153,14.910536779324318
ajakirjandus ajakirjanduse ajakirjandust,0.0070093457943925,0.0059642147117296,14.910536779324083
louis freeh kremli,0.0054517133956386,0.003976143141153,27.06617438227888
humni humn laulda,0.0031152647975077,0.0019880715705765,36.18290258449255
kaibemaksu kaibemaks kaibemaksumaara,0.0062305295950155,0.003976143141153,36.182902584493576
annetused annetusi annetuste,0.0062305295950155,0.003976143141153,36.182902584493576
opositsioonis koalitsiooni opositsiooni,0.0155763239875389,0.0119284294234592,23.419483101391727
kaasne lisakulutusi riigieelarvele,0.0038940809968847,0.0019880715705765,48.94632206759503
kutsehariduse kutseharidus kutsehariduses,0.0038940809968847,0.0019880715705765,48.94632206759503
