topic_words3,Isamaa,Keskerakond,difference
pensionitous pensionitousu pension,0.0275665399239543,0.1149425287356321,-316.9639318271906
lasteaia lasteaias lasteaiakoha,0.0085551330798479,0.0459770114942528,-437.42017879948884
pohiseadusega riigikohus oiguskantsler,0.0019011406844106,0.0517241379310344,-2620.689655172476
eriarstide eriarstiabi eriarsti,0.0038022813688212,0.0402298850574712,-958.0459770115183
huvigruppe huvigruppide kaasatud,0.0057034220532319,0.0402298850574712,-605.3639846743333
haiguspaevade haiguspaevi haiguspaeva,0.0019011406844106,0.0172413793103448,-806.8965517241585
pollumeestele pollumehi pollumehed,0.0019011406844106,0.0172413793103448,-806.8965517241585
valispoliitika valispoliitikas diplomaatia,0.0009505703422053,0.0172413793103448,-1713.793103448317
mes maale maaelu,0.0047528517110266,0.0172413793103448,-262.75862068965574
abielu kooselu samasooliste,0.0009505703422053,0.0114942528735632,-1109.195402298878
piima toorpiima toodangut,0.0019011406844106,0.0114942528735632,-504.597701149439
missiooni missioonile missioon,0.0028517110266159,0.0114942528735632,-303.06513409962605
vee monopolide veeteenuse,0.0028517110266159,0.0114942528735632,-303.06513409962605
koolis kooli opilased,0.0247148288973384,0.0402298850574712,-62.77630415561427
tulumaksuvaba maksususteemi tulumaksu,0.0038022813688212,0.0114942528735632,-202.2988505747195
otsevalimise presidenti presidendi,0.0047528517110266,0.0114942528735632,-141.8390804597705
muundatud geneetiliselt gmo,0.0009505703422053,0.0057471264367816,-504.597701149439
rahvahaaletuse rahvahaaletus rahvahaaletusel,0.0009505703422053,0.0057471264367816,-504.597701149439
talupidajate kaubanduskoja kaubanduskoda,0.0009505703422053,0.0057471264367816,-504.597701149439
apteeke apteegid apteekide,0.0009505703422053,0.0057471264367816,-504.597701149439
riigiabi komisjonilt loa,0.0009505703422053,0.0057471264367816,-504.597701149439
riigimetsa majandamise noukokku,0.0009505703422053,0.0057471264367816,-504.597701149439
teede teehoiuks teedele,0.0009505703422053,0.0057471264367816,-504.597701149439
psuhhiaatri alaealine psuhhiaatrilist,0.0009505703422053,0.0057471264367816,-504.597701149439
inflatsiooni inflatsioon hinnatous,0.0133079847908745,0.0229885057471264,-72.74220032840726
kandidaati kandidaat valituks,0.0019011406844106,0.0057471264367816,-202.2988505747195
riigiloivude riigiloivud riigiloivu,0.0019011406844106,0.0057471264367816,-202.2988505747195
normitehnika mojude eeskiri,0.0019011406844106,0.0057471264367816,-202.2988505747195
palgalohe soolist meeste,0.0019011406844106,0.0057471264367816,-202.2988505747195
piirivalve valvamise valvamine,0.0019011406844106,0.0057471264367816,-202.2988505747195
