topic_words3,Keskerakond,Reformierakond,difference
krimmi agressiooni ukraina,0.057471264367816,0.0902111324376199,-56.967370441458876
tulumaksuvaba maksususteemi tulumaksu,0.0114942528735632,0.0307101727447216,-167.17850287907837
uliopilased uliopilastele uliopilaste,0.0057471264367816,0.019193857965451,-233.97312859884795
elamisluba elamisloa viisa,0.0057471264367816,0.0153550863723608,-167.17850287907837
annetused annetusi annetuste,0.0057471264367816,0.0134357005758157,-133.7811900191936
viirust vaktsineeritud viiruse,0.0229885057471264,0.0326295585412667,-41.93857965451039
inflatsiooni inflatsioon hinnatous,0.0229885057471264,0.0326295585412667,-41.93857965451039
lng terminali gaasi,0.0114942528735632,0.0172744721689059,-50.28790786948157
soita jalakaija konniteel,0.0057471264367816,0.0095969289827255,-66.98656429942396
vabatahtlike komandode paasteameti,0.0057471264367816,0.0095969289827255,-66.98656429942396
slovakkia ungari portugal,0.0057471264367816,0.0095969289827255,-66.98656429942396
liitlaste ohutorje keskmaa,0.0114942528735632,0.0134357005758157,-16.890595009596794
koolis kooli opilased,0.0402298850574712,0.0422264875239923,-4.962983273923884
tapsustatakse ajakohastatakse nouete,0.0057471264367816,0.0057581573896353,-0.19193857965438038
lisaeelarve lisaeelarves lisaeelarvega,0.0057471264367816,0.0057581573896353,-0.19193857965438038
palgalohe soolist meeste,0.0057471264367816,0.0057581573896353,-0.19193857965438038
moisteid moiste moisted,0.0057471264367816,0.0057581573896353,-0.19193857965438038
valismaale valjarande valjaranne,0.0057471264367816,0.0057581573896353,-0.19193857965438038
alkoholi kange lahja,0.0057471264367816,0.0057581573896353,-0.19193857965438038
toonadalal istungid taiendaval,0.0057471264367816,0.0057581573896353,-0.19193857965438038
salvestisi salvestised salvestiste,0.0114942528735632,0.0095969289827255,16.506717850288016
korterelamute kortermajade kredexi,0.0114942528735632,0.0095969289827255,16.506717850288016
arengufond arengufondi arengufondis,0.0057471264367816,0.0038387715930902,33.2053742802304
koolilouna koolitoidu koolitoit,0.0057471264367816,0.0038387715930902,33.2053742802304
relva relvade relvaluba,0.0057471264367816,0.0038387715930902,33.2053742802304
rahvahaaletuse rahvahaaletus rahvahaaletusel,0.0057471264367816,0.0038387715930902,33.2053742802304
prokuratuur prokuratuuri prokuror,0.0057471264367816,0.0038387715930902,33.2053742802304
etv saateid pbk,0.0057471264367816,0.0038387715930902,33.2053742802304
apteeke apteegid apteekide,0.0057471264367816,0.0038387715930902,33.2053742802304
lapsetoetust lapsetoetus lapsetoetuse,0.0172413793103448,0.0134357005758157,22.07293666026881
tulubaasi omavalitsustele omavalitsuste,0.0114942528735632,0.0076775431861804,33.2053742802304
rahvaalgatuse rahvaalgatus rahvahaaletus,0.0057471264367816,0.0019193857965451,66.60268714011521
riigiloivude riigiloivud riigiloivu,0.0057471264367816,0.0019193857965451,66.60268714011521
pensioniiga pensioniea eluiga,0.0057471264367816,0.0019193857965451,66.60268714011521
piirivalve valvamise valvamine,0.0057471264367816,0.0019193857965451,66.60268714011521
psuhhiaatri alaealine psuhhiaatrilist,0.0057471264367816,0.0019193857965451,66.60268714011521
treenerite spordi sport,0.0057471264367816,0.0019193857965451,66.60268714011521
haale valimispaeval valimiste,0.0057471264367816,0.0019193857965451,66.60268714011521
hooldekodus hoolduse hooldekodu,0.0057471264367816,0.0019193857965451,66.60268714011521
tooandja tooandjal tootaja,0.0057471264367816,0.0019193857965451,66.60268714011521
kaasne lisakulutusi riigieelarvele,0.0057471264367816,0.0019193857965451,66.60268714011521
kaitsekulud kaitsekulutused kaitsekulude,0.0057471264367816,0.0019193857965451,66.60268714011521
lahususe voimude lahusus,0.0057471264367816,0.0019193857965451,66.60268714011521
missiooni missioonile missioon,0.0114942528735632,0.0057581573896353,49.90403071017281
terviseandmed isikuandmeid terviseandmeid,0.0114942528735632,0.0057581573896353,49.90403071017281
erimargistatud kutust kutuse,0.0114942528735632,0.0038387715930902,66.60268714011521
eriarstide eriarstiabi eriarsti,0.0402298850574712,0.0230326295585412,42.74746366876893
eelarves riigieelarves reservist,0.0114942528735632,0.0019193857965451,83.30134357005761
vee monopolide veeteenuse,0.0114942528735632,0.0019193857965451,83.30134357005761
piima toorpiima toodangut,0.0114942528735632,0.0019193857965451,83.30134357005761
valispoliitika valispoliitikas diplomaatia,0.0172413793103448,0.0057581573896353,66.60268714011521
pollumeestele pollumehi pollumehed,0.0172413793103448,0.0019193857965451,88.86756238003841
huvigruppe huvigruppide kaasatud,0.0402298850574712,0.0134357005758157,66.60268714011521
opositsioonis koalitsiooni opositsiooni,0.0402298850574712,0.0134357005758157,66.60268714011521
lasteaia lasteaias lasteaiakoha,0.0459770114942528,0.0095969289827255,79.12667946257201
pohiseadusega riigikohus oiguskantsler,0.0517241379310344,0.0115163147792706,77.7351247600768
pensionitous pensionitousu pension,0.1149425287356321,0.0019193857965451,98.33013435700576
haiguspaevade haiguspaevi haiguspaeva,0.0172413793103448,0.0,100.0
mes maale maaelu,0.0172413793103448,0.0,100.0
otsevalimise presidenti presidendi,0.0114942528735632,0.0,100.0
abielu kooselu samasooliste,0.0114942528735632,0.0,100.0
kandidaati kandidaat valituks,0.0057471264367816,0.0,100.0
tootuid tootute tootu,0.0057471264367816,0.0,100.0
kusimusena tahtsa tahtsusega,0.0057471264367816,0.0,100.0
normitehnika mojude eeskiri,0.0057471264367816,0.0,100.0
oigusriik oigusriigi oigusriigist,0.0057471264367816,0.0,100.0
riigiabi komisjonilt loa,0.0057471264367816,0.0,100.0
deklaratsiooni deklaratsioone deklaratsioonis,0.0057471264367816,0.0,100.0
abipolitseinik abipolitseiniku abipolitseinike,0.0057471264367816,0.0,100.0
teede teehoiuks teedele,0.0057471264367816,0.0,100.0
kaibemaksu kaibemaks kaibemaksumaara,0.0057471264367816,0.0,100.0
opositsiooni koalitsioonil opositsioonil,0.0057471264367816,0.0,100.0
riigimetsa majandamise noukokku,0.0057471264367816,0.0,100.0
hoiu pangad pankade,0.0057471264367816,0.0,100.0
talupidajate kaubanduskoja kaubanduskoda,0.0057471264367816,0.0,100.0
muundatud geneetiliselt gmo,0.0057471264367816,0.0,100.0
volitust kaasuses jarvik,0.0057471264367816,0.0,100.0
tulubaasi tasandusfondi tulumaksuosa,0.0,0.0,
maavalitsuste maavalitsused maakonna,0.0,0.0,
maantee neljarealiseks ppp,0.0,0.0,
uhistranspordi uhistransport uhistransporti,0.0,0.0,
ugri rahvaste polisrahvaste,0.0,0.0,
louis freeh kremli,0.0,0.0,
lipud lippude lipp,0.0,0.0,
laari laar kandidatuuri,0.0,0.0,
lae korgepalgaliste lagi,0.0,0.0,
ulikooliga kbfi instituudi,0.0,0.0,
kusija vastaja vastasin,0.0,0.0,
kulukuse krediidi kiirlaenude,0.0,0.0,
tsernoboli represseeritud oigusvastaselt,0.0,0.0,
korteriuhistu korteriomanike korteriuhistute,0.0,0.0,
ts parvlaeva parvlaevad,0.0,0.0,
matusetoetust matusetoetus matusetoetuse,0.0,0.0,
muuseum muuseumi muuseumide,0.0,0.0,
muraste kase kompleksi,0.0,0.0,
koolituse koolitus koolitusele,0.0,0.0,
oiglase virumaale ulemineku,0.0,0.0,
untso missioonide liikmesusest,0.0,0.0,
utah jordaania energia,0.0,0.0,
vagivalla naistevastase perevagivalla,0.0,0.0,
valimisea valimisiga valimisoiguse,0.0,0.0,
valimiskomisjon proteste valimiskasti,0.0,0.0,
