,female_effect_size,female_p_value
kannavad,-0.21651111543178558,0.7397756634859245
võrdlus,-0.19265705347061157,0.7110492051928472
kuupäev,-0.10614366084337234,0.6219325841501876
paindlikkust,0.02125157229602337,0.47612211246312885
direktiivist,0.34333622455596924,0.16197569614126184
asutusi,0.0925399661064148,0.39424357459616255
jälgima,0.4749116003513336,0.0818060372117666
juhtkond,-0.486262708902359,0.9214804426817069
otsime,0.08409642428159714,0.4032048728803357
klassis,0.3124638497829437,0.1787815785400988
meresõiduohutuse,-0.1826947033405304,0.7028342202740427
hüvitada,-0.017825881019234657,0.5113808304467076
motiveeritud,0.3118727207183838,0.1797711930237369
suurendame,0.24575677514076233,0.23601352687055788
võlakirju,-0.24457919597625732,0.7684817537799962
muretsema,0.7578549385070801,0.013455355975134808
ehitamine,-0.14930985867977142,0.6696615371937014
2023.,0.2963121831417084,0.19121181946303611
regionaalpoliitika,-0.13022278249263763,0.6470121829073261
lapsetoetus,0.010931842029094696,0.48596093620073444
hektarit,-0.05933733284473419,0.5614919889248504
väheneks,0.4721827208995819,0.08444188938722164
arengufond,-0.18446765840053558,0.7037568892600852
ravimiseaduse,0.43194645643234253,0.10476885417718873
kehtestamist,0.2926069498062134,0.1980552795414654
viirus,-0.026090338826179504,0.5382494066952324
turvalisust,0.04615510255098343,0.44425230297050433
82,0.28029879927635193,0.20640600897143047
massiliselt,0.1466289460659027,0.3299166444261403
usku,-0.12359815835952759,0.6407574808133043
vajadustele,0.12814019620418549,0.3595562098421232
nimetati,-0.22452126443386078,0.7399384411346006
esialgne,-0.26663827896118164,0.786818883174594
tundnud,0.17942766845226288,0.29687355328443565
tuleval,0.42589133977890015,0.10874509496285412
usaldada,-0.22164463996887207,0.7380063983387857
teravalt,0.12297981977462769,0.35749486845450174
kriisiolukorras,0.5912467241287231,0.04091236757032568
heakskiidu,0.2134770005941391,0.26990022596118624
vastuvõtmisel,-0.14468306303024292,0.6628615904217784
võimaldatakse,0.2990143299102783,0.1884393214002006
tehtavate,0.12076664716005325,0.3660805654319774
soovist,-0.1273011714220047,0.6465051885899411
korteriühistu,0.1378478705883026,0.33749078622980466
üleandmise,-0.00021745107369497418,0.49912460107492884
leppisime,0.14279748499393463,0.33929909014587767
