,female_effect_size,female_p_value
lohutada,-0.2530785799026489,0.7701498277874674
noorematel,0.26907408237457275,0.2132123641448973
tablool,-0.3794384002685547,0.8631796863853245
taluvuse,0.25107690691947937,0.23379532899943112
tükid,-0.14595824480056763,0.6631411866318284
raiumise,0.20973387360572815,0.28055690957911406
küpsust,-0.07235655933618546,0.5819758814794506
referendumiga,-0.19338178634643555,0.7165696107460918
illusioon,-0.5343554615974426,0.9417368517814976
sõidukiga,-0.20345529913902283,0.7201211183486993
mundris,-0.5854223370552063,0.9577384141781385
määratlemist,0.2326633781194687,0.25034726315096156
koolikohustuse,0.4141130745410919,0.11069302719885876
maksimaalsest,0.09677238762378693,0.39544233691387964
kõikumisi,0.05078583583235741,0.4387627943870591
272,0.21208323538303375,0.2714010590442567
töise,0.29450419545173645,0.19474574587820292
ajutisele,0.0393088161945343,0.4545815549511464
identifitseerida,-0.2647082507610321,0.784223155332803
meditsiinilisi,0.1343935877084732,0.33928515659843783
organisatsioonilt,-0.011775377206504345,0.5143808634149387
liikuvat,-0.005950179882347584,0.5066381296323068
algataks,-0.045737218111753464,0.5408582206899595
"5,3%",0.21139568090438843,0.2719179229172939
valkas,0.23235811293125153,0.2482201118630225
kohandamine,0.06939734518527985,0.4186235102956485
paigutama,0.33517786860466003,0.16603093400319335
maailmavaatelisi,-0.16325132548809052,0.682686695668723
kaotate,0.09524188190698624,0.38338095526673444
ettenähtav,0.18163730204105377,0.29595055898805567
737,0.5502244234085083,0.054758918404045565
koalitsioonilt,-0.1024785190820694,0.6177836296494061
finantseerimisega,0.02604588121175766,0.46616338266162305
nihkus,-0.32361215353012085,0.8292745427009685
lähimal,0.3515511751174927,0.15433291476666722
keerukaks,0.49105194211006165,0.07312790498728072
surnult,-0.13192413747310638,0.6504298257096061
kriminaalses,0.2773202061653137,0.20942364872907326
värbamine,0.012285222299396992,0.4827360037048317
vajaduses,0.20834127068519592,0.26917285812037506
sissejuhatav,0.055325862020254135,0.4355296305341
arvutite,0.13202719390392303,0.3492350369431846
tehnilisele,0.12638144195079803,0.35778273865459276
maardla,-0.25013649463653564,0.7681212308368084
veekogud,-0.050984326750040054,0.560732827577993
doktorantidele,0.11842609941959381,0.36518421197431516
võõrkeelena,0.1498790830373764,0.33020721040387346
groteskne,-0.1036267951130867,0.6158703320463748
eelnevatele,0.03238900378346443,0.46314398747257834
huviringis,-0.10765182971954346,0.6260885919910182
mahaarvamist,0.014091234654188156,0.4839956062933558
suitsetajad,0.10376392304897308,0.38307347468867703
ajakriitiline,0.025477446615695953,0.4689913899288204
õnnestunum,-0.45974886417388916,0.9123298824676376
elukutseliste,0.16559723019599915,0.31935090143684597
viiksime,0.19692669808864594,0.27763147899197993
rahvatervis,0.09324564784765244,0.3884949183679003
seostatakse,0.21824921667575836,0.2605574234673089
intensiivset,0.007213263306766748,0.4957728924062583
maik,-0.5120892524719238,0.9329012385927733
tavadele,0.002343985950574279,0.489603535150141
esmatarbekaupade,0.32723838090896606,0.16633672452824444
püsiühenduse,0.04574283957481384,0.45005264695484004
kortermajad,0.0070505389012396336,0.49141530291318314
emapensioni,0.19012272357940674,0.28224638472321817
valeandmete,0.18440310657024384,0.2872182663748757
terrorismiga,0.20313039422035217,0.2748312675282599
viibimiseks,-0.04512477666139603,0.552533176549328
talving,-0.4338415861129761,0.891425369711645
ühendamisel,0.05143124610185623,0.44605407978118383
tulemuslikku,0.2155083566904068,0.2616857198862156
kurjuse,0.3425431549549103,0.1571754350108936
ratifitseerib,-0.07077819108963013,0.5838470662167979
klubisse,0.10128845274448395,0.38595781475560353
eraldiseisvad,0.05947205424308777,0.42963979055014423
väljastamisega,0.08003055304288864,0.4051313068447634
abikäsi,-0.45607995986938477,0.909340364694688
madalaks,0.2958681881427765,0.19632249433860438
johtub,0.3674953281879425,0.13883944587160857
kannatanuid,0.13187864422798157,0.3543878328283544
laevalt,-0.5484578013420105,0.9461672666135847
haagiste,0.14198727905750275,0.3430026569247143
üldteenuse,0.4198679029941559,0.10769297669289268
põder,-0.21564790606498718,0.7331600261340211
õppejõu,0.9303819537162781,0.0032007331472178047
6400,0.06830159574747086,0.41983568449085507
elektroonselt,-0.3058421015739441,0.8104978454643632
korruptsioonijuhtumeid,0.0589543841779232,0.43176815247117606
kalu,-0.6791707277297974,0.9748792197583295
kohalolu,-0.23775984346866608,0.7523066037903614
tervislikel,0.2085265964269638,0.27780024810281145
opositsioonierakond,-0.2924925684928894,0.7987102526344815
terminoloogiline,0.11976835131645203,0.36338238664056033
laskemoon,-0.4643966853618622,0.9117798654870992
sümbolid,-0.19429369270801544,0.719998196992673
raame,-0.13481876254081726,0.6551974580888934
piimatoodete,0.18247659504413605,0.30004158776922707
allakäik,-0.10961249470710754,0.6254129323716002
kooli-,0.5624985098838806,0.05175203998089295
keskkonnahoiu,0.22801129519939423,0.250779386120599
324,0.4893361032009125,0.07998235938256637
radarite,0.08267957717180252,0.40116497249817784
läbirääkimine,-0.1494729369878769,0.6724733148800773
karusloomafarmid,-0.10959804803133011,0.6203411090509283
kaalutleda,-0.03749151527881622,0.5383863617030129
eluaastaid,0.14883551001548767,0.3276972091456215
pretendeeri,-0.09417937695980072,0.6094020892276395
püsikulu,-0.15661421418190002,0.6765868878058825
ajateenistusest,0.05129173398017883,0.44840775472739125
komandot,0.14294463396072388,0.3278506749012142
naabrit,-0.26267901062965393,0.7796064058592933
pooltäis,-0.4585208594799042,0.9072162070016667
lõpptulemuse,0.1983441263437271,0.28111027654687915
lasterikkad,0.15650059282779694,0.3306511903744421
maksumuudatustega,-0.021442128345370293,0.5311487813967324
tegimegi,-0.13679789006710052,0.6530964310714698
sisepoliitilise,0.14167915284633636,0.3425561062444177
rennu,-0.6413069367408752,0.9691283536264587
kasutusloa,0.19865407049655914,0.28325539298275815
konks,-0.02127314917743206,0.5223880768251958
kaalumisele,0.13834430277347565,0.339290710350993
avaldamata,-0.011099803261458874,0.5009264258981643
naistevastast,0.34828346967697144,0.15535562005034897
rendile,-0.13363298773765564,0.6521020439065025
teisegi,0.40724363923072815,0.11913019728675422
normikontrolli,0.10063911974430084,0.3850340574961163
õiglusele,0.02921968139708042,0.4646198078380682
intensiivsuse,0.14200253784656525,0.33992056175469076
tagumises,0.10713851451873779,0.37581318317967427
tõlgete,0.22856386005878448,0.2512646215983484
