topic_words3,Eesti Vabaerakonna fraktsioon,Isamaa,difference
uhistranspordi uhistransport uhistransporti,0.0052700922266139,0.0781893004115226,-1383.6419753086598
haale valimispaeval valimiste,0.0092226613965744,0.0308641975308641,-234.65608465608506
keeleoskust oskuse keeleoskuse,0.0013175230566534,0.0144032921810699,-993.2098765432814
keskkonnaameti uhendamine uhendamise,0.0026350461133069,0.0144032921810699,-446.6049382716198
terviseandmed isikuandmeid terviseandmeid,0.0131752305665349,0.0288065843621399,-118.64197530864206
elamisluba elamisloa viisa,0.0013175230566534,0.0102880658436214,-680.8641975309184
toonadalal istungid taiendaval,0.0039525691699604,0.0123456790123456,-212.3456790123495
karistuse karistus tingimisi,0.0039525691699604,0.0123456790123456,-212.3456790123495
eripensioni valjateenitud staazi,0.0026350461133069,0.0102880658436214,-290.4320987654443
vanemahuvitist vanemahuvitise vanemahuvitis,0.0026350461133069,0.0102880658436214,-290.4320987654443
pollumeestele pollumehi pollumehed,0.0013175230566534,0.0082304526748971,-524.6913580247332
palgalohe soolist meeste,0.0013175230566534,0.0082304526748971,-524.6913580247332
opositsioonis koalitsiooni opositsiooni,0.0092226613965744,0.0185185185185185,-100.79365079365145
kinnisasja maad maa,0.0026350461133069,0.0082304526748971,-212.3456790123547
kandidaati kandidaat valituks,0.0026350461133069,0.0082304526748971,-212.3456790123547
iive sundimus iibe,0.0013175230566534,0.0061728395061728,-368.51851851854803
tapsustatakse ajakohastatakse nouete,0.0013175230566534,0.0061728395061728,-368.51851851854803
tarbijakaitse amet ametile,0.0013175230566534,0.0061728395061728,-368.51851851854803
haaletamissedel haaletamiskasti sedeli,0.0013175230566534,0.0061728395061728,-368.51851851854803
joustumine joustuma joustada,0.0092226613965744,0.0164609053497942,-78.48324514991215
borsile ipo enefit,0.0065876152832674,0.0123456790123456,-87.40740740740785
elektri elektrit taastuvenergia,0.0065876152832674,0.0123456790123456,-87.40740740740785
prokuratuur prokuratuuri prokuror,0.0039525691699604,0.0082304526748971,-108.2304526749005
rahvuse rahvust rahvusriik,0.0039525691699604,0.0082304526748971,-108.2304526749005
maksuamet tolliamet tolliameti,0.0039525691699604,0.0082304526748971,-108.2304526749005
kantsler kantsleri riigisekretar,0.0026350461133069,0.0061728395061728,-134.25925925926512
kaibemaksu kaibemaks kaibemaksumaara,0.0013175230566534,0.0041152263374485,-212.34567901236284
teekasutustasu autode autod,0.0013175230566534,0.0041152263374485,-212.34567901236284
riigiloivude riigiloivud riigiloivu,0.0013175230566534,0.0041152263374485,-212.34567901236284
lapsetoetust lapsetoetus lapsetoetuse,0.0013175230566534,0.0041152263374485,-212.34567901236284
