topic_words3,EKRE,Isamaa,difference
uhistranspordi uhistransport uhistransporti,0.0028818443804034,0.0781893004115226,-2613.168724279889
aituma infotundi jahimehed,0.0028818443804034,0.0308641975308641,-970.9876543210057
terviseandmed isikuandmeid terviseandmeid,0.0028818443804034,0.0288065843621399,-899.5884773662748
haale valimispaeval valimiste,0.0072046109510086,0.0308641975308641,-328.39506172839646
valimisliitude volikogusse volikokku,0.0014409221902017,0.0246913580246913,-1613.580246913611
keskkonnaameti uhendamine uhendamise,0.0014409221902017,0.0144032921810699,-899.5884773662713
keeleoskust oskuse keeleoskuse,0.0028818443804034,0.0144032921810699,-399.7942386831357
kodakondsust kodakondsuse kodanikuks,0.0043227665706051,0.0164609053497942,-280.79561042524676
jahimehed jahimeeste jahti,0.0014409221902017,0.0123456790123456,-756.7901234568019
riigipuha puhade tahtpaevade,0.0014409221902017,0.0123456790123456,-756.7901234568019
toonadalal istungid taiendaval,0.0028818443804034,0.0123456790123456,-328.395061728401
koolituse koolitus koolitusele,0.0014409221902017,0.0102880658436214,-613.9917695473395
vanemahuvitist vanemahuvitise vanemahuvitis,0.0014409221902017,0.0102880658436214,-613.9917695473395
joustumine joustuma joustada,0.0057636887608069,0.0164609053497942,-185.59670781893018
kandidaati kandidaat valituks,0.0014409221902017,0.0082304526748971,-471.1934156378702
kinnisasja maad maa,0.0014409221902017,0.0082304526748971,-471.1934156378702
maksuamet tolliamet tolliameti,0.0014409221902017,0.0082304526748971,-471.1934156378702
vallaga vald sauga,0.0014409221902017,0.0082304526748971,-471.1934156378702
riigiabi komisjonilt loa,0.0014409221902017,0.0082304526748971,-471.1934156378702
eripensioni valjateenitud staazi,0.0028818443804034,0.0102880658436214,-256.9958847736698
koolis kooli opilased,0.0230547550432276,0.037037037037037,-60.648148148148465
kasvavad tuleval kasv,0.0014409221902017,0.0061728395061728,-328.395061728401
tarbijakaitse amet ametile,0.0014409221902017,0.0061728395061728,-328.395061728401
riigipalgaliste riigisektoris koondada,0.0014409221902017,0.0061728395061728,-328.395061728401
lipu laevu kaubalaeva,0.0028818443804034,0.0082304526748971,-185.59670781893513
borsile ipo enefit,0.0057636887608069,0.0123456790123456,-114.19753086419679
untso missioonide liikmesusest,0.0014409221902017,0.0041152263374485,-185.5967078189317
aasia aasias saatkonna,0.0014409221902017,0.0041152263374485,-185.5967078189317
korterelamute kortermajade kredexi,0.0014409221902017,0.0041152263374485,-185.5967078189317
valispoliitika valispoliitikas diplomaatia,0.0014409221902017,0.0041152263374485,-185.5967078189317
skais arendused infosusteemide,0.0014409221902017,0.0041152263374485,-185.5967078189317
kusimusena tahtsa tahtsusega,0.0014409221902017,0.0041152263374485,-185.5967078189317
mes maale maaelu,0.0014409221902017,0.0041152263374485,-185.5967078189317
konkurss konkursi konkurssi,0.0028818443804034,0.0061728395061728,-114.1975308642005
opositsiooni koalitsioonil opositsioonil,0.0028818443804034,0.0061728395061728,-114.1975308642005
kantsler kantsleri riigisekretar,0.0028818443804034,0.0061728395061728,-114.1975308642005
omandireformi tagastatud omandireform,0.0086455331412103,0.0123456790123456,-42.798353909465334
opositsioonis koalitsiooni opositsiooni,0.0144092219020172,0.0185185185185185,-28.518518518519198
ajakirjandus ajakirjanduse ajakirjandust,0.0057636887608069,0.0082304526748971,-42.798353909465085
arengukavad arengukavade pohialuste,0.0043227665706051,0.0061728395061728,-42.79835390946699
ulejaagis struktuurses struktuurse,0.0043227665706051,0.0061728395061728,-42.79835390946699
louis freeh kremli,0.0028818443804034,0.0041152263374485,-42.798353909465845
arengufond arengufondi arengufondis,0.0028818443804034,0.0041152263374485,-42.798353909465845
lapsetoetust lapsetoetus lapsetoetuse,0.0028818443804034,0.0041152263374485,-42.798353909465845
normitehnika mojude eeskiri,0.0028818443804034,0.0041152263374485,-42.798353909465845
metsa metsade mets,0.0028818443804034,0.0041152263374485,-42.798353909465845
teede teehoiuks teedele,0.0028818443804034,0.0041152263374485,-42.798353909465845
tantsupeo laulu traditsiooni,0.0014409221902017,0.0020576131687242,-42.798353909462385
riigikontrolli auditi auditit,0.0014409221902017,0.0020576131687242,-42.798353909462385
talupidajate kaubanduskoja kaubanduskoda,0.0014409221902017,0.0020576131687242,-42.798353909462385
reklaami reklaam alkoholireklaam,0.0014409221902017,0.0020576131687242,-42.798353909462385
