topic_words3,Isamaa,Sotsiaaldemokraadid,difference
koolituse koolitus koolitusele,0.0102880658436214,0.0555555555555555,-439.99999999999943
pensioni pension sammas,0.0041152263374485,0.0401234567901234,-875.0000000000127
hooldekodus hoolduse hooldekodu,0.0020576131687242,0.0277777777777777,-1250.0000000000484
untso missioonide liikmesusest,0.0041152263374485,0.0246913580246913,-500.0000000000073
lasteaia lasteaias lasteaiakoha,0.0020576131687242,0.0216049382716049,-950.0000000000388
ametiuhingute tooandjate keskliit,0.0020576131687242,0.0185185185185185,-800.0000000000339
palgatousu opetajate palgatous,0.0020576131687242,0.0185185185185185,-800.0000000000339
humni humn laulda,0.0123456790123456,0.0308641975308641,-150.00000000000077
riigireformi riigireformist riigireform,0.0041152263374485,0.0185185185185185,-350.0000000000061
palgalohe soolist meeste,0.0082304526748971,0.0246913580246913,-200.00000000000006
pensioniiga pensioniea eluiga,0.0020576131687242,0.015432098765432,-650.0000000000242
apteeke apteegid apteekide,0.0041152263374485,0.015432098765432,-275.00000000000307
slovakkia ungari portugal,0.0020576131687242,0.0123456790123456,-500.00000000001944
eriarstide eriarstiabi eriarsti,0.0123456790123456,0.0246913580246913,-100.00000000000082
elektri elektrit taastuvenergia,0.0123456790123456,0.0246913580246913,-100.00000000000082
est kavatsuste for,0.0020576131687242,0.0092592592592592,-350.0000000000145
arengufond arengufondi arengufondis,0.0041152263374485,0.0123456790123456,-200.0000000000024
loomi loomade loomad,0.0041152263374485,0.0123456790123456,-200.0000000000024
valispoliitika valispoliitikas diplomaatia,0.0041152263374485,0.0092592592592592,-125.0000000000018
lapsetoetust lapsetoetus lapsetoetuse,0.0041152263374485,0.0092592592592592,-125.0000000000018
veb fondi uurimiskomisjon,0.0041152263374485,0.0092592592592592,-125.0000000000018
uuring uuringut uuringu,0.0020576131687242,0.0061728395061728,-200.0000000000097
riigikontrolli auditi auditit,0.0020576131687242,0.0061728395061728,-200.0000000000097
teadus teaduse arendustegevuse,0.0020576131687242,0.0061728395061728,-200.0000000000097
oppelaenu sugava puudega,0.0020576131687242,0.0061728395061728,-200.0000000000097
poolte kokkuleppel huvitise,0.0020576131687242,0.0061728395061728,-200.0000000000097
vanemahuvitist vanemahuvitise vanemahuvitis,0.0102880658436214,0.015432098765432,-49.99999999999905
missiooni missioonile missioon,0.0061728395061728,0.0092592592592592,-49.99999999999999
ulejaagis struktuurses struktuurse,0.0061728395061728,0.0092592592592592,-49.99999999999999
tulumaksuvaba maksususteemi tulumaksu,0.0041152263374485,0.0061728395061728,-50.00000000000121
pohiseadusega riigikohus oiguskantsler,0.0041152263374485,0.0061728395061728,-50.00000000000121
jarviku jarvik maaeluministri,0.0041152263374485,0.0061728395061728,-50.00000000000121
krimmi agressiooni ukraina,0.0041152263374485,0.0061728395061728,-50.00000000000121
metsa metsade mets,0.0041152263374485,0.0061728395061728,-50.00000000000121
danske filiaali rahapesu,0.0041152263374485,0.0061728395061728,-50.00000000000121
eelarves riigieelarves reservist,0.0020576131687242,0.0030864197530864,-50.00000000000485
maavalitsuste maavalitsused maakonna,0.0020576131687242,0.0030864197530864,-50.00000000000485
noukogudesse ariuhingute noukogudes,0.0020576131687242,0.0030864197530864,-50.00000000000485
ootuse oigusparase oiguskindluse,0.0020576131687242,0.0030864197530864,-50.00000000000485
kandidaadi kandidaati kandidaat,0.0020576131687242,0.0030864197530864,-50.00000000000485
leping ratifitseerida lepinguga,0.0020576131687242,0.0030864197530864,-50.00000000000485
tulubaasi tasandusfondi tulumaksuosa,0.0020576131687242,0.0030864197530864,-50.00000000000485
pensionifondide pensionifondid fondid,0.0020576131687242,0.0030864197530864,-50.00000000000485
kusija vastaja vastasin,0.0020576131687242,0.0030864197530864,-50.00000000000485
korteriuhistu korteriomanike korteriuhistute,0.0020576131687242,0.0030864197530864,-50.00000000000485
kala kalurid kalurite,0.0020576131687242,0.0030864197530864,-50.00000000000485
pensionitous pensionitousu pension,0.0020576131687242,0.0030864197530864,-50.00000000000485
tantsupeo laulu traditsiooni,0.0020576131687242,0.0030864197530864,-50.00000000000485
koolis kooli opilased,0.037037037037037,0.0401234567901234,-8.333333333333284
vallaga vald sauga,0.0082304526748971,0.0092592592592592,-12.499999999999552
alkoholi kange lahja,0.0144032921810699,0.015432098765432,-7.142857142856898
opositsiooni koalitsioonil opositsioonil,0.0061728395061728,0.0061728395061728,0.0
otsevalimise presidenti presidendi,0.0061728395061728,0.0061728395061728,0.0
huvigruppe huvigruppide kaasatud,0.0061728395061728,0.0061728395061728,0.0
jahimehed jahimeeste jahti,0.0123456790123456,0.0123456790123456,0.0
miili baasvorgu lairiba,0.0102880658436214,0.0092592592592592,10.000000000000577
riigiloivude riigiloivud riigiloivu,0.0041152263374485,0.0030864197530864,24.999999999999396
kusimusena tahtsa tahtsusega,0.0041152263374485,0.0030864197530864,24.999999999999396
direktiivi direktiiv ulevotmise,0.0041152263374485,0.0030864197530864,24.999999999999396
soita jalakaija konniteel,0.0041152263374485,0.0030864197530864,24.999999999999396
korterelamute kortermajade kredexi,0.0041152263374485,0.0030864197530864,24.999999999999396
ajakirjandus ajakirjanduse ajakirjandust,0.0082304526748971,0.0061728395061728,25.000000000000295
taanis saksamaal hollandis,0.0082304526748971,0.0061728395061728,25.000000000000295
pollumeestele pollumehi pollumehed,0.0082304526748971,0.0061728395061728,25.000000000000295
kohtunike kohtususteem kohtuniku,0.0082304526748971,0.0061728395061728,25.000000000000295
rahvuse rahvust rahvusriik,0.0082304526748971,0.0061728395061728,25.000000000000295
lipu laevu kaubalaeva,0.0082304526748971,0.0061728395061728,25.000000000000295
toonadalal istungid taiendaval,0.0123456790123456,0.0092592592592592,25.000000000000007
riigipuha puhade tahtpaevade,0.0123456790123456,0.0092592592592592,25.000000000000007
kodakondsust kodakondsuse kodanikuks,0.0164609053497942,0.0123456790123456,25.000000000000295
iive sundimus iibe,0.0061728395061728,0.0030864197530864,50.0
borsile ipo enefit,0.0123456790123456,0.0061728395061728,50.0
salvestisi salvestised salvestiste,0.0123456790123456,0.0061728395061728,50.0
prokuratuur prokuratuuri prokuror,0.0082304526748971,0.0030864197530864,62.50000000000014
kandidaati kandidaat valituks,0.0082304526748971,0.0030864197530864,62.50000000000014
opositsioonis koalitsiooni opositsiooni,0.0185185185185185,0.0092592592592592,50.00000000000027
keeleoskust oskuse keeleoskuse,0.0144032921810699,0.0061728395061728,57.14285714285724
relva relvade relvaluba,0.0164609053497942,0.0061728395061728,62.50000000000014
karistuse karistus tingimisi,0.0123456790123456,0.0030864197530864,75.0
keskkonnaameti uhendamine uhendamise,0.0144032921810699,0.0030864197530864,78.57142857142861
valimisliitude volikogusse volikokku,0.0246913580246913,0.0061728395061728,75.0000000000001
terviseandmed isikuandmeid terviseandmeid,0.0288065843621399,0.0061728395061728,78.5714285714287
haale valimispaeval valimiste,0.0308641975308641,0.0030864197530864,90.00000000000003
