topic_words3,Eesti Vabaerakonna fraktsioon,Reformierakond,difference
alkoholi kange lahja,0.0158102766798418,0.0743179680150517,-370.0611476952049
ulejaagis struktuurses struktuurse,0.0079051383399209,0.0536218250235183,-578.3160865475108
kodakondsust kodakondsuse kodanikuks,0.0131752305665349,0.037629350893697,-185.60677328316052
untso missioonide liikmesusest,0.0039525691699604,0.0206961429915333,-423.61241768580237
apteeke apteegid apteekide,0.0039525691699604,0.0188146754468485,-376.01128880527597
borsile ipo enefit,0.0065876152832674,0.0216368767638758,-228.4477892756375
opositsioonis koalitsiooni opositsiooni,0.0092226613965744,0.0253998118532455,-175.40653138019167
pensionitous pensionitousu pension,0.0013175230566534,0.0103480714957666,-685.4186265287394
valijate erakonda valijaid,0.0026350461133069,0.0112888052681091,-328.41015992475377
palgalohe soolist meeste,0.0013175230566534,0.0084666039510818,-542.6152398871533
jarviku jarvik maaeluministri,0.0039525691699604,0.0122295390404515,-209.40733772342875
tulumaksuvaba maksususteemi tulumaksu,0.0118577075098814,0.0235183443085606,-98.3380370021948
kaibemaksu kaibemaks kaibemaksumaara,0.0013175230566534,0.0075258701787394,-471.2135465663601
karistuse karistus tingimisi,0.0039525691699604,0.0112888052681091,-185.60677328316558
keskkonnaameti uhendamine uhendamise,0.0026350461133069,0.0084666039510818,-221.30761994356436
efsf esm kreekale,0.0013175230566534,0.0056444026340545,-328.4101599247663
rahvuse rahvust rahvusriik,0.0039525691699604,0.0094073377234242,-138.00564440263673
koolis kooli opilased,0.0329380764163372,0.044214487300094,-34.235183443085745
tulubaasi tasandusfondi tulumaksuosa,0.0013175230566534,0.0047036688617121,-257.0084666039732
laari laar kandidatuuri,0.0013175230566534,0.0047036688617121,-257.0084666039732
annetused annetusi annetuste,0.0013175230566534,0.0047036688617121,-257.0084666039732
uhistranspordi uhistransport uhistransporti,0.0052700922266139,0.0103480714957666,-96.35465663217369
eelarves riigieelarves reservist,0.0105401844532279,0.0169332079021636,-60.65380997177762
missiooni missioonile missioon,0.0065876152832674,0.0112888052681091,-71.36406396989763
pohiseadusega riigikohus oiguskantsler,0.0052700922266139,0.0094073377234242,-78.50423330197643
toonadalal istungid taiendaval,0.0039525691699604,0.0075258701787394,-90.40451552211037
piirilepingu piirileping piirilepingut,0.0013175230566534,0.0037629350893697,-185.60677328318005
samba sammas sambasse,0.0013175230566534,0.0037629350893697,-185.60677328318005
keeleoskust oskuse keeleoskuse,0.0013175230566534,0.0037629350893697,-185.60677328318005
volitust kaasuses jarvik,0.0013175230566534,0.0037629350893697,-185.60677328318005
kantsler kantsleri riigisekretar,0.0026350461133069,0.0056444026340545,-114.205079962375
pensionifondide pensionifondid fondid,0.0026350461133069,0.0056444026340545,-114.205079962375
leping ratifitseerida lepinguga,0.0026350461133069,0.0056444026340545,-114.205079962375
elektri elektrit taastuvenergia,0.0065876152832674,0.0103480714957666,-57.083725305738355
pensioniiga pensioniea eluiga,0.0052700922266139,0.0084666039510818,-60.65380997177915
psuhhiaatri alaealine psuhhiaatrilist,0.0013175230566534,0.0028222013170272,-114.20507996237934
tootuid tootute tootu,0.0013175230566534,0.0028222013170272,-114.20507996237934
katteallikas katteallikaid katteallikat,0.0013175230566534,0.0028222013170272,-114.20507996237934
toovoimereformi toovoimega toovoimereform,0.0013175230566534,0.0028222013170272,-114.20507996237934
krimmi agressiooni ukraina,0.0118577075098814,0.0150517403574788,-26.93634368140479
ajakirjandus ajakirjanduse ajakirjandust,0.0079051383399209,0.0103480714957666,-30.9031044214483
veb fondi uurimiskomisjon,0.0039525691699604,0.0056444026340545,-42.80338664158151
maksuamet tolliamet tolliameti,0.0039525691699604,0.0056444026340545,-42.80338664158151
hanke hankija riigihangete,0.0026350461133069,0.0037629350893697,-42.80338664158459
aasia aasias saatkonna,0.0026350461133069,0.0037629350893697,-42.80338664158459
inimarengu aruanne aruandes,0.0026350461133069,0.0037629350893697,-42.80338664158459
kaitseliit kaitseliidule kaitseliidu,0.0052700922266139,0.0065851364063969,-24.95296331138273
rahapesu terrorismi andmeburoo,0.0013175230566534,0.0018814675446848,-42.803386641586236
kandidaadi kandidaati kandidaat,0.0013175230566534,0.0018814675446848,-42.803386641586236
treenerite spordi sport,0.0013175230566534,0.0018814675446848,-42.803386641586236
utah jordaania energia,0.0013175230566534,0.0018814675446848,-42.803386641586236
kauguhendus avaksite ettekandjalt,0.0013175230566534,0.0018814675446848,-42.803386641586236
oiglase virumaale ulemineku,0.0013175230566534,0.0018814675446848,-42.803386641586236
korrata stenogrammist vabandan,0.0013175230566534,0.0018814675446848,-42.803386641586236
lapsetoetust lapsetoetus lapsetoetuse,0.0013175230566534,0.0018814675446848,-42.803386641586236
prokuratuur prokuratuuri prokuror,0.0039525691699604,0.0047036688617121,-19.002822201318367
konkurss konkursi konkurssi,0.0039525691699604,0.0047036688617121,-19.002822201318367
kaasne lisakulutusi riigieelarvele,0.0052700922266139,0.0056444026340545,-7.1025399811854655
teede teehoiuks teedele,0.0026350461133069,0.0028222013170272,-7.1025399811856005
