topic_words3,Eesti Vabaerakonna fraktsioon,Keskerakond,difference
veb fondi uurimiskomisjon,0.0039525691699604,0.0258175559380378,-553.1841652323686
omandireformi tagastatud omandireform,0.0105401844532279,0.0344234079173838,-226.5920826161797
uhistranspordi uhistransport uhistransporti,0.0052700922266139,0.0240963855421686,-357.2289156626549
prokuratuur prokuratuuri prokuror,0.0039525691699604,0.0189328743545611,-379.0017211704049
danske filiaali rahapesu,0.0092226613965744,0.0258175559380378,-179.9360708138682
alkoholi kange lahja,0.0158102766798418,0.0344234079173838,-117.72805507745387
opositsioonis koalitsiooni opositsiooni,0.0092226613965744,0.0223752151462994,-142.61126137201882
laari laar kandidatuuri,0.0013175230566534,0.0103270223752151,-683.8209982788806
iive sundimus iibe,0.0013175230566534,0.0086058519793459,-553.1841652323992
majandusaasta koondaruanne raamatupidamise,0.0013175230566534,0.0086058519793459,-553.1841652323992
kinnisasja maad maa,0.0026350461133069,0.0103270223752151,-291.9104991394253
pensionitous pensionitousu pension,0.0013175230566534,0.0068846815834767,-422.54733218591787
katteallikas katteallikaid katteallikat,0.0013175230566534,0.0068846815834767,-422.54733218591787
oigusriik oigusriigi oigusriigist,0.0026350461133069,0.0086058519793459,-226.59208261618718
karistuse karistus tingimisi,0.0039525691699604,0.0103270223752151,-161.27366609294694
rahvuse rahvust rahvusriik,0.0039525691699604,0.0103270223752151,-161.27366609294694
direktiivi direktiiv ulevotmise,0.0065876152832674,0.0137693631669535,-109.01893287435594
kodakondsust kodakondsuse kodanikuks,0.0131752305665349,0.0223752151462994,-69.82788296041262
moisteid moiste moisted,0.0079051383399209,0.0154905335628227,-95.95524956970837
eelarves riigieelarves reservist,0.0105401844532279,0.0189328743545611,-79.62564543889897
samba sammas sambasse,0.0013175230566534,0.0051635111876075,-291.9104991394364
tulubaasi tasandusfondi tulumaksuosa,0.0013175230566534,0.0051635111876075,-291.9104991394364
lapsetoetust lapsetoetus lapsetoetuse,0.0013175230566534,0.0051635111876075,-291.9104991394364
kaibemaksu kaibemaks kaibemaksumaara,0.0013175230566534,0.0051635111876075,-291.9104991394364
riigikontrolor karis riigikontrolori,0.0013175230566534,0.0051635111876075,-291.9104991394364
hooldekodus hoolduse hooldekodu,0.0026350461133069,0.0068846815834767,-161.273666092949
valijate erakonda valijaid,0.0026350461133069,0.0068846815834767,-161.273666092949
keskkonnaameti uhendamine uhendamise,0.0026350461133069,0.0068846815834767,-161.273666092949
kandidaati kandidaat valituks,0.0026350461133069,0.0068846815834767,-161.273666092949
maksuamet tolliamet tolliameti,0.0039525691699604,0.0086058519793459,-117.72805507745537
kusimusena tahtsa tahtsusega,0.0039525691699604,0.0086058519793459,-117.72805507745537
kohtla jarve johvi,0.0052700922266139,0.0103270223752151,-95.95524956970897
eriarstide eriarstiabi eriarsti,0.0158102766798418,0.0223752151462994,-41.52323580034458
deklaratsiooni deklaratsioone deklaratsioonis,0.0013175230566534,0.0034423407917383,-161.27366609295507
pollumeestele pollumehi pollumehed,0.0013175230566534,0.0034423407917383,-161.27366609295507
keeleoskust oskuse keeleoskuse,0.0013175230566534,0.0034423407917383,-161.27366609295507
toovoimereformi toovoimega toovoimereform,0.0013175230566534,0.0034423407917383,-161.27366609295507
abipolitseinik abipolitseiniku abipolitseinike,0.0013175230566534,0.0034423407917383,-161.27366609295507
hadaolukorda eriolukord eriolukorra,0.0013175230566534,0.0034423407917383,-161.27366609295507
efsf esm kreekale,0.0013175230566534,0.0034423407917383,-161.27366609295507
erimargistatud kutust kutuse,0.0013175230566534,0.0034423407917383,-161.27366609295507
annetused annetusi annetuste,0.0013175230566534,0.0034423407917383,-161.27366609295507
estonian air airi,0.0013175230566534,0.0034423407917383,-161.27366609295507
tapsustatakse ajakohastatakse nouete,0.0013175230566534,0.0034423407917383,-161.27366609295507
ajakirjandus ajakirjanduse ajakirjandust,0.0079051383399209,0.0120481927710843,-52.40963855421734
ulejaagis struktuurses struktuurse,0.0079051383399209,0.0120481927710843,-52.40963855421734
slovakkia ungari portugal,0.0065876152832674,0.0103270223752151,-56.76419965576659
elektri elektrit taastuvenergia,0.0065876152832674,0.0103270223752151,-56.76419965576659
loomi loomade loomad,0.0026350461133069,0.0051635111876075,-95.95524956971076
apteeke apteegid apteekide,0.0039525691699604,0.0068846815834767,-74.18244406196378
jarviku jarvik maaeluministri,0.0039525691699604,0.0068846815834767,-74.18244406196378
