topic_words3,Erakonna Eestimaa Rohelised fraktsioon,Reformierakond,difference
tootuid tootute tootu,0.0158730158730158,0.0385818561001042,-143.06569343065757
hanke hankija riigihangete,0.0031746031746031,0.0125130344108446,-294.16058394161416
valimisliitude volikogusse volikokku,0.0126984126984126,0.0260688216892596,-105.29197080292094
vanemahuvitist vanemahuvitise vanemahuvitis,0.0031746031746031,0.0114702815432742,-261.31386861314587
inimarengu aruanne aruandes,0.0063492063492063,0.0156412930135557,-146.3503649635042
ulejaagis struktuurses struktuurse,0.0063492063492063,0.0156412930135557,-146.3503649635042
vee monopolide veeteenuse,0.0126984126984126,0.0239833159541188,-88.86861313868701
noukogudesse ariuhingute noukogudes,0.0031746031746031,0.0104275286757038,-228.4671532846774
alkoholi kange lahja,0.0095238095238095,0.0187695516162669,-97.08029197080295
eelarves riigieelarves reservist,0.0031746031746031,0.0093847758081334,-195.62043795620906
ajakirjandus ajakirjanduse ajakirjandust,0.0031746031746031,0.0093847758081334,-195.62043795620906
huvigruppe huvigruppide kaasatud,0.0095238095238095,0.0177267987486965,-86.1313868613137
vabatahtlike komandode paasteameti,0.0031746031746031,0.008342022940563,-162.77372262774068
tulubaasi omavalitsustele omavalitsuste,0.0031746031746031,0.008342022940563,-162.77372262774068
erimargistatud kutust kutuse,0.0126984126984126,0.0208550573514077,-64.23357664233693
terviseandmed isikuandmeid terviseandmeid,0.0063492063492063,0.0125130344108446,-97.080291970804
katteallikas katteallikaid katteallikat,0.0095238095238095,0.0166840458811261,-75.1824817518245
maksuamet tolliamet tolliameti,0.0031746031746031,0.0072992700729927,-129.92700729927543
ooteala piiriuletuse piiripunkti,0.0031746031746031,0.0072992700729927,-129.92700729927543
opositsioonis koalitsiooni opositsiooni,0.0031746031746031,0.0062565172054223,-97.08029197080708
lasteaia lasteaias lasteaiakoha,0.0031746031746031,0.0062565172054223,-97.08029197080708
lapsetoetust lapsetoetus lapsetoetuse,0.0063492063492063,0.0093847758081334,-47.810218978102206
soita jalakaija konniteel,0.0126984126984126,0.0166840458811261,-31.386861313869062
matusetoetust matusetoetus matusetoetuse,0.0031746031746031,0.0052137643378519,-64.23357664233872
