topic_words3,Eestimaa Rahvaliidu fraktsioon,Reformierakond,difference
muugimaksu muugimaks paadimaksu,0.0061349693251533,0.0385818561001042,-528.8842544317062
joustumine joustuma joustada,0.0030674846625766,0.0187695516162669,-511.8873826903183
katteallikas katteallikaid katteallikat,0.0030674846625766,0.0166840458811261,-443.8998957247263
moisteid moiste moisted,0.0030674846625766,0.0156412930135557,-409.9061522419302
huvigruppe huvigruppide kaasatud,0.0061349693251533,0.0177267987486965,-188.94681960375644
valimisliitude volikogusse volikokku,0.0122699386503067,0.0260688216892596,-112.46089676746658
soita jalakaija konniteel,0.0061349693251533,0.0166840458811261,-171.94994786235873
vanemahuvitist vanemahuvitise vanemahuvitis,0.0030674846625766,0.0114702815432742,-273.93117831074954
karistuse karistus tingimisi,0.0030674846625766,0.0104275286757038,-239.93743482795352
pohiseadusega riigikohus oiguskantsler,0.00920245398773,0.0187695516162669,-103.96246089676838
elektri elektrit taastuvenergia,0.0061349693251533,0.013555787278415,-120.95933263816721
terviseandmed isikuandmeid terviseandmeid,0.0061349693251533,0.0125130344108446,-103.96246089676946
ulejaagis struktuurses struktuurse,0.00920245398773,0.0156412930135557,-69.96871741397307
iive sundimus iibe,0.0030674846625766,0.0072992700729927,-137.95620437956876
leping ratifitseerida lepinguga,0.0061349693251533,0.0104275286757038,-69.96871741397402
lasteaia lasteaias lasteaiakoha,0.0030674846625766,0.0062565172054223,-103.9624608967728
liiklussurmade liikluses hukkunute,0.0030674846625766,0.0062565172054223,-103.9624608967728
relva relvade relvaluba,0.0030674846625766,0.0062565172054223,-103.9624608967728
ajakirjandus ajakirjanduse ajakirjandust,0.0061349693251533,0.0093847758081334,-52.97184567257628
kohtunike kohtususteem kohtuniku,0.00920245398773,0.0125130344108446,-35.97497393117891
arengukavad arengukavade pohialuste,0.0153374233128834,0.0177267987486965,-15.578727841501436
pensionitous pensionitousu pension,0.0030674846625766,0.0041710114702815,-35.974973931180756
kutsehariduse kutseharidus kutsehariduses,0.0030674846625766,0.0041710114702815,-35.974973931180756
riigiabi komisjonilt loa,0.0030674846625766,0.0041710114702815,-35.974973931180756
lae korgepalgaliste lagi,0.0030674846625766,0.0041710114702815,-35.974973931180756
maksuamet tolliamet tolliameti,0.0061349693251533,0.0072992700729927,-18.978102189782447
valimisea valimisiga valimisoiguse,0.0030674846625766,0.0031282586027111,-1.981230448384751
efsf esm kreekale,0.0030674846625766,0.0031282586027111,-1.981230448384751
salvestisi salvestised salvestiste,0.0030674846625766,0.0031282586027111,-1.981230448384751
slovakkia ungari portugal,0.0030674846625766,0.0031282586027111,-1.981230448384751
rahvaalgatuse rahvaalgatus rahvahaaletus,0.0030674846625766,0.0031282586027111,-1.981230448384751
vagivallale vihakone ohutamine,0.0061349693251533,0.0052137643378519,15.015641293012996
fie fuusilisest isikust,0.0061349693251533,0.0052137643378519,15.015641293012996
taanis saksamaal hollandis,0.0061349693251533,0.0052137643378519,15.015641293012996
riigipuha puhade tahtpaevade,0.0061349693251533,0.0052137643378519,15.015641293012996
riigiloivude riigiloivud riigiloivu,0.0061349693251533,0.0052137643378519,15.015641293012996
korterid kortereid korterit,0.0061349693251533,0.0052137643378519,15.015641293012996
koolis kooli opilased,0.0122699386503067,0.0104275286757038,15.015641293013694
huvihariduse huvitegevuse huviharidus,0.0030674846625766,0.0020855057351407,32.01251303441124
mes maale maaelu,0.0030674846625766,0.0020855057351407,32.01251303441124
volakirjade keskpank volakirju,0.0030674846625766,0.0020855057351407,32.01251303441124
kantsler kantsleri riigisekretar,0.0030674846625766,0.0020855057351407,32.01251303441124
opositsiooni koalitsioonil opositsioonil,0.0030674846625766,0.0020855057351407,32.01251303441124
domeenide domeeni interneti,0.0030674846625766,0.0020855057351407,32.01251303441124
rail trassi balticu,0.0030674846625766,0.0020855057351407,32.01251303441124
samba sammas sambasse,0.0030674846625766,0.0020855057351407,32.01251303441124
inflatsiooni inflatsioon hinnatous,0.0030674846625766,0.0020855057351407,32.01251303441124
kohtla jarve johvi,0.0030674846625766,0.0020855057351407,32.01251303441124
loomi loomade loomad,0.0030674846625766,0.0020855057351407,32.01251303441124
tulumaksuvaba maksususteemi tulumaksu,0.00920245398773,0.0072992700729927,20.68126520681213
inimarengu aruanne aruandes,0.0184049079754601,0.0156412930135557,15.015641293013932
erimargistatud kutust kutuse,0.0245398773006134,0.0208550573514077,15.015641293013282
kinnisasja maad maa,0.0061349693251533,0.0041710114702815,32.01251303441072
kaasne lisakulutusi riigieelarvele,0.0061349693251533,0.0041710114702815,32.01251303441072
hadaolukorda eriolukord eriolukorra,0.0061349693251533,0.0041710114702815,32.01251303441072
eelarves riigieelarves reservist,0.0122699386503067,0.0093847758081334,23.51407716371249
vaikesaarte saarte pusiasustusega,0.0153374233128834,0.0114702815432742,25.21376433785204
memorandumi moistmise memorandum,0.0030674846625766,0.0010427528675703,66.00625651720725
psuhhiaatri alaealine psuhhiaatrilist,0.0030674846625766,0.0010427528675703,66.00625651720725
hooldekodus hoolduse hooldekodu,0.0030674846625766,0.0010427528675703,66.00625651720725
metsa metsade mets,0.0030674846625766,0.0010427528675703,66.00625651720725
riigipalgaliste riigisektoris koondada,0.0030674846625766,0.0010427528675703,66.00625651720725
muuseum muuseumi muuseumide,0.0030674846625766,0.0010427528675703,66.00625651720725
haiguspaevade haiguspaevi haiguspaeva,0.0030674846625766,0.0010427528675703,66.00625651720725
teekasutustasu autode autod,0.0030674846625766,0.0010427528675703,66.00625651720725
valispoliitika valispoliitikas diplomaatia,0.0061349693251533,0.0031282586027111,49.00938477580845
kohtutaiturite kohtutaitur kohtutaituri,0.0061349693251533,0.0031282586027111,49.00938477580845
jalitustegevuse jalitustoimingu sideandmete,0.0061349693251533,0.0031282586027111,49.00938477580845
tapsustatakse ajakohastatakse nouete,0.00920245398773,0.0052137643378519,43.34376086200897
prokuratuur prokuratuuri prokuror,0.0276073619631901,0.0187695516162669,32.0125130344108
valismaale valjarande valjaranne,0.00920245398773,0.0041710114702815,54.675008689607395
normitehnika mojude eeskiri,0.00920245398773,0.0041710114702815,54.675008689607395
kaibemaksu kaibemaks kaibemaksumaara,0.0122699386503067,0.0052137643378519,57.50782064650684
vallaga vald sauga,0.00920245398773,0.0020855057351407,77.33750434480424
pollumeestele pollumehi pollumehed,0.00920245398773,0.0020855057351407,77.33750434480424
eelarvele kulude riigieelarvele,0.00920245398773,0.0010427528675703,88.66875217240266
piirilepingu piirileping piirilepingut,0.00920245398773,0.0010427528675703,88.66875217240266
virumaale virumaa toostusalade,0.0153374233128834,0.0052137643378519,66.00625651720553
tooandja tervisesse maksuvabalt,0.0122699386503067,0.0031282586027111,74.50469238790444
borsile ipo enefit,0.0122699386503067,0.0031282586027111,74.50469238790444
voidusamba vabadussoja uurimiskomisjon,0.0245398773006134,0.0114702815432742,53.25860271115745
tulubaasi tasandusfondi tulumaksuosa,0.0122699386503067,0.0010427528675703,91.50156412930203
uuring uuringut uuringu,0.0122699386503067,0.0010427528675703,91.50156412930203
hambaravi hammaste hambad,0.0122699386503067,0.0010427528675703,91.50156412930203
lapsetoetust lapsetoetus lapsetoetuse,0.0245398773006134,0.0093847758081334,61.757038581856236
opositsioonis koalitsiooni opositsiooni,0.0214723926380368,0.0062565172054223,70.86250558617613
eriarstide eriarstiabi eriarsti,0.0214723926380368,0.0010427528675703,95.14375093102973
tulubaasi omavalitsustele omavalitsuste,0.0276073619631901,0.008342022940563,69.78333912640504
maavalitsuste maavalitsused maakonna,0.0276073619631901,0.0010427528675703,96.2229173908009
toonadalal istungid taiendaval,0.0276073619631901,0.0041710114702815,84.89166956320253
tootuid tootute tootu,0.0797546012269938,0.0385818561001042,51.62428812063854
matusetoetust matusetoetus matusetoetuse,0.0337423312883435,0.0052137643378519,84.54829841691162
pensioniiga pensioniea eluiga,0.0490797546012269,0.0052137643378519,89.37695516162673
vaesuses suhtelises vaesuse,0.0153374233128834,0.0,100.0
post posti omniva,0.0122699386503067,0.0,100.0
estonian air airi,0.00920245398773,0.0,100.0
toovoimereformi toovoimega toovoimereform,0.00920245398773,0.0,100.0
ametiuhingute tooandjate keskliit,0.00920245398773,0.0,100.0
louis freeh kremli,0.0030674846625766,0.0,100.0
aardla pria pealtnagija,0.0030674846625766,0.0,100.0
uhistranspordi uhistransport uhistransporti,0.0030674846625766,0.0,100.0
piima toorpiima toodangut,0.0030674846625766,0.0,100.0
pensioni pension sammas,0.0030674846625766,0.0,100.0
pealinnast tallinnast viljandisse,0.0030674846625766,0.0,100.0
valdkonnad laekumisest fikseeritakse,0.0030674846625766,0.0,100.0
puude raskusastme puuet,0.0030674846625766,0.0,100.0
oiglase virumaale ulemineku,0.0030674846625766,0.0,100.0
talupidajate kaubanduskoja kaubanduskoda,0.0030674846625766,0.0,100.0
laari laar kandidatuuri,0.0030674846625766,0.0,100.0
korruptsiooni korruptsioon korruptsiooniga,0.0030674846625766,0.0,100.0
ugri rahvaste polisrahvaste,0.0030674846625766,0.0,100.0
kusija vastaja vastasin,0.0030674846625766,0.0,100.0
riigikontrolor karis riigikontrolori,0.0,0.0,
nord stream streami,0.0,0.0,
oigusloome oigusloomes oiguspoliitika,0.0,0.0,
oppelaenu sugava puudega,0.0,0.0,
president ilves presidendi,0.0,0.0,
raamatukogu pimedate raamatukogude,0.0,0.0,
tsernoboli represseeritud oigusvastaselt,0.0,0.0,
rongi rongide rongid,0.0,0.0,
seksuaalse vangistusega vaarkohtlemise,0.0,0.0,
sigade katku katk,0.0,0.0,
maantee neljarealiseks ppp,0.0,0.0,
utah jordaania energia,0.0,0.0,
valimiskomisjon proteste valimiskasti,0.0,0.0,
varude varud varu,0.0,0.0,
muraste kase kompleksi,0.0,0.0,
kinnitamise paevakorra paevakord,0.0,0.0,
liibanonis missioonil pikendamine,0.0,0.0,
krimmi agressiooni ukraina,0.0,0.0,
kontrollin haaled kandidaadi,0.0,0.0,
kohanimenoukogu vonnu mulgi,0.0,0.0,
kandideerima ametikohale kandidaatide,0.0,0.0,
idapiiri piiririba valjaehitamine,0.0,0.0,
humni humn laulda,0.0,0.0,
hansson ardo panga,0.0,0.0,
haalte kandidaatidele haaletamisest,0.0,0.0,
haaletamissedel haaletamiskasti sedeli,0.0,0.0,
est kavatsuste for,0.0,0.0,
energiaagentuur agentuuri agentuur,0.0,0.0,
ene ergma aplaus,0.0,0.0,
deklaratsiooni deklaratsioone deklaratsioonis,0.0,0.0,
abielu kooselu samasooliste,0.0,0.0,
haale valimispaeval valimiste,0.0,0.0,
missiooni missioonile missioon,0.0,0.0041710114702815,-inf
piirivalve valvamise valvamine,0.0,0.0010427528675703,-inf
vagivalla naistevastase perevagivalla,0.0,0.0010427528675703,-inf
koolituse koolitus koolitusele,0.0,0.0020855057351407,-inf
koolilouna koolitoidu koolitoit,0.0,0.0020855057351407,-inf
planeeringu keskkonnamoju keskkonnamojude,0.0,0.0010427528675703,-inf
poolte kokkuleppel huvitise,0.0,0.0052137643378519,-inf
rahapesu terrorismi andmeburoo,0.0,0.0010427528675703,-inf
