topic_words3,Isamaa ja Res Publica Liidu fraktsioon,Sotsiaaldemokraadid,difference
pensioniiga pensioniea eluiga,0.0084566596194503,0.0966666666666666,-1043.0833333333348
vaikesaarte saarte pusiasustusega,0.0126849894291754,0.045,-254.75000000000213
vaesuses suhtelises vaesuse,0.0042283298097251,0.0233333333333333,-451.8333333333402
kala kalurid kalurite,0.0021141649048625,0.0216666666666666,-924.8333333333686
riigikontrolli auditi auditit,0.0021141649048625,0.0133333333333333,-530.6666666666887
toonadalal istungid taiendaval,0.0063424947145877,0.0183333333333333,-189.0555555555567
erimargistatud kutust kutuse,0.0021141649048625,0.0116666666666666,-451.8333333333509
tooandja tervisesse maksuvabalt,0.0021141649048625,0.0116666666666666,-451.8333333333509
ulejaagis struktuurses struktuurse,0.0021141649048625,0.0116666666666666,-451.8333333333509
tootuid tootute tootu,0.0190274841437632,0.035,-83.94444444444458
ametiuhingute tooandjate keskliit,0.0063424947145877,0.0166666666666666,-162.77777777777828
poolte kokkuleppel huvitise,0.0063424947145877,0.015,-136.5000000000014
maksuamet tolliamet tolliameti,0.0021141649048625,0.0083333333333333,-294.1666666666799
krimmi agressiooni ukraina,0.0021141649048625,0.0083333333333333,-294.1666666666799
tulubaasi omavalitsustele omavalitsuste,0.0063424947145877,0.0133333333333333,-110.22222222222294
valijate erakonda valijaid,0.0021141649048625,0.0066666666666666,-215.33333333334204
vabatahtlike komandode paasteameti,0.0021141649048625,0.0066666666666666,-215.33333333334204
lapsetoetust lapsetoetus lapsetoetuse,0.0359408033826638,0.0483333333333333,-34.48039215686284
hoone rkas hoonet,0.0063424947145877,0.0116666666666666,-83.94444444444447
missiooni missioonile missioon,0.0042283298097251,0.0083333333333333,-97.08333333333529
palgalohe soolist meeste,0.0042283298097251,0.0083333333333333,-97.08333333333529
metsa metsade mets,0.0021141649048625,0.005,-136.50000000000887
valimisea valimisiga valimisoiguse,0.0021141649048625,0.005,-136.50000000000887
etv saateid pbk,0.0021141649048625,0.005,-136.50000000000887
rahvuse rahvust rahvusriik,0.0021141649048625,0.005,-136.50000000000887
kinnisasja maad maa,0.0063424947145877,0.01,-57.666666666667595
opositsioonis koalitsiooni opositsiooni,0.0084566596194503,0.0116666666666666,-37.95833333333282
vanemahuvitist vanemahuvitise vanemahuvitis,0.0190274841437632,0.0233333333333333,-22.62962962962954
kodualuse maamaksu maamaksust,0.0021141649048625,0.0033333333333333,-57.666666666671006
lae korgepalgaliste lagi,0.0021141649048625,0.0033333333333333,-57.666666666671006
matusetoetust matusetoetus matusetoetuse,0.0021141649048625,0.0033333333333333,-57.666666666671006
maavalitsuste maavalitsused maakonna,0.0021141649048625,0.0033333333333333,-57.666666666671006
iive sundimus iibe,0.0021141649048625,0.0033333333333333,-57.666666666671006
hadaolukorda eriolukord eriolukorra,0.0021141649048625,0.0033333333333333,-57.666666666671006
terviseandmed isikuandmeid terviseandmeid,0.0021141649048625,0.0033333333333333,-57.666666666671006
salvestisi salvestised salvestiste,0.0021141649048625,0.0033333333333333,-57.666666666671006
ootuse oigusparase oiguskindluse,0.0021141649048625,0.0033333333333333,-57.666666666671006
planeeringu keskkonnamoju keskkonnamojude,0.0084566596194503,0.01,-18.25000000000024
valimisliitude volikogusse volikokku,0.014799154334038,0.0166666666666666,-12.619047619047585
lasteaia lasteaias lasteaiakoha,0.0211416490486257,0.0233333333333333,-10.366666666666996
vallaga vald sauga,0.0042283298097251,0.005,-18.25000000000165
majandusaasta koondaruanne raamatupidamise,0.0042283298097251,0.005,-18.25000000000165
kohtunike kohtususteem kohtuniku,0.0105708245243128,0.0116666666666666,-10.366666666667046
taanis saksamaal hollandis,0.0063424947145877,0.0066666666666666,-5.111111111110686
elektri elektrit taastuvenergia,0.0063424947145877,0.0066666666666666,-5.111111111110686
borsile ipo enefit,0.0021141649048625,0.0016666666666666,21.166666666666863
piima toorpiima toodangut,0.0021141649048625,0.0016666666666666,21.166666666666863
rail trassi balticu,0.0021141649048625,0.0016666666666666,21.166666666666863
laari laar kandidatuuri,0.0021141649048625,0.0016666666666666,21.166666666666863
liitlaste ohutorje keskmaa,0.0021141649048625,0.0016666666666666,21.166666666666863
